Assamese,Hindi
abacus,"1.एबेकस ,2. गिनतारा"
অস্বাভাৱিক সমাপ্তি,असामान्य समापन
abort,अवरोधन
নিৰপেক্ষ,"1. निरपेक्ष ,2. परम"
নিৰপেক্ষ ঠিকনা,निरपेक्ष पता
নিৰপেক্ষ সম্বোধন,निरपेक्ष पताभिगमन
নিৰপেক্ষ এছেম্বলাৰ,निरपेक्ष कोडांतरक
নিৰপেক্ষ ক&#39;ড,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
নিৰপেক্ষ আদেশ,निरपेक्ष समादेश
নিৰপেক্ষ তথ্য,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
নিৰপেক্ষ নিৰ্দেশনা,निरपेक्ष अनुदेश
নিৰপেক্ষ ধৰণ,निरपेक्ष विधा
নিৰপেক্ষ পথ,निरपेक्ष पथ
নিৰপেক্ষ প্ৰগ্ৰেমিং,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
বিমূৰ্ত শ্ৰেণী,अमूर्त वर्ग
বিমূৰ্ত তথ্যৰ ধৰণ,अमूर्त आंकड़ा प्रकार
বিমূৰ্ত মেচিন,अमूर्त मशीन
বিমূৰ্ত চিহ্ন,अमूर्त प्रतीक
বিমূৰ্ত বাক্যবিন্যাস,अमूर्त वाक्य विन्यास
গ্ৰহণযোগ্যতা পৰীক্ষা,स्वीकृति परीक्षण
প্ৰৱেশ প্ৰমাণীকৰণ,अभिगम प्रमाणन
প্ৰৱেশ ক&#39;ড,"1. अभिगम कूट ,2. अभिगम कोड"
প্ৰৱেশ নিয়ন্ত্ৰণ,अभिगम नियंत्रण
এক্সেছ স্কেন,अभिगम क्रमवीक्षण
আনুষংগিক বস্তু,सहयंत्र
একাউণ্ট,लेखा
একাউণ্ট আইডি,"1. एकाउंट आई डी ,2. लेखा पहचान"
এক্যুলেটৰ,संचायक
শুদ্ধতা,"1. विशुद्धता ,2. यर्थाथता"
acess,अभिगम
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,अभिगम नियंत्रण बाइट
acess index,अभिगम सूचक
acess key,अभिगम कुंजी
acess মেট্ৰিক্স,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
প্ৰৱেশ ধৰণ,अभिगम विधा
acess বিশেষাধিকাৰ,अभिगम विशेषाधिकार
acess security,अभिगम सुरक्षा
এচেছ চাৰ্ভাৰ,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
acess সময়,अभिगम काल
স্বীকৃতি,अभिस्वीकृति
শব্দবিজ্ঞান,ध्वनिकी
সংক্ষিপ্ত ৰূপ,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
কাৰ্য্য বাৰ্তা,क्रिया संदेश
সক্ৰিয়কৰণ,सक्रियण
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),सक्रिय सर्वर पृष्ठ
সক্ৰিয় সংস্কৰণ,सक्रिय वर्जन
অচক্ৰীয়,अचक्रीय
অচক্ৰীয় গ্ৰাফ,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
আদা ভাষা,एडा कंप्यूटर भाषा
এডাপ্টাৰ,"1. अनुकूलक ,2. अनुकूलित्र"
যোগ কৰা,योग (करना)
ফাইল যোগ কৰক,योग संचिका
অপাৰেচন যোগ কৰক,"1. जोड़ संक्रिया ,2. योग संक्रिया"
adder,योजक
ঠিকনা,पता
ঠিকনা বাছ,पता बस
ঠিকনা নথিপত্ৰ,पता संचिका
ঠিকনা বিন্যাস,पता आरूप
ঠিকনা উৎপাদক,पता जनक
ঠিকনা ৰেখা,पता पंक्ति
ঠিকনা মেপিং,पता प्रतिचित्रण
ঠিকনা পইণ্টাৰ,पता संकेतक
ঠিকনা পঞ্জীয়ন,पता पंजी
ঠিকনা সমাধান,पता विघटन
ঠিকনা অনুবাদ,पता अनुवाद
ঠিকনাযুক্ত মেমৰি,"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी"
সম্বোধন কৰা,पताभिगमन
পৰ্যাপ্ততাৰ মাপকাঠী,"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी"
সংযুক্ত,संलग्न
প্ৰশাসন,"1. प्रबंधन ,2. नियंत्रण"
প্ৰশাসক,"1. प्रबंधक ,2. नियंत्रक"
এডোব এক্ৰ&#39;বেট,ऐडोब एक्रोबेट
এডোব ফটোশ্বপ,ऐडोब फोटोशोप
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
উন্নত তথ্য,"1. उन्नत आंकड़ा ,2. उन्नत डाटा"
উন্নত তথ্য ব্যৱস্থা,उन्नत सूचना तंत्र
উন্নত প্ৰযুক্তি (AT),उन्नत प्रौद्योगिकी (ए टी)
এজেণ্ট,कर्मक
একত্ৰীকৰণ,समुच्चयन
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,विमानवाहित कंप्यूटर तंत्र
aldus পৃষ্ঠা নিৰ্মাতা,एल्डस पेज-मेक
সতৰ্কবাণী বাকচ,सचेत पेटी
এলগোল,ऐल्गॉल (कंप्यूटर भाषा)
এলগৰিদম,"1.  एल्गोरिथ्म ,2. कलन विधि"
এলগৰিদম বিশ্লেষণ,"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण"
এলগৰিদম দক্ষতা,एल्गोरिथ्म दक्षता
alias,"1. एलिआस ,2. उपनाम ,3. उर्फ"
প্ৰান্তিককৰণ,संरेखण
আবণ্টন,"1. आवंटन ,2. नियतन"
বৰ্ণানুক্ৰমিক,"1.अक्षरात्मक ,2. वर्णानुक्रम"
আলফানিউমেৰিক,अक्षरांकीय
আলফানিউমেৰিক কি বৰ্ড,"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड"
আলফা-পৰীক্ষা,अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
আলফা-সংস্কৰণ,"1. अल्फा वर्जन ,2. अल्फा रूप"
alt কি&#39;,आल्ट कुंजी
আলতাভিস্তা,आल्टाविस्टा
অস্পষ্টতা,अनेकार्थकता
অস্পষ্ট ব্যাকৰণ,संदिग्ध व्याकरण
আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII),अमेरिकी मानक कट (आस्की)
এনালগ,"1. अनुरुप ,2. एनालॉग"
এনালগ কম্পিউটাৰ,"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
এনালগ ডিভাইচ,"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस"
এনালগ মডেম,"1. एनालॉग मोडेम ,2. अनुरुप मोडेम"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC),अनुरुप से अंकीय रुपांतरक
আৰু,एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
AND বৰ্তনী,एंड परिपथ
AND গেট,एंड गेट और द्वार
AND অপাৰেচন নহয় (বৰ্জন),एंड नॉट संक्रिया (अपवर्जन)
এনিমেচন,"1. एनीमेशन, 2.  सजीवन"
টীকাকৰণ,टिप्पण
বিজুতি,असंगता
পূৰ্বসূৰী,पूर्ववर्ती
প্ৰত্যাশিত পেজিং,प्रत्याशामूलक पृष्ठन
এন্টি-চিমেট্ৰিক,प्रति-सममित
এন্টিভাইৰাছ প্ৰগ্ৰেম,विषाणुरोधी क्रमादेश
applet,"1. एपलेट ,2. अनुप्रयोगिका"
এপ্লিকেচন ডেভেলপাৰ,अनुप्रयोग विकासक
এপ্লিকেচন প্ৰগ্ৰেমিং,अनुप्रयोग प्रोग्रामन
এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API),"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
এপ্লিকেচন চফ্টৱেৰ,अनुप्रयोग सॉफ्टवेयर
প্ৰয়োগমূলক ভাষা,अनुप्रयोगी भाषा
আনুমানিক তত্ত্ব,सन्निकटण सिद्धांत
স্থাপত্য,संरचना
এলেকা হস্তান্তৰ,क्षेत्र अंतरण
তৰ্কাতৰ্কি,"1. प्राचर,स्वतंत्रचर, 2. कोणांक"
গাণিতিক আৰু যুক্তিৰ একক,"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई"
গাণিতিক পৰীক্ষা,अंकगणितीय जांच
গাণিতিক ধ্ৰুৱক,अंकगणितीय अचर
গাণিতিক তথ্য,अंकगणितीय आंकडा
গাণিতিক নিৰ্দেশনা,अंकगणितीय अनुदेश
গাণিতিক আৰু যুক্তি একক (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
ARPANET,ए आर पी ए नेट (आरपानेट)
এৰে,सरणी
এৰে কেচ,"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति"
এৰে কম্পিউটাৰ,सरणी कंप्यूटर
এৰে উপাদান,सरणी अवयव
এৰেৰ নাম,सरणी नाम
এৰে প্ৰচেছৰ,सरणी प्रकर्मक
কাঁড় চিহ্নসমূহ,एरो कुंजी
আৰ্টিকুলেচন,संधि
আৰ্টিকুলেচন পইণ্ট,संधि बिन्दु
কৃত্ৰিম সংকোচন,कृत्रिम संहनन
কৃত্ৰিম নিয়ন্ত্ৰণ,कृत्रिम नियंत्रण
কৃত্ৰিম বুদ্ধিমত্তা,कृत्रिम बोध
আৰোহী,आरोहक
আৰোহী সজাই পৰাই তোলা,आरोही छंटाई
ASCII betical ক্ৰম,आस्की वर्णक्रम
ASCII নিয়ন্ত্ৰণ আখৰ,आस्की नियंत्रण संप्रतीक
ASCII নথিপত্ৰ,आस्की संचिका
ASCII ফন্ট,आस्की फॉन्ट
ASCII স্থানান্তৰ,आस्की अंतरण
এস্পেক্ট ৰেচিঅ&#39;,अभिमुखता अनुपात
এ এছ পি আই,"1. ऐस्पी ,2. ए एस पी आई"
ASR টাইমাৰ,ए एस आर कालद
একত্ৰিত কৰা,"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना"
এছেম্বলাৰ,"1. कोडांतरक ,2. स्मरांतरक"
সভা,"1. कोडांतरण ,2. स्मरांतरण"
সমাবেশ ভাষা,"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा"
assertion,निश्चयन
আবণ্টন কৰা কাৰ্য,"1. निर्दिष्ट कार्य ,2. नियतन"
সংস্থা,साहचर्य
সহযোগী ঠিকনা,साहचर्य पता
সহযোগী স্মৃতিশক্তি,"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी"
এস্টেৰিক,तारक (*का चिन्ह)
অসমতাপূৰ্ণ,असम्मित
এচিনক্ৰ&#39;নাছ,"1. अतुल्यकालिक ,2. अतुल्यकाली"
ডিজিটেল গ্রাহক লাইন (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,अतुल्यकालिक अंतरण
এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM),अतुल्यकालिक अंतरण विधा (ए टी एम)
পৰমাণু,"1. एटम ,2. परमाण"
সংলগ্ন নথিপত্ৰ,संलग्न प्रलेख
সংলগ্ন ফাইল,"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल"
সংলগ্নক,"1. संलग्नक ,2. संबंद्ध"
বৈশিষ্ট্য,"1. गुण ,2. विशेषता"
অডিঅ&#39;,श्रव्य
অডিট প্ৰগ্ৰেমিং,"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन"
অডিট ট্ৰেইল,लेखा सत्यापन
বৃদ্ধি কৰা,संवर्धन
প্ৰমাণীকৰণ প্ৰটোকল,प्रमाणन प्रोटोकॉल
লেখক ব্যৱস্থা,संलेखन पद्धति
অনুমোদন,"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण"
অটো বিমূৰ্ত,स्वत: सार
স্বয়ংক্ৰিয় বুট কৰা,"1. स्वतः बूटिंग ,2. स्व बूटन"
অটোকেড,ऑटोकैड (एक कंप्यूटर भाषा)
অটোলগ অন,स्वत: लॉग-ऑन
automata,ऑटोमेटा
automata তত্ত্ব,आटोमेटा सिद्धांत
স্বয়ংক্ৰিয় কম্পিউটিং,स्वत: अभिकलन
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,स्वत: आंकड़ा प्रक्रमण
স্বয়ংক্ৰিয় ভুল সংশোধন,स्वत: त्रुटि संशोधन
স্বয়ংক্ৰিয় কাৰ্য্য,स्वत: फलन
স্বয়ংক্ৰিয় সূচীভুক্তকৰণ,"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण"
স্বয়ংক্ৰিয় লাইব্ৰেৰী কল,स्वत: संग्रह आह्वान
স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং,"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन"
স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম,"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
স্বয়ংক্ৰিয় ৰুটিন,स्वत: नेमका
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,स्वत: सिस्टम पुन: प्राप्ति
স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM),"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
অটোমেচন,स्वचालन
অটোপ্লে,"1. आटोप्ले ,2. स्वत: चलन"
স্বয়ংক্ৰিয় সংৰক্ষণ কৰক,स्वरक्षण
সহায়ক,सहायक
সহায়ক স্মৃতিশক্তি,सहायक स्मृति
সহায়ক সংৰক্ষণ,सहायक भंडारण
উপলব্ধ তালিকা,उपलब्ध लिस्ट
উপলব্ধ সময়,उपलब्ध समय
গড়,औसत
awk (ভাষা),ए डब्ल्यू के (एक कंप्यूटर समादेश)
বেকএণ্ড,पश्चांत
বেকএণ্ড প্ৰচেছৰ,पश्चांत प्रक्रमक
বেকফেচ আঁতৰোৱা,पश्च फलन विलोपन
পটভূমি প্ৰক্ৰিয়াকৰণ,पृष्ठभूमि प्रक्रमण
বেকিং ষ্ট&#39;ৰ,सहायक भंडार
বেকপেচিং,पश्च पैचीकरण
বেকস্পেচ,"1. पश्चीयन ,2. बैकस्पेस"
পিছুৱাই যোৱা,पश्चपथन
বেক-আপ,"1. बैक-अप ,2. पूर्तिकर"
বেক-আপ মেমৰি,"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी"
পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ,पश्च त्रुटि सुधार
বেলেন্স শ্বীট,(आय-व्यय) तुलन पत्र
বেণ্ড,पट्टी
বেণ্ডৰ প্ৰস্থ,"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता"
বেংকাৰৰ এলগৰিদম,बैंकर एल्गोरिथ्म
বাৰ ক&#39;ড,"1.बार कूट ,2. बार कोड"
বাৰ ক&#39;ড স্ক্যানাৰ,बार कोड स्कैनर
বাৰ গ্ৰাফ,बार ग्राफ
ভিত্তি ঠিকনা,आधार पता
বেচ বেণ্ড,आधार बैंड
ভিত্তি সংখ্যা,आधार संख्या
ভিত্তি টেবুল,आधार सारणी
প্ৰাথমিক,बेसिक (एक कंप्यूटर भाषा)
মূল নিয়ন্ত্ৰণ,"1. मूल नियंत्रण ,2. आधार नियंत्रण"
মূল ইনপুট,"1. मूल निवेश ,2. आधारी निवेश"
মূল নিৰ্দেশনা,आधारभूत अनुदेश
মূল আউটপুট,आधारी निर्गम
মূল পদক্ষেপ,मूल चरण
বেটছ,"1. बैच ,2. समूह ,3. प्रचय"
বেচ ফাইল,"1. बैच फाइल ,2. बैच संचिका"
বেচৰ অৱস্থান,बैच स्थिति
বেচ প্ৰচেছিং,"1. बैच प्रक्रमण ,2. समूह प्रक्रमण"
বেচ ব্যৱস্থা,"1. बैच तंत्र ,2. प्रचय तंत्र"
baud,बॉड
বড হাৰ,बॉड दर
আলোকৰশ্মি,किरण पुंज
বেঞ্চমাৰ্ক,"1. निर्देशमानक ,2. बैचमार्क"
দ্বিমুখী যোগাযোগ,द्विदिश संचार
দ্বিমুখী সংযোগ,विदिश कड़ी
বাইনাৰী ক&#39;ড,द्विआधारी कूट
বাইনাৰী অংক,द्विआधारी अंक
বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS),द्विआधारी निवेश निर्गम तंत्र (बायोस)
বাইনাৰী সংখ্যা,द्विआधारी संख्या
বাইনাৰী অপাৰেটৰ,द्विआधारी संकारक
বাইনাৰী সম্পৰ্ক,द्विआधारी संबंध
বাইনাৰী সন্ধান,द्विआधारी खोज
বাইনাৰী সন্ধান গছ (BST),द्विआधारी अन्वेषण तरु (बी एस टी)
বাইনাৰী স্থানান্তৰ,"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण"
বাইনাৰী গছ,द्विआधारी तरु
বাইপোলাৰ মেম’ৰী,"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी"
জন্ম মৃত্যুৰ আৰ্হি,"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श"
জন্ম মৃত্যু প্ৰক্ৰিয়া,जन्म मरण प्रक्रम
বিট,"1. द्वयंक ,2. बिट"
বিট দোষ,बिट दोष
বিট মেপ,बिट प्रतिचित्र
বিট মেপ পিক্সেল (BMP),"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)"
বিট মেট্ৰিক্স,"1. बिट आव्यूह ,2. बिट सारणी"
বিট পেটাৰ্ণ,बिट प्रतिरूप
বিটৰ অৱস্থান,बिट स्थिति
বিট হাৰ,"1. बिट रेट ,2. बिट दर"
ব্লেক বক্স পৰীক্ষা,अंध पेटी परीक्षण
টিপটিপিয়াই,टिमटिमाना
অৱৰুদ্ধ কৰা,ब्लॉक
ব্লক কেচ,"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
ব্লক চেক কৰক,खंडक जांच
ব্লক কপি,खंड प्रतिलिपि
ব্লক ডায়াগ্ৰাম,खंडक आरेख
নেটৱাৰ্ক ব্লক কৰা,"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
ব’ৰ্ড,बोर्ड
বুক মাৰ্ক,पृष्ठ स्मृति
বুলিয়ান বীজগণিত,बूलीय बीजगणित
বুলিয়ান সম্পৰ্ক,बूलीय संबंध
বুট বিভাজন,बूट विभाजन
বুট ষ্ট্ৰেপিং,बूट स्ट्रैपिंग
বুট-ষ্ট্ৰেপ লোডাৰ,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
সেঁতু,"1.ब्रिज, 2. सेतु"
ব্ৰডবেণ্ড নেটৱৰ্কিং,ब्राडबैंड नेटवर्क
সম্প্ৰচাৰ,प्रसारण
সম্প্ৰচাৰ ৰেডিঅ&#39;,प्रसारण रेडियो
ব্ৰাউজ কৰক,(नेट) विचरण
ব্ৰাউজাৰ,(नेट) विचरक
বি-বৃক্ষ,बी-तरु
বুদবুদ স্মৃতিশক্তি,"1.बुदबुद स्मृति, 2.बबल मेमोरी"
বুদবুদ সজাই পৰাই তোলা,बुदबुद छंटाी
বাল্টি,"1.बाल्टी, 2.बकेट"
বন্ধু ব্যৱস্থা,"1.बंधुता तंत्र, 2.बडी तंत्र"
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,बजट प्रभावी नियंत्रण
বাফাৰ,बफर
পোক,दोष
বাছ,बस
বাইট,"1.अष्ट वयंक,2. बािट (आठ बिट)"
বাইট ক&#39;ড,बािट कोड
গ,सी (कंप्यूटर भाषा)
C++,"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)"
cache,"1.कैश,2. द्रुतिका,3.द्रुत"
কেশ্ব বাফাৰ,"1.कैश बफर, 2.द्रुतस्मृति बफर"
কেশ্ব মেমৰি,"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
গণনা কৰা,परिकलन
কেলকুলেটৰ,"1.कैलकुलेटर, 2.परिकलक"
কেলকুলেটৰ চিপ,"1.कैलकुलेटर चिप,2. परिकलक चिप"
কল কৰা,आह्वान
নামেৰে ফোন কৰক,नाम आह्वान
ৰেফাৰেন্সৰ দ্বাৰা কল কৰক,संदर्भ आह्वान
মূল্যৰ দ্বাৰা কল কৰক,मान आह्वान
চলকৰ দ্বাৰা কল কৰক,चर आह्वान
গেট কল কৰক,आहवान गेट
বাতিল কৰক,"1.निरस्त करना, 2.रद्द करना"
বাতিল বুটাম,निरसन बटन
canonical,"1.विहित,2. कैनॉनिकल"
কেননিক ৰূপ,विहित रूप
ক্ষমতা,क्षमता
ক্ষমতা তালিকা,क्षमता सूची
ক্ষমতা,"1.क्षमता,2. धारिता"
caps লক চাবি,कैप्स लॉक कुंजी
কাৰ্ড,"1.कार्ड,2. पत्रक"
কাৰ্ড ৰিডাৰ,कार्ड पाठक
কাৰ্ডিনালিটি,प्रमुखता
বাহক,वाहक
বাহক বেণ্ড,वाहक बैंड
বাহক বোজা,वाहक भार
বাহক সংকেত,वाहक संकेत
বাহক তৰংগ,वाहक तरंग
কঢ়িওৱা,हासिल
carry digit,हासिल अंक
পতাকা কঢ়িয়াই নিয়া,हासिल ध्वज
কাৰ্টিজ ডিস্ক,"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका"
cascade,"1.कास्केड, 2.सोपानी"
ঘটনা,केस
কেথড ৰে টিউব (CRT),कैथोड-रे-टयूब (सी आर टी)
