Marathi,Assamese
अबेलियन गट,এবেলিয়ান গোট
अबेलियन अर्धसमूह,abelian অৰ্ধগোট
abscissa,abscissa
निरपेक्ष,নিৰপেক্ষ
परिपूर्ण अभिसरण,নিৰপেক্ষ অভিসৰণ
पूर्ण त्रुटी,নিৰপেক্ষ ভুল
परिपूर्ण कमाल,নিৰপেক্ষ সৰ্বোচ্চ
परिपूर्ण किमान,নিৰপেক্ষ নূন্যতম
परिपूर्ण मूल्य,নিৰপেক্ষ মূল্য
परिपूर्ण वेग,নিৰপেক্ষ বেগ
अमूर्त बीजगणित,বিমূৰ্ত বীজগণিত
अमूर्त गट सिद्धांत,বিমূৰ্ত গোট তত্ত্ব
प्रवेग,বেগ বৃদ্ধি
गुरुत्वाकर्षणामुळे प्रवेग,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
स्वीकार्य निवड संच,গ্ৰহণযোগ্য পছন্দৰ ছেট
स्वीकार्य गुणवत्ता पातळी,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
स्वीकार्य श्रेणी,গ্ৰহণযোগ্য পৰিসৰ
स्वीकार्य विश्वसनीयता पातळी,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
स्वीकार्य नमुना,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
संचित त्रुटी,সঞ্চিত ভুল
अचूकता,শুদ্ধতা
अभिनय शक्ती,ক্ৰিয়াশীল শক্তি
क्रिया,কাৰ্য কৰা
क्रिया आणि प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
वास्तविक विज्ञान,কৃষি বিজ্ঞান
तीव्र कोन त्रिकोण,তীব্ৰ কোণীয়া ত্ৰিভুজ
अॅसायक्लिक,অচক্ৰীয়
जोडा,যোগ কৰা
जोडणारा,adder
या व्यतिरिक्त,যোগ
जोड सूत्र,যোগ সূত্ৰ
जटिल संख्यांची बेरीज,জটিল সংখ্যাৰ সংযোজন
कार्ये जोडणे,ফলনসমূহৰ সংযোজন
मॅट्रिक्स जोडणे,মেট্ৰিক্সৰ সংযোজন
बहुपदी जोडणे,বহুপদ যোগ কৰা
संभाव्यता जोडणे,সম্ভাৱনাৰ সংযোজন
वेक्टर जोडणे,ভেক্টৰৰ সংযোজন
अतिरिक्त प्रमेय,যোগ উপপাদ্য
मिश्रित गट,যোগকৰণ গোট
additive inverse,যোগকৰণৰ বিপৰীত
अतिरिक्त गुणधर्म,যোগসূত্ৰৰ বৈশিষ্ট্য
जोड,যোগকৰণ
संलग्नता मॅट्रिक्स,সংলগ্নতা মেট্ৰিক্স
समीप,পাৰ্শ্বৱৰ্তী
समीप कोन,কাষৰীয়া কোণ
समीप शिरोबिंदू,কাষৰীয়া শিখৰ
संलग्न,adjoin
शेजारील,সংলগ্ন
संलग्न निर्धारक,সংযুক্ত নিৰ্ণায়ক
संलग्न विभेदक समीकरण,সংযুক্ত অৱভেদ্য সমীকৰণ
संलग्न समीकरण,সংযুক্ত সমীকৰণ
संलग्न मॅट्रिक्स,সংলগ্ন মেট্ৰিক্স
मॅट्रिक्सचा संलग्न,মেট্ৰিক্সৰ সংযুক্ত
मॅट्रिक्स समायोजित करा,এডজুগেট মেট্ৰিক্স
स्वीकार्य निर्णय कार्य,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
स्वीकार्य गृहीतक,গ্ৰহণযোগ্য অনুমান
वायुगतिकीय शक्ती,বায়ুগতিবিদ্যা বল
वायुगतिकी,বায়ুগতিবিদ্যা
affine भूमिती,affine জ্যামিতি
affine मॅपिंग,affine মেপিং
affine परिवर्तन,affine ৰূপান্তৰ
एकत्रित व्हेरिएबल्स,চলকসমূহ একত্ৰিত কৰা
बीजगणित,বীজগণিত
बीजगणितानुसार बंद,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
बीजगणितीय समीकरण,বীজগণিতীয় সমীকৰণ
बीजगणितीय अभिव्यक्ती,বীজগণিতীয় প্ৰকাশ
बीजगणितीय फॉर्म,বীজগণিতীয় ৰূপ
बीजगणितीय कार्य,বীজগণিতীয় ফলন
बीजगणितीय भूमिती,বীজগণিতীয় জ্যামিতি
बीजगणितीय गुणाकार,বীজগণিতীয় বহুগুণতা
बीजगणित प्रणाली,বীজগণিতীয় ব্যৱস্থা
सर्व-पूर्णांक समस्या,সকলো-পূৰ্ণসংখ্যা সমস্যা
वाटप समस्या,আবণ্টনৰ সমস্যা
वर्णक्रमानुसार नोटेशन,বৰ্ণানুক্ৰমিক সংকেত
वर्णमाला वर्ण,বৰ্ণানুক্ৰমিক আখৰ
पर्यायी कोन,বিকল্প কোণ
पर्यायी फॉर्म,বিকল্প ৰূপ
पर्यायी गट,বিকল্প গোট
पर्यायी मॅट्रिक्स,বিকল্প মেট্ৰিক্স
पर्यायी मालिका,বিকল্প শৃংখলা
पर्यायी गृहीतक,বিকল্প অনুমান
पर्यायी ऑप्टिमा,বিকল্প optima
पर्यायी परिणाम,বিকল্প ফলাফল
अॅनालॉग-टू-डिजिटल कनवर्टर,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
अॅनालॉग संगणक,এনালগ কম্পিউটাৰ
विश्लेषण,বিশ্লেষণ
सहप्रसरणाचे विश्लेषण,সহাৱস্থানৰ বিশ্লেষণ
गणना डेटाचे विश्लेषण,গণনা তথ্যৰ বিশ্লেষণ
भिन्नतेचे विश्लेषण,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
विश्लेषणात्मक भूमिती,বিশ্লেষণাত্মক জ্যামিতি
विश्लेषणात्मक कार्य,বিশ্লেষণাত্মক কাৰ্য্য
कोन,কোণ
संपर्क कोन,সংস্পৰ্শৰ কোণ
विक्षेपण कोन,বিচ্যুতিৰ কোণ
उदासीनता कोन,বিষণ্ণতাৰ কোণ
विचलन कोन,বিচ্যুতিৰ কোণ
विवर्तन कोन,বিবৰ্তনৰ কোণ
उंचीचा कोन,উচ্চতাৰ কোণ
घटनेचा कोन,প্ৰাদুৰ্ভাৱৰ কোণ
प्रक्षेपण कोन,প্ৰক্ষেপণৰ কোণ
परावर्तन कोन,প্ৰতিফলনৰ কোণ
अपवर्तन कोन,বিবৰ্তনৰ কোণ
रोटेशनचा कोन,ঘূৰ্ণনৰ কোণ
एकूण परावर्तनाचा कोन,মুঠ প্ৰতিফলনৰ কোণ
कोनीय प्रवेग,কৌণিক ত্বৰণ
कोणीय गती,কৌণিক গতি
कोनीय गती,কৌণিক গতি
कोनीय गती,কৌণিক বেগ
वलय,annulus
उत्तर,উত্তৰ
विरोधी व्युत्पन्न,এন্টি – ডেৰাইভেটিভ
विषमताविरोधी कार्य,এন্টিচিমেট্ৰিক ফাংচন
लागू,প্ৰযোজ্য
अर्ज,দৰ্খাস্ত
लागू डायनॅमिक प्रोग्रामिंग,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
लागू भूमिती,প্ৰয়োগ কৰা জ্যামিতি
लागू गणित,প্ৰয়োগ কৰা গণিত
लागू आकडेवारी,প্ৰয়োগ কৰা পৰিসংখ্যা
अंदाजे,অনুমানিক
अंदाजे सतत कार्य,প্ৰায় অবিৰত ফলন
अंदाजे पद्धत,আনুমানিক পদ্ধতি
अंदाजे उपाय,আনুমানিক সমাধান
अंदाजे समस्या,আনুমানিক সমস্যা
अंदाजे मालमत्ता,আনুমানিক বৈশিষ্ট্য
योग्यता चाचणी बॅटरी,aptitude পৰীক্ষাৰ বেটাৰী
आर्गंड आकृती,আৰ্গাণ্ড ডায়েগ্ৰাম
अनियंत्रितपणे निवडले,ইচ্ছাকৃতভাৱে বাছি লোৱা
अनियंत्रित,স্বেচ্ছাচাৰী
अनियंत्रित स्थिरांक,ইচ্ছাকৃত ধ্ৰুৱক
अनियंत्रित घटक,ইচ্ছাকৃত উপাদান
अनियंत्रित बिंदू,ইচ্ছাকৃত বিন্দু
आर्किमेडियन कायदा,আৰ্কিমিডিয়ান আইন
आर्किमिडीज तत्त्व,আৰ্কিমিডিছ নীতি
चाप लांबी,চাপৰ দৈৰ্ঘ্য
वर्तुळाचा चाप,বৃত্তৰ চাপ
आर्क साइन वितरण,চাপ চাইন বিতৰণ
चाप साइन परिवर्तन,চাপ চাইন ৰূপান্তৰ
क्षेत्र,এলাকা
क्षेत्रीय पोत,এৰিয়াল টেক্সচাৰ
जटिल संख्येचा युक्तिवाद,জটিল সংখ্যাৰ যুক্তি
अंकगणित सरासरी,গাণিতিক গড়
अंकगणित ऑपरेशन,গাণিতিক কাৰ্য্য
अंकगणित एकक,গাণিতিক একক
व्यवस्था,ব্যৱস্থা
रचना,এৰে
कृत्रिम उपग्रह,কৃত্ৰিম উপগ্ৰহ
कृत्रिम व्हेरिएबल,কৃত্ৰিম চলক
चढणे,আৰোহণ কৰা
चढत्या,আৰোহী
परिमाणाचा चढता क्रम,মাত্ৰাৰ আৰোহী ক্ৰম
चढत्या मालिका,আৰোহী শৃংখলা
असेंबलर भाषा,এছেম্বলাৰ ভাষা
असाइनमेंट समस्या,নিযুক্তিৰ সমস্যা
सहयोगी कायदा,সহযোগী আইন
ऑपरेटर्सचा सहयोगी कायदा,অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;
सहयोगी ऑपरेशन,এছ&#39;চিয়েটিভ অপাৰেচন
सहवास,সহযোগিতা
सरासरी गृहीत धरले,ধৰি লোৱা গড়
गृहीत संभाव्यता वितरण,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
गृहीतक,ধাৰণা
ज्योतिष,জ্যোতিষ
अंतराळवीर अभियंता,মহাকাশ অভিযন্তা
खगोलशास्त्रज्ञ,জ্যোতিৰ্বিজ্ঞানী
खगोलशास्त्रीय घड्याळ,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
खगोलशास्त्र,জ্যোতিৰ্বিজ্ঞান
असममित वक्र,অসমতাপূৰ্ণ বক্ৰ
विषमता,বিষমতা
लक्षणे,asymptote
लक्षणे नसलेला,এছিম্পটটিক
असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता,asymptotically দক্ষ অনুমানক
asymptotically निष्पक्ष अंदाजकर्ता,asymptotically নিৰপেক্ষ অনুমানক
लक्षणे नसलेले वर्तन,asymptotic আচৰণ
