Bengali,Hindi
এসি সমতুল্য সার্কিট,ए.सी. समतुल्य परिपथ
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,अनुरूप से अंकीय परिवर्तक
পরম শূন্য,परम शून्य
শোষণ গুণাঙ্ক,अवशोषण गुणांक
শোষণ বর্ণালী,अवशोषण स्पेक्ट्रम
রিসেপ্টর পরমাণু,ग्राही परमाणु
বিকল্প বর্তমান যুগল,प्रत्यावर्ती धारा युग्मन
ইলেক্ট্রন সংগ্রহ,इलेक्ट्रॉन संचयन
গর্ত স্টোরেজ,होल संचयन
অ্যাক্টিভেশন শক্তি,सक्रियण ऊर्जा
সক্রিয় পরিবর্ধক,सक्रिय प्रवर्धक
সক্রিয় ডায়োড সার্কিট,सक्रिय डायोड परिपथ
সক্রিয় ফিল্টার,सक्रिय फिल्टर
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,सक्रिय उच्च आवृत्ति पारक फिल्टर
সক্রিয় লোড,सक्रिय लोड
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,सक्रिय निमन आवृत्ति पारक फिल्टर
সক্রিয় এলাকা,सक्रिय क्षेत्र
অভিযোজিত ইলেকট্রনিক্স,अनुकूली इलेक्ट्रॉनिकी
যোগকারী,योजक
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,समायोजी बैंड विस्तार
অনুপ্রবেশ,प्रवेश्यता
এরিয়েল,एरियल
পিপ ফ্রিকোয়েন্সি,स्फूर्ति आवृत्ति
এয়ার কন্ডিশনার,वातानुकूलक
প্রান্তিককরণ,संरेखन
অ্যালগরিদম,आल्गोरिदम
সমস্ত পাস ফিল্টার,समस्त पारक फिल्टर
খাদ জংশন,मिश्रधातु संधि
ক্ষয়,क्षीणन
বিবর্তিত বিদ্যুৎ,प्रत्यावर्ती धारा
পরিবেষ্টিত তাপমাত্রা,परिवेश ताप
বাইপোলার,उभयध्रुवीय
পরিবর্ধন,प्रवर्धन
পরিবর্ধক,प्रवर्धक
পরিবর্ধক দক্ষতা,प्रवर्धक दक्षता
মাত্রা,आयाम
প্রশস্ততা ক্ষয়,आयाम क्षीणन
প্রশস্ততা মডুলেটেড এএম অসিলেটর,आयाम मॉडुलित ए.एम. दोलित्र
প্রশস্ততা মড্যুলেশন,आयाम मॉडुलन
প্রশস্ততা মডুলেটর,आयाम मॉडुलक
অ্যাংস্ট্রম ইউনিট,एंगस्ट्रॉम इकाई
এনালগ সার্কিট,अनुरूप परिपथ
এনালগ কম্পিউটার,अनुरूप कंप्यूटर
এনালগ ফিল্টার,अनुरूप फिल्टर
এনালগ মাল্টিমিটার,अनुरूप बहुमापी
এনালগ সুইচ,अनुरूप स्विच
এবং গেট,AND गेट
কৌণিক কম্পাংক,कोणीय आवृत्ति
"anion, anion","ऋणायन, एनॉयन"
অ্যানিলিং তাপমাত্রা,अनीलन तापमान
অ্যানোড,ऐनोड
অ্যানোড পরিবর্ধক,ऐनोड प्रवर्धक
anodyne,ऐनोडी करण
অ্যান্টেনা,ऐन्टेना
অ্যান্টেনা উপাদান,ऐन्टेना घटक
বিরোধী প্রতিফলিত আবরণ,परावर्तन रोधी लेपन
অ্যান্টিলগইন পরিবর্ধক,प्रतिलघुगुणक प्रवर्धक
অ্যান্টিরেজোন্যান্ট সার্কিট,प्रतिअनुनादी परिपथ
দ্বারক যুগ,द्वारक काल
ভার্চুয়াল শক্তি,आभासीय शक्ति
তারের সংযোগ,तार संयोजन
আনুমানিক ভোল্টেজ লাভ,सन्निकट वोल्टता लब्धि
আর্মস্ট্রং মডুলেটর,आर्मस्ट्रांग माडुलक
অ্যান্টেনা অ্যারে,ऐन्टेना-व्यूह
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","आकार अनुपात, अभिमुखता अनुपात"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),अस्थायी परिपथ (मुक्तचालित परिपथ)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,स्वचालित बहुकंपित्र
ভাসমান মাল্টিভাইব্রেটর,अस्थायी बहुकंपित्र
অপ্রতিসম জংশন,असममित संधि
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,अतुल्यकाली गणक
পারমাণবিক,परमाणु
পারমাণবিক সংখ্যা,परमाणु संख्या
পারমাণবিক গঠন,परमाणु संरचना
অডিও পরিবর্ধক,श्रव्य प्रवर्धक
অডিও পরিবর্ধক,श्रव्य प्रवर्धक
অডিও ক্যাসেট,श्रव्य कैसेट
অডিও সার্কিট,श्रव्य परिपथ
শ্রবণযোগ্য ফ্রিকোয়েন্সি,श्रव्य आवृत्ति
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,स्वत: वोल्टता नियंत्रण
তুষারপাত,एवलांश
গড় আবিষ্কারক,औसत संसूचक
অক্ষীয় মোড,अक्षीय विधा
অক্ষীয় অনুপাত,अक्षीय अनुपात
অ্যান্টেনা,ऐन्टेना
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,पश्च विद्युत वाहक बल
পিছনের এলাকা,पश्च क्षेत्र
ব্যাক স্ক্যাটার,पश्च प्रकीर्णन
ব্যাকগ্রাউন্ড চার্জ,पृष्ठभूमि आवेश
পার্শ্ব গোলমাল,पार्श्व रव
পশ্চাদপসরণ,पश्चगमन
পোস্টেরিয়র বিকিরণ,पश्चपालि विकिरण
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,बैकवार्ड डायोड/पश्च डायोड
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,पश्चगामी तरंग दोलक
"বাধা, বাধা","बाधिका, व्यारोध"
বাধা,बाधिका
সুষম সেতু,संतुलित सेतु
সুষম মডুলেটর,संतुलित विमॉडुलक
সুষম মডুলেটর,संतुलित मॉडुलक
সুষম সার্কিট,संतुलित परिपथ
সুষম গ্রেডিয়েন্ট ডিটেক্টর,संतुलित ढाल संसूचक
বর্তমান স্টেবিলাইজার প্রতিরোধের,धारा स्थिरक प्रतिरोध
বোলোমিটার,बोलोमीटर
বোলোমিটার সেতু,बोलोमीटर सेतु
বেলুন,बलून
কলা জ্যাক,बनाना जैक
কলা প্লাগ,बनाना प्लग
"ব্যান্ড, ব্যান্ডেজ","बैंड, पट्टी"
ব্যান্ড ড্রাইভার,बैंड चालक
ব্যান্ড শক্তি,बैंड ऊर्जा
ব্যান্ড ফাঁক,बैंड अंतराल
ব্যাডপার্ক পরিবর্ধক,बैडपारक प्रवर्धक
ব্যান্ড পাস ফিল্টার,बैंड पारक फिल्टर
বড রেট জেনারেটর,बॉड दर जनित्र
banddispersion,बैंडफैलाव
ব্যান্ড প্রতিরোধক,बैंड रोधक
ব্যান্ড ব্রেকার ফিল্টার,बैंड विरामक फिल्टर
ব্যান্ড সম্প্রসারণ,बैंड विस्तार
ব্যান্ড রিমুভার ফিল্টার,बैंड वर्जक फिल्टर
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,बैंड विस्तार विक्षेपण गुणक
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,बैंड विस्तार दूरी गुणक
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর","पुंज संधारित्र, बैंक संधारित्र"
"বার্কার কোড, বার্কার কোড","बारकर कूट, बारकर कोड"
barravaugen মানদণ্ড,बार्रवाउजेन कसौटी
বাধাদানকারী,बैरेटर
বাধা,रोध
অন্তরক ক্যাপাসিটর,रोध संधारित्र
বাধা শক্তি,रोधिका उर्जा
প্রতিরোধক ভোল্টেজ,रोधी वोल्टता
বার্টলেট উইন্ডো,बार्टलेट विंडो
"ভিত্তি, ভিত্তি","आधार, बेस"
বেস ব্যান্ড,आधार बैंड
বেস ব্যান্ড ট্রান্সমিশন,आधार बैंड संचरण
বেস চার্জ,आधार आवेश
ভিত্তি বর্তমান,आधार धारा
ভিত্তি বর্তমান উৎস,आधार धारा स्रोत
বেস শিয়ারিং,आधार कर्तन
আধার মদন,आधार मादन
বেস ইমিটার ফিড,आधार उत्सर्जक संभरण
বেস ইমিটার জংশন,आधार उत्सर्जक संधि
বেস ইনজেকশন,आधार अंतःक्षेपण
স্থল লাইন,आधार रेखा
বেস প্রতিরোধের,आधार प्रतिरोध
ভিত্তি উৎস,आधार स्रोत
বেস সম্প্রসারণ প্রতিরোধের,आधार विस्तारण प्रतिरोध
বেস সম্প্রসারণ প্রতিরোধের,आधार विस्तारण प्रतिरोध
ভিত্তি বেধ,आधार मोटाई
বেস অ্যাক্সেস,आधार अभिगमन
"বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন","आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन"
বেস কালেক্টর চুক্তি,आधार संग्राहक संधि
গন্ধ,बास
খাদ ফ্রিকোয়েন্সি,बास आवृत्ति
ব্যাটারি,बैटरी
বউড,बॉड
বড হার,बॉड रेट
বড রেট জেনারেটর,बॉड दर जनित्र
বোডো কোড,बोदो कोड
"সংকেত, বীকন","संकेत देना, बीकन"
"মানিকা, বিড","मणिका, बीड"
ম্যানিক ক্যাপাসিটর,मणिक संधारित्र
মানিকর্তপি প্রতিরোধক,मणिकातापी प्रतिरोधक
"মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা","किरणपुंज ऐन्टेना, बीम ऐन्टेना"
মরীচি আবিষ্কারক,किरणपुंज खोजी
মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ,किरणपुंज शक्ति नली
মরীচি সুইচিং অগ্রভাগ,किरणपुंज स्विचन नलिका
মরীচি সম্প্রসারণ,किरणपुंज विस्तार
বীট ফ্রিকোয়েন্সি,विस्पंद आवृत्ति
বীট-ফ্রিকোয়েন্সি অসিলেটর,विस्पन्द-आवृत्ति दोलक
পালস অসিলেটর,विस्पंद दोलक
বেল,बेल
নমন ক্ষতি,बंकन हानि
বেসেল ফিল্টার,बेसेल फिल्टर
বেটা,बीटा
b-h বক্ররেখা,बी-एच वक्र
"পক্ষপাত, পক্ষপাত","अभिनति, बायस"
পক্ষপাত বর্তমান,बायस धारा
পক্ষপাত প্রতিরোধ,बायस-प्रतिरोधक
ডবল অ্যান্টেনা,द्विशंकु ऐन्टेना
দ্বিমুখী লোড বর্তমান,द्विदिशी लोड धारा
দ্বিমুখী অ্যান্টেনা,द्विदैशिक ऐन्टेना
দ্বিমুখী আলো নির্গত ডায়োড,द्विदैशिक प्रकाश उत्सर्जक डायोड
দ্বিমুখী থাইরিস্টর,द्विदिक् थाइरिस्टर
bi FET প্রযুক্তি,द्वि FET तकनीक
দ্বি-বিন্দু ট্রান্সফরমার,द्विसूत्री ट्रांसफार्मर
ডবল ফিউশন,द्विसूत्री आआवलन
দ্বিপাক্ষিক সার্কিট,द्विपार्श्विक परिपथ
বাইনারি,द्विआधारी
বাইনারি যোগফল,द्विआधारी योग
বাইনারি সার্কিট,द्विआधारी परिपथ
বাইনারি কোডেড দশমিক,द्वि-आधारी कोडित दशमलव
বাইনারি কোডেড দশমিক সিস্টেম,द्वि-आधारी कोडित दशमलव प्रणाली
বাইনারি ডাইপোল ক্যাপাসিটর,द्विआधारी द्विपरिवर्तक संधारित्र
বাইনারি ক্যালকুলেটর,द्विआधारी गणक
বাইনারি ক্যালকুলেটর,द्विआधारी गणित्र
বাইনারি ডিকোডার,द्विआधारी कूट वाचक
বাইনারি মই,द्विआधारी सीढ़ी
বাইনারি প্যাথোমিটার,द्विआधारी पथमापी
বাইনারি অবস্থা,द्विआधारी अवस्था
বাইনারি-ডেসিমেল ডিকোডার,द्विआधारी-दशमिक विकोडक
বাইনারি লোড,द्विआधारी भार
বাইনারি শব্দ,द्विआधारी शब्द
বাইপোলার,द्विध्रुवी
বাইপোলার ক্যাপাসিটর,द्विध्रुवी संधारित्र
বাইপোলার ডিভাইস,द्विध्रुवी युक्ति
বাইপোলার উৎস,द्विध्रुवी स्रोत
বাইপোলার ট্রানজিস্টর,द्विध्रुवी ट्राजिस्टर
বাইপোলার জংশন ট্রানজিস্টর,द्विध्रुवी संधि ट्रांजिस्टर
দ্বিঘাত ফিল্টার,द्विघाती फिल्टर
ডবল অবস্থান,द्विस्थितिक
দুই-পর্যায়ের মাল্টিভাইব্রেটর,द्विस्थितिक बहुकंपित्र
দ্বিমুখী রিলে,द्विस्थितिक रिले
দুই-পর্যায়ের রাষ্ট্র,द्विस्थितिक अवस्था
দুই-পজিশন ট্রিগার,द्विस्थितिक ट्रिगर
বিট ত্রুটি,बिट त्रुटि
বিট ত্রুটি হার,बिट त्रुटि दर
বিট ত্রুটি,बिट त्रुटि
বিটকল ত্রুটি,बिटकाल त्रुटि
অন্ধ বাক্স,अंध पेटी
ঘনীভূত নাড়ি,समाच्छादी स्पंद
সচিব,स्रावक
সিক্রেটরি ইনহিবিটার,स्रावी प्रतिरोधक
অন্ধত্ব,अंधगति
সেগমেন্ট ডায়াগ্রাম,खंड आरेख
ব্লকিং প্রতিবন্ধকতা,अवरूद्ध प्रतिबाधा
খণ্ড স্থানান্তর,खंडक स्थानांतरण
পথিমধ্যে রোধ করা,अवरोधन
প্রতিরোধক ক্যাপাসিটর,अवरोधी संधारित्र
প্রতিরোধক ক্যাপাসিটর,अवरोधी संधारित्र
