Marathi,Assamese
ऍसिडॉइड,এচিড’ইড
एओलियन माती,ইঅ’লিয়ান মাটি
एकूण,গোট খোৱা
एकत्रीकरण,সংগ্ৰহ
कृषीशास्त्र,কৃষি বিজ্ঞান
कृषीशास्त्र,কৃষি বিজ্ঞান
A-क्षितिज,এ-দিগন্ত
Ao-क्षितिज,আও-দিগন্ত
Aoo-क्षितिज,আও-দিগন্ত
मातीची हवेची क्षमता,মাটিৰ বায়ু ক্ষমতা
मातीतील हवेचे प्रमाण,মাটিৰ বায়ুৰ পৰিমাণ
एअर पिकनोमीटर,এয়াৰ পিকনোমিটাৰ
ऍलिटिक माती,এলিটিক মাটি
गाळाची माती,জলজ মাটি
अॅम्फोलायटॉइड,এম্ফোলাইট’ইড
आयन,এনিয়ন
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
ऍरिस,আৰিছ
Ashlar दंड दगडी बांधकाम,আছলাৰ মিহি শিলৰ কাম
Ashlar दगडी बांधकाम,আছলাৰ শিলৰ কাম
अझोनल माती,এজ’নেল মাটি
मागचा अभिनेता,পিঠিৰ অভিনেতা
मागची कमान,পিছফালৰ খোলা
बॅक बँड,বেক বেণ্ড
मागे ब्रश,পিছফালৰ ব্ৰাছ
परत तपासणी,বেক চেক
मागे काउंटर,বেক কাউণ্টাৰ
परत कटिंग,পিঠি কাটি থকা
बॅक ड्राफ्ट डँपर,বেক ড্ৰাফ্ট ডেম্পাৰ
मागे निचरा,বেক ড্ৰেইন
बॅक ड्रॉप,বেক ড্ৰপ
परत भरा,বেক ফিল
बॅक फिलेट,পিছফালৰ ফিলেট
बॅक फ्लॅप बिजागर,বেক ফ্লেপ হিঞ্জ
परत प्रवाह कनेक्शन,বেক ফ্ল&#39; সংযোগ
परत प्रवाह प्रतिबंधक,বেক ফ্ল’ প্ৰিভেণ্টাৰ
बॅक गेज,বেক গেজ
मागे गटार,পিছফালৰ নালা
मागे चूल,পিছফালৰ অগ্নিকুণ্ড
पाठीराखा,বেকিং
बॅकिंग बोर्ड,বেকিং বৰ্ড
पाठीचा दाब,পিঠিৰ চাপ
बॅक प्रोप,বেক প্ৰপ
मागची दृष्टी,পিছফালৰ দৃষ্টি
परत पाणी,পিছফালৰ পানী
गोंधळ,বেফেল
बॅगवर्क,বেগৱৰ্ক
गिट्टी,বেলেষ্ট
बॉल क्ले,বল মাটি
बॉल कोन क्लॅम्प,বল কন ক্লেম্প
काटेरी तार,কাঁইটীয়া তাঁৰ
बार कुत्रा,বাৰ কুকুৰ
बार्ज बोर्ड,বাৰ্জ বৰ্ড
बेरियम सल्फेट चाचणी,বেৰিয়াম ছালফেট পৰীক্ষা
बॅरेज,বেৰেজ
बॅरेट,বেৰেট
पाया,ভেঁটি
बेस एक्सचेंज,ভিত্তি বিনিময়
बेस लाइन,ভিত্তি লাইন
तळघर,বেছমেণ্ট
तळघर भिंत,বেছমেণ্টৰ দেৱাল
तळपट्टी,বেচ প্লেট
"बेस प्लेट, समायोज्य","বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
बेस संपृक्तता,ভিত্তি পৰিপূৰকতা
बेसॉइड,বেছ’ইড
वटवाघूळ,বেট
बाथ आणि WC,বাথ আৰু ডব্লিউ চি
