Punjabi,Malayalam
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
ਨਿਮਰਤਾ,ഒഴിഞ്ഞുമാറുക
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,അടിമത്തം നിർത്തലാക്കൽ
ਆਦਿਵਾਸੀ,ആദിവാസികൾ
ਅਬਰਾਹਮ ਯੁੱਗ,അബ്രഹാം യുഗം
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,ഹാജരാകാത്ത ഭൂവുടമകൾ
ਅਕੈਡਮੀ,അക്കാദമി
ਅਕਰਾ ਕਾਨਫਰੰਸ,അക്ര സമ്മേളനം
ਪ੍ਰਾਪਤੀ,സമാഹരണങ്ങൾ
ਐਕਲਚਰੇਸ਼ਨ,സംസ്കരണം
ਐਸੇਲਡਾਮਾ,അസെൽഡാമ
ਅਚੀਅਨ (=ਅਚੀਅਨ),അച്ചായൻ (=അച്ചിയൻ)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
ਐਕ੍ਰੋਪੋਲਿਸ,അക്രോപോളിസ്
ਐਕਟਾ ਦਿਉਰਨਾ,ആക്റ്റ ദിയുർന
ਐਕਟਾ ਸੇਨੇਟਸ,ആക്റ്റ സെനറ്റസ്
ਐਕਟ ਐਡੀਸ਼ਨਲ,ആക്റ്റ് അഡീഷണൽ
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,സെറ്റിൽമെന്റ് നിയമം
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,പരസ്യ കരാർ മുദ്ര
ਅਦੁਲਾਮਾਈਟਸ,അഡുല്ലമൈറ്റുകൾ
ਵਿਰੋਧੀ,എതിരാളി
ਵਿਰੋਧੀ,എതിരാളി
ਏਯੋਨ,അയോൺ
ਏਰੈਰੀਅਮ,എയറേറിയം
ਹਵਾਈ ਜੰਗ,ആകാശ യുദ്ധം
ਏਟੋਲੀਅਨ ਲੀਗ,എറ്റോലിയൻ ലീഗ്
ਉਮਰ,വയസ്സ്
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),വാർദ്ധക്യം (=വാർദ്ധക്യം)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,പ്രായമാകൽ പ്രക്രിയ
ਅਗੇਲੈ,അഗെലൈ
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,ധീരതയുടെ പ്രായം
ਗਿਆਨ ਦੀ ਉਮਰ,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,പെരിക്കിൾസിന്റെ പ്രായം
ਕਾਰਨ ਦੀ ਉਮਰ,യുക്തിയുടെ പ്രായം
ਖੇਤੀਵਾਦ,കാർഷികവാദം
ਖੇਤੀ ਅੰਦੋਲਨ,കാർഷിക പ്രസ്ഥാനം
ਐਲਬੀਅਨ,ആൽബിയോൺ
ਐਲਬਮ,ആൽബം
ਐਲਡਰਮੈਨ,ആൽഡർമാൻ
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,വശീകരിക്കുന്ന ആയുധങ്ങൾ
ਦੋਸਤੀ,അമിറ്റി
Amphictyonic ਕੌਂਸਲ,ആംഫിക്റ്റോണിക് കൗൺസിൽ
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,ആംഫിക്റ്റോണിക് ലീഗ്
ਅਖਾੜਾ,ആംഫി തിയേറ്റർ
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,അനാക്രോണിസം
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,അനാക്രോണിസ്റ്റിക്
ਪੂਰਵਜ,പൂർവ്വികൻ
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,പൂർവിക ആരാധന
ਵੰਸ਼,വംശപരമ്പര
ਵੰਸ਼,വംശപരമ്പര
ਵੰਸ਼,വംശപരമ്പര
ਵੰਸ਼,വംശപരമ്പര
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,പുരാതന ഭരണം
ਪ੍ਰਾਚੀਨ,പുരാതന
ਪ੍ਰਾਚੀਨ ਗੀਤ,പുരാതന ബാലഡ്
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,പുരാതന വിശ്വാസം
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,പുരാതന ആചാരം
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,പുരാതനമായ ചരിത്രം
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,പുരാതന സ്മാരകങ്ങൾ
ਕਿੱਸਾ,ഉപകഥ
ਐਂਜਲੋਟ,ആഞ്ചലോട്ട്
ਐਂਜਲਸ,ആഞ്ചലസ്
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
ਕੋਣ,കോണുകൾ
ਐਂਗਲੀਕਨ,ആംഗ്ലിക്കൻ
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
ਐਂਗਲੀਕਨਵਾਦ,ആംഗ്ലിക്കനിസം
ਐਂਗਲੋ-ਫੋਬ,ആംഗ്ലോ-ഫോബ്
ਐਂਗਲੋ-ਫੋਬੀਆ,ആംഗ്ലോ-ഫോബിയ
ਐਂਗਲੋ-ਸੈਕਸਨ,ആംഗ്ലോ-സാക്സൺ
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,ആംഗ്ലോ-സാക്‌സോണിസം
ਐਨਾਲਿਸਟ,അനലിസ്റ്റ്
ਇਤਿਹਾਸ,വാർഷികങ്ങൾ
ਅਨੇਕਸ਼ਨ,കൂട്ടിച്ചേർക്കൽ
ਐਂਟੀ-ਬੇਲਮ,ആന്റി-ബെല്ലം
ਪਿਛਲੀ ਤਾਰੀਖ,മുൻ തീയതി
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,പൗരോഹിത്യ വിരുദ്ധത
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,വൈദിക വിരുദ്ധ നിയമം
ਪੁਰਾਤਨਤਾ,പൗരാണികത
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,വാടക വിരുദ്ധം
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,വാടക വിരുദ്ധം
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,സെമിറ്റിസം വിരുദ്ധത
ਐਨਜ਼ੈਕ,അൻസാക്ക്
ਅਪੇਲਾ,അപ്പെല്ല
ਅਰਲੂ,അരലു
ਆਰਕ ਬਿਸ਼ਪ,ആർച്ച് ബിഷപ്പ്
ਆਰਕ ਡਚੀ,ആർച്ച് ഡച്ചി
ਆਰਕ ਡਿਊਕ,ആർച്ച് ഡ്യൂക്ക്
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം)
ਆਰਚੀਪੀਸਕੋਪੇਟ,ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്
ਕੁਲੀਨ,പ്രഭുവർഗ്ഗം
ਰਈਸ,പ്രഭു
ਕੁਲੀਨ ਸਨੋਬਰੀ,പ്രഭുവർഗ്ഗ സ്നോബറി
ਅਰਿਸਟੋਟਲੀਅਨ,അരിസ്റ്റോട്ടിലിയൻ
ਆਰਮਾਡਾ,അർമാഡ
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),കവചക്കാരൻ (=കവചക്കാരൻ)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),കവചം (=കവചം)
ਸ਼ਸਤਰਧਾਰਕ,ആയുധധാരി
ਆਰੀਅਨ,ആര്യൻ
ਆਰੀਅਨ,ആര്യൻ
ਅਸਕਰੀ,അസ്കരി
ਅਸਾਈਨੈਟ,നിയോഗിക്കുക
ਅਸਾਈਜ਼,അസൈസ് ചെയ്യുക
ਅਸਾਈਜ਼,അസൈസ് ചെയ്യുക
ਅਸਾਈਜ਼,അസൈസ് ചെയ്യുക
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,അസൈസ് ഓഫ് ആയുധ നിയമം
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,അസൈസ് ഓഫ് ഡാരെൻ അവതരണം
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ
ਅੱਤਿਆਚਾਰ,ക്രൂരത
ਹਮਲਾ,ആക്രമണം
ਔਲਿਕ ਕੌਂਸਲ,ഔലിക് കൗൺസിൽ
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്)
ਬਾਬਲ,ബാബിലോൺ
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം)
ਬਚਨਲ ਭਗਤ,ബച്ചനൽ ഭക്തൻ
ਬਚਨਲਿਆ,ബച്ചനാലിയ
ਕੁਆਰਾ,ബാച്ചിലർ
ਬਗਦਾਦ ਸਮਝੌਤਾ,ബാഗ്ദാദ് കരാർ
ਬਾਲਕਨ ਲੀਗ,ബാൽക്കൻ ലീഗ്
ਬਾਲਕਨ ਸਮਝੌਤਾ,ബാൽക്കൻ കരാർ
ਬਾਲਕਨ ਯੁੱਧ,ബാൽക്കൻ യുദ്ധങ്ങൾ
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,ബാൾട്ടിക് കരാർ
ਡਾਕੂ,കൊള്ളക്കാരൻ
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,ബന്ദൂങ് സമ്മേളനം
ਦੇਸ਼ ਨਿਕਾਲੇ,നാടുകടത്തൽ
ਬੈਨਰ,ബാനർ
ਵਹਿਸ਼ੀ,ബാർബേറിയൻ
ਬਾਰਬੀਕਨ,ബാർബിക്കൻ
ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ,ബർദോളി സത്യാഗ്രഹം
ਬਾਰਨ ਬਰਨਰ,കളപ്പുര ബർണറുകൾ
ਬੈਰਨ,ബാരൺ
ਬੈਰੋਨੇਜ,ബാരോണേജ്
