Odiya,Gujarati
ଆବାକସ୍ |,અબેકસ
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,અસામાન્ય સમાપ્તિ
ପରିତ୍ୟାଗ,ગર્ભપાત
ସଂପୂର୍ଣ୍ଣ,સંપૂર્ણ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,સંપૂર્ણ સરનામું
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,સંપૂર્ણ સંબોધન
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,સંપૂર્ણ એસેમ્બલર
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,સંપૂર્ણ કોડ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,સંપૂર્ણ આદેશ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,સંપૂર્ણ ડેટા
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,સંપૂર્ણ સૂચના
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,સંપૂર્ણ મોડ
ସଂପୂର୍ଣ୍ଣ ପଥ,સંપૂર્ણ માર્ગ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,સંપૂર્ણ પ્રોગ્રામિંગ
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,અમૂર્ત વર્ગ
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,અમૂર્ત ડેટા પ્રકાર
ବିସ୍ତୃତ ମେସିନ୍ |,અમૂર્ત મશીન
ବିସ୍ତୃତ ପ୍ରତୀକ |,અમૂર્ત પ્રતીક
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,અમૂર્ત વાક્યરચના
ଗ୍ରହଣ ପରୀକ୍ଷା,સ્વીકૃતિ પરીક્ષણ
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,ઍક્સેસ પ્રમાણીકરણ
ପ୍ରବେଶ କୋଡ୍,ઍક્સેસ કોડ
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,વપરાશ નિયંત્રણ
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,એક્સેસ સ્કેન
ଆନୁଷଙ୍ଗିକ,સહાયક
ଖାତା,એકાઉન્ટ
ଖାତା ID,એકાઉન્ટ ID
ଜମାକାରୀ,સંચયક
ସଠିକତା,ચોકસાઈ
acess,ઍક્સેસ
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,એક્સેસ કંટ્રોલ બાઈટ
acess index,એક્સેસ ઇન્ડેક્સ
acess କି,ઍક્સેસ કી
acess matrix,એક્સેસ મેટ્રિક્સ
acess ମୋଡ୍ |,ઍક્સેસ મોડ
acess ଅଧିକାର,એક્સેસ વિશેષાધિકાર
acess ସୁରକ୍ଷା |,ઍક્સેસ સુરક્ષા
acess ସର୍ଭର |,ઍક્સેસ સર્વર
ଆକସେସ୍ ସମୟ |,ઍક્સેસ સમય
ସ୍ୱୀକୃତି,સ્વીકૃતિ
ଆକାଶବାଣୀ,ધ્વનિશાસ્ત્ર
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,ટૂંકાક્ષર
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,ક્રિયા સંદેશ
ସକ୍ରିୟ,સક્રિયકરણ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),સક્રિય સર્વર પૃષ્ઠ (ASP)
ସକ୍ରିୟ ସଂସ୍କରଣ |,સક્રિય સંસ્કરણ
acyclic,એસાયક્લિક
acyclic ଗ୍ରାଫ୍ |,એસાયક્લિક ગ્રાફ
ଅଦା ଭାଷା |,અદા ભાષા
ଆଡାପ୍ଟର,એડેપ્ટર
ଯୋଡନ୍ତୁ |,ઉમેરો
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,ફાઇલ ઉમેરો
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,કામગીરી ઉમેરો
ଆଡର୍,ઉમેરનાર
ଠିକଣା,સરનામું
ଠିକଣା ବସ୍,સરનામું બસ
ଠିକଣା ଫାଇଲ୍ |,સરનામું ફાઇલ
ଠିକଣା ଫର୍ମାଟ୍,સરનામું ફોર્મેટ
ଠିକଣା ଜେନେରେଟର,સરનામું જનરેટર
ଠିକଣା ରେଖା,એડ્રેસ લાઇન
ଠିକଣା ମ୍ୟାପିଂ,સરનામું મેપિંગ
ଠିକଣା ସୂଚକ,સરનામું નિર્દેશક
ଠିକଣା ରେଜିଷ୍ଟର,સરનામું રજીસ્ટર
ଠିକଣା ରେଜୋଲୁସନ,સરનામું રિઝોલ્યુશન
ଠିକଣା ଅନୁବାଦ,સરનામા અનુવાદ
ଠିକଣା ସ୍ମୃତି,સંબોધિત મેમરી
ଠିକଣା,સંબોધન
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,પર્યાપ્તતા માપદંડ
ଯୋଗ,સંલગ્ન
ପ୍ରଶାସନ,વહીવટ
ପ୍ରଶାସକ,સંચાલક
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,એડોબ એક્રોબેટ
ଆଡୋବ ଫଟୋଶପ୍ |,એડોબ ફોટોશોપ
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP)
ଉନ୍ନତ ତଥ୍ୟ,અદ્યતન ડેટા
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,અદ્યતન માહિતી સિસ્ટમ
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),અદ્યતન ટેકનોલોજી (AT)
ଏଜେଣ୍ଟ,એજન્ટ
ଏକୀକରଣ,એકત્રીકરણ
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,aldus પૃષ્ઠ નિર્માતા
ଆଲର୍ଟ ବାକ୍ସ,ચેતવણી બોક્સ
ଆଲଗୋଲ୍,algol
ଆଲଗୋରିଦମ |,અલ્ગોરિધમ
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,અલ્ગોરિધમ વિશ્લેષણ
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,અલ્ગોરિધમ કાર્યક્ષમતા
ଛଦ୍ମନାମ,ઉપનામ
ଶ୍ରେଣୀବଦ୍ଧତା |,ગોઠવણી
ଆବଣ୍ଟନ,ફાળવણી
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,આલ્ફાબેટીક
ବର୍ଣ୍ଣମାଳା,આલ્ફાન્યૂમેરિક
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,આલ્ફાન્યૂમેરિક કી બોર્ડ
ଆଲଫା-ପରୀକ୍ଷା,આલ્ફા-પરીક્ષણ
ଆଲଫା-ସଂସ୍କରଣ |,આલ્ફા-સંસ્કરણ
alt କି,alt કી
altavista,અલ્ટાવિસ્ટા
ଅସ୍ପଷ୍ଟତା |,અસ્પષ્ટતા
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,અસ્પષ્ટ વ્યાકરણ
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII)
analog,એનાલોગ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,એનાલોગ કમ્પ્યુટર
analog ଉପକରଣ,એનાલોગ ઉપકરણ
ଆନାଗଲ୍ ମୋଡେମ୍ |,એનાલોગ મોડેમ
ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC),એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC)
ଏବଂ,અને
ଏବଂ ସର୍କିଟ |,અને સર્કિટ
ଏବଂ ଫାଟକ |,અને દરવાજો
ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର),અને ઓપરેશન નહીં (બાકાત)
ଆନିମେସନ୍,એનિમેશન
ଟିପ୍ପଣୀ,ટીકા
ଅନୋମାଲିୟା |,વિસંગતતા
ପ୍ରାଚୀନ,પૂર્વવર્તી
ଆଶାକର୍ମୀ ପେଜିଂ |,આગોતરી પેજીંગ
ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |,વિરોધી સપ્રમાણ
ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |,એન્ટિવાયરસ પ્રોગ્રામ
ଆପଲେଟ୍,એપ્લેટ
ପ୍ରୟୋଗ ବିକାଶକାରୀ,એપ્લિકેશન ડેવલપર
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,એપ્લિકેશન પ્રોગ્રામિંગ
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API),એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,એપ્લિકેશન સોફ્ટવેર
ପ୍ରୟୋଗ ଭାଷା |,લાગુ પડતી ભાષા
ଆନୁମାନିକ ତତ୍ତ୍। |,અંદાજ સિદ્ધાંત
ସ୍ଥାପତ୍ୟ,સ્થાપત્ય
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |,વિસ્તાર ટ્રાન્સફર
ଯୁକ୍ତି,દલીલ
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |,અંકિત અને તર્ક એકમ
ଗାଣିତିକ ଯାଞ୍ଚ |,અંકિત તપાસ
ଗାଣିତିକ ସ୍ଥିର |,અંકિત સ્થિરાંક
ଗାଣିତିକ ତଥ୍ୟ,અંકિત માહિતી
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,અંકગણિત સૂચના
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU),અંકગણિત અને તર્ક એકમ (ALU)
ARPANET,અર્પાનેટ
ଆରେ,એરે
ଆରେ କ୍ୟାଚ୍,એરે કેશ
ଆରେ କମ୍ପ୍ୟୁଟର |,એરે કમ્પ્યુટર
ଆରେ ଉପାଦାନ |,એરે તત્વ
ଆରେ ନାମ,એરે નામ
ଆରେ ସଞ୍ଚାଳକ,એરે પ્રોસેસર
ତୀର କିଗୁଡ଼ିକ,તીર કીઓ
ଆର୍ଟିକିଲେସନ୍,ઉચ્ચારણ
ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |,ઉચ્ચારણ બિંદુ
କୃତ୍ରିମ ସଙ୍କୋଚନ |,કૃત્રિમ કોમ્પેક્શન
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,કૃત્રિમ નિયંત્રણ
କୃତ୍ରିମ ବୁଦ୍ଧି,કૃત્રિમ બુદ્ધિ
ଆରୋହଣ,ચડતા
ଆରୋହଣ କ୍ରମ,ચડતા સૉર્ટ
ASCII ବେଟିକାଲ୍ କ୍ରମ |,ASCII બેટીકલ ઓર્ડર
ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |,ASCII નિયંત્રણ પાત્ર
ASCII ଫାଇଲ୍ |,ASCII ફાઇલ
ASCII ଫଣ୍ଟ |,ASCII ફોન્ટ
ASCII ସ୍ଥାନାନ୍ତର |,ASCII ટ્રાન્સફર
ଆନୁମାନିକ ଅନୁପାତ,પાસા ગુણોત્તર
ASPI,ASPI
ASR ଟାଇମର୍ |,ASR ટાઈમર
ଏକତ୍ର ହୁଅ,ભેગા
ଏକତ୍ରକାରୀ,એસેમ્બલર
ସଭା,એસેમ્બલી
ସଭା ଭାଷା |,એસેમ્બલી ભાષા
ଧାରଣା,નિવેદન
ଆସାଇନମେଣ୍ଟ,સોંપણી
ସଙ୍ଗଠନ,સંગઠન
ସହଯୋଗୀ ଠିକଣା,સહયોગી સરનામું
ସହଯୋଗୀ ସ୍ମୃତି,સહયોગી મેમરી
ନକ୍ଷତ୍ର,એસ્ટરીક
ଅସୀମିତ |,અસમપ્રમાણ
ଅସନ୍ତୁଳିତ |,અસુમેળ
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,અસુમેળ ટ્રાન્સફર
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),અસુમેળ ટ્રાન્સફર મોડ (ATM)
ପରମାଣୁ,અણુ
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,જોડાયેલ દસ્તાવેજ
ସଂଲଗ୍ନ ଫାଇଲ୍ |,જોડેલી ફાઈલ
ସଂଲଗ୍ନ,જોડાણ
ଗୁଣ,લક્ષણ
ଅଡିଓ,ઓડિયો
ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |,ઓડિટ પ્રોગ્રામિંગ
ଅଡିଟ୍ ଟ୍ରେଲ୍ |,વિષ્લેષણ
ବୃଦ୍ଧି,વૃદ્ધિ
ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |,પ્રમાણીકરણ પ્રોટોકોલ
ଲେଖକ ପ୍ରଣାଳୀ,ઓથરિંગ સિસ્ટમ
ପ୍ରାଧିକରଣ,અધિકૃતતા
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,સ્વતઃ અમૂર્ત
ଅଟୋବୋଟିଂ,ઓટોબૂટિંગ
ଅଟୋକ୍ୟାଡ୍ |,ઓટોકેડ
ଅଟୋଲୋଜି ଅନ୍,ઓટોલોગ ચાલુ
ଅଟୋମେଟା |,ઓટોમેટા
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,ઓટોમેટા સિદ્ધાંત
ସ୍ୱୟଂଚାଳିତ ଗଣନା,આપોઆપ કમ્પ્યુટિંગ
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,સ્વચાલિત ડેટા પ્રોસેસિંગ
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,આપોઆપ ભૂલ સુધારણા
ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ,સ્વચાલિત કાર્ય
ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |,આપોઆપ અનુક્રમણિકા
ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |,સ્વચાલિત પુસ્તકાલય કૉલ
ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |,આપોઆપ પ્રોગ્રામિંગ
ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |,સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ
ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |,આપોઆપ નિયમિત
ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର,આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ
ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍),ઓટોમેટિક ટેલર મશીન (ATM)
ସ୍ୱୟଂଚାଳିତ,ઓટોમેશન
ସ୍ଵତଃ ଚଳିତ,ઑટોપ્લે
ଅଟୋସେଭ୍ |,સ્વતઃ સાચવો
ସହାୟକକାରୀ,સહાયક
ସହାୟକ ସ୍ମୃତି,સહાયક મેમરી
ସହାୟକ ଷ୍ଟୋରେଜ୍,સહાયક સંગ્રહ
ଉପଲବ୍ଧ ତାଲିକା |,ઉપલબ્ધ યાદી
ଉପଲବ୍ଧ ସମୟ |,ઉપલબ્ધ સમય
ହାରାହାରି,સરેરાશ
awk (ଭାଷା),awk (ભાષા)
ବ୍ୟାକେଣ୍ଡ୍ |,બેકએન્ડ
ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |,બેકએન્ડ પ્રોસેસર
ବ୍ୟାକଫେସ୍ ଅପସାରଣ |,બેકફેસ દૂર કરવું
ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |,પૃષ્ઠભૂમિ પ્રક્રિયા
ବ୍ୟାକିଂ ଷ୍ଟୋର |,બેકિંગ સ્ટોર
ବ୍ୟାକପ୍ୟାଚ୍,બેકપેચિંગ
ବ୍ୟାକସ୍ପେସ୍ |,બેકસ્પેસ
ବ୍ୟାକଟ୍ରାକ୍,બેકટ્રેકિંગ
ବ୍ୟାକ୍ ଅପ୍ |,બેકઅપ
ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |,બેકઅપ મેમરી
ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର,પછાત ભૂલ પુનઃપ્રાપ્તિ
ତୂଳନା ପତ୍ର,સરવૈયા
ବ୍ୟାଣ୍ଡ,બેન્ડ
ବ୍ୟାଣ୍ଡ ଓସାର |,બેન્ડ પહોળાઈ
ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |,બેંકરનું અલ્ગોરિધમ
ବାର୍ କୋଡ୍,બાર કોડ
ବାର୍ କୋଡ୍ ସ୍କାନର୍ |,બાર કોડ સ્કેનર
ବାର୍ ଗ୍ରାଫ୍ |,બાર ગ્રાફ
ମୂଳ ଠିକଣା,આધાર સરનામું
ବେସ୍ ବ୍ୟାଣ୍ଡ |,આધાર બેન્ડ
ଆଧାର ସଂଖ୍ୟା,આધાર નંબર
ଆଧାର ଟେବୁଲ୍ |,આધાર ટેબલ
ବେସିକ୍ |,પાયાની
ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |,મૂળભૂત નિયંત્રણ
ମ basic ଳିକ ଇନପୁଟ୍ |,મૂળભૂત ઇનપુટ
ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ,મૂળભૂત સૂચના
ମ basic ଳିକ ଆଉଟପୁଟ୍,મૂળભૂત આઉટપુટ
ମ basic ଳିକ ପଦକ୍ଷେପ |,મૂળભૂત પગલું
ବ୍ୟାଚ୍,બેચ
ବ୍ୟାଚ୍ ଫାଇଲ୍ |,બેચ ફાઇલ
ବ୍ୟାଚ୍ ସ୍ଥିତି |,બેચ સ્થિતિ
ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |,બેચ પ્રક્રિયા
ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |,બેચ સિસ્ટમ
baud,બાઉડ
ବାଉଡ୍ ହାର,બાઉડ દર
ବିମ୍,બીમ
ମାନଦଣ୍ଡ,બેન્ચમાર્ક
ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |,દ્વિદિશ સંચાર
ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |,દ્વિદિશ લિંક
ବାଇନାରୀ କୋଡ୍ |,દ્વિસંગી કોડ
ବାଇନାରୀ ଅଙ୍କ,દ્વિસંગી અંક
ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS),બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS)
ବାଇନାରୀ ସଂଖ୍ୟା,દ્વિસંગી સંખ્યા
ବାଇନାରୀ ଅପରେଟର୍ |,બાઈનરી ઓપરેટર
ବାଇନାରୀ ସମ୍ପର୍କ |,દ્વિસંગી સંબંધ
ବାଇନାରୀ ସନ୍ଧାନ |,દ્વિસંગી શોધ
ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST),દ્વિસંગી શોધ વૃક્ષ (BST)
ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |,બાઈનરી ટ્રાન્સફર
ବାଇନାରୀ ଗଛ |,દ્વિસંગી વૃક્ષ
ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି,બાયપોલર મેમરી
ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |,જન્મ મૃત્યુ મોડેલ
ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |,જન્મ મૃત્યુ પ્રક્રિયા
ବିଟ୍,બીટ
ବିଟ୍ ଦୋଷ |,થોડી ખામી
ବିଟ୍ ମାନଚିତ୍ର,બીટ નકશો
ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP),બીટ મેપ પિક્સેલ (BMP)
ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,બીટ મેટ્રિક્સ
ବିଟ୍ ପ୍ୟାଟର୍ |,બીટ પેટર્ન
ବିଟ୍ ସ୍ଥିତି |,બીટ સ્થિતિ
ବିଟ୍ ହାର,બીટ દર
କଳା ବାକ୍ସ ପରୀକ୍ଷା,બ્લેક બોક્સ પરીક્ષણ
ink ଲସି ଉଠୁଛି |,ઝબકવું
ବ୍ଲକ,બ્લોક
କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |,બ્લોક કેશ
ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |,બ્લોક ચેક
କପି କପି କରନ୍ତୁ |,બ્લોક નકલ
ବ୍ଲକ ଚିତ୍ର,રેખાક્રુતિ
ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି,બ્લોકીંગ નેટવર્ક
ବୋର୍ଡ,પાટીયું
