Tamil,Hindi
அமிலத்தன்மை,एसीडायड
அயோலியன் மண்,जलोढ़ मृदा
மதிப்பீட்டு,समुच्चय
திரட்டுதல்,समुच्चयन
வேளாண்மை,सस्य मृदा विज्ञान
வேளாண்மை,सस्य विज्ञान
A- அடிவானம்,"A-संस्तर, A-होराइजन"
Ao- அடிவானம்,Ao-संस्तर/Ao-होराइजन
Aoo- அடிவானம்,Aoo-संस्तर/होराइजन
மண்ணின் காற்று திறன்,मृदा की वायु धारिता
மண்ணின் காற்றின் உள்ளடக்கம்,मृदा का वायु अंग
காற்று பிக்னோமீட்டர்,वायु पिक्नोमीटर
அல்லிடிக் மண்,एलीटिक मृदा
வண்டல் மண்,जलोढ़ मृदा
ஆம்போலிடாய்டு,एम्फोलीटायड
அயன்,ऋणायन
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
அரிஸ்,कोर
Ashlar நன்றாக கொத்து,बारीक वराश्म चिनाई
ஆஷ்லர் கொத்து,वराश्म चिनाई
அசோனல் மண்,अस्तरीय मृदा/अक्षेत्रीय मृदा
பின் நடிகர்,कर्ष खनित्र
பின் வளைவு,पश्च डाट
பின் இசைக்குழு,पश्च पट्ट
பின் தூரிகை,उपटा प्रलेप
மீண்டும் சரிபார்க்கவும்,पश्च रोधक
பின் கவுண்டர்,पश्च पटल
முதுகு வெட்டுதல்,पश्च कर्तन
பின் வரைவு damper,उपटा झोंका अवमंदक
பின் வடிகால்,पश्च नली
பின் துளி,पश्च पट
பின் நிரப்பவும்,पृष्ठ भरण
பின் ஃபில்லட்,पश्च पट्टिका
பின் மடல் கீல்,पृष्ठ पल्ला कब्जा
பின் ஓட்ட இணைப்பு,प्रतीप प्रवाह संयोजन
பின் ஓட்டம் தடுப்பான்,प्रतीप प्रवाह निरोधक
பின் அளவுகோல்,पश्चांतर
பின்புற சாக்கடை,पश्च नली
பின் அடுப்பு,अग्निस्थान पृष्ठ
ஆதரவு,पीठ/पृष्ठ भाग
பேக்கிங் போர்டு,पिछला तख्ता
பின் அழுத்தம்,पश्च दाब
பின் முட்டு,पश्च टेक
பின் பார்வை,पश्चावलोकन
பின் நீர்,पश्चजल
குழப்பம்,व्यारोध
பை வேலை,थैला पुशताबंदो
பேலாஸ்ட்,गिट्टी
பந்து களிமண்,बॉल मृत्तिका
பந்து கூம்பு கவ்வி,बॉल शंकुआकार शिकंजा
முள்வேலி,काँटेदार तार
பார் நாய்,छड़ कुत्ता
விசைப்படகு பலகை,त्रयंकी पार्श्व फलक
பேரியம் சல்பேட் சோதனை,बेरियम सल्फेट परीक्षण
சரமாரி,बैराज
பாரெட்,बरेट
அடித்தளம்,क्षार
அடிப்படை பரிமாற்றம்,बेस विनिमय
அடிப்படை வரி,आधार रेखा
அடித்தளம்,तहखाना/अधोभवन
அடித்தள சுவர்,अधोगृह भित्ति
அடித்தட்டு,आधार पट्टिका
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது",समायोज्य आधार पट्टिका
அடிப்படை செறிவு,क्षार संतृप्ति
பாசாய்டு,बेसाइड
வௌவால்,रोड़ा
பாத் மற்றும் WC,स्नानागर व शौच कुण्ड
இடி ஆப்பு,सलामी खूँटी
பேட்டர் பையர்,सलामी पाया
பேட்டர் விதி,सलामी नियम
பால்க் (பால்க்),बॉक
விரிகுடா,खंडक
தாங்குபவர்,धारक
தாங்கும் திறன்,धारण क्षमता
தாங்கும் பைல்,धारक पाइल
தாங்கி அடுக்கு,धारक स्तर
படுக்கை,आधार तल
படுக்கை விமானம்,संस्तरण तल
படுக்கை கூட்டு,पड़ी दरज
படுக்கை பாறை,अश्माधार
படுக்கை அறை,शयन कक्ष
தேன் மெழுகு,मधुमोम
மணி பெட்டி,बैल बॉक्स
பெல்லிங் வாளி,बैलिंग बकेट
பெல்லோஃப்ராம்,बैलोफ्राम
பெஞ்ச் அடித்தளம்,पैड़ीदार नींव
பெஞ்சிங்,पैड़ी बनाना
பெஞ்ச் மார்க்,निदेश तलचिह्न
நன்மை செலவு பகுப்பாய்வு,हितलाभ लागत विश्लेषण
பெர்ம்,उपतट
வளைந்த மூடல்,ढालू डेली
"பி-ஹரைசன்,&quot;பி-",संस्तर/B-होराइजन
பயாட்,बीएट
பைண்டர்,बंधक
பிணைப்பு பொருள்,बंधक पदार्थ
பயோட்டின் கோட்பாடு,बायोट का सिद्धांत
பிடுமின்,बीटूमन
கருப்பு பருத்தி மண்,काली मृदा
கருப்பு பூமி,काली मिट्टी
கருப்பு தரை மண்,काली शाब्दल मृदा
கத்தி,फलक
ஊது உலை கசடு சிமெண்ட்,वात्या भट्टी धातुमल सीमेंट
தடுப்பு அமைப்பு,खंडीय संरचना
போகி எதிர்ப்பு,बोगी संचलन प्रतिरोध
போக்-இரும்பு தாது,दलदल लोह खनित्र
பத்திரம்,चाल (चिनाई की)
பிணைக்கப்பட்ட உறுப்பினர்,बद्ध अवयव
