Gujarati,Hindi
ગર્ભિત અંગ,रुद्ध-वृद्धि अंग
ગર્ભિત બીજ,रुद्ध वृद्धि बीज
ગર્ભપાત,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
પૂર્ણ નીંદણ,"अवांछित अपतृण, पूर्ण खरपतवार"
સમારકામ,अवशोषित धनायन
સમાવેશ,अवशोषण
એબિસિનિયન સરસવ,ऐबिसिनी सरसों
વાસ્તવિકતા,"एकेरेसनाशी, चिचड़ीनाशी"
ઉચ્ચારણ,अकेंद्री
ઉકાળો (કોષ),प्रवर्धन (कोशिका)
સ્વીકૃત સહનશીલતા,स्वीकृत सहायता
સહાયક,"अतिरिक्त, सहायक, गौण"
સ્વાર્થીકરણ,पर्यनुकूलन
સંચય,संचय
ચોકસાઈ,"यथार्थता, परिशुद्धता"
એકરખાંશ,"एसर्वुलस, बीजाणुपात्र"
સુશોભિતતા,"ऐसीटीकरण, सिरका बनाना"
એસ્બરેશન,"अम्लीकरण, अम्लन"
અમ્લમાપક,"अम्लतामापी, एसिडीमीटर"
અમલ્ય,अम्लता
અમ્લ્ક,अम्लरागी
એસિડ્યુલેટેડ રોક ફોસ્ફેટ,अम्लीकृत रॉक फॉस्फेट
કષ્ટાત્મક,अम्लसह
પાણીમાં જતું,जलभृत
સંપાદન,अधिग्रहण
એકર,एकड़
એકર વિસ્તાર,"क्षेत्रफल, रकबा"
સંકુચિત રંગસૂત્ર,उपांत बिंदु क्रोमोसोम
આછું,अग्राभिसारी
આછક,ऐक्रोसोम
કૃત્ય,एक्टिनोमाइसिटीज
સક્રિય રુટ ક્ષેત્ર,सक्रिय मूलक्षेत्र
તીવ્ર,"उग्र, तीव्र"
અનુકૂલનક્ષમતા,अनुकूलनशीलता
અનુકૂલન,अनुकूलन
સંલગ્નતા,"आसंजन, अभिलाग, बन्ध"
ચરબીયુક્ત,वसामय
સમાયોજન સમીકરણ,समायोजन समीकरण
ગોરી માટી,ऐडोब मृदा
વ્યભિચાર,अपमिश्रक
આકસ્મિક,अपस्थानिक
જાસૂસી,"एसीडियोस्पोर, एसीडियम बीजाणु"
વાતજ પ્રક્રિયા,वातोढ़ प्रक्रिया
વાતજ,वातोढ़
હાથબદલો કરવો,वातन करना
હવાઈ,"वायव, आकाशी"
વાયુવાસી,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
વિમાન,ऐरोसॉल
નિલાસ્ય,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
એટીઓલોજી (ઇટીઓલોજી),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
વનીકરણ,वनरोपण
આંદોલન,"विलोडन, प्रक्षोभन"
ગુનો,"ऐगमार्क, कृष्यंक"
કૃષિ,"भूमी संबंधी, कृषि संबंधी"
કૃષિ ચિકિત્સક,कृषि निदानालय
કૃષિ -મજૂર,"कृषि श्रम, खेतिहर मजदूर"
કૃષિ,कृषि विपणन
કૃષિ પ્રૌ નગર,कृषि प्रद्योगिकी
કૃષિ,"कृषि, खेतीबारी, कृषि विज्ञान"
કૃષિવિજ્icultureાની,कृषि वनवर्धन
કૃષિવિવિધિ,कृषि जैविक विविधता
કૃષિવિજ્ologicalાનની ખામી,कृषि जैविक दोष
કૃષિવિજ્iologyાન,कृषि जैविकी
કૃષિ વિવિધતા,कृषि जलवायुवीय विविधता
કૃષિવિજ્ingાન,कृषि जलवायुवीय क्षेत्रीकरण
