Kannada,Hindi
ಅಬೆಲಿಯನ್ ಗುಂಪು,आबेली समूह
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,आबेली सामिसमूह
ಅಬ್ಸಿಸ್ಸಾ,भुज
ಸಂಪೂರ್ಣ,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,निरपेक्ष अभिसरण
ಸಂಪೂರ್ಣ ದೋಷ,निरपेक्ष त्रुटि
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,परम उच्चिष्ठ
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,परम निम्निष्ठ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,निरपेक्ष मान
ಸಂಪೂರ್ಣ ವೇಗ,निरपेक्ष वेग
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,अमूर्त बीजगणित
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,अमूर्त समूह सिद्‌धांत
ವೇಗವರ್ಧನೆ,त्वरण
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,गुरुत्वीय त्वरण
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,स्वीकार्य वरण-समुच्चय
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,स्वीकार्य गुणता स्तर
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,स्वीकार्य परिसर
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,मान्य विश्वसनीयता स्तर
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,स्वीकरण-प्रतिचयन
ಸಂಚಿತ ದೋಷ,संचित त्रुटि
ನಿಖರತೆ,यथार्थता
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,लगा हुआ बल
ಕ್ರಮ," क्रिया , कर्म"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,क्रिया और प्रतिक्रिया
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,बीमा विज्ञान
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,न्यूनकोण त्रिभुज
ಅಸೈಕ್ಲಿಕ್,अचक्रीय
ಸೇರಿಸಿ,"योग करना, जोड़ना"
ಸೇರಿಸುವವನು,योजक
ಜೊತೆಗೆ,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
ಸೇರ್ಪಡೆ ಸೂತ್ರ,योग का सूत्र
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,सम्मिश्र संख्याओं का योग
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,फलनों का योग
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,आव्यूहों का योग
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,बहुपदों का योग
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,प्रायिकताओं का योग
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,सदिशों का योग
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,"योग प्रमेय बेरीज सिद्‌धांत,"
ಸಂಯೋಜಕ ಗುಂಪು,योज्य समूह
ಸಂಯೋಜಕ ವಿಲೋಮ,योज्य व्युत्क्रम
ಸಂಯೋಜಕ ಆಸ್ತಿ,"योज्यता, योगशीलता"
ಸಂಕಲನ,योज्यता
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,आसन्नता आव्यूह
ಪಕ್ಕದ," संलग्न, निकटवर्ती , आसन्न"
ಪಕ್ಕದ ಕೋನಗಳು,आसन्न कोण
ಪಕ್ಕದ ಶೃಂಗ,आसन्न शीर्ष
ಹೊಂದು,सहबद्‌ध करना
ಪಕ್ಕದ,"संलग्न संलग्नीत,"
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,सहखंडज सारणिक
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,संलग्न अवकल समीकरण
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,संलग्न समीकरण
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,सहखंडज आव्यूह
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,आव्यूह सहखंडज
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,सहखंडज आव्यूह
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,ग्राह्य निर्णय फलन
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,ग्राह्य परिकल्पना
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,वायुगतिक बल
ವಾಯುಬಲವಿಜ್ಞಾನ,वायु गतिकी
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,सजातीय ज्यामिति
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,सजातीय प्रतिचित्रण
ಅಫೈನ್ ರೂಪಾಂತರ,सजातीय रूपांतरण
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,समुच्चयी चर
ಬೀಜಗಣಿತ," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,"बीजतः संवृत, बीजतः"
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,बीजीय समीकरण
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,बीजीय व्यंजक
ಬೀಜಗಣಿತ ರೂಪ,बीजीय समघात
