Marathi,Tamil
असामान्य,அசாதாரணமானது
गर्भपात,கருக்கலைப்பு
घर्षण,சிராய்ப்பு
अचानक,திடீரென்று
परिपूर्ण फील्ड सामर्थ्य,முழுமையான புல வலிமை
परिपूर्ण तापमान,முழுமையான வெப்பநிலை
परिपूर्ण मूल्य,துல்லியமான மதிப்பு
शोषून घ्या,உறிஞ்சும்
शोषण सह-कार्यक्षम,உறிஞ்சுதல் சக செயல்திறன்
शोषण तोटा,உறிஞ்சுதல் இழப்பு
गोषवारा,சுருக்கம்
एक्सेलरोमीटर,முடுக்கமானி
स्वीकृती चाचणी,ஏற்பு சோதனை
प्रवेश,அணுகல்
प्रवेश नियंत्रण,நுழைவு கட்டுப்பாடு
प्रवेश बिंदू,அணுகல் புள்ளி
प्रवेश वेळ,அணுகல் நேரம்
प्रवेशयोग्यता,அணுகல்
संचयक सेल,குவிப்பான் செல்
अचूकता,துல்லியம்
अचूक,துல்லியமானது
अ‍ॅक्रोमॅटिक लेन्स,முடிச்சு லென்ஸ்
आम्ल,அமிலம்
आम्ल पुरावा,அமில ஆதாரம்
आंबटपणा,அமிலத்தன்மை
पावती बिट,ஒப்புதல் பிட்
ध्वनिक,ஒலி
ध्वनिक संप्रेषण,ஒலி தொடர்பு
ध्वनिक प्रसार,ஒலி பரவல்
ध्वनिक समतुल्य,ஒலி சமநிலைப்படுத்தி
ध्वनिक अभिप्राय,ஒலி கருத்து
ध्वनिक फिल्टर,ஒலி வடிகட்டி
ध्वनिक प्रतिबाधा,ஒலி மின்மறுப்பு
ध्वनिक मास्किंग,ஒலி முகமூடி
ध्वनिक शक्ती,ஒலி சக்தி
ध्वनिक मालमत्ता,சட்டவிரோத சொத்து
ध्वनिक प्रतिक्रिया,ஒலி எதிர்வினை
ध्वनिक प्रतिक्षेप,ஒலி ரிஃப்ளெக்ஸ்
ध्वनिक टाइल,ஒலி ஓடு
ध्वनिक लाट,ஒலி அலை
ध्वनिक शोषण,ஒலியியல் உறிஞ்சுதல்
ध्वनीविषयक क्षीणन स्थिर,ஒலியியல் விழிப்புணர்வு மாறிலி
ध्वनिकी ओलसर,ஒலியியல் ஈரமாக்குதல்
ध्वनिक विलंब रेखा,ஒலியியல் தாமத வரி
ध्वनिक विकृती,ஒலியியல் விலகல்
ध्वनिक नलिका,ஒலியியல் குழாய்
ध्वनिक ऊर्जा,ஒலியியல் ஆற்றல்
ध्वनिक अभिप्राय,ஒலியியல் கருத்து
ध्वनिक फिल्टर,ஒலியியல் வடிகட்டி
ध्वनीविषयक प्रतिबाधा,ஒலியியல் மின்மறுப்பு
ध्वनीविषयक प्रसार स्थिर,ஒலியியல் பரப்புதல் மாறிலி
ध्वनिक प्रतिकार,ஒலியியல் எதிர்ப்பு
ध्वनिकरित्या इन्सुलेटेड,ஒலியியல் ரீதியாக காப்பிடப்பட்டது
ध्वनिकी,ஒலியியல்
संपादन,கையகப்படுத்தல்
परिवर्णी शब्द,சுருக்கம்
कृती क्षेत्र,செயல் பகுதி
सक्रिय फिलामेंट,செயல்படுத்தப்பட்ட இழை
सक्रिय,செயலில்
सक्रिय क्षेत्र,செயலில் உள்ள பகுதி
सक्रिय विंडो,செயலில் சாளரம்
अनुकूलता,தகவமைப்பு
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),அடாப்டர் (அடாப்டர்)
अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन,தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்
अॅड्रेस बुक,முகவரி புத்தகம்
अ‍ॅड्रेस बस,முகவரி பஸ்
पत्ता ठराव,முகவரி தீர்மானம்
लगतच चॅनेल हस्तक्षेप,அருகிலுள்ள சேனல் குறுக்கீடு
लगतच चॅनेल निवड,அருகிலுள்ள சேனல் தேர்வு
समीप वारंवारता,அருகிலுள்ள அதிர்வெண்
समीप फ्रिक्वेन्सी चॅनेल,அருகிலுள்ள அதிர்வெண் சேனல்
लगतचे चित्र वाहक,அருகிலுள்ள படம் கேரியர்
समीप ध्वनी वाहक,அருகிலுள்ள ஒலி கேரியர்
समीप स्टेशन,அருகிலுள்ள நிலையம்
समायोज्य,சரிசெய்யக்கூடியது
समायोज्य कंडेन्सर,சரிசெய்யக்கூடிய மின்தேக்கி
दबाव समायोजित करणे,அழுத்தம் சரிசெய்தல்
पाना समायोजित करणे,குறடு சரிசெய்தல்
समायोजन,சரிசெய்தல்
प्रशासक,நிர்வாகி
आधुनिक तंत्रज्ञान,மேம்பட்ட தொழில்நுட்பம்
हवाई,வான்வழி
एरियल अ‍ॅरे,வான்வழி வரிசை
एरियल बूस्टर,வான்வழி பூஸ்டர்
एरियल करंट,வான்வழி மின்னோட்டம்
एरियल अर्थिंग स्विच,வான்வழி பூமி சுவிட்ச்
हवाई कार्यक्षमता,வான்வழி செயல்திறன்
हवाई प्रतिबाधा,வான்வழி மின்மறுப்பு
एरियल इंडक्टन्स,வான்வழி தூண்டல்
एरियल इन्सुलेटर,வான்வழி இன்சுலேட்டர்
एरियल लोडिंग कॉइल,வான்வழி ஏற்றுதல் சுருள்
एरियल फोटोग्राफी,வான்வழி புகைப்படம்
हवाई शक्ती,வான்வழி சக்தி
एरियल रेडिएशन रीस्टन्स,வான்வழி கதிர்வீச்சு
हवाई प्रतिक्रिया,வான்வழி எதிர்வினை
एरोडायनामिक्स,ஏரோடைனமிக்ஸ்
एजन्सी,ஏஜென்சி
एअर कॉम्प्रेसर,காற்று அழுத்தி
एअर कंडेन्सर,ஏர் மின்தேக்கி
वातानुकूलित,குளிா்ந்த காற்று
एअर कोर्ड कॉइल,காற்று கோர்ட் சுருள்
वातानुकुलीत,ஏர் கண்டிஷனிங்
अल्बेडो,ஆல்பெடோ
अल्गोरिदम,வழிமுறை
अलियासिंग,மாற்றுப்பெயர்ச்சி
संरेखित,சீரமைத்தல்
संरेखन,சீரமைப்பு
सर्व वेव्ह एरियल,அனைத்து அலை வான்வழி
वाटप,ஒதுக்கீடு
वर्णमाला,அகரவரிசை
अल्फान्यूमेरिक,எண்ணெழுத்து
अल्फान्यूमेरिक वर्ण,எண்ணெழுத்து எழுத்து
अल्फान्यूमेरिक माहिती,எண்ணெழுத்து தகவல்
वैकल्पिक चालू (ए.सी.),மாற்று மின்னோட்டம் (ஏ.சி.)
वैकल्पिक,மாற்று
अल्टरनेटर,மின்மாற்றி
समुद्रसपाटीपासूनची उंची,உயரம்
अपोजीची उंची,அப்போஜியின் உயரம்
पेरिगीची उंची,பெரிஜியின் உயரம்
हौशी रेडिओ संप्रेषण,அமெச்சூர் வானொலி தொடர்பு
वातावरण,சூழ்நிலை
वातावरण मायक्रोफोन,சுற்றுப்புற மைக்ரோஃபோன்
वातावरणीय स्थिती,சுற்றுப்புற நிலை
वातावरणीय प्रकाश,சுற்றுப்புற விளக்குகள்
सभोवतालचा आवाज,சுற்றுப்புற சத்தம்
वातावरणीय तापमान,சுற்றுப்புற வெப்பநிலை
अमेरिकन मानक कोड,அமெரிக்கன் ஸ்டாண்டர்ட் கோட்
अँपियर,ஆம்பியர்
अ‍ॅम्पेअर मीटर,ஆம்பியர் மீட்டர்
प्रवर्धन,பெருக்கம்
प्रवर्धन घटक,பெருக்க காரணி
एम्पलीफायर,பெருக்கி
एम्पलीफायर गेन,பெருக்கி ஆதாயம்
एम्पलीफायर आवाज,பெருக்கி சத்தம்
एम्प्लिफाइंग उपकरणे,உபகரணங்கள் பெருக்குதல்
क्लीस्ट्रॉनचे विस्तार,கிளிஸ்ட்ரான் பெருக்குதல்
एम्प्लिफाइंग युनिट,பெருக்குதல் அலகு
मोठेपणा,வீச்சு
मोठेपणा विकृती,வீச்சு விலகல்
मोठेपणा सहन,வீச்சு உல்லாசப் பயணம்
मोठेपणा घटक,வீச்சு காரணி
मोठेपणा मर्यादा,அலைவீச்சு வரம்பு
मोठेपणा मॉड्यूलेटेड,வீச்சு பண்பேற்றப்பட்டது
मोठेपणा मॉड्यूलेशन,வீச்சு பண்பேற்றம்
एनालॉग (अ‍ॅनालॉग),ஒப்புமை (அனலாக்)
एनालॉग सर्किट,அனலாக் சுற்று
एनालॉग संगणक,அனலாக் கணினி
एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल,அனலாக் ரேடியோ அதிர்வெண் சேனல்
एनालॉग प्रतिनिधित्व,அனலாக் பிரதிநிதித்துவம்
एनालॉग सिग्नल,அனலாக் சிக்னல்
डिजिटल टू डिजिटल,டிஜிட்டலுக்கு அனலாக்
डिजिटल कन्व्हर्टर टू एनालॉग,டிஜிட்டல் மாற்றிக்கு அனலாக்
एनालॉग व्हिडिओ,அனலாக் வீடியோ
समान,ஒப்பீட்டு
समानता,ஒப்புமை
विश्लेषण,பகுப்பாய்வு
डेटाचे विश्लेषण,தரவின் பகுப்பாய்வு
विश्लेषणात्मक घनता,பகுப்பாய்வு அடர்த்தி
विश्लेषण,பகுப்பாய்வு செய்யுங்கள்
विश्लेषक,பகுப்பாய்வி
उपकरणे,துணை உபகரணங்கள்
आणि गेट,மற்றும் வாயில்
कोलिमेशनचा कोन,மோதலின் கோணம்
