Malayalam,Hindi
അബാക്കസ്,"1.एबेकस ,2. गिनतारा"
അസാധാരണമായ അവസാനിപ്പിക്കൽ,असामान्य समापन
ഉപേക്ഷിക്കുക,अवरोधन
കേവല,"1. निरपेक्ष ,2. परम"
സമ്പൂർണ്ണ വിലാസം,निरपेक्ष पता
സമ്പൂർണ്ണ അഭിസംബോധന,निरपेक्ष पताभिगमन
കേവല അസംബ്ലർ,निरपेक्ष कोडांतरक
കേവല കോഡ്,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
സമ്പൂർണ്ണ കമാൻഡ്,निरपेक्ष समादेश
സമ്പൂർണ്ണ ഡാറ്റ,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
സമ്പൂർണ്ണ നിർദ്ദേശം,निरपेक्ष अनुदेश
കേവല മോഡ്,निरपेक्ष विधा
കേവല പാത,निरपेक्ष पथ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
അമൂർത്ത ക്ലാസ്,अमूर्त वर्ग
അമൂർത്ത ഡാറ്റ തരം,अमूर्त आंकड़ा प्रकार
അമൂർത്ത യന്ത്രം,अमूर्त मशीन
അമൂർത്ത ചിഹ്നം,अमूर्त प्रतीक
അമൂർത്തമായ വാക്യഘടന,अमूर्त वाक्य विन्यास
സ്വീകാര്യത പരിശോധന,स्वीकृति परीक्षण
ആക്സസ് പ്രാമാണീകരണം,अभिगम प्रमाणन
പ്രവേശന കോഡ്,"1. अभिगम कूट ,2. अभिगम कोड"
പ്രവേശന നിയന്ത്രണം,अभिगम नियंत्रण
ആക്സസ് സ്കാൻ,अभिगम क्रमवीक्षण
ഉപസാധനം,सहयंत्र
അക്കൗണ്ട്,लेखा
അക്കൗണ്ട് ID,"1. एकाउंट आई डी ,2. लेखा पहचान"
ശേഖരണം,संचायक
കൃത്യത,"1. विशुद्धता ,2. यर्थाथता"
പ്രവേശനം,अभिगम
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,अभिगम नियंत्रण बाइट
പ്രവേശന സൂചിക,अभिगम सूचक
ആക്സസ് കീ,अभिगम कुंजी
ആക്സസ് മാട്രിക്സ്,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
ആക്സസ് മോഡ്,अभिगम विधा
ആക്സസ് പ്രിവിലേജ്,अभिगम विशेषाधिकार
ആക്സസ് സുരക്ഷ,अभिगम सुरक्षा
ആക്സസ് സെർവർ,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
പ്രവേശന സമയം,अभिगम काल
അംഗീകാരം,अभिस्वीकृति
ശബ്ദശാസ്ത്രം,ध्वनिकी
സംക്ഷേപം,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
പ്രവർത്തന സന്ദേശം,क्रिया संदेश
സജീവമാക്കൽ,सक्रियण
സജീവ സെർവർ പേജ് (ASP),सक्रिय सर्वर पृष्ठ
സജീവ പതിപ്പ്,सक्रिय वर्जन
അസൈക്ലിക്,अचक्रीय
അസൈക്ലിക് ഗ്രാഫ്,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
അഡാ ഭാഷ,एडा कंप्यूटर भाषा
അഡാപ്റ്റർ,"1. अनुकूलक ,2. अनुकूलित्र"
ചേർക്കുക,योग (करना)
ഫയൽ ചേർക്കുക,योग संचिका
പ്രവർത്തനം ചേർക്കുക,"1. जोड़ संक्रिया ,2. योग संक्रिया"
ചേർക്കുന്നയാൾ,योजक
വിലാസം,पता
വിലാസം ബസ്,पता बस
വിലാസ ഫയൽ,पता संचिका
വിലാസ ഫോർമാറ്റ്,पता आरूप
വിലാസ ജനറേറ്റർ,पता जनक
വിലാസ ലൈൻ,पता पंक्ति
വിലാസ മാപ്പിംഗ്,पता प्रतिचित्रण
വിലാസ സൂചിക,पता संकेतक
വിലാസ രജിസ്റ്റർ,पता पंजी
വിലാസം റെസലൂഷൻ,पता विघटन
വിലാസ വിവർത്തനം,पता अनुवाद
അഭിസംബോധന ചെയ്ത മെമ്മറി,"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी"
അഭിസംബോധന,पताभिगमन
പര്യാപ്തത മാനദണ്ഡം,"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी"
അനുബന്ധം,संलग्न
ഭരണകൂടം,"1. प्रबंधन ,2. नियंत्रण"
കാര്യനിർവാഹകൻ,"1. प्रबंधक ,2. नियंत्रक"
അഡോബ് അക്രോബാറ്റ്,ऐडोब एक्रोबेट
അഡോബ് ഫോട്ടോഷോപ്പ്,ऐडोब फोटोशोप
അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
വിപുലമായ ഡാറ്റ,"1. उन्नत आंकड़ा ,2. उन्नत डाटा"
വിപുലമായ വിവര സംവിധാനം,उन्नत सूचना तंत्र
നൂതന സാങ്കേതികവിദ്യ (AT),उन्नत प्रौद्योगिकी (ए टी)
ഏജന്റ്,कर्मक
സമാഹരണം,समुच्चयन
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,विमानवाहित कंप्यूटर तंत्र
ആൽഡസ് പേജ് മേക്കർ,एल्डस पेज-मेक
മുന്നറിയിപ്പ് ബോക്സ്,सचेत पेटी
ആൽഗോൾ,ऐल्गॉल (कंप्यूटर भाषा)
അൽഗോരിതം,"1.  एल्गोरिथ्म ,2. कलन विधि"
അൽഗോരിതം വിശകലനം,"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण"
അൽഗോരിതം കാര്യക്ഷമത,एल्गोरिथ्म दक्षता
അപരനാമം,"1. एलिआस ,2. उपनाम ,3. उर्फ"
വിന്യാസം,संरेखण
വിഹിതം,"1. आवंटन ,2. नियतन"
അക്ഷരമാലാക്രമം,"1.अक्षरात्मक ,2. वर्णानुक्रम"
ആൽഫാന്യൂമെറിക്,अक्षरांकीय
ആൽഫാന്യൂമെറിക് കീ ബോർഡ്,"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड"
ആൽഫ-ടെസ്റ്റ്,अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
ആൽഫ പതിപ്പ്,"1. अल्फा वर्जन ,2. अल्फा रूप"
alt കീ,आल्ट कुंजी
അൾട്ടാവിസ്റ്റ,आल्टाविस्टा
അവ്യക്തത,अनेकार्थकता
അവ്യക്തമായ വ്യാകരണം,संदिग्ध व्याकरण
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII),अमेरिकी मानक कट (आस्की)
അനലോഗ്,"1. अनुरुप ,2. एनालॉग"
അനലോഗ് കമ്പ്യൂട്ടർ,"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
അനലോഗ് ഉപകരണം,"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस"
അനലോഗ് മോഡം,"1. एनालॉग मोडेम ,2. अनुरुप मोडेम"
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC),अनुरुप से अंकीय रुपांतरक
ഒപ്പം,एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
കൂടാതെ സർക്യൂട്ട്,एंड परिपथ
ഒപ്പം ഗേറ്റും,एंड गेट और द्वार
കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ),एंड नॉट संक्रिया (अपवर्जन)
ആനിമേഷൻ,"1. एनीमेशन, 2.  सजीवन"
വ്യാഖ്യാനം,टिप्पण
അപാകത,असंगता
മുൻഗാമി,पूर्ववर्ती
മുൻകൂർ പേജിംഗ്,प्रत्याशामूलक पृष्ठन
വിരുദ്ധ സമമിതി,प्रति-सममित
ആന്റിവൈറസ് പ്രോഗ്രാം,विषाणुरोधी क्रमादेश
ആപ്ലെറ്റ്,"1. एपलेट ,2. अनुप्रयोगिका"
ആപ്ലിക്കേഷൻ ഡെവലപ്പർ,अनुप्रयोग विकासक
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,अनुप्रयोग प्रोग्रामन
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API),"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,अनुप्रयोग सॉफ्टवेयर
ബാധകമായ ഭാഷ,अनुप्रयोगी भाषा
ഏകദേശ സിദ്ധാന്തം,सन्निकटण सिद्धांत
വാസ്തുവിദ്യ,संरचना
ഏരിയ കൈമാറ്റം,क्षेत्र अंतरण
വാദം,"1. प्राचर,स्वतंत्रचर, 2. कोणांक"
