Hindi,Tamil
"1.एबेकस ,2. गिनतारा",அபாகஸ்
असामान्य समापन,அசாதாரண நிறுத்தம்
अवरोधन,கருக்கலைப்பு
"1. निरपेक्ष ,2. परम",அறுதி
निरपेक्ष पता,முழுமையான முகவரி
निरपेक्ष पताभिगमन,முழுமையான முகவரி
निरपेक्ष कोडांतरक,முழுமையான அசெம்பிளர்
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",முழுமையான குறியீடு
निरपेक्ष समादेश,முழுமையான கட்டளை
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",முழுமையான தரவு
निरपेक्ष अनुदेश,முழுமையான அறிவுறுத்தல்
निरपेक्ष विधा,முழுமையான பயன்முறை
निरपेक्ष पथ,முழுமையான பாதை
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",முழுமையான நிரலாக்கம்
अमूर्त वर्ग,சுருக்க வர்க்கம்
अमूर्त आंकड़ा प्रकार,சுருக்க தரவு வகை
अमूर्त मशीन,சுருக்க இயந்திரம்
अमूर्त प्रतीक,சுருக்க சின்னம்
अमूर्त वाक्य विन्यास,சுருக்க தொடரியல்
स्वीकृति परीक्षण,ஏற்றுக்கொள்ளும் சோதனை
अभिगम प्रमाणन,அணுகல் அங்கீகாரம்
"1. अभिगम कूट ,2. अभिगम कोड",அணுகல் குறியீடு
अभिगम नियंत्रण,நுழைவு கட்டுப்பாடு
अभिगम क्रमवीक्षण,அணுகல் ஸ்கேன்
सहयंत्र,துணை
लेखा,கணக்கு
"1. एकाउंट आई डी ,2. लेखा पहचान",கணக்கு ஐடி
संचायक,திரட்டி
"1. विशुद्धता ,2. यर्थाथता",துல்லியம்
अभिगम,அணுகல்
अभिगम नियंत्रण बाइट,அணுகல் கட்டுப்பாட்டு பைட்
अभिगम सूचक,அணுகல் குறியீடு
अभिगम कुंजी,அணுகல் விசை
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",அணுகல் அணி
अभिगम विधा,அணுகல் முறை
अभिगम विशेषाधिकार,அணுகல் சலுகை
अभिगम सुरक्षा,அணுகல் பாதுகாப்பு
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",அணுகல் சேவையகம்
अभिगम काल,அணுகல் நேரம்
अभिस्वीकृति,ஒப்புகை
ध्वनिकी,ஒலியியல்
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",சுருக்கம்
क्रिया संदेश,செயல் செய்தி
सक्रियण,செயல்படுத்துதல்
सक्रिय सर्वर पृष्ठ,செயலில் உள்ள சர்வர் பக்கம் (ASP)
सक्रिय वर्जन,செயலில் உள்ள பதிப்பு
अचक्रीय,அசைக்ளிக்
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",அசைக்ளிக் வரைபடம்
एडा कंप्यूटर भाषा,அட மொழி
"1. अनुकूलक ,2. अनुकूलित्र",அடாப்டர்
योग (करना),கூட்டு
योग संचिका,கோப்பை சேர்க்க
"1. जोड़ संक्रिया ,2. योग संक्रिया",செயல்பாட்டைச் சேர்க்கவும்
योजक,சேர்ப்பான்
पता,முகவரி
पता बस,முகவரி பேருந்து
पता संचिका,முகவரி கோப்பு
पता आरूप,முகவரி வடிவம்
पता जनक,முகவரி ஜெனரேட்டர்
पता पंक्ति,முகவரி வரி
पता प्रतिचित्रण,முகவரி மேப்பிங்
पता संकेतक,முகவரி சுட்டி
पता पंजी,முகவரி பதிவு
पता विघटन,முகவரி தீர்மானம்
पता अनुवाद,முகவரி மொழிபெயர்ப்பு
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",நினைவாற்றலை உரையாற்றினார்
पताभिगमन,உரையாற்றுவது
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",போதுமான அளவுகோல்கள்
संलग्न,இணைந்த
"1. प्रबंधन ,2. नियंत्रण",நிர்வாகம்
"1. प्रबंधक ,2. नियंत्रक",நிர்வாகி
ऐडोब एक्रोबेट,அடோப் அக்ரோபேட்
ऐडोब फोटोशोप,அடோ போட்டோஷாப்
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा",மேம்பட்ட தரவு
उन्नत सूचना तंत्र,மேம்பட்ட தகவல் அமைப்பு
उन्नत प्रौद्योगिकी (ए टी),மேம்பட்ட தொழில்நுட்பம் (AT)
कर्मक,முகவர்
समुच्चयन,திரட்டுதல்
विमानवाहित कंप्यूटर तंत्र,வான்வழி கணினி அமைப்பு
एल्डस पेज-मेक,அல்டஸ் பக்க தயாரிப்பாளர்
सचेत पेटी,எச்சரிக்கை பெட்டி
ऐल्गॉल (कंप्यूटर भाषा),அல்கோல்
"1.  एल्गोरिथ्म ,2. कलन विधि",அல்காரிதம்
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण",அல்காரிதம் பகுப்பாய்வு
एल्गोरिथ्म दक्षता,அல்காரிதம் திறன்
"1. एलिआस ,2. उपनाम ,3. उर्फ",மாற்றுப்பெயர்
संरेखण,சீரமைப்பு
"1. आवंटन ,2. नियतन",ஒதுக்கீடு
"1.अक्षरात्मक ,2. वर्णानुक्रम",அகரவரிசை
अक्षरांकीय,எண்ணெழுத்து
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड",எண்ணெழுத்து விசைப்பலகை
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),ஆல்பா-சோதனை
"1. अल्फा वर्जन ,2. अल्फा रूप",ஆல்பா பதிப்பு
आल्ट कुंजी,alt விசை
आल्टाविस्टा,அல்டாவிஸ்டா
अनेकार्थकता,தெளிவின்மை
संदिग्ध व्याकरण,தெளிவற்ற இலக்கணம்
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI)
अमेरिकी मानक कट (आस्की),தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII)
"1. अनुरुप ,2. एनालॉग",அனலாக்
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर",அனலாக் கணினி
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस",அனலாக் சாதனம்
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम",அனலாக் மோடம்
अनुरुप से अंकीय रुपांतरक,அனலாக் டு டிஜிட்டல் மாற்றி (ADC)
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),மற்றும்
एंड परिपथ,மற்றும் சுற்று
एंड गेट और द्वार,மற்றும் வாயில்
एंड नॉट संक्रिया (अपवर्जन),மற்றும் செயல்பாடு அல்ல (விலக்கு)
"1. एनीमेशन, 2.  सजीवन",இயங்குபடம்
टिप्पण,சிறுகுறிப்பு
असंगता,ஒழுங்கின்மை
पूर्ववर्ती,முன்னோடி
प्रत्याशामूलक पृष्ठन,முன்கூட்டிய பேஜிங்
प्रति-सममित,எதிர்ப்பு சமச்சீர்
