Marathi,Odiya
वेस्टमिन्स्टरचे मठाधीश,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
निषिद्ध,ଅବକ୍ଷୟ
गुलामगिरीचे उच्चाटन,ଦାସତ୍ୱ ରଦ୍ଦ
आदिवासी,ଆଦିବାସୀ
अब्राहम युग,ଅବ୍ରହାମ ଏରା
अनुपस्थित जमीनदार,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
अकादमी,ଏକାଡେମୀ |
अक्रा परिषद,ଆକ୍ରା ସମ୍ମିଳନୀ |
जमा,ଆକ୍ରୁଏଲ୍ |
संवर्धन,ଆକଲଚ୍ୟୁଚର୍
एसेलडामा,ଆକେଲଡାମା |
आचियन (=अचियन),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
आचियन लीग (=अचियन लीग),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
एक्रोपोलिस,ଆକ୍ରୋପଲିସ୍ |
Acta Diurna,ଆକ୍ଟା ଡିଆର୍ନା |
Acta Senatus,ଆକ୍ଟା ସେନାଟସ୍ |
ऍक्ट अॅडिशनल,ଆକ୍ଟ ଆଡେଲ୍ |
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
प्राप्तकर्त्याची कृती,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
नुकसानभरपाई आणि विस्मरणाचा कायदा,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
सेटलमेंटचा कायदा,ସମାଧାନ ନିୟମ
जाहिरात करार सील,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
अदुल्लामाइट्स,ଆଡୁଲାମାଇଟ୍ସ |
विरोधक,ଶତ୍ରୁ
विरोधक,ଶତ୍ରୁ
एऑन,ଆଓନ୍
एरेरियम,ଏରାରିୟମ୍ |
हवाई युद्ध,ବାୟୁ ଯୁଦ୍ଧ |
एटोलियन लीग,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
वय,ବୟସ
वृद्धत्व (=वृद्धत्व),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
वृद्धत्व प्रक्रिया,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
अगेलाय,ଆଗେଲାଇ |
पराक्रमाचे वय,Ival ିଭାଲିର ବୟସ |
ज्ञानाचे वय,ଜ୍ଞାନର ବୟସ |
पेरिकल्सचे वय,ପେରିକଲ୍ସର ବୟସ |
कारण वय,କାରଣର ବୟସ |
कृषीवाद,କୃଷିବାଦ
कृषी चळवळ,କୃଷି ଆନ୍ଦୋଳନ |
अल्बिओन,ଆଲବିଅନ୍ |
अल्बम,ଆଲବମ୍
अल्डरमन,ଆଲଡରମ୍ୟାନ୍ |
मोहक हात,ଭ୍ରାନ୍ତ ବାହୁ |
मैत्री,ବନ୍ଧୁତା
एम्फेक्टियोनिक परिषद,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
एम्फेक्टियोनिक लीग,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
अॅम्फिथिएटर,ଆମ୍ଫିଥେଟର
अमरी नल गट (मातीचा),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
अनाक्रोनिझम,ଆନାକ୍ରୋନିଜିମ୍ |
अनाक्रोनिस्टिक,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
पूर्वज,ପୂର୍ବପୁରୁଷ
पूर्वजांची पूजा,ପୂର୍ବପୁରୁଷ ପୂଜା |
वंशपरंपरा,ପିତୃପୁରୁଷ
वंशपरंपरा,ପିତୃପୁରୁଷ
वंशपरंपरा,ପିତୃପୁରୁଷ
वंशपरंपरा,ପିତୃପୁରୁଷ
प्राचीन राजवट,ପ୍ରାଚୀନ ଶାସନ
प्राचीन,ପ୍ରାଚୀନ
प्राचीन बालगीत,ପ୍ରାଚୀନ ବାଲାଡ୍ |
प्राचीन श्रद्धा,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
प्राचीन प्रथा,ପ୍ରାଚୀନ ପ୍ରଥା
प्राचीन इतिहास,ପ୍ରାଚୀନ ଇତିହାସ
प्राचीन स्मारके,ପ୍ରାଚୀନ ସ୍ମାରକୀ
किस्सा,ଉପନ୍ୟାସ
अँजेलोट,ଆଞ୍ଜେଲଟ୍ |
एंजलस,ଆଞ୍ଜେଲସ୍ |
अँजेविन (=अंजेविन),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
कोन,କୋଣ
अँग्लिकन,ଅଙ୍ଗଲିକାନ୍ |
अँग्लिकन कम्युनियन,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
अँग्लिकनवाद,ଅଙ୍ଗଲିକାନିଜିମ୍ |
अँग्लो-फोब,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
अँग्लो-फोबिया,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
अँग्लो-सॅक्सन,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
अँग्लो-सॅक्सोनवाद,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
अॅनालिस्ट,ଆନ୍ନାଲିଷ୍ଟ |
इतिहास,ବାର୍ଷିକ
संलग्नीकरण,ସଂଲଗ୍ନ
अँटी-बेलम,ଆଣ୍ଟେ-ବେଲମ୍ |
पूर्वीची तारीख,ଆଣ୍ଟେ ତାରିଖ |
कारकुनविरोधी,ଧର୍ମ-ବିରୋଧୀ
कारकुनी विरोधी कायदा,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
पुरातन वास्तू,ପ୍ରାଚୀନତା
विरोधी भाडे,ଆଣ୍ଟି-ଭଡା
विरोधी भाडे,ଆଣ୍ଟି-ଭଡା
सेमिटिझम विरोधी,ବିରୋଧୀ ଦଳ
अँझॅक,ଅଞ୍ଜାକ |
अपेला,ଆପେଲା |
अरालू,ଅରୁଲୁ |
आर्च बिशप,ଆର୍ ବିଶପ୍ |
आर्च डची,ଆର୍ ଡୁଚି |
आर्च ड्यूक,ଆର୍ ଡ୍ୟୁକ୍ |
आर्काइफ (=अभिलेख संग्रह),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
आर्किपिस्कोपेट,ଆର୍କିପିସ୍କୋପେଟ୍ |
अभिजात वर्ग,ଆଭିମୁଖ୍ୟ
कुलीन,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
खानदानी स्नोबरी,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
अॅरिस्टोटेलियन,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
आरमार,ଆର୍ମଡା |
आरमार (=स्पॅनिश आरमार),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
आर्मोरिस्ट (= आर्मरिस्ट),ବାହୁବଳୀ (= ବାହୁବଳୀ)
चिलखत (= चिलखत),ବାହୁବଳୀ (= ବାହୁବଳୀ)
आर्मरिस्ट,ବାହୁବଳୀ |
आर्यन,ଆର୍ଯ୍ୟନ୍
आर्यन,ଆର୍ଯ୍ୟନ୍
अस्करी,ଆସ୍କାରି |
नियुक्त करा,ନ୍ୟସ୍ତ କରନ୍ତୁ |
Assize,Assize
Assize,Assize
Assize,Assize
शस्त्रास्त्र कायद्याची मदत,ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |
डॅरेन प्रेझेंटमेंटची मदत,ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |
मॉर्ट &#39;डी&#39; पूर्वजांची मदत,ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |
