Tamil,Hindi
கைவிடப்பட்ட உறுப்பு,रुद्ध-वृद्धि अंग
நிறுத்தப்பட்ட விதை,रुद्ध वृद्धि बीज
கருக்கலைப்பு,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
முழுமையான களை,"अवांछित अपतृण, पूर्ण खरपतवार"
உறிஞ்சப்பட்ட கேஷன்,अवशोषित धनायन
உறிஞ்சுதல்,अवशोषण
அபிசீனிய கடுகு,ऐबिसिनी सरसों
அகரைடு,"एकेरेसनाशी, चिचड़ीनाशी"
உச்சரிப்பு,अकेंद्री
உச்சநிலை (செல்),प्रवर्धन (कोशिका)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,स्वीकृत सहायता
துணை,"अतिरिक्त, सहायक, गौण"
பழக்கவழக்கமயமாக்கல்,पर्यनुकूलन
குவிப்பு,संचय
துல்லியம்,"यथार्थता, परिशुद्धता"
அசெருலஸ்,"एसर्वुलस, बीजाणुपात्र"
அசிடிபிகேஷன்,"ऐसीटीकरण, सिरका बनाना"
அமிலமயமாக்கல்,"अम्लीकरण, अम्लन"
அமிலமீட்டர்,"अम्लतामापी, एसिडीमीटर"
அமிலத்தன்மை,अम्लता
அமிலத்தன்மை கொண்ட,अम्लरागी
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,अम्लीकृत रॉक फॉस्फेट
அமிலத்தன்மை,अम्लसह
நீர்வாழ்,जलभृत
கையகப்படுத்தல்,अधिग्रहण
ஏக்கர்,एकड़
ஏக்கர் தூரம்,"क्षेत्रफल, रकबा"
அக்ரோசென்ட்ரிக் குரோமோசோம்,उपांत बिंदु क्रोमोसोम
அக்ரோபெட்டல்,अग्राभिसारी
சக்ரோசோம்,ऐक्रोसोम
ஆக்டினோமைசீட்கள்,एक्टिनोमाइसिटीज
செயலில் ரூட் மண்டலம்,सक्रिय मूलक्षेत्र
கடுமையான,"उग्र, तीव्र"
தகவமைப்பு,अनुकूलनशीलता
தழுவல்,अनुकूलन
ஒட்டுதல்,"आसंजन, अभिलाग, बन्ध"
கொழுப்பு,वसामय
சரிசெய்தல் சமன்பாடு,समायोजन समीकरण
அடோப் மண்,ऐडोब मृदा
கலப்படம்,अपमिश्रक
சாகச,अपस्थानिक
Aecidiospore,"एसीडियोस्पोर, एसीडियम बीजाणु"
ஏலியன் செயல்முறை,वातोढ़ प्रक्रिया
ஏயோலியன்,वातोढ़
காற்றோட்டம்,वातन करना
வான்வழி,"वायव, आकाशी"
ஏரோமானி,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
ஏரோசோல்,ऐरोसॉल
அவதூறு,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
ஏட்டாலஜி (நோயியல்,"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
காடு வளர்ப்பு,वनरोपण
கிளர்ச்சி,"विलोडन, प्रक्षोभन"
அக்மார்க்,"ऐगमार्क, कृष्यंक"
விவசாய,"भूमी संबंधी, कृषि संबंधी"
வேளாண் மருத்துவமனை,कृषि निदानालय
விவசாய உழைப்பு,"कृषि श्रम, खेतिहर मजदूर"
விவசாய சந்தைப்படுத்தல்,कृषि विपणन
விவசாய தொழில்நுட்பம்,कृषि प्रद्योगिकी
வேளாண்மை,"कृषि, खेतीबारी, कृषि विज्ञान"
வேளாண் வளர்ப்பை,कृषि वनवर्धन
வேளாண் பன்முகத்தன்மை,कृषि जैविक विविधता
வேளாண் வியாபார குறைபாடுகள்,कृषि जैविक दोष
வேளாண்வியல்,कृषि जैविकी
வேளாண் பன்முகத்தன்மை,कृषि जलवायुवीय विविधता
வேளாண் மண்டல,कृषि जलवायुवीय क्षेत्रीकरण
வளர்ப்பு,कृषि वानिकी
விவசாயவியல்,सस्य मृदा विज्ञान
வேளாண்,सस्य विज्ञान
அக்ரோபாஸ்டோரல்,कृषि पशुचारणिक
அக்ரோபிராசெசிங்,फसल प्रसंस्करण
அக்ரோஸ்டாலஜி,घास विज्ञान
வேளாண் வகை,सस्य प्ररूप
விமான ஆலை,अधिपादप
அகியோச்சி மண்,ऐकिओची मृदा
ஆல்பினிசம்,"वर्णकहीनता, अवर्णता"
அல்பிசோல்ஸ்,एल्फिसॉल
பாசி,"शैवाल, काई"
பாசி நோய்,शैवाल रोग
கார நீர்,क्षार जल
கார,क्षारीय
அல்லீல்,विकल्पी
அல்லீல கெமிக்கல்ஸ்,एलीलो रसायन
அல்லீலோமார்ப்,युग्मविकल्पी
அலெலோபதி,एलीलोपैथी
சந்து பயிர்,वीथी सस्यन
ஒதுக்கீடு,परनिषेक-फलता
Allocamy,परनिषेचन
அலோமெட்ரி,"सापेक्षमिति, ऐलोमैट्री"
அலோபோலிப்ளோயிட்,परबहुगुणित
அலோசினாப்சிஸ் (அலோசின்டெசிஸ்),"परयुग्मन, अपायुग्लन"
மாற்று தாங்கி,"एकातंर वर्ष फलन, एकांतरित फलन"
மாற்று நில பயன்பாடு,वैकल्पिक भूमि उपयोग
சுற்றுப்புறம்,परिवेश
அமெலியோரண்ட்,सुधारक
அமிடோசிஸ்,असूत्रीविभाजन
வெடிமருந்து,ऐमीनन
அம்மோனிகேஃபிகேஷன்,अमोनियन
அம்மோனியர்,अमोनीकारक
அமார்,"अप्रभावी रूप, अरूपी"
ஆம்பிமிக்ஸிஸ்,उभय मिश्रण
ஆம்போடெரிக்,उभयधर्मी
அனபோலிசம்,उपचय
காற்றில்லா,"अवायुजीव, अनॉक्सी जीव"
அனூப்ளோயிட்,असुगुणित
கோண நடவு,कोणीय रोपण
கால்நடை வளர்ப்பு,पशुपालन
விலங்கு மறுப்பு,पशु उच्छिष्ट
ஆற்றல் உயிரின,सजीव ऊर्जा
அனிசோப்ளோயிட்,असमगुणित
ஆண்டு ஆலை,एकवर्षीय पादप
ஆண்டு,वार्षिक
ஆன்டெஸிஸ்,"परागोद्भव, प्रफुल्लन"
ஆந்த்ராக்ஸ்,ऐन्थ्रेक्स
மானுடவியல் காரணி,मानवजनिक कारक
ஆண்டிபியோசிஸ்,प्रतिजीविता
நுண்ணுயிர்க்கொல்லி,"प्रतिजैविक, ऐन्टीबायोटिक"
மாற்று,प्रतिकारक
ஆக்ஸிஜனேற்றிகள்,प्रतिऑक्सीकारक
ஆன்டிடாக்சின்,प्रतिआविष
ANNULUS,वलयिका
அஃபிட்,"ऐफिड, माहू, चेपा"
அபிகல் மொட்டு,शीर्ष कलिका
நுனி ஆதிக்கம்,शिखाग्र प्रभाविता
Apulcalure (தேனீ வைத்திருத்தல்),मधुमक्खी पालन
Apomixis,असंगजनन
அப்போப்டொசிஸ்,एपोप्टोसिस
இணைப்பு,उपांग
பசி,क्षुधावर्धक
பயன்படுத்தப்பட்டது,अनुप्रयुक्त
நீர்வாழ் களை,जलीय खरपतवार
ஆர்போரியல்,"वृक्षीय, वृक्षवासी"
ஆர்பரைசேஷன்,प्रशाखायन
தொல்பொருள்-பொட்டானியல் பதிவுகள்,आद्य वानस्पतिक अभिलेख
பகுதி புள்ளிவிவரங்கள்,क्षेत्रांकड़
பகுதி,"क्षेत्र, क्षेत्रफल"
வறண்ட சுற்றுச்சூழல் அமைப்பு,शुष्क पारितंत्र
Aril,"बीजचोल, बीजोपांग"
நறுமணம்,"सौरभ, सुवास"
நறுமண ஆலை,सुगंधी पादप
நறுமண அரிசி,सुगंधित चावल
அம்பு,इक्षु पुष्पन
அசெப்ஸிஸ்,अपूति
அசெப்டிக்,"अपूतित, अज़र्म"
ஓரினச்சேர்க்கை பரப்புதல்,अलैंगिक प्रवर्धन
மதிப்பீடு,"आमाप, परख"
சொத்துக்கள்,परिसंपत्ति
ஒருங்கிணைப்பு,"स्वांगीकरण, आत्मसात्करण"
தொடர்பு,"साहचर्य, संघ"
ஆஸ்ட்ரிஜென்ட்,"स्तंभक, कषाय"
அசினாப்சிஸ்,असूत्रयुग्मन
அடாவிசம்,"पूर्वजता, ऐटाविज्म"
அணுசக்தி,कणित्र
