Marathi,Bengali
ऍसिडॉइड,অ্যাসিডয়েড
एओलियन माती,বায়বীয় মাটি
एकूण,সমষ্টি
एकत्रीकरण,সমষ্টি
कृषीशास्त्र,কৃষিবিদ্যা
कृषीशास्त्र,কৃষিবিদ্যা
A-क्षितिज,A- দিগন্ত
Ao-क्षितिज,আও-দিগন্ত
Aoo-क्षितिज,আও-দিগন্ত
मातीची हवेची क्षमता,মাটির বায়ু ক্ষমতা
मातीतील हवेचे प्रमाण,মাটির বায়ু উপাদান
एअर पिकनोमीटर,এয়ার পিকনোমিটার
ऍलिटिक माती,অ্যালিটিক মাটি
गाळाची माती,পলিমাটি
अॅम्फोलायटॉइड,অ্যামফোলাইটয়েড
आयन,অ্যানিয়ন
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
ऍरिस,আরিস
Ashlar दंड दगडी बांधकाम,আশলার সূক্ষ্ম গাঁথনি
Ashlar दगडी बांधकाम,আশলার রাজমিস্ত্রি
अझोनल माती,অ্যাজোনাল মাটি
मागचा अभिनेता,পেছনের অভিনেতা
मागची कमान,পিছনের খিলান
बॅक बँड,ব্যাক ব্যান্ড
मागे ब्रश,পিছনের ব্রাশ
परत तपासणी,ফিরে চেক
मागे काउंटर,পিছনে কাউন্টার
परत कटिंग,পিছনে কাটা
बॅक ड्राफ्ट डँपर,ব্যাক ড্রাফ্ট ড্যাম্পার
मागे निचरा,পিছনের ড্রেন
बॅक ड्रॉप,ব্যাকড্রপ
परत भरा,ব্যাক ফিল
बॅक फिलेट,ব্যাক ফিললেট
बॅक फ्लॅप बिजागर,পিছনে ফ্ল্যাপ কবজা
परत प्रवाह कनेक्शन,পিছনে প্রবাহ সংযোগ
परत प्रवाह प्रतिबंधक,পিছনে প্রবাহ প্রতিরোধক
बॅक गेज,ব্যাক গেজ
मागे गटार,পিছনে নর্দমা
मागे चूल,পিছনের চুলা
पाठीराखा,ব্যাকিং
बॅकिंग बोर्ड,ব্যাকিং বোর্ড
पाठीचा दाब,ফিরতি চাপ
बॅक प्रोप,পিছনে প্রপ
मागची दृष्टी,পিছনের দৃষ্টি
परत पाणी,পিঠের জল
गोंधळ,বিভ্রান্ত
बॅगवर्क,ব্যাগওয়ার্ক
गिट्टी,ব্যালাস্ট
बॉल क्ले,বল কাদামাটি
बॉल कोन क्लॅम्प,বল শঙ্কু বাতা
काटेरी तार,কাঁটাতার
बार कुत्रा,বার কুকুর
बार्ज बोर्ड,বার্জ বোর্ড
बेरियम सल्फेट चाचणी,বেরিয়াম সালফেট পরীক্ষা
बॅरेज,ব্যারেজ
बॅरेट,ব্যারেট
पाया,বেস
बेस एक्सचेंज,বেস বিনিময়
बेस लाइन,বেস লাইন
तळघर,বেসমেন্ট
तळघर भिंत,বেসমেন্ট প্রাচীর
तळपट्टी,বেস প্লেট
"बेस प्लेट, समायोज्य","বেস প্লেট, নিয়মিত"
बेस संपृक्तता,বেস স্যাচুরেশন
बेसॉइड,বেসয়েড
वटवाघूळ,ব্যাট
बाथ आणि WC,স্নান এবং WC
पिठात पेग,ব্যাটার পেগ
पिठात घाट,ব্যাটার পিয়ার
पिठात नियम,ব্যাটারের নিয়ম
बल्क (बाल्क),বাল্ক (বাল্ক)
खाडी,বে
वाहक,বহনকারী
सहन करण्याची क्षमता,ভারবহন ক্ষমতা
पत्करणे ब्लॉकला,ভারবহন গাদা
बेअरिंग स्ट्रॅटम,ভারবহন স্তর
पलंग,বিছানা
बेडिंग विमान,বেডিং প্লেন
बेड संयुक्त,বেড জয়েন্ট
बेड रॉक,বিছানা শিলা
बेड रूम,শয়নকক্ষ
मेण,মোম
बेल बॉक्स,বেল বক্স
बेलिंग बादली,বেলিং বালতি
बेलोफ्राम,বেলোফ্রাম
बेंच केलेला पाया,বেঞ্চড ফাউন্ডেশন
बेंचिंग,বেঞ্চিং
बेंच मार्क,মাপকাঠি
लाभ खर्चाचे विश्लेषण,বেনিফিট খরচ বিশ্লেষণ
बर्म,বারম
Bevelled बंद,বেভেলড ক্লোজার
"B-क्षितिज,&quot;B-","বি-দিগন্ত,&quot;বি-"
बायट,বিয়াট
बाईंडर,বাইন্ডার
बंधनकारक साहित्य,বাঁধাই উপাদান
बायोटचा सिद्धांत,বায়োটের তত্ত্ব
बिटुमेन,বিটুমেন
काळी कापूस माती,কালো তুলার মাটি
काळी पृथ्वी,কালো পৃথিবী
काळी हरळीची माती,কালো টার্ফ মাটি
ब्लेड,ব্লেড
ब्लास्ट फर्नेस स्लॅग सिमेंट,ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট
ब्लॉक रचना,অবরুদ্ধ কাঠামো
बोगी प्रतिकार,বগি প্রতিরোধ
बोग-लोह धातू,বগ-লোহা আকরিক
बाँड,বন্ধন
बंधपत्रित सदस्य,বন্ডেড সদস্য
बंध पोस्ट टेंशनिंग,বন্ধন পোস্ট উত্তেজনা
बोंड दगड,বন্ড পাথর
बांधलेले पाणी,আবদ্ধ জল
पेटी गटर,বক্স নর্দমা
ब्रेस,বন্ধনী
वीट-ऑन-एज,ইট-অন-এজ
लगाम,লাগাম
तेज,উজ্জ্বলতা
तपकिरी माती,বাদামী মাটি
इमारत,বিল্ডিং
इमारत सर्वेक्षक,বিল্ডিং সার্ভেয়ার
बफर,বাফার
बफर वक्र,বাফার বক্ররেখা
बफरिंग,বাফারিং
बफरिंग क्षमता,বাফার ক্ষমতা
बंदर,বান্দর
बट्रेस,বাট্রেস
सी-क्षितिज,সি-দিগন্ত
केबल,তারের
केबल मोल्डिंग,তারের ছাঁচনির্মাণ
केबल टाकणे,ক্যাবলিং
केबिन,কেবিন
केबिन हुक,কেবিন হুক
कपाट,মন্ত্রিসভা
कॅबोल्ट सोडला,ক্যাবল্টের পদত্যাগ
