Tamil,Punjabi
A B வகுப்பு பெருக்கி,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
பிறழ்வு,ਵਿਗਾੜ
அசாதாரண பரிமாற்றம்,ਅਸਧਾਰਨ ਸੰਚਾਰ
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
ஸ்பெக்ட்ரம் காணவில்லை,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"முழுமையான, முழுமையான, நிலையான, சரியான","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
முழுமையான ஈரப்பதம்,ਪੂਰਨ ਨਮੀ
முழுமையான வேகம்,ਪੂਰਨ ਗਤੀ
முழுமையான கவனிப்பு,ਪੂਰਨ ਨਿਰੀਖਣ
முழுமையான வெப்பநிலை,ਪੂਰਨ ਤਾਪਮਾਨ
முழுமையான பூஜ்ஜியம்,ਪੂਰਨ ਜ਼ੀਰੋ
உறிஞ்சி,ਸੋਖਣਾ
"உறிஞ்சும், உறிஞ்சும்","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
உறிஞ்சும் திறன்,ਸਮਾਈ ਸਮਰੱਥਾ
உறிஞ்சுதல்,ਸਮਾਈ
உறிஞ்சக்கூடியது,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
உறிஞ்சும் தன்மை,ਸਮਾਈ
பன்மடங்கு விகிதம்,ਗੁਣਾ ਅਨੁਪਾਤ
முடுக்கி,ਤੇਜ਼ ਕਰੋ
விரைந்தார்,ਜਲਦੀ
முடுக்கம்,ਪ੍ਰਵੇਗ
ஈர்ப்பு முடுக்கம்,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
முடுக்கி,ਐਕਸਲੇਟਰ
முடுக்கி,ਐਕਸਲੇਟਰ
முடுக்கமானி,ਐਕਸਲੇਰੋਮੀਟਰ
முன் அழுத்தம் கொடுப்பவர்,prestresser
ஏற்றுக்கொள்ளக்கூடிய சோதனை,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
ஏற்பவர்,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
நன்கொடையாளர் மூலக்கூறு,ਦਾਨੀ ਅਣੂ
"அணுகல், காத்திருப்பு, அணுகல்","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
அணுகல்,ਪਹੁੰਚਯੋਗਤਾ
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
அணுகல் நேரம்,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
பார்வையாளர் பிழை,ਵਿਜ਼ਟਰ ਗਲਤੀ
சரிசெய்தல்,ਵਿਵਸਥਾ
திரட்டப்பட்டது,ਇਕੱਠਾ ਕੀਤਾ
"திரட்சி, குவிப்பு","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
திரட்டி,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
துல்லியம்,ਸ਼ੁੱਧਤਾ
யதார்த்தம்,ਅਸਲੀਅਤ
நிறமற்ற லென்ஸ்,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
வண்ணமயமான,ਅਕ੍ਰੋਮੈਟਿਕ
வண்ணமயமான தன்மை,ਰੰਗੀਨਤਾ
ஒலியியல்,ਧੁਨੀ
ஒலி எதிர்ப்பு,ਸਾਊਂਡਪਰੂਫ਼
ஒலி ஃபோனான்,ਧੁਨੀ ਫੋਨੋਨ
ஒலி அலகு,ਆਵਾਜ਼ ਯੂਨਿਟ
ஒலியியல்,ਧੁਨੀ
ஒலி ஜெனரேட்டர்,ਆਵਾਜ਼ ਜਨਰੇਟਰ
செயல் மற்றும் எதிர்வினை,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
செயல்படுத்துதல்,ਸਰਗਰਮੀ
செயல்படுத்தும் ஆற்றல்,ਸਰਗਰਮੀ ਊਰਜਾ
"செயல்படுத்துபவர், செயல்படுத்துபவர்","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
செயலில்,ਕਿਰਿਆਸ਼ੀਲ
செயற்பாடு,ਸਰਗਰਮੀ
உண்மையான மன அழுத்தம்,ਅਸਲ ਤਣਾਅ
கிசுகிசுத்தல்,ਘੁਸਰ-ਮੁਸਰ
மொத்தத்தில்,ਸੰਪੇਕਸ਼ਤ
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)","ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)","ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
சேர்க்கை,additive
ஒட்டுதல்,adhesion
பிசின் ஆற்றல்,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
அடியாபட்,adiabat
அடியாபாடிக்,adiabatic
