Tamil,Hindi
வெஸ்ட்மின்ஸ்டர் அபே,वैस्‍टम‍िन्‍स्‍टर मठ
துறவு,मालखाना
அடிமைத்தனத்தை ஒழித்தல்,दासता का उन्मूलन
பழங்குடியினர்,आदिवासी
ஆபிரகாம் சகாப்தம்,अब्राहम काल
இல்லாத நில உரிமையாளர்கள்,प्रवासी ज़मींदार
கலைக்கூடம்,अकादमी; विद्वत्परिषद
அக்ரா மாநாடு,अक्रा सम्मेलन
திரட்டல்கள்,"प्रोद्भूत सामग्री, उपचित सामग्री"
வளர்ப்பு,"परसंस्कृति-ग्रहण, उत्संस्करण"
அசெல்டாமா,एसेलडामा
அச்சேயன் (=ஆச்சியன்),एकियायी
அச்சேயன் லீக் (=ஆச்சியன் லீக்),एकीयायी लीग
அக்ரோபோலிஸ்,एक्रोपोलिस
ஆக்டா டைர்னா,"शाही रोज़नामचा, दैनिक समाचार"
ஆக்டா செனடஸ்,सीनेट का कार्यवृत्त
Acte Additionel,"अपर प्रपत्र, एक्टे एडिशनेल"
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),सक्रिय रिकार्ड
அடையும் செயல்,अपकीर्त्ति अधिनियम
இழப்பீடு மற்றும் மறதியின் செயல்,दंड विमुक्ति एवं विस्मरण अधिनियम
தீர்வு சட்டம்,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
விளம்பர ஒப்பந்த முத்திரை,संविदा मुद्रा
அதுலமைட்டுகள்,आडुलम गुटवादी
எதிரி,विपक्षी
எதிரி,2. शत्रु
ஏயோன்,युग
ஏரேரியம்,इरेरियम
வான்வழிப் போர்,"आकाशी युद्ध, हवाई लड़ाई"
ஏட்டோலியன் லீக்,"एटोलियन लीग, एटोलियायी संघ"
வயது,"काल, युग"
முதுமை (=வயதான),"काल-प्रभावन, जीर्णन"
வயதான செயல்முறை,जीर्णन-प्रक्रिया
அகெலாய்,एजिलायी
வீரத்தின் வயது,शौर्य युग
அறிவாற்றல் வயது,"प्रबोध युग, ज्ञानोदय युग"
பெரிக்கிள்ஸ் வயது,पेरीक्लीज़ युग
பகுத்தறிவு வயது,तर्क प्रधान युग
விவசாயம்,भूमि सुधारवाद
விவசாய இயக்கம்,भूमि सुधारवादी आंदोलन
அல்பியன்,एलबियन
ஆல்பம்,अलबम
ஆல்டர்மேன்,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
கவர்ச்சியான ஆயுதங்கள்,कुलांकित आयुध
அமிட்டி,मैत्री
ஆம்ஃபிக்டியோனிக் கவுன்சில்,एम्फिकटिआनी परिषद
ஆம்ஃபிக்டியோனிக் லீக்,ऊपर देo : Amphictyonic Council
ஆம்பிதியேட்டர்,"रंगवाट, रंगभूमि, अखाड़ा"
அம்ரி நல் குழு (மட்பாண்டங்கள்),(मृद्भांडों का) अमरीनाल वर्ग
அனாக்ரோனிசம்,"काल-वैषम्य, काल-दोष"
காலமற்ற,काल-वैषम्ययुक्त
மூதாதையர்,पूर्वज
முன்னோர் வழிபாடு,पितृ-पूजा
பரம்பரை,कुल-परंपरा
பரம்பரை,2. वंश
பரம்பரை,3. वंश-क्रम
பரம்பரை,4. उच्च कुल
பண்டைய ஆட்சி,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
பண்டைய,"पुरातन, प्राचीन"
பழங்கால பாலாட்,प्राचीन गाथा
பண்டைய நம்பிக்கை,प्राचीन मत
பண்டைய வழக்கம்,प्राचीन प्रथा
பண்டைய வரலாறு,प्राचीन हतिहास
பழங்கால நினைவுச்சின்னங்கள்,प्राचीन स्मारक
சிறுகதை,उपाख्यान
ஏஞ்சலோட்,एन्जिलोट
ஏஞ்சலஸ்,देवदूत पूजा
ஆஞ்செவின் (=அஞ்செவின்),आन्जवै
கோணங்கள்,ऐन्गल्स
ஆங்கிலிகன்,आंग्लिक
ஆங்கிலிகன் ஒற்றுமை,आंग्ल चर्च
ஆங்கிலிக்கனிசம்,आंग्ल चर्चवाद
ஆங்கிலோ-போப்,आंग्ल विरोधी
ஆங்கிலோ-ஃபோபியா,आंग्ल-दुर्भीति
ஆங்கிலோ-சாக்சன்,आंग्ल सैक्सन
ஆங்கிலோ-சாக்சோனிசம்,आंग्ल-सैक्सनवाद
அன்னாலிஸ்ட்,"आख्यान-लेखक, आख्यानकार"
அன்னல்,"वर्षवृत्त, आख्यान, ख्यात"
இணைப்பு,"अधिनहन, मिला देना"
ஆன்டி-பெல்லம்,युद्ध पूर्व (स्थिति)
முன் தேதி,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
மதகுருத்துவத்திற்கு எதிரானது,पादरी प्रथा विरोधी
மதகுருவுக்கு எதிரான சட்டம்,पादरी प्रथा विरोधी विधान
பழமை,"पुरावशेष, पुरावस्तु"
எதிர்ப்பு வாடகை,लगान-विरोधी
எதிர்ப்பு வாடகை,2. एन्टी रैन्ट पार्टी
யூத எதிர்ப்பு,"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद"
அன்சாக்,ऐन्ज़ेक
அப்பெல்லா,नागरिक सभा
அரலு,अरालू
பேராயர்,आर्च बिशप
ஆர்ச் டச்சி,आर्च डची
ஆர்ச் டியூக்,आर्च ड्यूक
காப்பகம் (=காப்பக சேகரிப்பு),पुरालेख संग्रह
ஆர்க்கிபிஸ்கோபேட்,महाधर्माध्यक्ष का पद
பிரபுத்துவம்,अभिजाततंत्र
பிரபு,अभिजात
பிரபுத்துவ ஸ்னோபரி,अभिजातीय दंभ
அரிஸ்டாட்டிலியன்,अरस्तूवादी
அர்மடா,आर्मेडा
அர்மடா (=ஸ்பானிய அர்மடா),स्पेन का आर्मेडा
கவசக்காரர் (=கவசக்காரர்),कवच-विशारद
கவசம் (=கவசம்),"कवच, बख्तर, वर्म"
ஆயுதக்கடைக்காரர்,अo देo armorist
ஆர்யன்,आर्य
ஆர்யன்,2. कुलीन
அஸ்காரி,अस्कारी
ஒதுக்கு,"आसिग्ना, भू-प्रतिभृत मुद्रा"
உதவு,अभिसत्र
உதவு,2. विधिपृच्छा
உதவு,3. अभिसत्राधिनियम
ஆயுதச் சட்டம்,आयुध अभिसत्राधिनियम
அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்,डारेन उपस्थापन अभिसत्राधिनियम
மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்,मृत पूर्वज अभिसत्राधिनियम
நாவல் Disseisin Assize,अभिनव अधिधारणोत्सादन अभिसत्राधिनियम
கொடுமை,नृशंसता
தாக்குதல்,आक्रमण
ஆலிக் கவுன்சில்,"सर्वोच्च न्यायालय, ऑलिक काउन्सिल"
கோடரியின் கோடாரி (=கெடெஸ் கோடாரி),गेडिस समाधान
அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு),धुरी राष्ट्र
பாபிலோன்,"बाबुल, बेबीलोन"
பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு),बेबीलोनी बंदीकरण
பச்சனல் பக்தர்,बाखुसी उपासक
பச்சனாலியா,मद्यपानोत्सव
இளங்கலை,युवा योद्धा
பாக்தாத் ஒப்பந்தம்,"बगदाद अनुबंध, बगदाद पैक्ट"
பால்கன் லீக்,बाल्कन लीग
பால்கன் ஒப்பந்தம்,बाल्कन अनुबंध
பால்கன் போர்கள்,बाल्कन युद्ध
பால்டிக் ஒப்பந்தம்,बाल्टिक अनुबंध
கொள்ளைக்காரன்,दस्यु
பாண்டுங் மாநாடு,बांडुंग सम्मेलन
நாடுகடத்தல்,"निर्वासन, देश-निकाला"
பதாகை,"पताका, ध्वजा"
காட்டுமிராண்டித்தனம்,बर्बर
பார்பிகன்,कोट-घूँघट
பர்தோலி சத்தியாகிரகம்,बारदोली सत्याग्रह
