English,Punjabi
Abnormal,ਅਸਧਾਰਨ
Abort,ਅਧੂਰਾ ਛੱਡਣਾ
Abrasion,ਘ੍ਰਿਣਾ
Abrupt,ਅਚਾਨਕ
Absolute field strength,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
Absolute temperature,ਪੂਰਨ ਤਾਪਮਾਨ
Absolute value,ਸਹੀ ਮੁੱਲ
Absorb,ਸੋਖਣਾ
Absorption co-efficient,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
Absorption loss,ਸਮਾਈ ਨੁਕਸਾਨ
Abstract,ਸਾਰ
Accelerometer,ਐਕਸੀਲਾਮੀਟਰ
Acceptance test,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
Access,ਪਹੁੰਚ
Access control,ਐਕਸੈਸ ਕੰਟਰੋਲ
Access point,ਐਕਸੈਸ ਪੁਆਇੰਟ
Access time,ਐਕਸੈਸ ਟਾਈਮ
Accessibility,ਪਹੁੰਚਯੋਗਤਾ
Accumulator cell,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
Accuracy,ਸ਼ੁੱਧਤਾ
Accurate,ਸਹੀ
Achromatic lens,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
Acid,ਐਸਿਡ
Acid proof,ਐਸਿਡ ਦਾ ਸਬੂਤ
Acidity,ਐਸਿਡਿਟੀ
Acknowledgement bit,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
Acoustic,ਧੁਨੀ
Acoustic communication,ਧੁਨੀ ਸੰਚਾਰ
Acoustic diffusion,ਧੁਨੀ ਫੈਲਾਉਣ
Acoustic equalizer,ਧੁਨੀ ਬਰਾਬਰੀ
Acoustic feedback,ਧੁਨੀ ਫੀਡਬੈਕ
Acoustic filter,ਧੁਨੀ ਫਿਲਟਰ
Acoustic impedance,ਧੁਨੀ ਰੁਕਾਵਟ
Acoustic masking,ਧੁਨੀ ਮਾਸਕਿੰਗ
Acoustic power,ਧੁਨੀ ਸ਼ਕਤੀ
Acoustic property,ਧੁਨੀ ਸੰਪਤੀ
Acoustic reactance,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
Acoustic reflex,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
Acoustic tile,ਧੁਨੀ ਟਾਈਲ
Acoustic wave,ਧੁਨੀ ਲਹਿਰ
Acoustical absorption,ਧੁਨੀ ਸਮਾਈ
Acoustical attenuation constant,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
Acoustical damping,ਧੁਨੀ ਗਿੱਲੀ
Acoustical delay line,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
Acoustical distortion,ਧੁਨੀ ਵਿਗਾੜ
Acoustical duct,ਧੁਨੀ ਨਲੀ
Acoustical energy,ਧੁਨੀ energy ਰਜਾ
Acoustical feedback,ਧੁਨੀ ਫੀਡਬੈਕ
Acoustical filter,ਧੁਨੀ ਫਿਲਟਰ
Acoustical impedance,ਧਾਰਨਾ
