Tamil,Bengali
A B வகுப்பு பெருக்கி,A B শ্রেণীর পরিবর্ধক
பிறழ்வு,বিকৃতি
அசாதாரண பரிமாற்றம்,অস্বাভাবিক সংক্রমণ
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
ஸ்பெக்ட்ரம் காணவில்லை,অনুপস্থিত বর্ণালী
"முழுமையான, முழுமையான, நிலையான, சரியான","পরম, পরম, ধ্রুবক, নিখুঁত"
முழுமையான ஈரப்பதம்,পরম আর্দ্রতা
முழுமையான வேகம்,পরম গতি
முழுமையான கவனிப்பு,পরম পর্যবেক্ষণ
முழுமையான வெப்பநிலை,পরম তাপমাত্রা
முழுமையான பூஜ்ஜியம்,পরম শূন্য
உறிஞ்சி,শোষণ করা
"உறிஞ்சும், உறிஞ்சும்","শোষক, শোষক"
உறிஞ்சும் திறன்,শোষণ ক্ষমতা
உறிஞ்சுதல்,শোষণ
உறிஞ்சக்கூடியது,শোষক
உறிஞ்சும் தன்மை,শোষণ
பன்மடங்கு விகிதம்,বহুগুণ অনুপাত
முடுக்கி,ত্বরান্বিত করা
விரைந்தார்,তাড়াতাড়ি
முடுக்கம்,ত্বরণ
ஈர்ப்பு முடுக்கம்,অভিকর্ষের ত্বরণ
முடுக்கி,এক্সিলারেটর
முடுக்கி,এক্সিলারেটর
முடுக்கமானி,অ্যাক্সিলোমিটার
முன் அழுத்தம் கொடுப்பவர்,prestresser
ஏற்றுக்கொள்ளக்கூடிய சோதனை,গ্রহণযোগ্য পরীক্ষা
ஏற்பவர்,গ্রহণকারী
நன்கொடையாளர் மூலக்கூறு,দাতা অণু
"அணுகல், காத்திருப்பு, அணுகல்","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
அணுகல்,অ্যাক্সেসযোগ্যতা
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
அணுகல் நேரம்,প্রবেশাধিকার সময়
பார்வையாளர் பிழை,ভিজিটর ত্রুটি
சரிசெய்தல்,সমন্বয়
திரட்டப்பட்டது,পুঞ্জীভূত
"திரட்சி, குவிப்பு","accumulation, accumulation"
திரட்டி,সঞ্চয়কারী
துல்லியம்,সঠিকতা
யதார்த்தம்,বাস্তবতা
நிறமற்ற லென்ஸ்,অ্যাক্রোমেটিক লেন্স
வண்ணமயமான,অ্যাক্রোমেটিক
வண்ணமயமான தன்மை,বর্ণহীনতা
ஒலியியல்,শাব্দিক
ஒலி எதிர்ப்பு,শব্দরোধী
ஒலி ஃபோனான்,শাব্দিক ফোনন
ஒலி அலகு,শব্দ ইউনিট
ஒலியியல்,শাব্দিক
ஒலி ஜெனரேட்டர்,শব্দ জেনারেটর
செயல் மற்றும் எதிர்வினை,কর্ম এবং প্রতিক্রিয়া
செயல்படுத்துதல்,সক্রিয়করণ
செயல்படுத்தும் ஆற்றல்,অ্যাক্টিভেশন শক্তি
"செயல்படுத்துபவர், செயல்படுத்துபவர்","সক্রিয়কারী, সক্রিয়কারী"
செயலில்,সক্রিয়
செயற்பாடு,সক্রিয়তা
உண்மையான மன அழுத்தம்,প্রকৃত চাপ
கிசுகிசுத்தல்,ফিসফিস
மொத்தத்தில்,যোগফল
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
சேர்க்கை,সংযোজনকারী
ஒட்டுதல்,আনুগত্য
பிசின் ஆற்றல்,আঠালো শক্তি
அடியாபட்,adiabat
அடியாபாடிக்,adiabatic
வெப்ப காப்பு,তাপ নিরোধক
இணைப்பு,সংযুক্তি
