Marathi,Odiya
अबेलियन गट,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
अबेलियन अर्धसमूह,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
abscissa,abscissa
निरपेक्ष,ସଂପୂର୍ଣ୍ଣ
परिपूर्ण अभिसरण,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
पूर्ण त्रुटी,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
परिपूर्ण कमाल,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
परिपूर्ण किमान,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
परिपूर्ण मूल्य,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
परिपूर्ण वेग,ସଂପୂର୍ଣ୍ଣ ବେଗ
अमूर्त बीजगणित,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
अमूर्त गट सिद्धांत,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
प्रवेग,ତ୍ୱରଣ
गुरुत्वाकर्षणामुळे प्रवेग,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
स्वीकार्य निवड संच,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
स्वीकार्य गुणवत्ता पातळी,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
स्वीकार्य श्रेणी,ଗ୍ରହଣୀୟ ପରିସର |
स्वीकार्य विश्वसनीयता पातळी,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
स्वीकार्य नमुना,ଗ୍ରହଣୀୟ ନମୁନା
संचित त्रुटी,ସଂଗୃହିତ ତ୍ରୁଟି |
अचूकता,ସଠିକତା
अभिनय शक्ती,ଅଭିନୟ ଶକ୍ତି
क्रिया,କାର୍ଯ୍ୟ
क्रिया आणि प्रतिक्रिया,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
वास्तविक विज्ञान,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
तीव्र कोन त्रिकोण,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
अॅसायक्लिक,acyclic
जोडा,ଯୋଡନ୍ତୁ |
जोडणारा,ଆଡର୍
या व्यतिरिक्त,ଯୋଗ
जोड सूत्र,ଯୋଗ ସୂତ୍ର
जटिल संख्यांची बेरीज,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
कार्ये जोडणे,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
मॅट्रिक्स जोडणे,ମାଟ୍ରିକ୍ସର ଯୋଗ
बहुपदी जोडणे,ବହୁଭାଷୀ ଯୋଗ |
संभाव्यता जोडणे,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
वेक्टर जोडणे,ଭେକ୍ଟର ଯୋଗ
अतिरिक्त प्रमेय,ଯୋଗ ତତ୍ତ୍ୱ
मिश्रित गट,ଯୋଗୀ ଗୋଷ୍ଠୀ |
additive inverse,ଯୋଗୀ ଓଲଟା |
अतिरिक्त गुणधर्म,ଯୋଗୀ ସମ୍ପତ୍ତି |
जोड,ଯୋଗୀତା |
संलग्नता मॅट्रिक्स,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
समीप,ସଂଲଗ୍ନ
समीप कोन,ସଂଲଗ୍ନ କୋଣ
समीप शिरोबिंदू,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
संलग्न,ସଂଲଗ୍ନ
शेजारील,ସଂଲଗ୍ନ
संलग्न निर्धारक,ନିର୍ଣ୍ଣୟକାରୀ
संलग्न विभेदक समीकरण,ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ
संलग्न समीकरण,ସମୀକରଣ
संलग्न मॅट्रिक्स,ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |
मॅट्रिक्सचा संलग्न,ମାଟ୍ରିକ୍ସର ଯୋଗ
मॅट्रिक्स समायोजित करा,ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |
स्वीकार्य निर्णय कार्य,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
स्वीकार्य गृहीतक,ଗ୍ରହଣୀୟ ଅନୁମାନ
वायुगतिकीय शक्ती,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
वायुगतिकी,ଏରୋଡାଇନାମିକ୍ସ |
affine भूमिती,ଆଫାଇନ୍ ଜ୍ୟାମିତି |
affine मॅपिंग,ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |
affine परिवर्तन,ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |
एकत्रित व्हेरिएबल्स,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
बीजगणित,ବୀଜ ବିବେଚନା
बीजगणितानुसार बंद,ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |
बीजगणितीय समीकरण,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
बीजगणितीय अभिव्यक्ती,ବୀଜ ବର୍ଣ୍ଣନା
बीजगणितीय फॉर्म,ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |
बीजगणितीय कार्य,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
बीजगणितीय भूमिती,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
बीजगणितीय गुणाकार,ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |
बीजगणित प्रणाली,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
सर्व-पूर्णांक समस्या,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
वाटप समस्या,ବଣ୍ଟନ ସମସ୍ୟା
वर्णक्रमानुसार नोटेशन,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
वर्णमाला वर्ण,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
पर्यायी कोन,ବିକଳ୍ପ କୋଣ
पर्यायी फॉर्म,ବିକଳ୍ପ ଫର୍ମ |
पर्यायी गट,ବିକଳ୍ପ ଗୋଷ୍ଠୀ
पर्यायी मॅट्रिक्स,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
पर्यायी मालिका,ବିକଳ୍ପ କ୍ରମ |
पर्यायी गृहीतक,ବିକଳ୍ପ ଅନୁମାନ
पर्यायी ऑप्टिमा,ବିକଳ୍ପ ଅପ୍ଟିମା |
पर्यायी परिणाम,ବିକଳ୍ପ ଫଳାଫଳ |
अॅनालॉग-टू-डिजिटल कनवर्टर,ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |
अॅनालॉग संगणक,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
विश्लेषण,ବିଶ୍ଳେଷଣ |
सहप्रसरणाचे विश्लेषण,କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |
गणना डेटाचे विश्लेषण,ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |
भिन्नतेचे विश्लेषण,ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |
विश्लेषणात्मक भूमिती,ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |
विश्लेषणात्मक कार्य,ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ
कोन,କୋଣ
संपर्क कोन,ଯୋଗାଯୋଗ କୋଣ
विक्षेपण कोन,ବିଘ୍ନର କୋଣ |
