Assamese,Malayalam
abacus,അബാക്കസ്
অস্বাভাৱিক সমাপ্তি,അസാധാരണമായ അവസാനിപ്പിക്കൽ
abort,ഉപേക്ഷിക്കുക
নিৰপেক্ষ,കേവല
নিৰপেক্ষ ঠিকনা,സമ്പൂർണ്ണ വിലാസം
নিৰপেক্ষ সম্বোধন,സമ്പൂർണ്ണ അഭിസംബോധന
নিৰপেক্ষ এছেম্বলাৰ,കേവല അസംബ്ലർ
নিৰপেক্ষ ক&#39;ড,കേവല കോഡ്
নিৰপেক্ষ আদেশ,സമ്പൂർണ്ണ കമാൻഡ്
নিৰপেক্ষ তথ্য,സമ്പൂർണ്ണ ഡാറ്റ
নিৰপেক্ষ নিৰ্দেশনা,സമ്പൂർണ്ണ നിർദ്ദേശം
নিৰপেক্ষ ধৰণ,കേവല മോഡ്
নিৰপেক্ষ পথ,കേവല പാത
নিৰপেক্ষ প্ৰগ্ৰেমিং,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
বিমূৰ্ত শ্ৰেণী,അമൂർത്ത ക്ലാസ്
বিমূৰ্ত তথ্যৰ ধৰণ,അമൂർത്ത ഡാറ്റ തരം
বিমূৰ্ত মেচিন,അമൂർത്ത യന്ത്രം
বিমূৰ্ত চিহ্ন,അമൂർത്ത ചിഹ്നം
বিমূৰ্ত বাক্যবিন্যাস,അമൂർത്തമായ വാക്യഘടന
গ্ৰহণযোগ্যতা পৰীক্ষা,സ്വീകാര്യത പരിശോധന
প্ৰৱেশ প্ৰমাণীকৰণ,ആക്സസ് പ്രാമാണീകരണം
প্ৰৱেশ ক&#39;ড,പ്രവേശന കോഡ്
প্ৰৱেশ নিয়ন্ত্ৰণ,പ്രവേശന നിയന്ത്രണം
এক্সেছ স্কেন,ആക്സസ് സ്കാൻ
আনুষংগিক বস্তু,ഉപസാധനം
একাউণ্ট,അക്കൗണ്ട്
একাউণ্ট আইডি,അക്കൗണ്ട് ID
এক্যুলেটৰ,ശേഖരണം
শুদ্ধতা,കൃത്യത
acess,പ്രവേശനം
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
acess index,പ്രവേശന സൂചിക
acess key,ആക്സസ് കീ
acess মেট্ৰিক্স,ആക്സസ് മാട്രിക്സ്
প্ৰৱেশ ধৰণ,ആക്സസ് മോഡ്
acess বিশেষাধিকাৰ,ആക്സസ് പ്രിവിലേജ്
acess security,ആക്സസ് സുരക്ഷ
এচেছ চাৰ্ভাৰ,ആക്സസ് സെർവർ
acess সময়,പ്രവേശന സമയം
স্বীকৃতি,അംഗീകാരം
শব্দবিজ্ঞান,ശബ്ദശാസ്ത്രം
সংক্ষিপ্ত ৰূপ,സംക്ഷേപം
কাৰ্য্য বাৰ্তা,പ്രവർത്തന സന്ദേശം
সক্ৰিয়কৰণ,സജീവമാക്കൽ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),സജീവ സെർവർ പേജ് (ASP)
সক্ৰিয় সংস্কৰণ,സജീവ പതിപ്പ്
অচক্ৰীয়,അസൈക്ലിക്
অচক্ৰীয় গ্ৰাফ,അസൈക്ലിക് ഗ്രാഫ്
আদা ভাষা,അഡാ ഭാഷ
এডাপ্টাৰ,അഡാപ്റ്റർ
যোগ কৰা,ചേർക്കുക
ফাইল যোগ কৰক,ഫയൽ ചേർക്കുക
অপাৰেচন যোগ কৰক,പ്രവർത്തനം ചേർക്കുക
adder,ചേർക്കുന്നയാൾ
ঠিকনা,വിലാസം
ঠিকনা বাছ,വിലാസം ബസ്
ঠিকনা নথিপত্ৰ,വിലാസ ഫയൽ
ঠিকনা বিন্যাস,വിലാസ ഫോർമാറ്റ്
ঠিকনা উৎপাদক,വിലാസ ജനറേറ്റർ
ঠিকনা ৰেখা,വിലാസ ലൈൻ
ঠিকনা মেপিং,വിലാസ മാപ്പിംഗ്
ঠিকনা পইণ্টাৰ,വിലാസ സൂചിക
ঠিকনা পঞ্জীয়ন,വിലാസ രജിസ്റ്റർ
ঠিকনা সমাধান,വിലാസം റെസലൂഷൻ
ঠিকনা অনুবাদ,വിലാസ വിവർത്തനം
ঠিকনাযুক্ত মেমৰি,അഭിസംബോധന ചെയ്ത മെമ്മറി
সম্বোধন কৰা,അഭിസംബോധന
পৰ্যাপ্ততাৰ মাপকাঠী,പര്യാപ്തത മാനദണ്ഡം
সংযুক্ত,അനുബന്ധം
প্ৰশাসন,ഭരണകൂടം
প্ৰশাসক,കാര്യനിർവാഹകൻ
এডোব এক্ৰ&#39;বেট,അഡോബ് അക്രോബാറ്റ്
এডোব ফটোশ্বপ,അഡോബ് ഫോട്ടോഷോപ്പ്
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
উন্নত তথ্য,വിപുലമായ ഡാറ്റ
উন্নত তথ্য ব্যৱস্থা,വിപുലമായ വിവര സംവിധാനം
উন্নত প্ৰযুক্তি (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
এজেণ্ট,ഏജന്റ്
একত্ৰীকৰণ,സമാഹരണം
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus পৃষ্ঠা নিৰ্মাতা,ആൽഡസ് പേജ് മേക്കർ
