Gujarati,Hindi
મહારમાન સપાટી,अपाक्ष पृष्ठ
પેટ,उदर
પેટનો એરોર્ટા,उदर महाधमनी
આધાર ગેંગલિયા,उदर गुच्छिका
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,अबेलमॉस्कस एस्कुलेन्टस
વિપુલતા,विपथन
નાજુક,ऐबीज (बलूत)
એબિંગ્ડન કાચબો,ऐबिंग्डन कछुआ
સ્વત્વાર્પણ,अजीवात्जनन
અહંકારી,अजीवीय
અભણ પરિબળ,"अजीवीय कारक, अजैव कारक"
અસામાન્ય પેશાબ,अपसामानय मूत्र
એબીઓ રક્ત જૂથ,ए.बी.ओ. रुधिर वर्ग
સદસ્યાટ,एब्सिसिक अम्ल
વિકલાંગતા,विलगन
શોષવું,अवशोषण करना
શોષણ ટોચ,अवशोषण शिखर
સમાવેશ,अवशोषण
બાવળ,अकेशिया कैटेच्यू
એકરિયા અરબીકા,अकेशिया अरेबिका (बबूल)
એકર,ऐकैप्रिन
સ્વીકાર્ય જાતીય વર્તન,स्वीकार्य लैंगिक व्यवहार
સહાયક ગ્રંથિ,सहायक ग्रंथि
સહાયક ગ્રંથિ,अतिरिक्त ग्रंथि
સહાયક અંગ,सहायक अंग
સ્વાર્થીકરણ,"पर्यनुकूलन, दशानुकूलन"
મામૂલી કરવું,"पर्यनुकूलित करना, दशानुकूलित करना"
આવાસ (ધ્યાન કેન્દ્રિત),समंजन (फोकसन)
આંખનું સ્થાન,नेत्र की समंजन क्षमता
પરિધિ,अभिवर्धी वृद्धि
સંચય,"संचय, संचयन"
કાર્બનિક પદાર્થનું સંચય,कार्बनिक पदार्थों का एकत्रीकरण
જમીનનો સંચય,मृदा संचयन
મધ્યમ,अकोशिकीय
મધ્ય જીવ,अकोशिकीय जीव
અકારો,"श्रोणिउलूखल, ऐसीटैबुलम"
Ecetaldehyde,ऐसीटेल्डिहाइड
એસીટીલ કોએન્ઝાઇમ,ऐसीटिल सह-ऐंजाइम
એકલતા,ऐकेटाइना
અચેન પ્રકાર,ऐकीन प्रकार
અહંકાર,ऐकीन
આચ્છાદન,ऐक्लेमाइडोस्पोरी
એસિડ વરસાદ,अम्ल वर्षा
અમ્દિન,अम्लीय
અમ્બલિક ગેસ,अम्लीय गैस
અમલ્ય,अम्लता
કોતરણીનો કોષ,गुच्छकोष्ठक कोशिका
Acાંકણ,अगुहिक
એક જાતની કળા,ऐकोनिटम
એકોખી,"एकॉर्न कृमि, बंजुक कृमि"
ધ્વનિ ક્ષેત્ર,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
પ્રાપ્ત કરેલું પાત્ર,उपार्जित लक्षण
હસ્તગત પ્રતિરક્ષા,उपार्जित प्रतिरक्षा
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
ક્રોધાવેશ,ऐक्रैनिया
એસિડાઇન રંગ,एक्रिडीन रंजक
અતિશય,अग्रकेंद्री
કરચલી,अंसकूट
સર્કરો,अग्राभिसारी अनुक्रम
સરકરાનો હુકમ,अग्राभिसारी क्रम
ગળાશ,एक्रोसिन
કાર્ય,ऐक्टिन
કૃત્ય,ऐक्टिन-सम प्रोटीन
અભિપ્રાયનું,त्रिज्यासममित
કૃત્ય,एक्टिनोमाइसिटीज
કાર્ય માટેની ક્ષમતા,क्रिया विभव
સક્રિય કાદવ,सक्रियित आपंक
સક્રિય કાદવ ફ્લોક,सक्रियित आपंक फ्लॉक
સક્રિય energyર્જા,सक्रियण ऊर्जा
સક્રિય શોષણ,सक्रिय अवशोषण
સક્રિય પ્રતિરક્ષા,सक्रिय प्रतिरक्षा
સક્રિય કિરણોત્સર્ગ,सक्रिय विकिरण
સક્રિય સ્થળ,सक्रिय स्थल
સક્રિય,ऐक्टिविन
અણીદાર,लंबाग्र
એડ્મસિયા,ऐडैम्सिया
અનુકૂલનક્ષમતા,अनुकूलनशीलता
અનુકૂલન,अनुकूलन
પ્રકાશ શાસન માટે અનુકૂલન,प्रकाश प्रवृत्ति के प्रति अनुकूलन
પાણીની અછતને અનુકૂલન,जलाभाव के प्रति अनुकूलन
અનુકૂલનશીલ લાક્ષણિકતાઓ,अनुकूली (अभि) लक्षण
અનુકૂલનશીલ પ્રતિરક્ષા,अनुकूली प्रतिरक्षा
અનુકૂલનશીલ કિરણોત્સર્ગ,अनुकूली विकिरण
અનુકૂલન લક્ષણ,अनुकूली विशेषक
ઉપદેશક,अभ्यक्ष पृष्ठ
વ્યસનકારક વિકાર,व्यसनी विकार
એક જાતની adાળ,ऐडेनीन
એડોનોકોર્ટિકોટ્રોપિન,ऐडिनोकॉर्टिकोट्रॉपिन
એનોહિપોફિસીસ,ऐडेनोहाइपोफाइसिस
એડેનોસિન ડિફોસ્ફેટ,ऐडेनोसिन डाइफास्फेट
એમેનોસિન,ऐडेनोसिन डीएमीनेज
એનોસિન મોનોફોસ્ફેટ,ऐडेनोसिन मोनोफॉस्फेट
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),ऐडेनोसिन ट्राइफॉस्फेट
સાયક્લેઝ,एडेनिलेट साइक्लेज
ચપળ બળ,आसंजी बल
શણગારવું,ऐडिपेट
એડિપોસાઇટ (ચરબી કોષ),वसाणु (वसा कोशिका)
ચરબી પેશી,वसा ऊतक
Nતરતું,संलग्न
સંલગ્ન સમુદાય,संलग्न समुदाय
વ્યવહાસી,अधिवृक्क
એડ્રીનલ ગ્રંથિ,अधिवृक्क ग्रंथि
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन
શોષક,अधिशोषक
શોષક,अधिशोषण
અદ્યતન તાર,उन्नत कशेरुकी
ફાયદાકારક પરિવર્તન,लाभकारी उत्परिवर्तन
સાહસિક,बाह्य कंचुक
અગમ્ય મૂળ,अपस्थानिक जड़
પ્રતિકૂળ અસર,प्रतिकूल प्रभाव
એડીસ,ईडीज
સંસ્કૃતિનો વાયુ,संवर्ध-वातन
વિમાન,वायूतक
