Telugu,Kannada
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
పదవీ విరమణ,ವ್ಯಭಿಚಾರ
బానిసత్వ నిర్మూలన,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
ఆదివాసి,ಮೂಲನಿವಾಸಿಗಳು
అబ్రహం యుగం,ಅಬ್ರಹಾಂ ಯುಗ
గైర్హాజరు భూస్వాములు,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
అకాడమీ,ಅಕಾಡೆಮಿ
అక్ర సమావేశం,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
సంపాదన,ಸಂಚಯಗಳು
సంస్కారము,ಸಂಸ್ಕಾರ
అసెల్డామా,ಅಸೆಲ್ಡಾಮಾ
అచెయన్ (=అచియన్),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
అచీయన్ లీగ్ (=అచియన్ లీగ్),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
అక్రోపోలిస్,ಆಕ್ರೊಪೊಲಿಸ್
ఆక్టా డియుర్నా,ಆಕ್ಟಾ ಡೈರ್ನಾ
ఆక్టా సెనాటస్,ಆಕ್ಟಾ ಸೆನಾಟಸ್
యాక్టే అడిషనల్,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
సాధించేవారి చర్య,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
సెటిల్మెంట్ చట్టం,ವಸಾಹತು ಕಾಯಿದೆ
ప్రకటన ఒప్పంద ముద్ర,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
అడుల్లామైట్స్,ಅಡುಲಮೈಟ್ಸ್
విరోధి,ಎದುರಾಳಿ
విరోధి,ಎದುರಾಳಿ
అయాన్,ಏಯಾನ್
ఏరోరియం,ಏರೋರಿಯಮ್
వైమానిక యుద్ధం,ವೈಮಾನಿಕ ಯುದ್ಧ
ఏటోలియన్ లీగ్,ಏಟೋಲಿಯನ್ ಲೀಗ್
వయస్సు,ವಯಸ್ಸು
వృద్ధాప్యం (=వృద్ధాప్యం),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
వృద్ధాప్య ప్రక్రియ,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
అగెలై,ಅಗೆಲೈ
శౌర్య యుగం,ಅಶ್ವದಳದ ವಯಸ್ಸು
జ్ఞానోదయం వయస్సు,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
పెరికిల్స్ వయస్సు,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
కారణం వయస్సు,ಕಾರಣದ ವಯಸ್ಸು
వ్యవసాయం,ಕೃಷಿಧರ್ಮ
వ్యవసాయ ఉద్యమం,ಕೃಷಿ ಚಳುವಳಿ
అల్బియాన్,ಅಲ್ಬಿಯಾನ್
ఆల్బమ్,ಆಲ್ಬಮ್
ఆల్డర్మాన్,ಆಲ್ಡರ್ಮನ್
అల్లుడు చేతులు,ಸೂಚಿಸುವ ತೋಳುಗಳು
సఖ్యత,ಸೌಹಾರ್ದತೆ
యాంఫిక్యోనిక్ కౌన్సిల్,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
యాంఫిక్యోనిక్ లీగ్,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
యాంఫీ థియేటర్,ಆಂಫಿಥಿಯೇಟರ್
అమ్రి నల్ గ్రూప్ (కుండల),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
అనాక్రోనిజం,ಅನಾಕ್ರೊನಿಸಂ
అనాక్రోనిస్టిక్,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
పూర్వీకుడు,ಪೂರ್ವಜ
పూర్వీకుల ఆరాధన,ಪೂರ್ವಜರ ಆರಾಧನೆ
పూర్వీకులు,ಪೂರ್ವಜರು
పూర్వీకులు,ಪೂರ್ವಜರು
పూర్వీకులు,ಪೂರ್ವಜರು
పూర్వీకులు,ಪೂರ್ವಜರು
ప్రాచీన పాలన,ಪ್ರಾಚೀನ ಆಡಳಿತ
ప్రాచీన,ಪ್ರಾಚೀನ
పురాతన బల్లాడ్,ಪ್ರಾಚೀನ ಲಾವಣಿ
పురాతన నమ్మకం,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
ప్రాచీన ఆచారం,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
పురాతన చరిత్ర,ಪುರಾತನ ಇತಿಹಾಸ
పురాతన స్మారక చిహ్నాలు,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
ఉదంతము,ಉಪಾಖ್ಯಾನ
ఏంజెలోట్,ಏಂಜೆಲೋಟ್
ఏంజెలస్,ಏಂಜೆಲಸ್
అంజివిన్ (=అంజెవిన్),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
కోణాలు,ಕೋನಗಳು
ఆంగ్లికన్,ಆಂಗ್ಲಿಕನ್
ఆంగ్లికన్ కమ్యూనియన్,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
ఆంగ్లికనిజం,ಆಂಗ್ಲಿಕನಿಸಂ
ఆంగ్లో-ఫోబ్,ಆಂಗ್ಲೋ-ಫೋಬ್
ఆంగ్లో-ఫోబియా,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
ఆంగ్లో-సాక్సన్,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
ఆంగ్లో-సాక్సోనిజం,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ
అన్నలిస్ట్,ಅನಾಲಿಸ್ಟ್
అన్నల్స్,ಆನಲ್ಸ್
అనుబంధం,ಅನುಬಂಧ
యాంటీ-బెల్లం,ಆಂಟೆ-ಬೆಲ್ಲಮ್
ముందు తేదీ,ಹಿಂದಿನ ದಿನಾಂಕ
మత వ్యతిరేకత,ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ
మతాధికారుల వ్యతిరేక చట్టం,ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ
ప్రాచీనకాలం,ಪ್ರಾಚೀನತೆ
వ్యతిరేక అద్దె,ಬಾಡಿಗೆ ವಿರೋಧಿ
వ్యతిరేక అద్దె,ಬಾಡಿಗೆ ವಿರೋಧಿ
సెమిటిజం వ్యతిరేకత,ಯೆಹೂದ್ಯ ವಿರೋಧಿ
అంజాక్,ಅಂಜಾಕ್
అపెల్లా,ಅಪೆಲ್ಲಾ
అరలు,ಅರಳು
ఆర్చ్ బిషప్,ಆರ್ಚ್ ಬಿಷಪ್
ఆర్చ్ డచీ,ಆರ್ಚ್ ಡಚಿ
ఆర్చ్ డ్యూక్,ಆರ್ಚ್ ಡ್ಯೂಕ್
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ)
ఆర్కిపిస్కోపేట్,ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್
దొర,ಶ್ರೀಮಂತವರ್ಗ
దొర,ಶ್ರೀಮಂತ
కులీన స్నోబరీ,ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ
అరిస్టాటిలియన్,ಅರಿಸ್ಟಾಟಲ್
ఆర్మడ,ನೌಕಾಪಡೆ
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ)
ఆయుధాగాడు (=ఆయుధాకారుడు),ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ)
కవచం (=కవచం),ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ)
ఆయుధాగాడు,ಶಸ್ತ್ರಾಗಾರ
ఆర్యన్,ಆರ್ಯನ್
ఆర్యన్,ಆರ್ಯನ್
అస్కారి,ಅಸ್ಕರಿ
కేటాయించండి,ನಿಯೋಜಿಸಿ
అసైజ్ చేయండి,ಅಸೈಜ್ ಮಾಡಿ
అసైజ్ చేయండి,ಅಸೈಜ್ ಮಾಡಿ
అసైజ్ చేయండి,ಅಸೈಜ್ ಮಾಡಿ
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್
దారుణం,ದೌರ್ಜನ್ಯ
దాడి,ದಾಳಿ
ఆలిక్ కౌన్సిల్,ಆಲಿಕ್ ಕೌನ್ಸಿಲ್
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್)
బాబిలోన్,ಬ್ಯಾಬಿಲೋನ್
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ)
బచ్చనాల్ భక్తుడు,ಬಚ್ಚನಾಳ ಭಕ್ತ
బచ్చనాలియా,ಬಚ್ಚನಾಲಿಯಾ
బ్రహ్మచారి,ಪದವಿ
బాగ్దాద్ ఒప్పందం,ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ
బాల్కన్ లీగ్,ಬಾಲ್ಕನ್ ಲೀಗ್
బాల్కన్ ఒప్పందం,ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ
బాల్కన్ యుద్ధాలు,ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು
బాల్టిక్ ఒప్పందం,ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ
బందిపోటు,ಡಕಾಯಿತ
బాండుంగ్ కాన్ఫరెన్స్,ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ
బహిష్కరణ,ಬಹಿಷ್ಕಾರ
బ్యానర్,ಬ್ಯಾನರ್
బార్బేరియన్,ಅನಾಗರಿಕ
బార్బికన్,ಬಾರ್ಬಿಕನ್
బార్డోలీ సత్యాగ్రహం,ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ
బార్న్ బర్నర్స్,ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು
బారన్,ಬ್ಯಾರನ್
బారోనేజ్,ಬ್ಯಾರನೇಜ್
బారోన్స్ మేజర్లు,ಬರೋನ್ಸ್ ಮೇಜರ್
బారోన్స్ మైనర్లు,ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು
బారోనెస్,ಬ್ಯಾರನೆಸ್
బారోనెట్,ಬ್ಯಾರೊನೆಟ್
బారోనెటేజ్,ಬ್ಯಾರೊನೆಟೇಜ್
బారోనెటేజ్,ಬ್ಯಾರೊನೆಟೇಜ್
బారోనెట్సీ,ಬ್ಯಾರೊನೆಟ್ಸಿ
బారోనీ,ಬರೋನಿ
బారకూన్,ಬ್ಯಾರಕೂನ್
బారకూన్,ಬ್ಯಾರಕೂನ್
బారికేడ్ (=బారికాడో),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
బారికేడ్ (=బారికాడో),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
బారికేడ్ (=బారికాడో),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
మూల శిబిరం,ಮೂಲ ಶಿಬಿರ
బసిలికా,ಬೆಸಿಲಿಕಾ
బసిలికా,ಬೆಸಿಲಿಕಾ
బస్తీలా,ಬಸ್ತಿಲಾ
బాస్టిల్,ಬಾಸ್ಟಿಲ್
బాస్టిల్,ಬಾಸ್ಟಿಲ್
బ్యాటరీ,ಬ್ಯಾಟರಿ
యుద్ధం,ಕದನ
బాటిల్-అరే,ಬ್ಯಾಟಲ್-ಅರೇ
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,ಯುದ್ಧದ ಕೂಗು
బాటిల్ డిన్,ಬ್ಯಾಟಲ್ ಡಿನ್
