Gujarati,Bengali
ખર્ચ,অবসান
સંક્ષેપ,সংক্ষেপণ
અપહરણ,অপহরণ
સ્થગ,অবসান
ક્ષમતા,ক্ষমতা
આરંભ,অ্যাব initio
કઠોર,সক্ষম
અસામાન્ય,অস্বাভাবিক
નાબૂદી,বিলুপ্তি
નાબૂદી પોસ્ટ,বিলোপ পোস্ট
ઉપર ઉલ્લેખ કર્યો છે,উপর্যুক্ত
ઉપર જણાવેલ,উপরে উদ্ধৃত
ઉપર જણાવ્યું હતું કે,উপরে বলেছেন
ગેરહાજરી,অনুপস্থিতি
ગેરહાજર,অনুপস্থিত
ગેરહાજરી,অনুপস্থিতি
અનુપસ્થિત નિવેદનો,অনুপস্থিত বিবৃতি
અબાધિત,পরম
અબાધિત ઈજારો,পরম একচেটিয়া
અબાધિત માલિકી,পরম মালিকানা
સમાવેશ,শোষণ
નિષ્ક્રિય,বিমূর্ত
અખબારો,অ্যাবস্ট্রাক্টস্টেটমেন্ট
વાહિયાત,অযৌক্তিক
વિપુલતા,প্রাচুর্য
સત્તાનો દુરુપયોગ,ক্ষমতার অপব্যবহার
અપશબ્દો,অবমাননাকর ভাষা
શૈક્ષણિક,একাডেমিক
શૈક્ષણિક ચર્ચા,একাডেমিক আলোচনা
શૈક્ષણિક રજા,একাডেমিক ছুটি
શૈક્ષણિક લાયકાત,শিক্ষাগত যোগ্যতা
વિદ્યા,একাডেমিক রেকর্ড
સહયોગ કરવો,প্রশংসা
સ્વીકારવું,গ্রহণ
સ્વીકૃતિ,গ্রহণযোগ্যতা
પદની સ્વીકૃતિ,অফিস গ্রহণ
પ્રતિજ્ ofા,দরপত্র গ্রহণ
પ્રવેશ,অ্যাক্সেস
સંચાર,প্রবেশ
સહાયક,আনুষঙ্গিক
અકસ્માત,দুর্ঘটনা
સ્વાર્થીકરણ,প্রশংসাপত্র
આવાસ,থাকার ব্যবস্থা
સંલગ્ન,সহকারী
સંલગ્ન,চুক্তি
અનુસાર,অ্যাকশন
તદનુસાર,তদনুসারে
હિસાબ,অ্যাকাউন্ট
જવાબદારી,দায়িত্ব
જવાબદાર,দায়ী
હિસાબની સંખ્યા,হিসাবরক্ষণ
હિસાબ રાખનાર,হিসাবরক্ষক
માટે એકાઉન્ટ,কি কারণে
હિસાબનું માથું,অ্যাকাউন্ট হেড
ઉપાર્જિત લાભ,অর্জিত সুবিধা
ઉપાર્જિત પેન્શન,পেনশন আদায়
સંચય,জমা
ચોકસાઈ,সঠিকতা
ચોક્કસ,নির্ভুল
આક્ષેપ કરવો,অভিযোগ
આરોપી,অভিযুক্ত
સિદ્ધિ,অর্জন
સ્વીકૃતિ,স্বীকৃতি
સ્વીકૃતિ,স্বীকৃতি বকেয়া
પરિચય,পরিচিত
સંપાદન,অধিগ্রহণ
મુક્તિ,খালাস
કૃત્ય,আইন
કાર્યકારી ભથ્થું,অভিনয় ভাতা
ક્રિયા,কর্ম
કાર્ય યોજના,অ্যাকশন প্ল্যান
સક્રિય,সক্রিয়
સક્રિયપણે,সক্রিয়ভাবে
સક્રિયકાર્ય,কর্মী
ભગવાનનો કૃત્ય,Of শ্বরের আইন
ગેરવર્તન,অসদাচরণের আইন
કમિશન અને કમિશન અને બાદબાકી,কমিশন ও বাদ দেওয়া আইন
વાસ્તવિક,আসল
વાસ્તવિક,বাস্তব
અનુકૂલન,অভিযোজন
વધારા,সংযোজন
વધારાનો ખર્ચ,অতিরিক্ত চার্জ
વધારાના નિધિ,অতিরিক্ত তহবিল
વધારાની અનુદાન,অতিরিক্ত অনুদান
વધારાની માહિતી,অতিরিক্ত তথ্য
વધારાનો પગાર,অতিরিক্ত বেতন
ઉમેરો અને ફેરફાર,সংযোজন এবং পরিবর্তন
સંબોધન,ঠিকানা
સંબોધન કરનાર,ঠিকানা
સ્વાગતનું સરનામું,স্বাগত ঠিকানা
પૂરતું,পর্যাপ্ত
ને અનુરૂપ બનાવવું,মেনে চলুন
તદર્થ,অ্যাডহক
તદર્થપત્ર,অ্যাডহক দাবি
તદર્થ સમિતિ,তদর্থক কমিটি
તદર્થ વધારો,অ্যাডহক বৃদ্ধি
તદ્દન ચુકવણી,অ্যাডহক পেমেন্ট
અડીને,সংলগ্ন
અડીને (= સુસંગત),সংলগ্ন (= সংহত)
મોકૂફી,স্থগিতাদেশ
મોકૂફીની દરખાસ્ત,স্থগিতের গতি
ન્યાયનિર્ણય કરવો,রায়
ન્યાયનિર્ણય કરવો,বিচারক
ન્યાયનિર્ણય,বিচার
ન્યાયનિધીકરણ કરનાર,বিচারক
સમાયોજન,সামঞ্জস্য
સંચાલન કરવું,প্রশাসনিক
સોગંદ કરવો,শপথ পরিচালনা করুন
વહીવટ,প্রশাসন
ન્યાય પ્રણાલી,বিচার প্রশাসন
વહીવટી,প্রশাসনিক
વહીવટી પગલાં,প্রশাসনিক ক্রিয়া
વહીવટી મૂલ્યાંકન,প্রশাসনিক মূল্যায়ন
વહીવટી મંજૂરી,প্রশাসনিক অনুমোদন
વહીવટી સત્તા,প্রশাসনিক কর্তৃপক্ষ
વહીવટી નિયંત્રણ,প্রশাসনিক নিয়ন্ত্রণ
વહીવટી નિર્ણય,প্রশাসনিক সিদ্ধান্ত
વહીવટી વિભાગ,প্রশাসনিক দপ্তর
વહીવટી વડા,প্রশাসনিক মাথা
વહીવટી મથક,প্রশাসনিক সদর দফতর
વહીવટી પગલાં,প্রশাসনিক ব্যবস্থা
વહીવટી સત્તા,প্রশাসনিক শক্তি
વહીવટી મંજૂરી,প্রশাসনিক অনুমোদন
વહીવટી તકનીક,প্রশাসনিক কৌশল
વહીવટી પંચ,প্রশাসনিক ট্রাইব্যুনাল
સ્વીકાર્યતા,প্রবেশযোগ্যতা
સ્વીકાર્ય ખર્ચ,স্বীকৃত ব্যয়
કબૂલવું,স্বীকার করুন
પ્રવેશ કાર્ડ,ভর্তি কার্ড
સ્વીકૃત,ভর্তি
સલાહ આપવી,উপদেশ
દત્તક,গ্রহণ
અપનાવનાર,গ্রহণকারী
દત્તક,গ্রহণ
પુખ્ત,প্রাপ্তবয়স্ক
ભેગ,ভেজাল
વ્યભિચાર,ব্যভিচার
