Kannada,English
ಅಬ್ಯಾಕಸ್,abacus
ಅಸಹಜ ಮುಕ್ತಾಯ,abnormal termination
ಸ್ಥಗಿತಗೊಳಿಸು,abort
ಸಂಪೂರ್ಣ,absolute
ಸಂಪೂರ್ಣ ವಿಳಾಸ,absolute address
ಸಂಪೂರ್ಣ ವಿಳಾಸ,absolute addressing
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,absolute assembler
ಸಂಪೂರ್ಣ ಕೋಡ್,absolute code
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,absolute command
ಸಂಪೂರ್ಣ ಡೇಟಾ,absolute data
ಸಂಪೂರ್ಣ ಸೂಚನೆ,absolute instruction
ಸಂಪೂರ್ಣ ಮೋಡ್,absolute mode
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,absolute path
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,absolute programming
ಅಮೂರ್ತ ವರ್ಗ,abstract class
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,abstract data type
ಅಮೂರ್ತ ಯಂತ್ರ,abstract machine
ಅಮೂರ್ತ ಚಿಹ್ನೆ,abstract symbol
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,abstract syntax
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,acceptance testing
ಪ್ರವೇಶ ದೃಢೀಕರಣ,access authentication
ಪ್ರವೇಶ ಕೋಡ್,access code
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,access control
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,access scan
ಪರಿಕರ,accessory
ಖಾತೆ,account
ಖಾತೆ ID,account ID
ಸಂಚಯಕ,accumulator
ನಿಖರತೆ,accuracy
ಪ್ರವೇಶ,acess
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,acess control byte
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,acess index
ಪ್ರವೇಶ ಕೀ,acess key
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,acess matrix
ಪ್ರವೇಶ ಮೋಡ್,acess mode
ಪ್ರವೇಶ ಸವಲತ್ತು,acess privilege
ಪ್ರವೇಶ ಭದ್ರತೆ,acess security
ಪ್ರವೇಶ ಸರ್ವರ್,acess server
ಪ್ರವೇಶ ಸಮಯ,acess time
ಸ್ವೀಕೃತಿ,acknowledgement
ಅಕೌಸ್ಟಿಕ್ಸ್,acoustics
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,acronym
ಕ್ರಿಯೆಯ ಸಂದೇಶ,action message
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,activation
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),active server page (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,active version
ಅಸೈಕ್ಲಿಕ್,acyclic
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,acyclic graph
ಅದಾ ಭಾಷೆ,Ada language
ಅಡಾಪ್ಟರ್,adapter
ಸೇರಿಸಿ,add
ಕಡತವನ್ನು ಸೇರಿಸು,add file
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,add operation
ಸೇರಿಸುವವನು,adder
ವಿಳಾಸ,address
ವಿಳಾಸ ಬಸ್,address bus
ವಿಳಾಸ ಫೈಲ್,address file
ವಿಳಾಸ ಸ್ವರೂಪ,address format
ವಿಳಾಸ ಜನರೇಟರ್,address generator
ವಿಳಾಸ ಸಾಲು,address line
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,address mapping
ವಿಳಾಸ ಪಾಯಿಂಟರ್,address pointer
ವಿಳಾಸ ನೋಂದಣಿ,address register
ವಿಳಾಸ ನಿರ್ಣಯ,address resolution
ವಿಳಾಸ ಅನುವಾದ,address translation
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,addressed memory
ಉದ್ದೇಶಿಸಿ,addressing
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,adequacy criteria
ಪಕ್ಕದ,adjoint
ಆಡಳಿತ,administration
ನಿರ್ವಾಹಕ,administrator
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,adobe acrobat
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,adobe photoshop
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),Advance Business Application Programming (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,advanced data
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,advanced information system
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),advanced technology (AT)
ಏಜೆಂಟ್,agent
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,aggregation
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,airborne computer system
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus page maker
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,alert box
ಆಲ್ಗೋಲ್,algol
ಅಲ್ಗಾರಿದಮ್,algorithm
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,algorithm analysis
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,algorithm efficiency
ಅಲಿಯಾಸ್,alias
ಜೋಡಣೆ,alignment
ಹಂಚಿಕೆ,allocation
ವರ್ಣಮಾಲೆಯ,alphabetic
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,alphanumeric
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,alphanumeric key board
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,alpha-test
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,alpha-version
ಆಲ್ಟ್ ಕೀ,alt key
ಅಲ್ಟಾವಿಸ್ತಾ,altavista
ಅಸ್ಪಷ್ಟತೆ,ambiguity
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,ambiguous grammar
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),American National Standards Institute (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),American Standard Code For Information Interchange (ASCII)
ಅನಲಾಗ್,analog
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,analog computer
ಅನಲಾಗ್ ಸಾಧನ,analog device
ಅನಲಾಗ್ ಮೋಡೆಮ್,analog modem
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),Analog To Digital Converter (ADC)
ಮತ್ತು,AND
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,AND circuit
ಮತ್ತು ಗೇಟ್,AND gate
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),AND not operation (Exclusion)
ಅನಿಮೇಷನ್,animation
ಟಿಪ್ಪಣಿ,annotation
ಅಸಂಗತತೆ,anomaly
ಪೂರ್ವಭಾವಿ,antecedent
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,anticipatory paging
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,anti-symmetric
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,antivirus program
ಆಪ್ಲೆಟ್,applet
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,application developer
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,application programming
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),application programming interface (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,application software
ಅನ್ವಯಿಕ ಭಾಷೆ,applicative language
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,approximation theory
ವಾಸ್ತುಶಿಲ್ಪ,architecture
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,area transfer
ವಾದ,argument
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,arithmatic and logic unit
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,arithmatic check
ಅಂಕಗಣಿತ ಸ್ಥಿರ,arithmatic constant
ಅಂಕಗಣಿತದ ಡೇಟಾ,arithmatic data
ಅಂಕಗಣಿತದ ಸೂಚನೆ,arithmatical instruction
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),arithmetic and logic unit (ALU)
ಅರ್ಪಾನೆಟ್,ARPANET
ಶ್ರೇಣಿ,array
ರಚನೆಯ ಸಂಗ್ರಹ,array cache
ಅರೇ ಕಂಪ್ಯೂಟರ್,array computer
ರಚನೆಯ ಅಂಶ,array element
ರಚನೆಯ ಹೆಸರು,array name
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,array processor
ಬಾಣದ ಕೀಲಿಗಳು,arrow keys
ಉಚ್ಚಾರಣೆ,articulation
ಉಚ್ಚಾರಣಾ ಬಿಂದು,articulation point
ಕೃತಕ ಸಂಕೋಚನ,artificial compaction
ಕೃತಕ ನಿಯಂತ್ರಣ,artificial control
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,artificial intelligence
ಆರೋಹಣ,ascender
ಆರೋಹಣ ರೀತಿಯ,ascending sort
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII betical order
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII control character
ASCII ಫೈಲ್,ASCII file
ASCII ಫಾಂಟ್,ASCII font
ASCII ವರ್ಗಾವಣೆ,ASCII transfer
ಆಕಾರ ಅನುಪಾತ,aspect ratio
ASPI,ASPI
ASR ಟೈಮರ್,ASR timer
ಜೋಡಿಸು,assemble
ಅಸೆಂಬ್ಲರ್,assembler
ಸಭೆ,assembly
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,assembly language
ಪ್ರತಿಪಾದನೆ,assertion
ನಿಯೋಜನೆ,assignment
ಸಂಘ,association
ಸಹಾಯಕ ವಿಳಾಸ,associative address
ಸಹಾಯಕ ಸ್ಮರಣೆ,associative memory
ಆಸ್ಟರಿಕ್,asteric
ಅಸಮ್ಮಿತ,asymmetric
ಅಸಮಕಾಲಿಕ,asynchronous
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),asynchronous Digital Subscriber Line (ADSL)
ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),asynchronous Time Division Multiplexing (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,asynchronous transfer
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),asynchronous Transfer Mode (ATM)
ಪರಮಾಣು,atom
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,attached document
ಲಗತ್ತಿಸಲಾದ ಕಡತ,attached file
