Tamil,Kannada
அபாக்ஸியல் மேற்பரப்பு,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
அடிவயிறு,ಹೊಟ್ಟೆ
வயிற்று பெருநாடி,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
வயிற்று கேங்க்லியா,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
மாறுபாடு,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
அபிஸ்,ಅಬ್ಬರ
அபிங்டன் ஆமை,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
அபியோஜெனெஸிஸ்,ಕ್ಷು ತನ್ನತೆ
அஜியோடிக்,ಅಸಹ್ಯವಾದ
அஜியோடிக் காரணி,ಉದಾಸೀಯ ಅಂಶ
அசாதாரண சிறுநீர்,ಅಸಹಜ ಮೂತ್ರ
ABO இரத்தக் குழு,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
அப்சிசிக் அமிலம்,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
கஷ்டம்,ಕಂದಿಸುವುದು
உறிஞ்சும்,ಹೀರಿಕೊಳ್ಳಿ
உறிஞ்சுதல் உச்சம்,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
உறிஞ்சுதல்,ಹೀರುವಿಕೆ
அகாசியா கேடெச்சு,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
அகாரியா அரபிகா,ಅಕ್ಯಾಬಿಕಾ
அகப்ரின்,ಅಣಕಾದ
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
துணை சுரப்பி,ಪರಿಕರ ಗ್ರಂಥಿ
துணை சுரப்பி,ಪರಿಕರ ಗ್ರಂಥಿ
துணை உறுப்பு,ಪರಿಕರ ಅಂಗ
பழக்கவழக்கமயமாக்கல்,ಒಗ್ಗೂಡಿಸುವಿಕೆ
பழக்கப்படுத்துங்கள்,ಒಗ್ಗಿಸು
தங்குமிடம் (கவனம் செலுத்துதல்),ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
கண் தங்குமிடம்,ಕಣ್ಣಿನ ವಸತಿ
திரட்டல் வளர்ச்சி,ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ
குவிப்பு,ಸಂಗ್ರಹಣೆ
கரிமப் பொருட்களின் குவிப்பு,ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ
மண்ணின் குவிப்பு,ಮಣ್ಣಿನ ಸಂಗ್ರಹ
அசெல்லுலர்,ಉಭಯಾಕಾರದ
அசெல்லுலர் உயிரினம்,ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ
அசிடபூலம்,ಅಸೆಟಾಬುಮ್
அசிடால்டிஹைட்,ಅಸೆಟಾಲ್ಡಿಹೈಡ್
அசிடைல் கோஎன்சைம்,ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್
அச்சாடினா,ಕಸ
அச்சீன் வகை,ಮೊಲ ಪ್ರಕಾರ
அச்சீன்,ಉಂಗುರ
அச்ச்சைடோஸ்போரே,ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ
அமில மழை,ಆಮ್ಲ ಮಳೆ
அமிலத்தன்மை,ಆಮ್ಲೀಯ
அமில வாயு,ಆಮ್ಲೀಯ ಅನಿಲ
அமிலத்தன்மை,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
அசிநார் செல்,ಅಸಿನಾರ್ ಕೋಶ
அகோலோமேட்,ಜಾಮಕೀಯ
அகோனிட்டம்,ಅನನಟ
ஏகோர்ன் புழு,ಆಕ್ರೋಶದ ಹುಳು
ஒலி மண்டலம்,ಅಕೌಸ್ಟಿಕ್ ವಲಯ
வாங்கிய எழுத்து,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ
நோய் எதிர்ப்பு சக்தி,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್)
