Punjabi,Hindi
ਐਬੈਕਸਿਅਲ ਸਤਹ,अपाक्ष पृष्ठ
ਪੇਟ,उदर
ਪੇਟ AORTA,उदर महाधमनी
ਪੇਟ ਗੰਗਾਲੀਆ,उदर गुच्छिका
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,अबेलमॉस्कस एस्कुलेन्टस
ਅਸਧਾਰਨ,विपथन
ਅੱਛਾ,ऐबीज (बलूत)
ਅਬਿੰਗਡਨ ਕਛੂਆ,ऐबिंग्डन कछुआ
ਅਬੀਓਜੀਨੇਸਿਸ,अजीवात्जनन
ਅਬੀਓਟਿਕ,अजीवीय
ਅਬੀਓਟਿਕ ਕਾਰਕ,"अजीवीय कारक, अजैव कारक"
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,अपसामानय मूत्र
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,ए.बी.ओ. रुधिर वर्ग
Abscisic ਐਸਿਡ,एब्सिसिक अम्ल
ਵਿਵੇਕ,विलगन
ਸੋਖਣਾ,अवशोषण करना
ਸਮਾਈ ਪੀਕ,अवशोषण शिखर
ਸਮਾਈ,अवशोषण
ਅੱਕੀਆ ਕੈਟੂਯੂ,अकेशिया कैटेच्यू
ਅਕਾਰੀਆ ਅਰਬੀ,अकेशिया अरेबिका (बबूल)
ਐਕਾਪ੍ਰਿਨ,ऐकैप्रिन
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,स्वीकार्य लैंगिक व्यवहार
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,सहायक ग्रंथि
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,अतिरिक्त ग्रंथि
ਸਹਾਇਕ ਅੰਗ,सहायक अंग
ਅਨੁਕੂਲਤਾ,"पर्यनुकूलन, दशानुकूलन"
ਅਹਿਮ,"पर्यनुकूलित करना, दशानुकूलित करना"
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),समंजन (फोकसन)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,नेत्र की समंजन क्षमता
ਅਦਭੁਤ ਵਾਧਾ,अभिवर्धी वृद्धि
ਇਕੱਠਾ,"संचय, संचयन"
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,कार्बनिक पदार्थों का एकत्रीकरण
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,मृदा संचयन
ਐਸੀਲੂਲਰ,अकोशिकीय
ਐਸੀਲੂਲਰ ਜੀਵ,अकोशिकीय जीव
ਐਸੀਟੌਮੂਲਮ,"श्रोणिउलूखल, ऐसीटैबुलम"
ਐਸੀਟਲਾਈਡਾਈਡ,ऐसीटेल्डिहाइड
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,ऐसीटिल सह-ऐंजाइम
ਅਮੀਥਿਨਾ,ऐकेटाइना
ਅੱਕੇ,ऐकीन प्रकार
ਅਕੇਸ਼ੀ,ऐकीन
AchlamyDosporeae,ऐक्लेमाइडोस्पोरी
ਐਸਿਡ ਬਾਰਸ਼,अम्ल वर्षा
ਤੇਜਾਬ,अम्लीय
ਤੇਜ਼ਾਬ ਗੈਸ,अम्लीय गैस
ਐਸਿਡਿਟੀ,अम्लता
ਐਕਸੀਨਰ ਸੈੱਲ,गुच्छकोष्ठक कोशिका
ਆਕੋਲੀਓਮੈਟ,अगुहिक
ਐਕੋਨਿਟਮ,ऐकोनिटम
ਐਕੋਰਨ ਕੀੜਾ,"एकॉर्न कृमि, बंजुक कृमि"
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
ਪਾਤਰ ਪਾਤਰ,उपार्जित लक्षण
ਸੀਮਤ ਸੀਮਤ,उपार्जित प्रतिरक्षा
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
ਅਰੇਂੀਆ,ऐक्रैनिया
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,एक्रिडीन रंजक
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,अग्रकेंद्री
ਐਕਰੋਮਰ,अंसकूट
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,अग्राभिसारी अनुक्रम
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,अग्राभिसारी क्रम
ਐਕਰੋਸਿਨ,एक्रोसिन
ਐਕਟਿਨ,ऐक्टिन
ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ,ऐक्टिन-सम प्रोटीन
ਐਕਟਿਨੀਮੋਰਿਕ,त्रिज्यासममित
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,एक्टिनोमाइसिटीज
ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ,क्रिया विभव
ਸਰਗਰਮ ਸਲੱਜ,सक्रियित आपंक
ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ,सक्रियित आपंक फ्लॉक
ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ,सक्रियण ऊर्जा
ਐਕਟਿਵ ਸਮਾਈ,सक्रिय अवशोषण
ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ,सक्रिय प्रतिरक्षा
ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ,सक्रिय विकिरण
ਐਕਟਿਵ ਸਾਈਟ,सक्रिय स्थल
ਐਕਟੀਵੇਟ,ऐक्टिविन
ਅਮੀਮਿਨੇਟ,लंबाग्र
ਐਡਮਜ਼ੀਆ,ऐडैम्सिया
ਅਨੁਕੂਲਤਾ,अनुकूलनशीलता
ਅਨੁਕੂਲਤਾ,अनुकूलन
ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ,प्रकाश प्रवृत्ति के प्रति अनुकूलन
ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ,जलाभाव के प्रति अनुकूलन
ਅਨੁਕੂਲ ਗੁਣ,अनुकूली (अभि) लक्षण
ਅਨੁਕੂਲ ਛੋਟ,अनुकूली प्रतिरक्षा
ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ,अनुकूली विकिरण
ਅਨੁਕੂਲ ਗੁਣ,अनुकूली विशेषक
ਏਕੈਕਸੀਅਲ ਸਤਹ,अभ्यक्ष पृष्ठ
ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ,व्यसनी विकार
ਐਡੀਨੇਨ,ऐडेनीन
ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ,ऐडिनोकॉर्टिकोट्रॉपिन
ਐਡੀਨੋਹਾਇਪਿਸਿਸ,ऐडेनोहाइपोफाइसिस
ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ,ऐडेनोसिन डाइफास्फेट
ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ,ऐडेनोसिन डीएमीनेज
ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ,ऐडेनोसिन मोनोफॉस्फेट
ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ),ऐडेनोसिन ट्राइफॉस्फेट
ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ,एडेनिलेट साइक्लेज
ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ,आसंजी बल
ਐਡਪੋਜ਼,ऐडिपेट
Adipocyte (ਚਰਬੀ ਸੈੱਲ),वसाणु (वसा कोशिका)
ਐਡਪੋਜ਼ ਟਿਸ਼ੂ,वसा ऊतक
ਐਡਨੇਟ,संलग्न
ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ,संलग्न समुदाय
ਐਡਰੀਨਲ,अधिवृक्क
ਐਡਰੇਨਲ ਗਲੈਂਡ,अधिवृक्क ग्रंथि
ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ),एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन
ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH),एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन
ਐਡੋਰਬੈਂਟ,अधिशोषक
ਇਸ਼ਤਿਹਾਰ,अधिशोषण
ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ,उन्नत कशेरुकी
ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ,लाभकारी उत्परिवर्तन
ਸਾਹਸੀ,बाह्य कंचुक
ਸਾਹਸੀ ਜੜ,अपस्थानिक जड़
ਗਲਤ ਪ੍ਰਭਾਵ,प्रतिकूल प्रभाव
ਏ.ਡੀ.ਡੀ.,ईडीज
ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ,संवर्ध-वातन
Énerchyma,वायूतक
ਏਰੀਅਲ,"वायव (वि.), एरियल (सं.)"
ਏਰੀਅਲ ਰੂਟ,वायव जड़
ਏਰੀਅਲ ਸ਼ੂਟ,वायव प्ररोह
ਐਰੋਬਿਕ ਸਾਹ,वायु श्वसन
ਐਰੋਬਿਕ ਸਾਹ,ऑक्सी श्वसन
ਸੁਹਜ,सौंदर्यबोध
ਖਰਾਸ਼,पुष्पदल विन्यास
ਖਰਾਸ਼,ग्रीष्मनिष्क्रियता
ਪਿਆਰ,अभिवाही
ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,बंधुता वर्णलेखन
ਦੁਖੀ ਅੰਗ,ग्रसित अंग
ਕਥਾ,वनरोपण
ਅਗਿਆਤ,अनिषेकबीजता
ਅਗਰ,ऐगार
ਅਗਿਆਤ,ऐगेरोस
ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ,ऐगेरोस जेल वैद्युतकण संचलन
ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ,एगेरोस बहुलक जेल
ਅਤਿ,एगास्ट
ਅਗਾਵ,अगेव
ਉਮਰ ਵੰਡ,आयु अनुसार वितरण
ਉਮਰ ਪਿਰਾਮਿਡ,आयु पिरैमिड
Agglutate,आश्लेषण
ਸਮੁੱਚੀ,पुंज
Follicle ਦਾ ਸਮੁੱਚਾ,पुटक पुंज
Follicle ਦਾ ਸਮੁੱਚਾ,पुटक समुच्चय
ਇਕੱਤਰਤਾ,"समुच्चय, समुच्चयन"
ਹਮਲਾਵਰਤਾ,आक्रामकता
ਐਗਰੀਏਟਰ ਸਿਸਟਮ,प्रक्षोभक तंत्र
ਅਗਨੀਥਾ,ऐग्नेथा
ਅਗਾਤੀ,अगूटी
