Hindi,Malayalam
वैस्‍टम‍िन्‍स्‍टर मठ,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
मालखाना,ഒഴിഞ്ഞുമാറുക
दासता का उन्मूलन,അടിമത്തം നിർത്തലാക്കൽ
आदिवासी,ആദിവാസികൾ
अब्राहम काल,അബ്രഹാം യുഗം
प्रवासी ज़मींदार,ഹാജരാകാത്ത ഭൂവുടമകൾ
अकादमी; विद्वत्परिषद,അക്കാദമി
अक्रा सम्मेलन,അക്ര സമ്മേളനം
"प्रोद्भूत सामग्री, उपचित सामग्री",സമാഹരണങ്ങൾ
"परसंस्कृति-ग्रहण, उत्संस्करण",സംസ്കരണം
एसेलडामा,അസെൽഡാമ
एकियायी,അച്ചായൻ (=അച്ചിയൻ)
एकीयायी लीग,അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
एक्रोपोलिस,അക്രോപോളിസ്
"शाही रोज़नामचा, दैनिक समाचार",ആക്റ്റ ദിയുർന
सीनेट का कार्यवृत्त,ആക്റ്റ സെനറ്റസ്
"अपर प्रपत्र, एक्टे एडिशनेल",ആക്റ്റ് അഡീഷണൽ
सक्रिय रिकार्ड,സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
अपकीर्त्ति अधिनियम,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
दंड विमुक्ति एवं विस्मरण अधिनियम,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",സെറ്റിൽമെന്റ് നിയമം
संविदा मुद्रा,പരസ്യ കരാർ മുദ്ര
आडुलम गुटवादी,അഡുല്ലമൈറ്റുകൾ
विपक्षी,എതിരാളി
2. शत्रु,എതിരാളി
युग,അയോൺ
इरेरियम,എയറേറിയം
"आकाशी युद्ध, हवाई लड़ाई",ആകാശ യുദ്ധം
"एटोलियन लीग, एटोलियायी संघ",എറ്റോലിയൻ ലീഗ്
"काल, युग",വയസ്സ്
