Tamil,English
ஏசி சமமான சுற்று,A C equivalent circuit
எண் மாற்றிக்கு ஒப்புமை,A to D converter
முழுமையான பூஜ்ஜியம்,Absolute zero
உறிஞ்சுதல் குணகம்,Absorption coefficient
உறிஞ்சுதல் நிறமாலை,Absorption spectrum
ஏற்பி அணு,Acceptor atom
மாற்று மின்னோட்ட இணைப்பு,A C coupling
எலக்ட்ரான் அறுவடை,Accumulation of electron
துளை சேமிப்பு,Accumulation of holes
செயல்படுத்தும் ஆற்றல்,Activation energy
செயலில் பெருக்கி,Active amplifier
செயலில் உள்ள டையோடு சுற்று,Active diode circuit
செயலில் வடிகட்டி,Active filter
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,Active high pass filter
செயலில் சுமை,Active load
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,Active low pass filter
செயலில் உள்ள பகுதி,Active region
தகவமைப்பு மின்னணுவியல்,Adaptive electronics
சேர்ப்பான்,Adder
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,Adjustable band width
ஊடுருவல்,Admittance
ஏரியல்,Aerial
பெப் அதிர்வெண்,Agility frequency
காற்றுச்சீரமைப்பி,Air conditioner
சீரமைப்பு,Alignment
அல்காரிதம்,Algorithm
அனைத்து பாஸ் வடிகட்டி,All pass filter
அலாய் சந்திப்பு,Alloy junction
தணிவு,Attenuation
மாறுதிசை மின்னோட்டம்,Alternating current (AC)
சுற்றுப்புற வெப்பநிலை,Ambient temperature
இருமுனை,Ambipolar
பெருக்கம்,Amplification
பெருக்கி,Amplifier
பெருக்கி செயல்திறன்,Amplifier efficiency
பரிமாணங்கள்,Amplitude
வீச்சு குறைதல்,Amplitude altenuation
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,Amplitude modulated oscillator
வீச்சு பண்பேற்றம்,Amplitude modulation
வீச்சு மாடுலேட்டர்,Amplitude modulator
angstrom அலகு,Angstrom unit
அனலாக் சுற்று,Analog circuit
அனலாக் கணினி,Analog computer
அனலாக் வடிகட்டி,Analog filter
அனலாக் மல்டிமீட்டர்,Analog multimeter
அனலாக் சுவிட்ச்,Analog switch
மற்றும் வாயில்,AND gate
கோண அதிர்வெண்,Angular frequency
"அயனி, அயனி",Anion
அனீலிங் வெப்பநிலை,Annealing temperature
நேர்மின்முனை,Anode
அனோட் பெருக்கி,Anode amplifier
அனோடைன்,Anodization
ஆண்டெனா,Antenna
ஆண்டெனா கூறு,Antenna elements
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,Anti-reflection coating
ஆன்டிலோகின் பெருக்கி,Anti-log amplifier
எதிரொலி சுற்று,Anti-resonant circuit
துவாரகர் காலம்,Aperture time
மெய்நிகர் சக்தி,Apparent power
கம்பி இணைப்பு,Apparent wiring
தோராயமான மின்னழுத்த ஆதாயம்,Approximate voltage gain
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,Armstrong modulator
ஆண்டெனா வரிசை,Arrays of antenna
"அளவு விகிதம், தோற்ற விகிதம்",Aspect ratio
மிதக்கும் சுற்று (இலவச இயக்க சுற்று),Astable circuit (free running circuit)
தானியங்கி மல்டிவிபிரேட்டர்,Astable multivibrator
மிதக்கும் மல்டிவிபிரேட்டர்,Astable multivibrator
சமச்சீரற்ற சந்திப்பு,Asymmetrical junction
ஒத்திசைவற்ற கால்குலேட்டர்,Asynchronous counters
அணுக்கரு,Atom
அணு எண்,Atomic number
அணு அமைப்பு,Atomic structure
ஒலி பெருக்கி,Audio amplifier
ஒலி பெருக்கி,Audio amplifier
ஆடியோ கேசட்,Audio cassette
ஒலி சுற்று,Audio circuit
கேட்கக்கூடிய அதிர்வெண்,Audio frequency
தானியங்கி மின்னழுத்த கட்டுப்பாடு,Automatic voltage control
பனிச்சரிவு,Avalanche
சராசரி கண்டுபிடிப்பான்,Average detector
அச்சு முறை,Axial mode
அச்சு விகிதம்,Axial ratio
ஆண்டெனா,Antenna
பின் மின்னோட்ட விசை,Back e.m.f.
பின் பகுதி,Back field
மீண்டும் சிதறல்,Back scattering
பின்னணி கட்டணம்,Background charge
பக்க சத்தம்,Background noise
பின்னடைவு,Backlash
பின்புற கதிர்வீச்சு,Backlobe radiation
பின்னோக்கி டையோடு / பின்தங்கிய டையோடு,Backward diode
பின்னோக்கி அலை ஆஸிலேட்டர்,Backward wave oscillator
"தடை, தடை",Baffle
தடை,Baffle shield
சீரான பாலம்,Balanced bridge
சமநிலை மாடுலேட்டர்,Balanced demodulator
சமநிலை மாடுலேட்டர்,Balanced modulator
சமநிலை சுற்று,Balanced network
சமச்சீர் சாய்வு கண்டறிதல்,Balancedslope detector
தற்போதைய நிலைப்படுத்தி எதிர்ப்பு,Ballast resistors
போலோமீட்டர்,Balometer
போலோமீட்டர் பாலம்,Balometer bridge
பலூன்,Balun
வாழை பலா,Banana jack
வாழை பிளக்,Banana plug
"பட்டை, கட்டு",Band
இசைக்குழு இயக்கி,Band conduction
இசைக்குழு ஆற்றல்,Band energy
பட்டை இடைவெளியை,Band gap
பேட்பார்க் பெருக்கி,Band pass amplifier
பேண்ட் பாஸ் வடிகட்டி,Band pass filter
பாட் ரேட் ஜெனரேட்டர்,Baud rate generator
பட்டை பரவல்,Band spreading
இசைக்குழு மின்தடை,Band stop
பேண்ட் பிரேக்கர் வடிகட்டி,Band stop filter
இசைக்குழு விரிவாக்கம்,Band width
பேண்ட் ரிமூவர் வடிகட்டி,Band-elimination filter
பேண்ட் விரிவாக்கம் விலகல் பெருக்கி,Bandwidth dispersion product
பேண்ட் நீட்டிப்பு தூரம் பெருக்கி,Bandwidth distance product
"பீம் மின்தேக்கி, வங்கி மின்தேக்கி",Bank capacity
"குரைக்கும் குறியீடு, குரைக்கும் குறியீடு",Barker code
barravaugen அளவுகோல்,Barkhausen criterion
பார்ப்பனர்,Barretter
தடை,Barrier
இன்சுலேடிங் மின்தேக்கி,Barrier capacitor
தடை ஆற்றல்,Barrier energy
மின்தடை மின்னழுத்தம்,Barrier voltage
பார்ட்லெட் ஜன்னல்,Bartlett window
"அடிப்படை, அடிப்படை",Base
அடிப்படை இசைக்குழு,Base band
அடிப்படை இசைக்குழு பரிமாற்றம்,Base band transmission
அடிப்படை கட்டணம்,Base charge
அடிப்படை மின்னோட்டம்,Base current
அடிப்படை தற்போதைய ஆதாரம்,Base current source
அடிப்படை வெட்டுதல்,Base dipping
ஆதார் மதன்,Base doping
அடிப்படை உமிழ்ப்பான் ஊட்டம்,Base emitter feedback
அடிப்படை உமிழ்ப்பான் சந்திப்பு,Base emitter junction
அடிப்படை ஊசி,Base infection
தரை வரி,Base line
அடிப்படை எதிர்ப்பு,Base resistance
அடிப்படை ஆதாரம்,Base source
அடிப்படை விரிவாக்க எதிர்ப்பு,Base spreading resistance
அடிப்படை விரிவாக்க எதிர்ப்பு,Base spreading resistance
அடிப்படை தடிமன்,Base thickness
அடிப்படை அணுகல்,Base transport
"அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்",Base width modulation
அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்,Base-collector junction
வாசனை,Bass
பாஸ் அதிர்வெண்,Bass frequency
மின்கலம்,Battery
பாட்,Baud
பாட் விகிதம்,Baud rate
பாட் ரேட் ஜெனரேட்டர்,Baud rate generator
போடோ குறியீடு,Baudot code
"சமிக்ஞை, கலங்கரை விளக்கம்",Beacon
"மாணிக்கா, பீட்",Bead
பித்து மின்தேக்கி,Bead capacitor
மணிகர்தாபி எதிர்ப்பாளர்கள்,Bead thermister
"பீம் ஆண்டெனா, பீம் ஆண்டெனா",Bean antenna
பீம் டிடெக்டர்,Beam finder
பீம் சக்தி குழாய்,Beam power tube
பீம் மாறுதல் முனைகள்,Beam switching tube
கற்றை விரிவாக்கம்,Beam width
துடிப்பு அதிர்வெண்,Beat frequency
துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்,Beat frequency oscillator
துடிப்பு ஆஸிலேட்டர்,Beat oscillator
மணி,Bel
வளைக்கும் இழப்பு,Bending loss
பெசல் வடிகட்டி,Bessel filter
பீட்டா,Beta
b-h வளைவு,B-H curve
"சார்பு, சார்பு",Bias
சார்பு மின்னோட்டம்,Bias current
சார்பு எதிர்ப்பு,Bias resistor
இரட்டை ஆண்டெனா,Biconical antenna
இருதரப்பு சுமை மின்னோட்டம்,Bidirection load current
இருதரப்பு ஆண்டெனா,Bi-directional antenna
இருதரப்பு ஒளி உமிழும் டையோடு,Bidirectional LED
இருதரப்பு தைரிஸ்டர்,Bidirectional thyristor
இரு FET தொழில்நுட்பம்,Bi-FET technology
இரு புள்ளி மின்மாற்றி,Bifilar transformer
இரட்டை இணைவு,Bifilar winding
இருதரப்பு சுற்று,Bilateral network
பைனரி,Binary
பைனரி தொகை,Binary addition
பைனரி சுற்று,Binary circuit
பைனரி குறியிடப்பட்ட தசம,Binary coded decimal (BCD)
பைனரி குறியிடப்பட்ட தசம அமைப்பு,Binary coded decimal system
பைனரி இருமுனை மின்தேக்கி,Binary commutating capacitor
பைனரி கால்குலேட்டர்,Binary counter
பைனரி கால்குலேட்டர்,Binary counter
பைனரி குறிவிலக்கி,Binary decoder
பைனரி ஏணி,Binary ladder
பைனரி பாத்தோமீட்டர்,Binary odometer
இருமை நிலை,Binary state
பைனரி-தசம குறிவிலக்கி,Binary to decimal decoders
பைனரி சுமை,Binary weight
பைனரி வார்த்தைகள்,Binary word
இருமுனை,Bipolar
இருமுனை மின்தேக்கி,Bipolar capacitor
இருமுனை சாதனம்,Bipolar device
இருமுனை மூல,Bipolar power supply
இருமுனை டிரான்சிஸ்டர்,Bipolar transistor
இருமுனை சந்திப்பு டிரான்சிஸ்டர்,Bipolar junction transistor
இருபடி வடிகட்டி,Biquad filter
இரட்டை நிலை,Bistable
இரண்டு-நிலை மல்டிவைபிரேட்டர்,Bistable multivibratic
இருதரப்பு ரிலே,Bistable relay
இரண்டு கட்ட நிலை,Bistable state
இரண்டு நிலை தூண்டுதல்,Bistable trigger
பிட் பிழை,Bit error
பிட் பிழை விகிதம்,Bit error rate (BER)
பிட் பிழை,Bit error
பிட்கல் பிழை,Bit timing error
குருட்டு பெட்டி,Black box
அமுக்கப்பட்ட துடிப்பு,Blanking pulses
சுரப்பவர்,Bleeder
சுரக்கும் தடுப்பான்,Bleeder resistor
குருட்டுத்தன்மை,Blind speed
பிரிவு வரைபடம்,Block diagram
தடுப்பு மின்தடை,Block impedance
துண்டு பரிமாற்றம்,Block transfer
இடைமறிக்கவும்,Blocking
மின்தடை மின்தேக்கி,Blocking capacitor
தடுப்பான் மின்தேக்கி,Blocking capacitor
தடுக்கும் ஆஸிலேட்டர்,Blocking oscillator
மின்தடை ஆஸிலேட்டர்,Blocking oscillator
மின்தடை மின்னழுத்தம்,Blocking voltage
ஊதுபவர்,Blower
போட் வரைபடம்,Bode diagram/plot
வோல்ட்ஸ்மேன் உறவு,Boltzmann relation
வோல்ட்ஸ்மேன் மாறிலி,Boltzmann's constant
பத்திரம்,Bond
பிணைக்கப்பட்ட திரிபு அளவு,Bonded strain gauge
சுயமாக இயக்கப்படும் பெருக்கி,Boot strapping amplifier
பூலியன் இயற்கணிதம்,Boolean algebra
பூலியன் சமன்பாடு,Boolean equation
துவக்க ஸ்ட்ராபன்,Boot strapping
பூத்தின் அல்காரிதம்,Booth's algorithm
பூட்ஸ்ட்ராப் ப்ரிசம் சுற்று,Bootstrap sweep circuit
bosscutts ஆட்சி,Bosanquert's law
போஸ்-சௌத்ரி ஹாக்கன்ஹாம் (BCH) குறியீடு,"Bose-Chaudhary-Hoeckingham
 (BCH) code"
"குதி, குதி",Bounce
பிணைக்கப்பட்ட எலக்ட்ரான்,Bound electron
ப்ராக் பிரதிபலிப்பான்,Bragg reflector
பின்னிப் பிணைந்த கம்பி,Braided wire
கிளை,Branch
கிளைகள்,Branching
பரிசோதனை குழு,Bread board
எலும்பு முறிவு மண்டலம்,Break down region
உடைக்கும் மின்னழுத்தம்,Break down voltage
முறிவு டையோடு,Breakdown diode
எலும்பு முறிவு சரிசெய்தல்,Breakdown rating
உடைக்கும் மின்னழுத்தம்,Breakdown voltage
பாலம்,Bridge
பாலம் திருத்தி,Bridge rectifier
பரந்த இசைக்குழு,Broad band
ஒலிபரப்பு இசைக்குழு,Broad cast band
நிழலிடா வரிசை,Broad side array
ஒளிபரப்பு,Broadcast
ஒளிபரப்பு ஆண்டெனா,Broadcast antenna
ஒளிபரப்பு ரிசீவர்,Broadcast receiver
