Tamil,Malayalam
குறைப்பு,ശീതീകരണം
சுருக்கம்,ചുരുക്കല്
கடத்தல்,പിടിച്ചുകൊണ്ടുപോകല്
நிறுத்துதல்,Aveyne
திறன்,കഴിവ്
Ab initio,Ab initio
முடியும்,കഴിവുള്ള
அசாதாரணமானது,വിലക്ഷണമായ
ஒழிப்பு,നിർത്തലാക്കൽ
இடுகை ஒழிப்பு,നിർത്തലാക്കൽ പോസ്റ്റ്
மேலே குறிப்பிட்டுள்ள,മുകളിൽ സൂചിപ്പിച്ച
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,മുകളിൽ ഉദ്ധരിച്ചത്
மேலே கூறினார்,മുകളിൽ പറഞ്ഞത്
இல்லாதது,അസാന്നിദ്ധം
வராதவர்,ഹാജരാകാത്ത
இல்லாதது,ഹാജരാകാത്തീയത
இல்லாத அறிக்கை,ഹാജരാകാതിരിക്കുക
அறுதி,കേശവം
முழுமையான ஏகபோகம்,കേവല കുത്തക
முழுமையான உரிமை,കേവല ഉടമസ്ഥാവകാശം
உறிஞ்சுதல்,ആഗിരണം
சுருக்கம்,വേര്പെട്ടുനില്ക്കുന്ന
சுருக்கம்,അനുഗമിക്കുന്നു
அபத்தமான,അസംബന്ധം
ஏராளமாக,സമൃദ്ധി
அதிகார துஷ்பிரயோகம்,അധികാര ദുരുപയോഗം
தவறான மொழி,അധിക്ഷേപകരമായ ഭാഷ
கல்வி,പണ്ഡിതോചിതമായ
கல்வி விவாதம்,അക്കാദമിക് ചർച്ച
கல்வி விடுப்பு,അക്കാദമിക് അവധി
கல்வி தகுதி,വിദ്യാഭ്യാസ യോഗ്യത
கல்வி சாதனையை,അക്കാദമിക് റെക്കോർഡ്
ஏற்றுக்கொள்ளுங்கள்,നിര്വഹിക്കുക
ஏற்றுக்கொள்,അംഗീകരിക്കുക
ஏற்றுக்கொள்ளல்,കൈക്കൊള്ളല്
பதவியை ஏற்றுக்கொள்வது,ഓഫീസിന്റെ സ്വീകാര്യത
