Hindi,Marathi
अपसामान्य,असामान्य
विफलन,गर्भपात
"अपघर्षण, घिसाई",घर्षण
"असंलग्न, अचानक, सहसा, विच्छिन्न",अचानक
निरपेक्ष क्षेत्र सामर्थ्य,परिपूर्ण फील्ड सामर्थ्य
परम ताप,परिपूर्ण तापमान
निरपेक्ष मान,परिपूर्ण मूल्य
"अवशोषित करना, अवशोषण करना",शोषून घ्या
अवशोषण गुणांक,शोषण सह-कार्यक्षम
अवशोषण हानि,शोषण तोटा
"अमूर्त, सारांश, सार, संक्षेप",गोषवारा
त्वरणमापी,एक्सेलरोमीटर
स्वीकृति परीक्षण,स्वीकृती चाचणी
अभिगम,प्रवेश
अभिगम नियंत्रण,प्रवेश नियंत्रण
अभिगम बिंदु,प्रवेश बिंदू
अभिगम काल,प्रवेश वेळ
अभिगम्यता,प्रवेशयोग्यता
संचायक सेल,संचयक सेल
यथार्थता,अचूकता
यथार्थ,अचूक
अवर्णक लेन्स,अ‍ॅक्रोमॅटिक लेन्स
"अम्ल, ऐसिड",आम्ल
अम्लसह,आम्ल पुरावा
अम्लता,आंबटपणा
"पावती द्वयंक, पावती बिट",पावती बिट
ध्वानिक,ध्वनिक
ध्वानिक संचार,ध्वनिक संप्रेषण
ध्वानिक विसरण,ध्वनिक प्रसार
ध्वानिक समकारी,ध्वनिक समतुल्य
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ध्वनिक अभिप्राय
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ध्वनिक फिल्टर
ध्वानिक प्रतिबाधा,ध्वनिक प्रतिबाधा
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ध्वनिक मास्किंग
ध्वानिक षक्ति,ध्वनिक शक्ती
ध्वानिक गुणधर्म,ध्वनिक मालमत्ता
ध्वानिक प्रतिघात,ध्वनिक प्रतिक्रिया
ध्वानिक प्रतिवर्त,ध्वनिक प्रतिक्षेप
ध्वानिक टाइल,ध्वनिक टाइल
ध्वानिक तरंग,ध्वनिक लाट
ध्वानिक अवशोषण गुणांक,ध्वनिक शोषण
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,ध्वनीविषयक क्षीणन स्थिर
ध्वानिक अवमंदन,ध्वनिकी ओलसर
ध्वानिक विलंब लाइन,ध्वनिक विलंब रेखा
ध्वानिक विरूपण,ध्वनिक विकृती
ध्वनि-वाहिनी,ध्वनिक नलिका
ध्वानिक ऊर्जा,ध्वनिक ऊर्जा
ध्वानिक पुनर्निवेश,ध्वनिक अभिप्राय
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",ध्वनिक फिल्टर
ध्वानिक प्रतिबाधा,ध्वनीविषयक प्रतिबाधा
ध्वानिक संचरण नियतांक,ध्वनीविषयक प्रसार स्थिर
ध्वानिक प्रतिरोध,ध्वनिक प्रतिकार
ध्वानिकतः रुद्ध,ध्वनिकरित्या इन्सुलेटेड
"ध्वानिकी, ध्वनि विज्ञान",ध्वनिकी
"अधिग्रहण, अर्जन, उपार्जन",संपादन
संक्षिप्त रूप,परिवर्णी शब्द
कार्य क्षेत्र,कृती क्षेत्र
"सक्रियकृत तंतु, सक्रियित तंतु",सक्रिय फिलामेंट
सक्रिय,सक्रिय
सक्रिय क्षेत्र,सक्रिय क्षेत्र
सक्रिय विंडो,सक्रिय विंडो
अनुकूलनीयता,अनुकूलता
"अनुकूलक, अनुकूलित्र",अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
अनुकूली विभेदी स्पंद कोड मॉडुलन,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
