Tamil,English
அபாக்ஸியல் மேற்பரப்பு,Abaxial surface
அடிவயிறு,Abdomen
வயிற்று பெருநாடி,Abdominal aorta
வயிற்று கேங்க்லியா,Abdominal ganglia
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,Abelmoschus esculentus
மாறுபாடு,Aberration
அபிஸ்,Abies
அபிங்டன் ஆமை,Abingdon tortoise
அபியோஜெனெஸிஸ்,Abiogenesis
அஜியோடிக்,Abiotic
அஜியோடிக் காரணி,Abiotic factor
அசாதாரண சிறுநீர்,Abnormal urine
ABO இரத்தக் குழு,ABO blood group
அப்சிசிக் அமிலம்,Abscisic acid
கஷ்டம்,Abscission
உறிஞ்சும்,Absorb
உறிஞ்சுதல் உச்சம்,Absorption peak
உறிஞ்சுதல்,Absorption
அகாசியா கேடெச்சு,Acacia catechu
அகாரியா அரபிகா,Acaria arabica
அகப்ரின்,Acaprin
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,Acceptable sexual behaviour
துணை சுரப்பி,Accessory gland
துணை சுரப்பி,Accessory gland
துணை உறுப்பு,Accessory organ
பழக்கவழக்கமயமாக்கல்,Acclimatization
பழக்கப்படுத்துங்கள்,Acclimatize
தங்குமிடம் (கவனம் செலுத்துதல்),Accommodation (focusing)
கண் தங்குமிடம்,Accommodation of eye
திரட்டல் வளர்ச்சி,Accretionary growth
குவிப்பு,Accumulation
கரிமப் பொருட்களின் குவிப்பு,Accumulation of organic matter
மண்ணின் குவிப்பு,Accumulation of soil
அசெல்லுலர்,Acellular
அசெல்லுலர் உயிரினம்,Acellular organism
அசிடபூலம்,Acetabulum
அசிடால்டிஹைட்,Acetaldehyde
அசிடைல் கோஎன்சைம்,Acetyl coenzyme
அச்சாடினா,Achatina
அச்சீன் வகை,Achene type
அச்சீன்,Achene
அச்ச்சைடோஸ்போரே,Achlamydosporeae
அமில மழை,Acid rain
அமிலத்தன்மை,Acidic
அமில வாயு,Acidic gas
அமிலத்தன்மை,Acidity
அசிநார் செல்,Acinar cell
அகோலோமேட்,Acoelomate
அகோனிட்டம்,Aconitum
ஏகோர்ன் புழு,Acorn worm
ஒலி மண்டலம்,Acoustic zoning
வாங்கிய எழுத்து,Acquired character
நோய் எதிர்ப்பு சக்தி,Acquired immunity
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),Acquired immuno deficiency syndrome (AIDS)
அக்னியா,Acrania
அக்ரிடைன் சாயம்,Acridine dye
அக்ரோஷென்ட்ரிக்,Acrocentric
அக்ரோமியன்,Acromion
அக்ரோபெட்டல் வரிசை,Acropetal sequence
அக்ரோபெட்டல் ஆர்டர்,Acropetal order
அக்ரோசின்,Acrosin
ஆக்டின்,Actin
ஆக்டின் போன்ற புரதம்,Actin-like protein
ஆக்டினோமார்பிக்,Actinomorphic
ஆக்டினோமைசீட்கள்,Actinomycetes
செயல்பாட்டு திறன்,Action potential
செயல்படுத்தப்பட்ட கசடு,Activated sludge
செயல்படுத்தப்பட்ட கசடு மிதவை,Activated sludge floc
செயல்படுத்தும் ஆற்றல்,Activation energy
செயலில் உறிஞ்சுதல்,Active absorption
செயலில் நோய் எதிர்ப்பு சக்தி,Active immunity
செயலில் கதிர்வீச்சு,Active radiation
செயலில் உள்ள தளம்,Active site
ஆக்டிவின்,Activin
அக்யூமினேட்,Acuminate
ஆடம்ஸியா,Adamsia
தகவமைப்பு,Adaptability
தழுவல்,Adaptation
ஒளி ஆட்சிக்கு தழுவல்,Adaptation to light regime
நீர் பற்றாக்குறைக்கு தழுவல்,Adaptation to water scarcity
தகவமைப்பு பண்புகள்,Adaptive characteristics
தகவமைப்பு நோய் எதிர்ப்பு சக்தி,Adaptive immunity
தகவமைப்பு கதிர்வீச்சு,Adaptive radiation
தகவமைப்பு பண்பு,Adaptive trait
அடாக்ஸியல் மேற்பரப்பு,Adaxial surface
போதை கோளாறு,Addictive disorder
அடினின்,Adenine
அடினோகார்டிகோட்ரோபின்,Adenocorticotropin
அடினோஹைபோஃபிசிஸ்,Adenohypophysis
அடினோசின் டைபாஸ்பேட்,Adenosin diphosphate
அடினோசின் டீமினேஸ்,Adenosine deaminase
அடினோசின் மோனோபாஸ்பேட்,Adenosine monophosphate
அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி),Adenosine triphosphate (ATP)
அடினிலேட் சைக்லேஸ்,Adenylate cyclase
பிசின் சக்தி,Adhesive force
கொழுப்பு,Adipate
அடிபோசைட் (கொழுப்பு செல்),Adipocyte (fat cell)
கொழுப்பு திசு,Adipose tissue
Adnate,Adnate
அருகிலுள்ள சமூகம்,Adjoining community
அட்ரீனல்,Adrenal
