Assamese,English
ৱেষ্টমিনিষ্টাৰৰ এবে,Abbey of Westminster
এবডিটৰী,Abditory
দাসত্ব বিলুপ্ত কৰা,Abolition of slavery
আদিবাসী,Aboriginal
আব্ৰাহাম যুগ,Abraham Era
অনুপস্থিত ঘৰৰ মালিক,Absentee landlords
একাডেমী,Academy
আক্ৰা সন্মিলন,Accra conference
এক্ৰুৱেল,Accruals
সংস্কৃতিকৰণ,Acculturation
এচেলডামা,Aceldama
আখিয়ান (=আচিয়ান),Achaean (=Achian)
আচায়ান লীগ (=আচিয়ান লীগ),Achaean League (=Achian League)
এক্ৰ&#39;পলিছ,Acropolis
এক্টা ডিউৰ্না,Acta Diurna
এক্টা চেনেটাছ,Acta Senatus
এক্টে এডিচনেল,Acte Additionel
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),Active record (=current record)
প্ৰাপ্তিৰ কাৰ্য্য,Act of attainder
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,Act of Indemnity and oblivion
বন্দোবস্তৰ আইন,Act of Settlement
এড কন্ট্ৰেক্টাছ ছীল,Ad contractus seal
এডুলামাইটছ,Adullamites
বিৰোধী,Adversary
বিৰোধী,Adversary
ইয়ন,Aeon
এৰেৰিয়াম,Aerarium
আকাশী যুদ্ধ,Aerial warfare
এটলিয়ান লীগ,Aetolian League
বয়স,Age
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),Ageing (=aging)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,Ageing process
আগেলাই,Agelai
অশ্বাৰোহীৰ যুগ,Age of chivalry
এজ অৱ ইংলাইটমেণ্ট,Age of Englightment
পেৰিক্লিছৰ বয়স,Age of Pericles
যুক্তিৰ বয়স,Age of reason
কৃষিবাদ,Agrarianism
কৃষি আন্দোলন,Agrarian movement
এলবিয়ন,Albion
এলবাম,Album
এলডাৰমেন,Alderman
আলোকসজ্জা বাহু,Allusive arms
এমিটি,Amity
এম্ফিক্টয়নিক কাউন্সিল,Amphictyonic Council
এম্ফিক্টয়নিক লীগ,Amphictyonic League
এম্ফিথিয়েটাৰ,Amphitheatre
অমৰি নল গোট (মৃৎশিল্পৰ),Amri Nal group (of pottery)
এনাক্ৰ’নিজম,Anachronism
এনাক্ৰ’নিষ্টিক,Anachronistic
পূৰ্বপুৰুষ,Ancestor
পূৰ্বপুৰুষ পূজা,Ancestor Worship
বংশ,Ancestry
বংশ,Ancestry
বংশ,Ancestry
বংশ,Ancestry
Ancien শাসন ব্যৱস্থা,Ancien regime
পৌৰাণিক,Ancient
প্ৰাচীন বেলাড,Ancient ballad
প্ৰাচীন বিশ্বাস,Ancient belief
প্ৰাচীন প্ৰথা,Ancient custom
প্ৰাচীন ইতিহাস,Ancient history
প্ৰাচীন কীৰ্তিচিহ্ন,Ancient monuments
উপাখ্যান,Anecdote
এঞ্জেলট,Angelot
এঞ্জেলছ,Angelus
এঞ্জেভিন (=anjevin),Angevin (=anjevin)
কোণ,Angles
এংলিকান,Anglican
এংলিকান কমিউনিয়ন,Anglican Communion
এংলিকানিজম,Anglicanism
এংলো-ফ’ব,Anglo-phobe
এংলো-ফ’বিয়া,Anglo-phobia
এংলো-চেক্সন,Anglo-Saxon
এংলো-চেক্সনবাদ,Anglo-Saxonism
এনালিষ্ট,Annalist
এনালছ,Annals
সংলগ্নকৰণ,Annexation
এণ্টে-বেলাম,Ante-bellum
এণ্টে তাৰিখ,Ante date
কেৰাণীবাদ বিৰোধী,Anti-clericalism
কেৰাণী বিৰোধী আইন,Anti-clerical legislation
প্ৰাচীনতা,Antiquity
ভাড়া বিৰোধী,Anti-rent
ভাড়া বিৰোধী,Anti-rent
চেমিটিজম বিৰোধী,Anti Semitism
এঞ্জেক,Anzac
এপেলা,Apella
আৰালু,Aralu
আৰ্ক বিচপ,Arch bishop
আৰ্ক ডাচি,Arch duchy
আৰ্ক ড্যুক,Arch duke
আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ),Archief (=archival collection)
আৰ্কিপিস্কোপেট,Archiepiscopate
অভিজাত শ্ৰেণী,Aristocracy
অভিজাত,Aristocrat
অভিজাত স্নোবৰী,Aristocratic snobbery
এৰিষ্ট&#39;টেলিয়ান,Aristotelian
আৰ্মাডা,Armada
আৰ্মাডা (=স্পেনিছ আৰ্মাডা),Armada (=The Spanish Armada)
আৰ্মৰিষ্ট (=armourist),Armorist (=armourist)
কৱচ (=কৱচ),Armour (=armor)
আৰ্মৰিষ্ট,Armourist
আৰ্য্য,Aryan
আৰ্য্য,Aryan
আস্কৰী,Askari
Assignat,Assignat
Assize,Assize
Assize,Assize
Assize,Assize
এছাইজ অৱ আৰ্মছ এক্ট,Assize of Arms Act
ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ,Assize of Darrein Presentment
মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ,Assize of Mort 'D' Ancestor
নভেল ডিচেইচিনৰ এছাইজ,Assize of Novel Disseisin
অত্যাচাৰ,Atrocity
আক্ৰমণ,Attack
অলিক কাউন্সিল,Aulic Council
গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ),Axe of the Geddess (=the Geddess axe)
অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ),Axis (=The Rome-Berlin-Tokyo Axis)
বেবিলন,Babylon
বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব),Babylonian captivity (=Babylonish captivity)
বচনাল ভক্ত,Bacchanal devotee
বাচনালিয়া,Bacchanalia
অবিবাহিত লোক,Bachelor
বাগদাদ চুক্তি,Baghdad Pact
বাল্কন লীগ,Balkan League
বাল্কন চুক্তি,Balkan Pact
বাল্কন যুদ্ধ,Balkan Wars
বাল্টিক চুক্তি,Baltic Pact
ডাকাত,Bandit
বাণ্ডুং সন্মিলন,Bandung Conference
নিৰ্বাসন,Banishment
বেনাৰ,Banner
বৰ্বৰ,Barbarian
বাৰ্বিকান,Barbican
বৰদলৈ সত্যাগ্ৰহ,Bardoli satyagraha
বাৰ্ন বাৰ্নাৰ্ছ,Barn Burners
বেৰন,Baron
বেৰনেজ,Baronage
বেৰনছ মেজৰ,Barones majores
বেৰনেছ নাবালক,Barones minores
বেৰনেছ,Baroness
বেৰনেট,Baronet
বেৰনেটেজ,Baronetage
বেৰনেটেজ,Baronetage
