Punjabi,Bengali
ਅਬੇਲੀਅਨ ਸਮੂਹ,আবেলিয়ান গ্রুপ
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
ਅਸੀਮ,পরম
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,পরম মিলন
ਪੂਰਨ ਗਲਤੀ,পরম ত্রুটি
ਪੂਰਨ ਅਧਿਕਤਮ,পরম সর্বোচ্চ
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,পরম সর্বনিম্ন
ਸਹੀ ਮੁੱਲ,পরম মান
ਪੂਰਨ ਗਤੀ,পরম বেগ
ਸਾਰ ਅਲਜਬਰਾ,বিমূর্ত বীজগণিত
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,বিমূর্ত গ্রুপ তত্ত্ব
ਪ੍ਰਵੇਗ,ত্বরণ
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,গ্রহণযোগ্য পছন্দ সেট
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,গ্রহণযোগ্য মানের স্তর
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,গ্রহণযোগ্য পরিসীমা
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,গ্রহণযোগ্য নমুনা
ਸੰਚਿਤ ਗਲਤੀ,সঞ্চিত ত্রুটি
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਐਕਟਿੰਗ ਫੋਰਸ,অভিনয় শক্তি
ਕਾਰਵਾਈ,কর্ম
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,কর্ম এবং প্রতিক্রিয়া
ਅਸਲ ਵਿਗਿਆਨ,বাস্তব বিজ্ঞান
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,তীব্র কোণযুক্ত ত্রিভুজ
acyclic,অ্যাসাইক্লিক
ਸ਼ਾਮਲ ਕਰੋ,যোগ করুন
ਜੋੜਨ ਵਾਲਾ,যোগকারী
ਇਸ ਤੋਂ ਇਲਾਵਾ,সংযোজন
ਜੋੜ ਫਾਰਮੂਲਾ,সংযোজন সূত্র
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,জটিল সংখ্যার সংযোজন
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,ফাংশন সংযোজন
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,ম্যাট্রিক্সের সংযোজন
ਬਹੁਪਦ ਦਾ ਜੋੜ,বহুপদ সংযোজন
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,সম্ভাবনার সংযোজন
ਵੈਕਟਰ ਦਾ ਜੋੜ,ভেক্টর সংযোজন
ਵਾਧੂ ਪ੍ਰਮੇਯ,সংযোজন উপপাদ্য
additive ਗਰੁੱਪ,সংযোজনকারী গ্রুপ
additive ਉਲਟ,সংযোজন বিপরীত
additive ਸੰਪਤੀ,সংযোজক সম্পত্তি
additivity,সংযোজন
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,অন্তিক ম্যাট্রিক্স
ਨੇੜੇ,সংলগ্ন
ਨੇੜੇ ਦੇ ਕੋਣ,সন্নিহিত কোণ
ਨੇੜੇ ਦਾ ਸਿਰਾ,সংলগ্ন শীর্ষবিন্দু
ਨਾਲ ਜੁੜੋ,সংলগ্ন
ਨਾਲ ਲੱਗਦੇ,সংলগ্ন
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,সংলগ্ন নির্ধারক
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
ਸੰਜੋਗ ਸਮੀਕਰਨ,সংলগ্ন সমীকরণ
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,সংলগ্ন ম্যাট্রিক্স
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,ম্যাট্রিক্সের সংলগ্ন
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,গ্রহণযোগ্য অনুমান
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,এরোডাইনামিক বল
ਐਰੋਡਾਇਨਾਮਿਕਸ,বায়ুগতিবিদ্যা
affine ਜਿਓਮੈਟਰੀ,affine জ্যামিতি
affine ਮੈਪਿੰਗ,affine ম্যাপিং
affine ਪਰਿਵਰਤਨ,affine রূপান্তর
ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ,একত্রিত ভেরিয়েবল
ਅਲਜਬਰਾ,বীজগণিত
ਬੀਜਗਣਿਤ ਬੰਦ,বীজগণিতভাবে বন্ধ
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,বীজগণিত সমীকরণ
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,বীজগাণিতিক এক্সপ্রেশন
ਬੀਜਗਣਿਤ ਰੂਪ,বীজগাণিতিক ফর্ম
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,বীজগণিতীয় ফাংশন
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,বীজগণিত জ্যামিতি
ਬੀਜਗਣਿਤ ਗੁਣਾ,বীজগণিতের বহুত্ব
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,বীজগণিত ব্যবস্থা
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,সমস্ত পূর্ণসংখ্যা সমস্যা
ਵੰਡ ਸਮੱਸਿਆ,বরাদ্দ সমস্যা
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,বর্ণানুক্রমিক স্বরলিপি
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,বর্ণানুক্রমিক অক্ষর
ਵਿਕਲਪਕ ਕੋਣ,বিকল্প কোণ
ਬਦਲਵੇਂ ਰੂਪ,বিকল্প ফর্ম
ਬਦਲਵੇਂ ਸਮੂਹ,বিকল্প গোষ্ঠী
ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ,বিকল্প ম্যাট্রিক্স
ਬਦਲਵੀਂ ਲੜੀ,বিকল্প সিরিজ
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,বিকল্প অনুমান
ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ,বিকল্প অপটিমা
ਵਿਕਲਪਕ ਨਤੀਜਾ,বিকল্প ফলাফল
ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ,এনালগ থেকে ডিজিটাল রূপান্তরকারী
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,অ্যানালগ কম্পিউটার
ਵਿਸ਼ਲੇਸ਼ਣ,বিশ্লেষণ
ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,সহভক্তির বিশ্লেষণ
ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,গণনা তথ্য বিশ্লেষণ
ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,বৈচিত্র্যের বিশ্লেষণ
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ,বিশ্লেষণাত্মক জ্যামিতি
ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ,বিশ্লেষণমূলক ফাংশন
ਕੋਣ,কোণ
ਸੰਪਰਕ ਦਾ ਕੋਣ,যোগাযোগের কোণ
ਭਟਕਣ ਦਾ ਕੋਣ,বিচ্যুতি কোণ
ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ,বিষণ্নতা কোণ
ਭਟਕਣ ਦਾ ਕੋਣ,বিচ্যুতি কোণ
