Marathi,Punjabi
अॅबॅकस,abacus
असामान्य समाप्ती,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
गर्भपात,ਅਧੂਰਾ ਛੱਡੋ
निरपेक्ष,ਅਸੀਮ
परिपूर्ण पत्ता,ਪੂਰਾ ਪਤਾ
निरपेक्ष संबोधन,ਪੂਰਨ ਸੰਬੋਧਨ
परिपूर्ण असेंबलर,ਪੂਰਨ ਅਸੈਂਬਲਰ
परिपूर्ण कोड,ਪੂਰਨ ਕੋਡ
निरपेक्ष आज्ञा,ਪੂਰਨ ਹੁਕਮ
परिपूर्ण डेटा,ਪੂਰਨ ਡਾਟਾ
परिपूर्ण सूचना,ਪੂਰਨ ਹਿਦਾਇਤ
परिपूर्ण मोड,ਪੂਰਨ ਮੋਡ
परिपूर्ण मार्ग,ਪੂਰਨ ਮਾਰਗ
परिपूर्ण प्रोग्रामिंग,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
अमूर्त वर्ग,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
अमूर्त डेटा प्रकार,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
अमूर्त मशीन,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
अमूर्त चिन्ह,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
अमूर्त वाक्यरचना,ਸੰਖੇਪ ਸੰਟੈਕਸ
स्वीकृती चाचणी,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
प्रवेश प्रमाणीकरण,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
प्रवेश कोड,ਐਕਸੈਸ ਕੋਡ
प्रवेश नियंत्रण,ਪਹੁੰਚ ਕੰਟਰੋਲ
प्रवेश स्कॅन,ਐਕਸੈਸ ਸਕੈਨ
ऍक्सेसरी,ਸਹਾਇਕ
खाते,ਖਾਤਾ
खाते आयडी,ਖਾਤਾ ID
संचयक,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
अचूकता,ਸ਼ੁੱਧਤਾ
प्रवेश,ਪਹੁੰਚ
ऍक्सेस कंट्रोल बाइट,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
प्रवेश निर्देशांक,ਐਕਸੈਸ ਇੰਡੈਕਸ
प्रवेश की,ਪਹੁੰਚ ਕੁੰਜੀ
ऍक्सेस मॅट्रिक्स,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
प्रवेश मोड,ਪਹੁੰਚ ਮੋਡ
प्रवेश विशेषाधिकार,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
प्रवेश सुरक्षा,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
ऍक्सेस सर्व्हर,ਪਹੁੰਚ ਸਰਵਰ
प्रवेश वेळ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
पोचपावती,ਮਾਨਤਾ
ध्वनीशास्त्र,ਧੁਨੀ ਵਿਗਿਆਨ
परिवर्णी शब्द,ਸੰਖੇਪ ਸ਼ਬਦ
क्रिया संदेश,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
सक्रियकरण,ਸਰਗਰਮੀ
सक्रिय सर्व्हर पृष्ठ (एएसपी),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
सक्रिय आवृत्ती,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
अॅसायक्लिक,acyclic
अॅसायक्लिक आलेख,acyclic ਗ੍ਰਾਫ਼
अडा भाषा,ਅਦਾ ਭਾਸ਼ਾ
अडॅप्टर,ਅਡਾਪਟਰ
जोडा,ਸ਼ਾਮਲ ਕਰੋ
फाइल जोडा,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
ऑपरेशन जोडा,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
जोडणारा,ਜੋੜਨ ਵਾਲਾ
पत्ता,ਪਤਾ
पत्ता बस,ਪਤਾ ਬੱਸ
पत्ता फाइल,ਐਡਰੈੱਸ ਫਾਈਲ
पत्त्याचे स्वरूप,ਪਤਾ ਫਾਰਮੈਟ
पत्ता जनरेटर,ਪਤਾ ਜਨਰੇਟਰ
पत्ता ओळ,ਐਡਰੈੱਸ ਲਾਈਨ
पत्ता मॅपिंग,ਪਤਾ ਮੈਪਿੰਗ
पत्ता सूचक,ਪਤਾ ਸੰਕੇਤਕ
पत्ता नोंदवही,ਪਤਾ ਰਜਿਸਟਰ
पत्ता ठराव,ਪਤਾ ਹੱਲ
पत्ता अनुवाद,ਪਤਾ ਅਨੁਵਾਦ
संबोधित मेमरी,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
संबोधित करणे,ਸੰਬੋਧਨ
पर्याप्तता निकष,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
संलग्न,adjoint
प्रशासन,ਪ੍ਰਸ਼ਾਸਨ
प्रशासक,ਪ੍ਰਬੰਧਕ
adobe acrobat,ਅਡੋਬ ਐਕਰੋਬੈਟ
अडोब फोटोशाॅप,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP)
प्रगत डेटा,ਉੱਨਤ ਡਾਟਾ
प्रगत माहिती प्रणाली,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
प्रगत तंत्रज्ञान (AT),ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
एजंट,ਏਜੰਟ
एकत्रीकरण,ਏਕੀਕਰਨ
एअरबोर्न संगणक प्रणाली,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus पृष्ठ निर्माता,aldus ਪੇਜ ਮੇਕਰ
इशारा बॉक्स,ਚੇਤਾਵਨੀ ਬਾਕਸ
अल्गोल,ਐਲਗੋਲ
अल्गोरिदम,ਐਲਗੋਰਿਦਮ
अल्गोरिदम विश्लेषण,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
अल्गोरिदम कार्यक्षमता,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
उर्फ,ਉਪਨਾਮ
संरेखन,ਅਲਾਈਨਮੈਂਟ
वाटप,ਵੰਡ
वर्णमाला,ਵਰਣਮਾਲਾ
अल्फान्यूमेरिक,ਅੱਖਰ ਅੰਕੀ
अल्फान्यूमेरिक की बोर्ड,ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ
अल्फा-चाचणी,ਅਲਫ਼ਾ-ਟੈਸਟ
अल्फा आवृत्ती,ਅਲਫ਼ਾ-ਵਰਜਨ
alt की,alt ਕੁੰਜੀ
altavista,altavista
अस्पष्टता,ਅਸਪਸ਼ਟਤਾ
अस्पष्ट व्याकरण,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII)
अॅनालॉग,ਐਨਾਲਾਗ
अॅनालॉग संगणक,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
अॅनालॉग डिव्हाइस,ਐਨਾਲਾਗ ਜੰਤਰ
अॅनालॉग मॉडेम,ਐਨਾਲਾਗ ਮਾਡਮ
अॅनालॉग ते डिजिटल कनव्हर्टर (ADC),ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC)
आणि,ਅਤੇ
आणि सर्किट,ਅਤੇ ਸਰਕਟ
आणि गेट,ਅਤੇ ਗੇਟ
आणि ऑपरेशन नाही (अपवर्जन),ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ)
अॅनिमेशन,ਐਨੀਮੇਸ਼ਨ
भाष्य,ਐਨੋਟੇਸ਼ਨ
विसंगती,ਅਸੰਗਤਤਾ
पूर्ववर्ती,ਪੂਰਵ
आगाऊ पेजिंग,ਅਗਾਊਂ ਪੇਜਿੰਗ
विरोधी सममित,ਵਿਰੋਧੀ ਸਮਰੂਪ
अँटीव्हायरस प्रोग्राम,ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ
ऍपलेट,ਐਪਲਿਟ
अनुप्रयोग विकासक,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
अनुप्रयोग प्रोग्रामिंग,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API),ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)
अनुप्रयोग सॉफ्टवेअर,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
