Hindi,Kannada
वैस्‍टम‍िन्‍स्‍टर मठ,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
मालखाना,ವ್ಯಭಿಚಾರ
दासता का उन्मूलन,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
आदिवासी,ಮೂಲನಿವಾಸಿಗಳು
अब्राहम काल,ಅಬ್ರಹಾಂ ಯುಗ
प्रवासी ज़मींदार,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
अकादमी; विद्वत्परिषद,ಅಕಾಡೆಮಿ
अक्रा सम्मेलन,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
"प्रोद्भूत सामग्री, उपचित सामग्री",ಸಂಚಯಗಳು
"परसंस्कृति-ग्रहण, उत्संस्करण",ಸಂಸ್ಕಾರ
एसेलडामा,ಅಸೆಲ್ಡಾಮಾ
एकियायी,ಅಚೆಯನ್ (=ಅಚಿಯನ್)
एकीयायी लीग,ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
एक्रोपोलिस,ಆಕ್ರೊಪೊಲಿಸ್
"शाही रोज़नामचा, दैनिक समाचार",ಆಕ್ಟಾ ಡೈರ್ನಾ
सीनेट का कार्यवृत्त,ಆಕ್ಟಾ ಸೆನಾಟಸ್
"अपर प्रपत्र, एक्टे एडिशनेल",ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
सक्रिय रिकार्ड,ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
अपकीर्त्ति अधिनियम,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
दंड विमुक्ति एवं विस्मरण अधिनियम,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",ವಸಾಹತು ಕಾಯಿದೆ
संविदा मुद्रा,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
आडुलम गुटवादी,ಅಡುಲಮೈಟ್ಸ್
विपक्षी,ಎದುರಾಳಿ
2. शत्रु,ಎದುರಾಳಿ
युग,ಏಯಾನ್
इरेरियम,ಏರೋರಿಯಮ್
"आकाशी युद्ध, हवाई लड़ाई",ವೈಮಾನಿಕ ಯುದ್ಧ
"एटोलियन लीग, एटोलियायी संघ",ಏಟೋಲಿಯನ್ ಲೀಗ್
"काल, युग",ವಯಸ್ಸು
"काल-प्रभावन, जीर्णन",ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
जीर्णन-प्रक्रिया,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
एजिलायी,ಅಗೆಲೈ
शौर्य युग,ಅಶ್ವದಳದ ವಯಸ್ಸು
"प्रबोध युग, ज्ञानोदय युग",ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
पेरीक्लीज़ युग,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
