Gujarati,Bengali
અબેકસ,অ্যাবাকাস
અસામાન્ય સમાપ્તિ,অস্বাভাবিক সমাপ্তি
ગર્ભપાત,গর্ভপাত
સંપૂર્ણ,পরম
સંપૂર્ણ સરનામું,পরম ঠিকানা
સંપૂર્ણ સંબોધન,পরম ঠিকানা
સંપૂર્ણ એસેમ્બલર,পরম সংযোজনকারী
સંપૂર્ણ કોડ,পরম কোড
સંપૂર્ણ આદેશ,পরম আদেশ
સંપૂર્ણ ડેટા,পরম তথ্য
સંપૂર્ણ સૂચના,পরম নির্দেশ
સંપૂર્ણ મોડ,পরম মোড
સંપૂર્ણ માર્ગ,পরম পথ
સંપૂર્ણ પ્રોગ્રામિંગ,পরম প্রোগ্রামিং
અમૂર્ત વર્ગ,বিমূর্ত ক্লাস
અમૂર્ત ડેટા પ્રકાર,বিমূর্ত তথ্য প্রকার
અમૂર્ત મશીન,বিমূর্ত মেশিন
અમૂર્ત પ્રતીક,বিমূর্ত প্রতীক
અમૂર્ત વાક્યરચના,বিমূর্ত বাক্য গঠন
સ્વીકૃતિ પરીક્ષણ,স্বীকৃতি যাচাইকরণ
ઍક્સેસ પ્રમાણીકરણ,অ্যাক্সেস প্রমাণীকরণ
ઍક્સેસ કોડ,প্রবেশাধিকার কোড
વપરાશ નિયંત્રણ,প্রবেশাধিকার নিয়ন্ত্রণ
એક્સેસ સ્કેન,অ্যাক্সেস স্ক্যান
સહાયક,আনুষঙ্গিক
એકાઉન્ટ,অ্যাকাউন্ট
એકાઉન્ટ ID,অ্যাকাউন্ট আইডি
સંચયક,সঞ্চয়কারী
ચોકસાઈ,সঠিকতা
ઍક્સેસ,অ্যাক্সেস
એક્સેસ કંટ્રોલ બાઈટ,অ্যাক্সেস নিয়ন্ত্রণ বাইট
એક્સેસ ઇન્ડેક્સ,অ্যাক্সেস সূচক
ઍક્સેસ કી,অ্যাক্সেস কী
એક્સેસ મેટ્રિક્સ,অ্যাক্সেস ম্যাট্রিক্স
ઍક્સેસ મોડ,অ্যাক্সেস মোড
એક્સેસ વિશેષાધિકાર,প্রবেশাধিকার
ઍક્સેસ સુરક્ષા,অ্যাক্সেস নিরাপত্তা
ઍક્સેસ સર્વર,অ্যাক্সেস সার্ভার
ઍક્સેસ સમય,অ্যাক্সেস সময়
સ્વીકૃતિ,স্বীকৃতি
ધ્વનિશાસ્ત્ર,ধ্বনিবিদ্যা
ટૂંકાક્ષર,সংক্ষিপ্ত রূপ
ક્રિયા સંદેશ,কর্ম বার্তা
સક્રિયકરણ,সক্রিয়করণ
સક્રિય સર્વર પૃષ્ઠ (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
સક્રિય સંસ્કરણ,সক্রিয় সংস্করণ
એસાયક્લિક,অ্যাসাইক্লিক
એસાયક્લિક ગ્રાફ,অ্যাসাইক্লিক গ্রাফ
અદા ભાષા,অ্যাডা ভাষা
એડેપ્ટર,অ্যাডাপ্টার
ઉમેરો,যোগ করুন
ફાઇલ ઉમેરો,ফাইল যুক্ত কর
કામગીરી ઉમેરો,অপারেশন যোগ করুন
ઉમેરનાર,যোগকারী
સરનામું,ঠিকানা
સરનામું બસ,ঠিকানা বাস
સરનામું ફાઇલ,ঠিকানা ফাইল
સરનામું ફોર્મેટ,ঠিকানা বিন্যাস
સરનામું જનરેટર,ঠিকানা জেনারেটর
એડ્રેસ લાઇન,ঠিকানা লাইন
સરનામું મેપિંગ,ঠিকানা ম্যাপিং
સરનામું નિર્દેશક,ঠিকানা নির্দেশক
સરનામું રજીસ્ટર,ঠিকানা রেজিস্টার
સરનામું રિઝોલ્યુશન,ঠিকানা রেজোলিউশন
સરનામા અનુવાદ,ঠিকানা অনুবাদ
સંબોધિત મેમરી,ঠিকানাযুক্ত স্মৃতি
સંબોધન,সম্বোধন
પર્યાપ્તતા માપદંડ,পর্যাপ্ততার মানদণ্ড
સંલગ્ન,সংলগ্ন
વહીવટ,প্রশাসন
સંચાલક,প্রশাসক
એડોબ એક્રોબેટ,অ্যাডোবি অ্যাক্রোব্যাট
એડોબ ફોટોશોપ,অ্যাডোবি ফটোশপ
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
અદ્યતન ડેટા,উন্নত তথ্য
અદ્યતન માહિતી સિસ્ટમ,উন্নত তথ্য সিস্টেম
અદ્યતન ટેકનોલોજી (AT),উন্নত প্রযুক্তি (AT)
એજન્ટ,প্রতিনিধি
એકત્રીકરણ,সমষ্টি
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus પૃષ્ઠ નિર્માતા,aldus পেজ মেকার
ચેતવણી બોક્સ,সতর্কতা বাক্স
algol,algol
અલ્ગોરિધમ,অ্যালগরিদম
અલ્ગોરિધમ વિશ્લેષણ,অ্যালগরিদম বিশ্লেষণ
અલ્ગોરિધમ કાર્યક્ષમતા,অ্যালগরিদম দক্ষতা
ઉપનામ,উপনাম
ગોઠવણી,প্রান্তিককরণ
ફાળવણી,বরাদ্দ
આલ્ફાબેટીક,বর্ণানুক্রমিক
આલ્ફાન્યૂમેરિક,আলফানিউমেরিক
આલ્ફાન્યૂમેરિક કી બોર્ડ,আলফানিউমেরিক কী বোর্ড
