Hindi,Malayalam
अपाक्ष पृष्ठ,നിബാക്സിയൽ ഉപരിതലം
उदर,അടിവയറ്
उदर महाधमनी,വയറുവേദന അയോട്ടോ
उदर गुच्छिका,വയറിലെ ഗാംഗ്ലിയ
अबेलमॉस्कस एस्कुलेन्टस,Abelmoschus എസ്സുലന്റസ്
विपथन,വെറുക്കല്
ऐबीज (बलूत),അബി)
ऐबिंग्डन कछुआ,അബിങ്ഡൺ ആമ
अजीवात्जनन,അബിയോജെനിസിസ്
अजीवीय,അബിയോട്ടിക്
"अजीवीय कारक, अजैव कारक",അശുഭാപ്തി ഘടകം
अपसामानय मूत्र,അസാധാരണമായ മൂത്രം
ए.बी.ओ. रुधिर वर्ग,അബോ രക്തം ഗ്രൂപ്പ്
एब्सिसिक अम्ल,അബ്സിസിക് ആസിഡ്
विलगन,നിര്വഹണം
अवशोषण करना,ഉള്ക്കൊള്ളുക
अवशोषण शिखर,ആഗിരണം കൊടുമുടി
अवशोषण,ആഗിരണം
अकेशिया कैटेच्यू,അക്കേഷ്യ കാറ്റെച്ചു
अकेशिया अरेबिका (बबूल),അക്കാര്യ അറബിക്ക
ऐकैप्रिन,അകാപ്രിൻ
स्वीकार्य लैंगिक व्यवहार,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
सहायक ग्रंथि,ആക്സസറി ഗ്രന്ഥി
अतिरिक्त ग्रंथि,ആക്സസറി ഗ്രന്ഥി
सहायक अंग,ആക്സസറി അവയവം
"पर्यनुकूलन, दशानुकूलन",ACCLIMATIES
"पर्यनुकूलित करना, दशानुकूलित करना",അക്ലിമിലൈസ്
समंजन (फोकसन),താമസം (ഫോക്കസിംഗ്)
नेत्र की समंजन क्षमता,കണ്ണിന്റെ താമസം
अभिवर्धी वृद्धि,പ്രകടിപ്പിക്കുന്ന വളർച്ച
"संचय, संचयन",കൂന്വാരം
कार्बनिक पदार्थों का एकत्रीकरण,ജൈവവസ്തുക്കളുടെ ശേഖരണം
मृदा संचयन,മണ്ണിന്റെ ശേഖരണം
अकोशिकीय,അസെലുലാർ
अकोशिकीय जीव,അസെല്ലുലാർ ജീവികൾ
"श्रोणिउलूखल, ऐसीटैबुलम",Aecetabulum
ऐसीटेल्डिहाइड,അസെറ്റൽഡിഹൈഡ്
ऐसीटिल सह-ऐंजाइम,അസെറ്റി കൊവെൻസിഎംഇ
ऐकेटाइना,അച്ചാതിന
ऐकीन प्रकार,നെച്ചെൻ തരം
ऐकीन,അച്ചീൻ
ऐक्लेमाइडोस्पोरी,ആൾമെംഡിഡോസ്പോര്പോറിയ
अम्ल वर्षा,അമ്ല മഴ
अम्लीय,അസിഡിറ്റി
अम्लीय गैस,അസിഡിറ്റിക് വാതകം
अम्लता,അസിഡിറ്റി
गुच्छकोष्ठक कोशिका,അക്കിനാർ സെൽ
अगुहिक,അക്കോമോമോമറ്റ്
ऐकोनिटम,അക്കോണിറ്റം
"एकॉर्न कृमि, बंजुक कृमि",ആക്രമണാത്മക പുഴു
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",അക്കോസ്റ്റിക് സോണിംഗ്
उपार्जित लक्षण,സ്വന്തമാക്കിയ പ്രതീകം
उपार्जित प्रतिरक्षा,പ്രതിരോധശേഷി നേടി
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
ऐक्रैनिया,അങ്കാരിയ
एक्रिडीन रंजक,അക്രിക്കൈൻ ഡൈ
अग्रकेंद्री,അക്രോസെന്റ്
अंसकूट,അക്രോമീൻ
अग्राभिसारी अनुक्रम,അക്രോരേറ്റൽ സീക്വൻസ്
अग्राभिसारी क्रम,അക്രോപോളൽ ഓർഡർ
एक्रोसिन,അക്രോസിൻ
ऐक्टिन,ആക്ടിൻ
ऐक्टिन-सम प्रोटीन,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
त्रिज्यासममित,ആക്ടിനോമോർഫിക്
एक्टिनोमाइसिटीज,ആക്റ്റിനോമൈസെറ്റുകൾ
क्रिया विभव,പ്രവർത്തന സാധ്യത
सक्रियित आपंक,സജീവമാക്കിയ സ്ലഡ്ജ്
सक्रियित आपंक फ्लॉक,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
सक्रियण ऊर्जा,സജീവമാക്കൽ .ർജ്ജം
सक्रिय अवशोषण,സജീവമായ ആഗിരണം
सक्रिय प्रतिरक्षा,സജീവ പ്രതിരോധശേഷി
सक्रिय विकिरण,സജീവ വികിരണം
सक्रिय स्थल,സജീവ സൈറ്റ്
ऐक्टिविन,ആധ്രിക്കുക
लंबाग्र,അക്യുമിനേറ്റ്
ऐडैम्सिया,ആദാംസിയ
अनुकूलनशीलता,പൊരുത്തപ്പെടലി
अनुकूलन,പൊരുത്തപ്പെടുത്തൽ
प्रकाश प्रवृत्ति के प्रति अनुकूलन,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
जलाभाव के प्रति अनुकूलन,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
अनुकूली (अभि) लक्षण,അഡാപ്റ്റീവ് സവിശേഷതകൾ
अनुकूली प्रतिरक्षा,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
अनुकूली विकिरण,അഡാപ്റ്റീവ് വികിരണം
अनुकूली विशेषक,അഡാപ്റ്റീവ് സ്വഭാവം
अभ्यक्ष पृष्ठ,അഡാക്സിയൽ ഉപരിതലം
व्यसनी विकार,ആസക്തി നിഴൽ
ऐडेनीन,ആദൈൈൻ
ऐडिनोकॉर्टिकोट्रॉपिन,Adenocortiopin
ऐडेनोहाइपोफाइसिस,ആദിനോഹൈപഫിസിസ്
ऐडेनोसिन डाइफास्फेट,Adenosin diphosphate
ऐडेनोसिन डीएमीनेज,Adenosine deaminase
ऐडेनोसिन मोनोफॉस्फेट,അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്
ऐडेनोसिन ट्राइफॉस्फेट,അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി)
एडेनिलेट साइक्लेज,Adenileat സൈക്ലെസ്
आसंजी बल,പശ ശക്തി
ऐडिपेट,മുദവയ്ക്കുക
वसाणु (वसा कोशिका),Adipocyte (FALE സെൽ)
वसा ऊतक,അഡിപോസ് ടിഷ്യു
संलग्न,ആരാധന
संलग्न समुदाय,സമീപ കമ്മ്യൂണിറ്റി
अधिवृक्क,അഡ്രീനല്
अधिवृक्क ग्रंथि,അഡ്രീനൽ ഗ്രന്ഥി
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth)
