Kannada,Marathi
ಅಸಹಜ,असामान्य
ಸ್ಥಗಿತಗೊಳಿಸು,गर्भपात
ಸವೆದುಹೋಗುವಿಕೆ,घर्षण
ಹಠಾತ್ತಾಗಿ,अचानक
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,परिपूर्ण फील्ड सामर्थ्य
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,परिपूर्ण तापमान
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,परिपूर्ण मूल्य
ಹೀರಿಕೊಳ್ಳಿ,शोषून घ्या
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,शोषण सह-कार्यक्षम
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,शोषण तोटा
ಅಮೂರ್ತ,गोषवारा
ವೇಗವರ್ಧಕ ಮಾಪಕ,एक्सेलरोमीटर
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृती चाचणी
ಪ್ರವೇಶ,प्रवेश
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,प्रवेश नियंत्रण
ಪ್ರವೇಶ,प्रवेश बिंदू
ಪ್ರವೇಶ ಸಮಯ,प्रवेश वेळ
ಪ್ರವೇಶಿಸುವಿಕೆ,प्रवेशयोग्यता
ಸಂಚಯಕ ಕೋಶ,संचयक सेल
ನಿಖರತೆ,अचूकता
ನಿಖರವಾದ,अचूक
ವರ್ಣರಂಜಿತ ಮಸೂರದ,अ‍ॅक्रोमॅटिक लेन्स
ಆಮ್ಲ,आम्ल
ಆಮ್ಲ ಪುರಾವೆ,आम्ल पुरावा
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,आंबटपणा
ಸ್ವೀಕೃತ ಬಿಟ್,पावती बिट
Acೇಳ್ಳರದ,ध्वनिक
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ध्वनिक संप्रेषण
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,ध्वनिक प्रसार
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,ध्वनिक समतुल्य
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ध्वनिक अभिप्राय
ಕೊಳೆತ ಫಿಲ್ಟರ್,ध्वनिक फिल्टर
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,ध्वनिक प्रतिबाधा
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,ध्वनिक मास्किंग
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,ध्वनिक शक्ती
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,ध्वनिक मालमत्ता
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ध्वनिक प्रतिक्रिया
ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್,ध्वनिक प्रतिक्षेप
ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,ध्वनिक टाइल
ಸ ೦ ವರ ತರಂಗ,ध्वनिक लाट
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ध्वनिक शोषण
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ,ध्वनीविषयक क्षीणन स्थिर
ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್,ध्वनिकी ओलसर
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ध्वनिक विलंब रेखा
ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ,ध्वनिक विकृती
ಅಕೌಟಿಕಲ್ ನಾಳ,ध्वनिक नलिका
ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ,ध्वनिक ऊर्जा
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ध्वनिक अभिप्राय
ಕೊಳೆತ ಫಿಲ್ಟರ್,ध्वनिक फिल्टर
ಕೊಳೆತ ಪ್ರತಿರೋಧ,ध्वनीविषयक प्रतिबाधा
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ,ध्वनीविषयक प्रसार स्थिर
ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ,ध्वनिक प्रतिकार
ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ,ध्वनिकरित्या इन्सुलेटेड
ಸ್ರವಿಸುವ,ध्वनिकी
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,संपादन
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,परिवर्णी शब्द
ಕಾರ್ಯ ಪ್ರದೇಶ,कृती क्षेत्र
ಸಕ್ರಿಯ ತಂತು,सक्रिय फिलामेंट
ಸಕ್ರಿಯ,सक्रिय
ಸಕ್ರಿಯ ಪ್ರದೇಶ,सक्रिय क्षेत्र
ಸಕ್ರಿಯ ಕಿಟಕಿ,सक्रिय विंडो
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलता
ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
ವಿಳಾಸ ಪುಸ್ತಕ,अॅड्रेस बुक
ವಿಳಾಸ ಬಸ್,अ‍ॅड्रेस बस
ವಿಳಾಸ ಪರಿಹಾರ,पत्ता ठराव
ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ,लगतच चॅनेल हस्तक्षेप
ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ,लगतच चॅनेल निवड
ಪಕ್ಕದ ಆವರ್ತನ,समीप वारंवारता
ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್,समीप फ्रिक्वेन्सी चॅनेल
ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ,लगतचे चित्र वाहक
ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ,समीप ध्वनी वाहक
ಪಕ್ಕದ ನಿಲ್ದಾಣ,समीप स्टेशन
ಹೊಂದಿಸಲಾಗುವ,समायोज्य
ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್,समायोज्य कंडेन्सर
ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು,दबाव समायोजित करणे
ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ,पाना समायोजित करणे
ಹೊಂದಾಣಿಕೆ,समायोजन
ನಿರ್ವಾಹಕ,प्रशासक
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ,आधुनिक तंत्रज्ञान
ವೈಮಾನಿಕ,हवाई
ವೈಮಾನಿಕ ರಚನೆ,एरियल अ‍ॅरे
ವೈಮಾನಿಕ ಬೂಸ್ಟರ್,एरियल बूस्टर
ವೈಮಾನಿಕ ಪ್ರವಾಹ,एरियल करंट
ವೈಮಾನಿಕ ಅರ್ಥಿಂಗ್ ಸ್ವಿಚ್,एरियल अर्थिंग स्विच
ವೈಮಾನಿಕ ದಕ್ಷತೆ,हवाई कार्यक्षमता
ವೈಮಾನಿಕ ಪ್ರತಿರೋಧ,हवाई प्रतिबाधा
ವೈಮಾನಿಕ ಪ್ರಚೋದನೆ,एरियल इंडक्टन्स
ವೈಮಾನಿಕ ಅವಾಹಕ,एरियल इन्सुलेटर
ವೈಮಾನಿಕ ಲೋಡಿಂಗ್ ಕಾಯಿಲ್,एरियल लोडिंग कॉइल
ವೈಮಾನಿಕ ography ಾಯಾಗ್ರಹಣ,एरियल फोटोग्राफी
ವೈಮಾನಿಕ ಶಕ್ತಿ,हवाई शक्ती
ವೈಮಾನಿಕ ವಿಕಿರಣ ಮರುಪರಿಶೀಲನೆ,एरियल रेडिएशन रीस्टन्स
ವೈಮಾನಿಕ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕ,हवाई प्रतिक्रिया
ಧಾರ್ಮಿಕತೆ,एरोडायनामिक्स
ವಾಗ್ದಾನ,एजन्सी
ವಾಯು ಸಂಕೋಚಕ,एअर कॉम्प्रेसर
ವಾಯುಮಂಡಲ,एअर कंडेन्सर
ಗಾಳಿ ತಣ್ಣಗಾಯಿತು,वातानुकूलित
ಏರ್ ಕೋರ್ಡ್ ಕಾಯಿಲ್,एअर कोर्ड कॉइल
ಹವಾನಿಯಂತ್ರಣ,वातानुकुलीत
ಪಂಥದ,अल्बेडो
