Bengali,Hindi
বাতিল অঙ্গ,रुद्ध-वृद्धि अंग
বাতিল বীজ,रुद्ध वृद्धि बीज
গর্ভপাত,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
পরম আগাছা,"अवांछित अपतृण, पूर्ण खरपतवार"
শোষিত কেশন,अवशोषित धनायन
শোষণ,अवशोषण
অ্যাবিসিনিয়ান সরিষা,ऐबिसिनी सरसों
অ্যাকারিসাইড,"एकेरेसनाशी, चिचड़ीनाशी"
অ্যাকসেন্ট্রিক,अकेंद्री
উচ্চারণ (সেল),प्रवर्धन (कोशिका)
স্বীকৃত সহনশীলতা,स्वीकृत सहायता
আনুষঙ্গিক,"अतिरिक्त, सहायक, गौण"
প্রশংসাপত্র,पर्यनुकूलन
জমা,संचय
সঠিকতা,"यथार्थता, परिशुद्धता"
এসারভুলাস,"एसर्वुलस, बीजाणुपात्र"
অ্যাসিটিফিকেশন,"ऐसीटीकरण, सिरका बनाना"
অ্যাসিডিফিকেশন,"अम्लीकरण, अम्लन"
অ্যাসিডিমিটার,"अम्लतामापी, एसिडीमीटर"
অম্লতা,अम्लता
অ্যাসিডোফিলিক,अम्लरागी
অ্যাসিডুলেটেড রক ফসফেট,अम्लीकृत रॉक फॉस्फेट
অ্যাসিডুরিক,अम्लसह
জলজ,जलभृत
অধিগ্রহণ,अधिग्रहण
একর,एकड़
জমি,"क्षेत्रफल, रकबा"
অ্যাক্রোসেন্ট্রিক ক্রোমোজোম,उपांत बिंदु क्रोमोसोम
অ্যাক্রোপেটাল,अग्राभिसारी
অ্যাক্রোসোম,ऐक्रोसोम
অ্যাক্টিনোমাইসেটস,एक्टिनोमाइसिटीज
সক্রিয় মূল অঞ্চল,सक्रिय मूलक्षेत्र
তীব্র,"उग्र, तीव्र"
অভিযোজনযোগ্যতা,अनुकूलनशीलता
অভিযোজন,अनुकूलन
আঠালো,"आसंजन, अभिलाग, बन्ध"
অ্যাডিপোজ,वसामय
সামঞ্জস্য সমীকরণ,समायोजन समीकरण
অ্যাডোব মাটি,ऐडोब मृदा
ভেজাল,अपमिश्रक
অ্যাডভেটিয়াস,अपस्थानिक
আইসিডিওস্পোর,"एसीडियोस्पोर, एसीडियम बीजाणु"
আইওলিয়ান প্রক্রিয়া,वातोढ़ प्रक्रिया
আইওলিয়ান,वातोढ़
এয়ারেট,वातन करना
এরিয়াল,"वायव, आकाशी"
এয়ারোমিটার,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
অ্যারোসোল,ऐरोसॉल
এ্যাস্টিভেশন,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
এটিওলজি (এটিওলজি),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
Afforastation,वनरोपण
আন্দোলন,"विलोडन, प्रक्षोभन"
অ্যাগমার্ক,"ऐगमार्क, कृष्यंक"
কৃষি,"भूमी संबंधी, कृषि संबंधी"
কৃষি ক্লিনিক,कृषि निदानालय
কৃষি শ্রম,"कृषि श्रम, खेतिहर मजदूर"
কৃষি বিপণন,कृषि विपणन
কৃষি প্রযুক্তি,कृषि प्रद्योगिकी
কৃষি,"कृषि, खेतीबारी, कृषि विज्ञान"
এগ্রিসিলভিকালচার,कृषि वनवर्धन
কৃষি,कृषि जैविक विविधता
অ্যাগ্রোবায়োলজিকাল ত্রুটিগুলি,कृषि जैविक दोष
