Malayalam,English
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,A B amplifier
അപഭ്രംശം,aberration
അസാധാരണമായ സംക്രമണം,abnormal propagation
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ",abrupt
സ്പെക്ട്രം കാണുന്നില്ല,absent spectrum
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ",absolute
കേവല ഈർപ്പം,absolute humidity
കേവല വേഗത,absolute motion
സമ്പൂർണ നിരീക്ഷണം,absolute observation
കേവല താപനില,absolute temperature
കേവല പൂജ്യം,absolute zero
ആഗിരണം ചെയ്യുക,absorb
"ആഗിരണം, ആഗിരണം",absorber
ആഗിരണം ശേഷി,absorbing power
ആഗിരണം,absorptance
ആഗിരണം ചെയ്യാവുന്ന,absorptive
ആഗിരണം,absorptivity
ഗുണിത അനുപാതം,abundance ratio
ത്വരിതപ്പെടുത്തുക,accelerate
തിടുക്കപ്പെട്ടു,accelerated
ത്വരണം,acceleration
ഗുരുത്വാകർഷണ ത്വരണം,acceleration of gravity
ആക്സിലറേറ്റർ,accelerative
ആക്സിലറേറ്റർ,accelerator
ആക്സിലറോമീറ്റർ,accelerometer
പ്രിസ്ട്രെസർ,accentuator
സ്വീകാര്യമായ പരിശോധന,acceptance test
സ്വീകർത്താവ്,acceptor
ദാതാവിന്റെ തന്മാത്ര,acceptor molecule
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത",access
പ്രവേശനക്ഷമത,accessibility
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)",accessory
പ്രവേശന സമയം,access time
സന്ദർശക പിശക്,accidental error
ക്രമീകരിക്കൽ,accommodation
കുമിഞ്ഞുകൂടി,accumulated
"ശേഖരണം, ശേഖരണം",accumulation
ശേഖരണം,accumulator
കൃത്യത,accuracy
റിയാലിറ്റി,accurate
അക്രോമാറ്റിക് ലെൻസ്,achromat
അക്രോമാറ്റിക്,achromatic
അക്രോമാറ്റിറ്റി,achromatism
