Bengali,Assamese
ওয়েস্টমিনস্টারের অ্যাবে,ৱেষ্টমিনিষ্টাৰৰ এবে
বর্জনীয়,এবডিটৰী
দাসত্বের সমাপ্তি,দাসত্ব বিলুপ্ত কৰা
আদিবাসী,আদিবাসী
আব্রাহাম যুগ,আব্ৰাহাম যুগ
অনুপস্থিত জমির মালিক,অনুপস্থিত ঘৰৰ মালিক
একাডেমী,একাডেমী
আকরা সম্মেলন,আক্ৰা সন্মিলন
সঞ্চয়,এক্ৰুৱেল
সংগ্রহ,সংস্কৃতিকৰণ
অ্যাসেলডামা,এচেলডামা
আচিয়ান (=আচিয়ান),আখিয়ান (=আচিয়ান)
আচিয়ান লীগ (=আচিয়ান লীগ),আচায়ান লীগ (=আচিয়ান লীগ)
অ্যাক্রোপলিস,এক্ৰ&#39;পলিছ
Acta Diurna,এক্টা ডিউৰ্না
Acta Senatus,এক্টা চেনেটাছ
অ্যাক্ট অ্যাডিশনেল,এক্টে এডিচনেল
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
প্রাপ্তির কাজ,প্ৰাপ্তিৰ কাৰ্য্য
ক্ষতিপূরণ এবং বিস্মৃতির আইন,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
নিষ্পত্তির আইন,বন্দোবস্তৰ আইন
বিজ্ঞাপন চুক্তি সীল,এড কন্ট্ৰেক্টাছ ছীল
আদুল্লামাইটস,এডুলামাইটছ
প্রতিপক্ষ,বিৰোধী
প্রতিপক্ষ,বিৰোধী
Aeon,ইয়ন
এরারিয়াম,এৰেৰিয়াম
বায়বীয় যুদ্ধ,আকাশী যুদ্ধ
এটোলিয়ান লীগ,এটলিয়ান লীগ
বয়স,বয়স
বার্ধক্য (=বার্ধক্য),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
বার্ধক্য প্রক্রিয়া,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
এগেলাই,আগেলাই
বীরত্বের বয়স,অশ্বাৰোহীৰ যুগ
এনলাইটমেন্টের বয়স,এজ অৱ ইংলাইটমেণ্ট
পেরিক্লেসের বয়স,পেৰিক্লিছৰ বয়স
কারণ বয়স,যুক্তিৰ বয়স
কৃষিবাদ,কৃষিবাদ
কৃষি আন্দোলন,কৃষি আন্দোলন
অ্যালবিয়ন,এলবিয়ন
অ্যালবাম,এলবাম
অল্ডারম্যান,এলডাৰমেন
লোভনীয় অস্ত্র,আলোকসজ্জা বাহু
বন্ধুত্ব,এমিটি
অ্যাম্ফিক্টোনিক কাউন্সিল,এম্ফিক্টয়নিক কাউন্সিল
Amphictyonic লীগ,এম্ফিক্টয়নিক লীগ
অ্যাম্ফিথিয়েটার,এম্ফিথিয়েটাৰ
আমরি নল দল (মৃৎপাত্রের),অমৰি নল গোট (মৃৎশিল্পৰ)
অ্যানাক্রোনিজম,এনাক্ৰ’নিজম
অ্যানাক্রোনিস্টিক,এনাক্ৰ’নিষ্টিক
পূর্বপুরুষ,পূৰ্বপুৰুষ
পূর্ব পুরুষের পুজা,পূৰ্বপুৰুষ পূজা
বংশ,বংশ
বংশ,বংশ
বংশ,বংশ
বংশ,বংশ
প্রাচীন শাসন,Ancien শাসন ব্যৱস্থা
প্রাচীন,পৌৰাণিক
প্রাচীন গীতিনাট্য,প্ৰাচীন বেলাড
প্রাচীন বিশ্বাস,প্ৰাচীন বিশ্বাস
প্রাচীন রীতি,প্ৰাচীন প্ৰথা
প্রাচীন ইতিহাস,প্ৰাচীন ইতিহাস
প্রাচীন স্মৃতিস্তম্ভ,প্ৰাচীন কীৰ্তিচিহ্ন
উপাখ্যান,উপাখ্যান
অ্যাঞ্জেলট,এঞ্জেলট
এঞ্জেলাস,এঞ্জেলছ
অ্যাঞ্জেভিন (=এনজেভিন),এঞ্জেভিন (=anjevin)
কোণ,কোণ
অ্যাংলিকান,এংলিকান
অ্যাংলিকান কমিউনিয়ন,এংলিকান কমিউনিয়ন
অ্যাংলিকানিজম,এংলিকানিজম
অ্যাংলো-ফোব,এংলো-ফ’ব
অ্যাংলো-ফোবিয়া,এংলো-ফ’বিয়া
অ্যাংলো-স্যাক্সন,এংলো-চেক্সন
অ্যাংলো-স্যাক্সোনিজম,এংলো-চেক্সনবাদ
অ্যানালিস্ট,এনালিষ্ট
ইতিহাস,এনালছ
সংযোজন,সংলগ্নকৰণ
এন্টে-বেলাম,এণ্টে-বেলাম
তারিখের আগে,এণ্টে তাৰিখ
করণিকবাদ বিরোধী,কেৰাণীবাদ বিৰোধী
অ্যান্টি-ক্লারিক্যাল আইন,কেৰাণী বিৰোধী আইন
প্রাচীনত্ব,প্ৰাচীনতা
ভাড়া বিরোধী,ভাড়া বিৰোধী
ভাড়া বিরোধী,ভাড়া বিৰোধী
সেমিটিজম বিরোধী,চেমিটিজম বিৰোধী
আনজাক,এঞ্জেক
আপেলা,এপেলা
আরালু,আৰালু
আর্চ বিশপ,আৰ্ক বিচপ
আর্চ ডুচি,আৰ্ক ডাচি
আর্চ ডিউক,আৰ্ক ড্যুক
আর্কিফ (= আর্কাইভাল সংগ্রহ),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
