Kannada,Gujarati
ಅಬೆಲಿಯನ್ ಗುಂಪು,એબેલિયન જૂથ
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,અબેલીયન સેમીગ્રુપ
ಅಬ್ಸಿಸ್ಸಾ,એબ્સીસા
ಸಂಪೂರ್ಣ,સંપૂર્ણ
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,સંપૂર્ણ સંકલન
ಸಂಪೂರ್ಣ ದೋಷ,સંપૂર્ણ ભૂલ
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,સંપૂર્ણ મહત્તમ
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,સંપૂર્ણ લઘુત્તમ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,સંપૂર્ણ મૂલ્ય
ಸಂಪೂರ್ಣ ವೇಗ,સંપૂર્ણ વેગ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,અમૂર્ત બીજગણિત
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,અમૂર્ત જૂથ સિદ્ધાંત
ವೇಗವರ್ಧನೆ,પ્રવેગ
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,સ્વીકાર્ય પસંદગી સમૂહ
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,સ્વીકાર્ય ગુણવત્તા સ્તર
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,સ્વીકાર્ય શ્રેણી
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,સ્વીકાર્ય નમૂના
ಸಂಚಿತ ದೋಷ,સંચિત ભૂલ
ನಿಖರತೆ,ચોકસાઈ
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,અભિનય બળ
ಕ್ರಮ,ક્રિયા
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ક્રિયા અને પ્રતિક્રિયા
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,વાસ્તવિક વિજ્ઞાન
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,તીવ્ર કોણીય ત્રિકોણ
ಅಸೈಕ್ಲಿಕ್,એસાયક્લિક
ಸೇರಿಸಿ,ઉમેરો
ಸೇರಿಸುವವನು,ઉમેરનાર
ಜೊತೆಗೆ,વધુમાં
ಸೇರ್ಪಡೆ ಸೂತ್ರ,વધારાનું સૂત્ર
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,જટિલ સંખ્યાઓનો ઉમેરો
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,કાર્યોનો ઉમેરો
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,મેટ્રિસિસનો ઉમેરો
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,બહુપદીનો ઉમેરો
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,સંભાવનાઓનો ઉમેરો
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,વેક્ટરનો ઉમેરો
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,વધારાનું પ્રમેય
ಸಂಯೋಜಕ ಗುಂಪು,ઉમેરણ જૂથ
ಸಂಯೋಜಕ ವಿಲೋಮ,ઉમેરણ વ્યસ્ત
ಸಂಯೋಜಕ ಆಸ್ತಿ,ઉમેરણ મિલકત
ಸಂಕಲನ,ઉમેરણ
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,સંલગ્નતા મેટ્રિક્સ
ಪಕ್ಕದ,અડીને
ಪಕ್ಕದ ಕೋನಗಳು,અડીને આવેલા ખૂણા
ಪಕ್ಕದ ಶೃಂಗ,અડીને શિરોબિંદુ
ಹೊಂದು,સંલગ્ન
ಪಕ್ಕದ,સંલગ્ન
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,સંલગ્ન નિર્ણાયક
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,સંલગ્ન વિભેદક સમીકરણ
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,સંલગ્ન સમીકરણ
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,સંલગ્ન મેટ્રિક્સ
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,મેટ્રિક્સનો સંલગ્ન ભાગ
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,એડજ્યુગેટ મેટ્રિક્સ
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,સ્વીકાર્ય નિર્ણય કાર્ય
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,સ્વીકાર્ય પૂર્વધારણા
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,એરોડાયનેમિક બળ
ವಾಯುಬಲವಿಜ್ಞಾನ,એરોડાયનેમિક્સ
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,સંલગ્ન ભૂમિતિ
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,affine મેપિંગ
ಅಫೈನ್ ರೂಪಾಂತರ,સંલગ્ન રૂપાંતર
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,એકંદર ચલો
ಬೀಜಗಣಿತ,બીજગણિત
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,બીજગણિતીય રીતે બંધ
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,બીજગણિતીય સમીકરણ
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,બીજગણિતીય અભિવ્યક્તિ
ಬೀಜಗಣಿತ ರೂಪ,બીજગણિત સ્વરૂપ
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,બીજગણિત કાર્ય
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,બીજગણિત ભૂમિતિ
ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ,બીજગણિત ગુણાકાર
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,બીજગણિત સિસ્ટમ
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,તમામ પૂર્ણાંક સમસ્યા
ಹಂಚಿಕೆ ಸಮಸ್ಯೆ,ફાળવણી સમસ્યા
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,આલ્ફાબેટીકલ નોટેશન
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,આલ્ફાબેટીક અક્ષર
ಪರ್ಯಾಯ ಕೋನ,વૈકલ્પિક કોણ
ಪರ್ಯಾಯ ರೂಪ,વૈકલ્પિક સ્વરૂપ
ಪರ್ಯಾಯ ಗುಂಪು,વૈકલ્પિક જૂથ
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,વૈકલ્પિક મેટ્રિક્સ
ಪರ್ಯಾಯ ಸರಣಿ,વૈકલ્પિક શ્રેણી
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,વૈકલ્પિક પૂર્વધારણા
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ,વૈકલ્પિક ઓપ્ટિમા
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,વૈકલ્પિક પરિણામ
