Tamil,Punjabi
அபெலியன் குழு,ਅਬੇਲੀਅਨ ਸਮੂਹ
அபிலியன் அரைகுழு,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
அறுதி,ਅਸੀਮ
முழுமையான ஒருங்கிணைப்பு,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
முழுமையான பிழை,ਪੂਰਨ ਗਲਤੀ
முழுமையான அதிகபட்சம்,ਪੂਰਨ ਅਧਿਕਤਮ
முழுமையான குறைந்தபட்சம்,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
துல்லியமான மதிப்பு,ਸਹੀ ਮੁੱਲ
முழுமையான வேகம்,ਪੂਰਨ ਗਤੀ
சுருக்க இயற்கணிதம்,ਸਾਰ ਅਲਜਬਰਾ
சுருக்க குழு கோட்பாடு,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
முடுக்கம்,ਪ੍ਰਵੇਗ
புவியீர்ப்பு காரணமாக முடுக்கம்,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
திரட்டப்பட்ட பிழை,ਸੰਚਿਤ ਗਲਤੀ
துல்லியம்,ਸ਼ੁੱਧਤਾ
செயல்படும் சக்தி,ਐਕਟਿੰਗ ਫੋਰਸ
நடவடிக்கை,ਕਾਰਵਾਈ
செயல் மற்றும் எதிர்வினை,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
உண்மையான அறிவியல்,ਅਸਲ ਵਿਗਿਆਨ
கடுமையான கோண முக்கோணம்,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
அசைக்ளிக்,acyclic
கூட்டு,ਸ਼ਾਮਲ ਕਰੋ
சேர்ப்பான்,ਜੋੜਨ ਵਾਲਾ
கூடுதலாக,ਇਸ ਤੋਂ ਇਲਾਵਾ
கூட்டல் சூத்திரம்,ਜੋੜ ਫਾਰਮੂਲਾ
சிக்கலான எண்களைச் சேர்த்தல்,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
செயல்பாடுகளைச் சேர்த்தல்,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
மெட்ரிக்குகள் சேர்த்தல்,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,ਬਹੁਪਦ ਦਾ ਜੋੜ
நிகழ்தகவுகளைச் சேர்த்தல்,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
திசையன்கள் சேர்த்தல்,ਵੈਕਟਰ ਦਾ ਜੋੜ
கூட்டல் தேற்றம்,ਵਾਧੂ ਪ੍ਰਮੇਯ
சேர்க்கை குழு,additive ਗਰੁੱਪ
தலைகீழ் சேர்க்கை,additive ਉਲਟ
சேர்க்கை சொத்து,additive ਸੰਪਤੀ
சேர்க்கை,additivity
அருகாமை அணி,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
அருகில்,ਨੇੜੇ
அருகில் உள்ள கோணங்கள்,ਨੇੜੇ ਦੇ ਕੋਣ
அருகில் உள்ள உச்சி,ਨੇੜੇ ਦਾ ਸਿਰਾ
இணை,ਨਾਲ ਜੁੜੋ
அருகில்,ਨਾਲ ਲੱਗਦੇ
இணைந்த தீர்மானிப்பான்,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
இணை வேறுபாடு சமன்பாடு,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
இணைந்த சமன்பாடு,ਸੰਜੋਗ ਸਮੀਕਰਨ
இணை அணி,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
மேட்ரிக்ஸின் இணைப்பு,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
adjugate matrix,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
காற்றியக்க விசை,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
காற்றியக்கவியல்,ਐਰੋਡਾਇਨਾਮਿਕਸ
இணைப்பு வடிவியல்,affine ਜਿਓਮੈਟਰੀ
இணைப்பு மேப்பிங்,affine ਮੈਪਿੰਗ
இணைப்பு மாற்றம்,affine ਪਰਿਵਰਤਨ
ஒருங்கிணைக்கும் மாறிகள்,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
இயற்கணிதம்,ਅਲਜਬਰਾ
இயற்கணிதப்படி மூடப்பட்டது,ਬੀਜਗਣਿਤ ਬੰਦ
இயற்கணித சமன்பாடு,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
இயற்கணித வெளிப்பாடு,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
இயற்கணித வடிவம்,ਬੀਜਗਣਿਤ ਰੂਪ
இயற்கணித செயல்பாடு,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
இயற்கணித வடிவியல்,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
இயற்கணிதப் பெருக்கம்,ਬੀਜਗਣਿਤ ਗੁਣਾ
இயற்கணித அமைப்பு,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
அனைத்து முழு எண் பிரச்சனை,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
ஒதுக்கீடு பிரச்சனை,ਵੰਡ ਸਮੱਸਿਆ
அகரவரிசைக் குறியீடு,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
அகரவரிசை எழுத்து,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
மாற்று கோணம்,ਵਿਕਲਪਕ ਕੋਣ
மாற்று வடிவம்,ਬਦਲਵੇਂ ਰੂਪ
மாற்று குழு,ਬਦਲਵੇਂ ਸਮੂਹ
மாற்று அணி,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
மாற்று தொடர்,ਬਦਲਵੀਂ ਲੜੀ
மாற்று கருதுகோள்,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
மாற்று ஆப்டிமா,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
மாற்று விளைவு,ਵਿਕਲਪਕ ਨਤੀਜਾ
அனலாக்-டு-டிஜிட்டல் மாற்றி,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
அனலாக் கணினி,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
பகுப்பாய்வு,ਵਿਸ਼ਲੇਸ਼ਣ
இணையான பகுப்பாய்வு,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
கணக்கியல் தரவு பகுப்பாய்வு,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
மாறுபாட்டின் பகுப்பாய்வு,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
பகுப்பாய்வு வடிவியல்,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
பகுப்பாய்வு செயல்பாடு,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
கோணம்,ਕੋਣ
தொடர்பு கோணம்,ਸੰਪਰਕ ਦਾ ਕੋਣ
விலகல் கோணம்,ਭਟਕਣ ਦਾ ਕੋਣ
மனச்சோர்வின் கோணம்,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
விலகல் கோணம்,ਭਟਕਣ ਦਾ ਕੋਣ
விலகல் கோணம்,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
உயரத்தின் கோணம்,ਉਚਾਈ ਦਾ ਕੋਣ
நிகழ்வு கோணம்,ਘਟਨਾ ਦਾ ਕੋਣ
திட்ட கோணம்,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
பிரதிபலிப்பு கோணம்,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
ஒளிவிலகல் கோணம்,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
சுழற்சி கோணம்,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
மொத்த பிரதிபலிப்பு கோணம்,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
கோண முடுக்கம்,ਕੋਣੀ ਪ੍ਰਵੇਗ
கோண இயக்கம்,ਕੋਣੀ ਗਤੀ
கோண வேகம்,ਕੋਣੀ ਗਤੀ
கோண வேகம்,ਕੋਣੀ ਵੇਗ
வளையம்,ਐਨੁਲਸ
பதில்,ਜਵਾਬ
எதிர்ப்பு வழித்தோன்றல்,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
சமச்சீரற்ற செயல்பாடு,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
பொருந்தும்,ਲਾਗੂ ਹੈ
விண்ணப்பம்,ਐਪਲੀਕੇਸ਼ਨ
பயன்பாட்டு டைனமிக் நிரலாக்கம்,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
பயன்படுத்தப்படும் வடிவியல்,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
பயன்பாட்டு கணிதம்,ਲਾਗੂ ਗਣਿਤ
பயன்பாட்டு புள்ளிவிவரங்கள்,ਲਾਗੂ ਅੰਕੜੇ
தோராயமாக,ਲਗਭਗ
தோராயமாக தொடர்ச்சியான செயல்பாடு,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
தோராயமான முறை,ਅੰਦਾਜ਼ਨ ਢੰਗ
தோராயமான தீர்வு,ਅੰਦਾਜ਼ਨ ਹੱਲ
தோராயமான பிரச்சனை,ਲਗਭਗ ਸਮੱਸਿਆ
தோராயமான சொத்து,ਲਗਭਗ ਸੰਪਤੀ
திறன் சோதனை பேட்டரி,ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ
அர்காண்ட் வரைபடம்,Argand ਚਿੱਤਰ
தன்னிச்சையாக தேர்வு,ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ
தன்னிச்சையான,ਮਨਮਾਨੀ
தன்னிச்சையான மாறிலி,ਆਪਹੁਦਰੇ ਸਥਿਰ
தன்னிச்சையான உறுப்பு,ਆਪਹੁਦਰੇ ਤੱਤ
தன்னிச்சையான புள்ளி,ਮਨਮਾਨੀ ਬਿੰਦੂ
ஆர்க்கிமிடியன் சட்டம்,ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ
ஆர்க்கிமிடிஸ் கொள்கை,ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ
வில்லின் நீளம்,ਚਾਪ ਦੀ ਲੰਬਾਈ
வட்ட வில்,ਚੱਕਰ ਦਾ ਚਾਪ
ஆர்க் சைன் விநியோகம்,ਚਾਪ ਸਾਇਨ ਵੰਡ
ஆர்க் சைன் மாற்றம்,ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ
பகுதி,ਖੇਤਰ
பகுதி அமைப்பு,ਖੇਤਰੀ ਬਣਤਰ
கலப்பு எண்ணின் வாதம்,ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ
எண்கணித சராசரி,ਗਣਿਤ ਦਾ ਮਤਲਬ
எண்கணித செயல்பாடு,ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ
எண்கணித அலகு,ਗਣਿਤ ਦੀ ਇਕਾਈ
ஏற்பாடு,ਪ੍ਰਬੰਧ
வரிசை,ਐਰੇ
செயற்கை செயற்கைக்கோள்,ਨਕਲੀ ਸੈਟੇਲਾਈਟ
செயற்கை மாறி,ਨਕਲੀ ਵੇਰੀਏਬਲ
ஏறும்,ਚੜ੍ਹਨਾ
ஏறும்,ਵੱਧਦੇ ਹੋਏ
