Hindi,Punjabi
एसीडायड,ਐਸਿਡੌਇਡ
जलोढ़ मृदा,ਏਓਲੀਅਨ ਮਿੱਟੀ
समुच्चय,ਕੁੱਲ
समुच्चयन,ਐਗਰੀਗੇਸ਼ਨ
सस्य मृदा विज्ञान,ਖੇਤੀ ਵਿਗਿਆਨ
सस्य विज्ञान,ਖੇਤੀ ਵਿਗਿਆਨ
"A-संस्तर, A-होराइजन",ਏ-ਹੋਰੀਜ਼ਨ
Ao-संस्तर/Ao-होराइजन,ਆਉ-ਦਿਮਾਗ
Aoo-संस्तर/होराइजन,ਆਉ—ਅੰਦਾਜ਼
मृदा की वायु धारिता,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
मृदा का वायु अंग,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
वायु पिक्नोमीटर,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
एलीटिक मृदा,ਐਲੀਟਿਕ ਮਿੱਟੀ
जलोढ़ मृदा,ਐਲਵੀਅਲ ਮਿੱਟੀ
एम्फोलीटायड,ਐਮਫੋਲੀਟੋਇਡ
ऋणायन,ਐਨੀਅਨ
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
कोर,ਅਰਿਸ
बारीक वराश्म चिनाई,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
वराश्म चिनाई,ਐਸ਼ਲਰ ਚਿਣਾਈ
अस्तरीय मृदा/अक्षेत्रीय मृदा,ਅਜੋਨਲ ਮਿੱਟੀ
कर्ष खनित्र,ਪਿਛਲਾ ਅਦਾਕਾਰ
पश्च डाट,ਪਿਛਲਾ arch
पश्च पट्ट,ਬੈਕ ਬੈਂਡ
उपटा प्रलेप,ਪਿੱਛੇ ਬੁਰਸ਼
पश्च रोधक,ਵਾਪਸ ਜਾਂਚ
पश्च पटल,ਪਿੱਛੇ ਕਾਊਂਟਰ
पश्च कर्तन,ਵਾਪਸ ਕੱਟਣਾ
उपटा झोंका अवमंदक,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
पश्च नली,ਬੈਕ ਡਰੇਨ
पश्च पट,ਬੈਕ ਡਰਾਪ
पृष्ठ भरण,ਵਾਪਸ ਭਰੋ
पश्च पट्टिका,ਬੈਕ ਫਿਲਲੇਟ
पृष्ठ पल्ला कब्जा,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
प्रतीप प्रवाह संयोजन,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
प्रतीप प्रवाह निरोधक,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
