English,Gujarati
A B amplifier,A B વર્ગ એમ્પ્લીફાયર
aberration,વિકૃતિ
abnormal propagation,અસામાન્ય ટ્રાન્સમિશન
abrupt,"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
absent spectrum,ગુમ થયેલ સ્પેક્ટ્રમ
absolute,"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
absolute humidity,સંપૂર્ણ ભેજ
absolute motion,સંપૂર્ણ ગતિ
absolute observation,સંપૂર્ણ અવલોકન
absolute temperature,સંપૂર્ણ તાપમાન
absolute zero,સંપૂર્ણ શૂન્ય
absorb,શોષી લેવું
absorber,"શોષક, શોષક"
absorbing power,શોષણ ક્ષમતા
absorptance,શોષણ
absorptive,શોષક
absorptivity,શોષકતા
abundance ratio,ગુણાકાર ગુણોત્તર
accelerate,વેગ આપો
accelerated,ઉતાવળ કરી
acceleration,પ્રવેગ
acceleration of gravity,ગુરુત્વાકર્ષણ પ્રવેગક
accelerative,પ્રવેગક
accelerator,પ્રવેગક
accelerometer,એક્સેલરોમીટર
accentuator,prestresser
acceptance test,સ્વીકાર્ય પરીક્ષણ
acceptor,સ્વીકારનાર
acceptor molecule,દાતા પરમાણુ
access,"પ્રવેશ, રાહ, સુલભતા"
accessibility,ઉપલ્બધતા
accessory,"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
access time,ઍક્સેસ સમય
accidental error,મુલાકાતી ભૂલ
accommodation,ગોઠવણ
accumulated,સંચિત
accumulation,"સંચય, સંચય"
accumulator,સંચયક
accuracy,ચોકસાઈ
accurate,વાસ્તવિકતા
achromat,વર્ણહીન લેન્સ
achromatic,વર્ણહીન
achromatism,વર્ણહીનતા
acoustical,એકોસ્ટિક
acoustically insulated,સાઉન્ડપ્રૂફ
acoustical phonon,એકોસ્ટિક ફોનોન
acoustical unit,ધ્વનિ એકમ
acoustic,એકોસ્ટિક
acoustic generator,અવાજ જનરેટર
action and reaction,ક્રિયા અને પ્રતિક્રિયા
activation,સક્રિયકરણ
"activation, energy",સક્રિયકરણ ઊર્જા
activator,"એક્ટિવેટર, એક્ટિવેટર"
active,સક્રિય
activity,સક્રિયતા
actual stress,વાસ્તવિક તણાવ
acute exposure,બબડાટ
add,સારાંશ માટે
addition,"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
additional tone,"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
additive,ઉમેરણ
adhesion,સંલગ્નતા
adhesional energy,એડહેસિવ ઊર્જા
adiabat,adiabat
adiabatic,એડિબેટિક
adiathermanous,હીટ ઇન્સ્યુલેટીંગ
adjacent,જોડાણ
adjustable,એડજસ્ટેબલ
admittance,પ્રવેશ
adsorption,શોષણ
advanced,આગળ
advancing,પ્રગતિશીલ
aerial,"આકાશી, હવા (વિ.), હવાઈ (સં.)"
aerial current,એન્ટેના સ્ટ્રીમ
aerial survey,હવાઈ સર્વેક્ષણ
aerial velocity,હવાનો વેગ
aerodynamic coefficient,એરોડાયનેમિક ગુણાંક
aerodynamic,એરોડાયનેમિક
aerodynamics,એરોડાયનેમિક્સ
aeronautical,એરોનોટિકલ
aeronautics,એરોનોટિક્સ
aeropulse,હવા નાડી
aerosphere,"વાતાવરણ, ગેસોસ્ફિયર"
afocal system,ફોકસ સિસ્ટમ
after burning,પાછળની ઇગ્નીશન
after glow,પાછળનો પ્રકાશ
aftershock,ઉશ્કેરાટ
age,"ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
aged,અસરગ્રસ્ત સમય
ageing (aging),"વૃદ્ધાવસ્થા, વૃદ્ધત્વ"
aging (=ageing),સમયની અસર
aging test,સમય અસર પરીક્ષણ
agravic,ગુરુત્વાકર્ષણ રહિત
aim,સમાધાન
airborne radar,"એરબોર્ન રડાર, એરિયલ રડાર"
airborne target,"હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય"
air breather,હવા શ્વસન કરનાર
air conditioning,એર કન્ડીશનીંગ
aircore transformer,એરક્રુ ટ્રાન્સફોર્મર
aircraft,વિમાન
alignment,ગોઠવણી
alignment error,સંરેખણ ભૂલ
alive circuit,જીવંત સર્કિટ
all glass tube,સંપૂર્ણ કાચની નળી
all metal tube,આખી મેટલ ટ્યુબ
allocate,ઠીક
alloy,"મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)"
alloying,મિશ્રત્વ
all-pervading medium,સર્વવ્યાપક માધ્યમ
all-wave antenna,ઓમ્ની એન્ટેના
almanac,પંચાંગ
alpha,આલ્ફા
alpha-activity,આલ્ફા-પ્રવૃત્તિ
alphabetical,આલ્ફાન્યૂમેરિક
alpha ray,આલ્ફા કિરણ
alteration,બદલો
alternating,"વૈકલ્પિક, વૈકલ્પિક"
alternator,વૈકલ્પિક
altigraph,અલ્ટિમીટર
altimeter,અલ્ટિમીટર
altimetry,અલ્ટાઇમટ્રી
altitude,"ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ"
ALU (Arithmatic Logic Unit),અંકગણિત તર્ક એકમ (ALU)
Amagat law,amaget નિયમ
ambient,પર્યાવરણ
amicron,એમીક્રોન
amméter,એમીટર
ampere,એમ્પીયર
Ampere's rule,એમ્પીયર કાયદો
amphoteric ion,ઉભયજીવી આયન
amplification,એમ્પ્લીફિકેશન
amplifier,એમ્પ્લીફાયર
amplitude,"કોણ, પરિમાણ"
a. m. u. (atomic mass unit),a એમ. યુ. (અણુ સમૂહ એકમ)
analog (=analogue),સુસંગત
analogy,સામ્યતા
analyser,વિશ્લેષક
analysis,વિશ્લેષણ
analytical,વિશ્લેષણાત્મક
anastigmatic,બિન-બિંદુ
anastigmatism,વિસંગત
AND gate,અને દરવાજો
anechoic,બિન-એકોસ્ટિક
anelasticity,વિસંગત સ્થિતિસ્થાપકતા
aneroid,નિર્જળ
angle,કોણ
Angstrom unit,એંગસ્ટ્રોમ એકમ
angular,કોણીય
angular vernier,પ્રોટ્રેક્ટર વેર્નિયર
anharmonic,વિવાદાસ્પદ
anharmonicity,આદરહીન
anhysteresis,વર્ણહીન ચુંબકીયકરણ
anhysteretic,ઢીલું
anion,anion
anisodimensional,અસમપ્રમાણ
anisotropic,આઇસોટ્રોપિક
anisotropy,આઇસોટ્રોપિઝમ
annihilation,કાઢી નાખવું
annunciator,કાવતરાખોરો
anode,એનોડ
anodize,એનોડાઇઝેશન
anomalous,અસંગત
anoptic system,ઓપ્ટિકલ સિસ્ટમ
antenna,એન્ટેના
antibaryon,એન્ટિબેરિયન
antibinding property,વિરોધી બંધન ગુણધર્મો
anitibonding,કાઉન્ટર બોન્ડ
antiferroelectricity,વિપરીત શક્તિ
antiferromagnetic,ડાયમેગ્નેટિક
antiferromagnetics,ડાયમેગ્નેટિક સામગ્રી
antifoggant,બળતરા વિરોધી
antigravity,એન્ટિગ્રેવિટી
anti-lambda particle,એન્ટિલામડા કણ
anti-lepton,એલેપ્ટન
antimagnetic,ડાયમેગ્નેટિક
antimatter,એન્ટિમેટર
antimissile,વિરોધી મિસાઇલ
antineutron,એન્ટિન્યુટ્રોન
antinode,ધબકતું
antinucleon,એન્ટિન્યુક્લિયોન
antiparticle,એન્ટિપાર્ટિકલ
antiproton,એન્ટિપ્રોટોન
antireflection,પ્રતિબિંબ વિરોધી
antisymmetric,અસમપ્રમાણ
aperiodical,નોન રિકરિંગ
aperiodicity,અનાક્રોનિઝમ
apertural disc,છિદ્રિત સ્કેનિંગ ડિસ્ક
aperture,દ્વારક
apex,"ટોચ, ટોચ, આગળ"
aphelion,"સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર"
aplanat,ઉદાસીન ફીત
aplanatic,બિન-દયનીય
aplanatism,બિન-વિકલાંગતા
apochromatic,ખૂબ વર્ણહીન
apogee,"જમીન-ઊંચી, apogee"
apolar,"બિનધ્રુવીય, ગોળાકાર"
apolarity,પેરાપોલરીટી
apparatus,ઉપકરણ
apparent,"વર્ચ્યુઅલ, વિઝ્યુઅલ"
apparent sun,દૃશ્યમાન સૂર્ય
apparent time,દ્રશ્ય સમય
appearance,ઉભરતો દેખાવ
appliance,અરજી
applicability,લાગુ પડવાની ક્ષમતા
applied,લાગુ
appreciable,અવલોકનક્ષમ
approach,અભિગમ
approximate,"નજીક, આશરે"
approximation,અંદાજ
aqueous tension,બાષ્પ દબાણ
arbitrary,સ્વૈચ્છિક
arc furnace,"આર્ક ફર્નેસ, આર્ક ફર્નેસ"
Archimedes principle,આર્કિમિડીઝનો કાયદો
architectural acoustics,આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર
arc lamp,ચાપ દીવો
arc spectrum,આર્ક-સ્પેક્ટ્રમ
area,"વિસ્તાર, વિસ્તાર"
areal,"પ્રાદેશિક, પ્રાદેશિક"
arm,"હાથ, હાથ, શાખા"
armature,કલાપ્રેમી
array,"એરે, એરે"
arrester,રીસીવર
articulation,ઉચ્ચાર સ્પષ્ટતા
artificial,કૃત્રિમ
artificial transmutation,કૃત્રિમ ટ્રાન્સમ્યુટેશન
ascending,ચડતા
ascension of the star,ચઢાણ
ascent,ચડવું
aspheric,અગોલી
aspherizing,એકત્રીકરણ
assemblage,નો સમૂહ
assemble,"એસેમ્બલીંગ, એસેમ્બલીંગ"
