Bengali,Tamil
আবেলিয়ান গ্রুপ,அபெலியன் குழு
আবেলিয়ান সেমিগ্রুপ,அபிலியன் அரைகுழு
abscissa,abscissa
পরম,அறுதி
পরম মিলন,முழுமையான ஒருங்கிணைப்பு
পরম ত্রুটি,முழுமையான பிழை
পরম সর্বোচ্চ,முழுமையான அதிகபட்சம்
পরম সর্বনিম্ন,முழுமையான குறைந்தபட்சம்
পরম মান,துல்லியமான மதிப்பு
পরম বেগ,முழுமையான வேகம்
বিমূর্ত বীজগণিত,சுருக்க இயற்கணிதம்
বিমূর্ত গ্রুপ তত্ত্ব,சுருக்க குழு கோட்பாடு
ত্বরণ,முடுக்கம்
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,புவியீர்ப்பு காரணமாக முடுக்கம்
গ্রহণযোগ্য পছন্দ সেট,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
গ্রহণযোগ্য মানের স্তর,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
গ্রহণযোগ্য পরিসীমা,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
গ্রহণযোগ্য নমুনা,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
সঞ্চিত ত্রুটি,திரட்டப்பட்ட பிழை
সঠিকতা,துல்லியம்
অভিনয় শক্তি,செயல்படும் சக்தி
কর্ম,நடவடிக்கை
কর্ম এবং প্রতিক্রিয়া,செயல் மற்றும் எதிர்வினை
বাস্তব বিজ্ঞান,உண்மையான அறிவியல்
তীব্র কোণযুক্ত ত্রিভুজ,கடுமையான கோண முக்கோணம்
অ্যাসাইক্লিক,அசைக்ளிக்
যোগ করুন,கூட்டு
যোগকারী,சேர்ப்பான்
সংযোজন,கூடுதலாக
সংযোজন সূত্র,கூட்டல் சூத்திரம்
জটিল সংখ্যার সংযোজন,சிக்கலான எண்களைச் சேர்த்தல்
ফাংশন সংযোজন,செயல்பாடுகளைச் சேர்த்தல்
ম্যাট্রিক্সের সংযোজন,மெட்ரிக்குகள் சேர்த்தல்
বহুপদ সংযোজন,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
সম্ভাবনার সংযোজন,நிகழ்தகவுகளைச் சேர்த்தல்
ভেক্টর সংযোজন,திசையன்கள் சேர்த்தல்
সংযোজন উপপাদ্য,கூட்டல் தேற்றம்
সংযোজনকারী গ্রুপ,சேர்க்கை குழு
সংযোজন বিপরীত,தலைகீழ் சேர்க்கை
সংযোজক সম্পত্তি,சேர்க்கை சொத்து
সংযোজন,சேர்க்கை
অন্তিক ম্যাট্রিক্স,அருகாமை அணி
সংলগ্ন,அருகில்
সন্নিহিত কোণ,அருகில் உள்ள கோணங்கள்
সংলগ্ন শীর্ষবিন্দু,அருகில் உள்ள உச்சி
সংলগ্ন,இணை
সংলগ্ন,அருகில்
সংলগ্ন নির্ধারক,இணைந்த தீர்மானிப்பான்
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,இணை வேறுபாடு சமன்பாடு
সংলগ্ন সমীকরণ,இணைந்த சமன்பாடு
সংলগ্ন ম্যাট্রিক্স,இணை அணி
ম্যাট্রিক্সের সংলগ্ন,மேட்ரிக்ஸின் இணைப்பு
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,adjugate matrix
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
গ্রহণযোগ্য অনুমান,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
এরোডাইনামিক বল,காற்றியக்க விசை
বায়ুগতিবিদ্যা,காற்றியக்கவியல்
affine জ্যামিতি,இணைப்பு வடிவியல்
affine ম্যাপিং,இணைப்பு மேப்பிங்
affine রূপান্তর,இணைப்பு மாற்றம்
একত্রিত ভেরিয়েবল,ஒருங்கிணைக்கும் மாறிகள்
বীজগণিত,இயற்கணிதம்
বীজগণিতভাবে বন্ধ,இயற்கணிதப்படி மூடப்பட்டது
বীজগণিত সমীকরণ,இயற்கணித சமன்பாடு
