Hindi,Punjabi
"1.एबेकस ,2. गिनतारा",abacus
असामान्य समापन,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
अवरोधन,ਅਧੂਰਾ ਛੱਡੋ
"1. निरपेक्ष ,2. परम",ਅਸੀਮ
निरपेक्ष पता,ਪੂਰਾ ਪਤਾ
निरपेक्ष पताभिगमन,ਪੂਰਨ ਸੰਬੋਧਨ
निरपेक्ष कोडांतरक,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",ਪੂਰਨ ਕੋਡ
निरपेक्ष समादेश,ਪੂਰਨ ਹੁਕਮ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",ਪੂਰਨ ਡਾਟਾ
निरपेक्ष अनुदेश,ਪੂਰਨ ਹਿਦਾਇਤ
निरपेक्ष विधा,ਪੂਰਨ ਮੋਡ
निरपेक्ष पथ,ਪੂਰਨ ਮਾਰਗ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
अमूर्त वर्ग,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
अमूर्त आंकड़ा प्रकार,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
अमूर्त मशीन,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
अमूर्त प्रतीक,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
अमूर्त वाक्य विन्यास,ਸੰਖੇਪ ਸੰਟੈਕਸ
स्वीकृति परीक्षण,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
अभिगम प्रमाणन,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
"1. अभिगम कूट ,2. अभिगम कोड",ਐਕਸੈਸ ਕੋਡ
अभिगम नियंत्रण,ਪਹੁੰਚ ਕੰਟਰੋਲ
अभिगम क्रमवीक्षण,ਐਕਸੈਸ ਸਕੈਨ
सहयंत्र,ਸਹਾਇਕ
लेखा,ਖਾਤਾ
"1. एकाउंट आई डी ,2. लेखा पहचान",ਖਾਤਾ ID
संचायक,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"1. विशुद्धता ,2. यर्थाथता",ਸ਼ੁੱਧਤਾ
अभिगम,ਪਹੁੰਚ
अभिगम नियंत्रण बाइट,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
अभिगम सूचक,ਐਕਸੈਸ ਇੰਡੈਕਸ
अभिगम कुंजी,ਪਹੁੰਚ ਕੁੰਜੀ
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
अभिगम विधा,ਪਹੁੰਚ ਮੋਡ
अभिगम विशेषाधिकार,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
अभिगम सुरक्षा,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",ਪਹੁੰਚ ਸਰਵਰ
अभिगम काल,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
अभिस्वीकृति,ਮਾਨਤਾ
ध्वनिकी,ਧੁਨੀ ਵਿਗਿਆਨ
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",ਸੰਖੇਪ ਸ਼ਬਦ
क्रिया संदेश,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
सक्रियण,ਸਰਗਰਮੀ
सक्रिय सर्वर पृष्ठ,ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
सक्रिय वर्जन,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
अचक्रीय,acyclic
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",acyclic ਗ੍ਰਾਫ਼
एडा कंप्यूटर भाषा,ਅਦਾ ਭਾਸ਼ਾ
"1. अनुकूलक ,2. अनुकूलित्र",ਅਡਾਪਟਰ
योग (करना),ਸ਼ਾਮਲ ਕਰੋ
योग संचिका,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
"1. जोड़ संक्रिया ,2. योग संक्रिया",ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
योजक,ਜੋੜਨ ਵਾਲਾ
पता,ਪਤਾ
पता बस,ਪਤਾ ਬੱਸ
पता संचिका,ਐਡਰੈੱਸ ਫਾਈਲ
पता आरूप,ਪਤਾ ਫਾਰਮੈਟ
पता जनक,ਪਤਾ ਜਨਰੇਟਰ
पता पंक्ति,ਐਡਰੈੱਸ ਲਾਈਨ
पता प्रतिचित्रण,ਪਤਾ ਮੈਪਿੰਗ
पता संकेतक,ਪਤਾ ਸੰਕੇਤਕ
पता पंजी,ਪਤਾ ਰਜਿਸਟਰ
पता विघटन,ਪਤਾ ਹੱਲ
पता अनुवाद,ਪਤਾ ਅਨੁਵਾਦ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
पताभिगमन,ਸੰਬੋਧਨ
