Gujarati,Tamil
A B વર્ગ એમ્પ્લીફાયર,A B வகுப்பு பெருக்கி
વિકૃતિ,பிறழ்வு
અસામાન્ય ટ્રાન્સમિશન,அசாதாரண பரிமாற்றம்
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
ગુમ થયેલ સ્પેક્ટ્રમ,ஸ்பெக்ட்ரம் காணவில்லை
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","முழுமையான, முழுமையான, நிலையான, சரியான"
સંપૂર્ણ ભેજ,முழுமையான ஈரப்பதம்
સંપૂર્ણ ગતિ,முழுமையான வேகம்
સંપૂર્ણ અવલોકન,முழுமையான கவனிப்பு
સંપૂર્ણ તાપમાન,முழுமையான வெப்பநிலை
સંપૂર્ણ શૂન્ય,முழுமையான பூஜ்ஜியம்
શોષી લેવું,உறிஞ்சி
"શોષક, શોષક","உறிஞ்சும், உறிஞ்சும்"
શોષણ ક્ષમતા,உறிஞ்சும் திறன்
શોષણ,உறிஞ்சுதல்
શોષક,உறிஞ்சக்கூடியது
શોષકતા,உறிஞ்சும் தன்மை
ગુણાકાર ગુણોત્તર,பன்மடங்கு விகிதம்
વેગ આપો,முடுக்கி
ઉતાવળ કરી,விரைந்தார்
પ્રવેગ,முடுக்கம்
ગુરુત્વાકર્ષણ પ્રવેગક,ஈர்ப்பு முடுக்கம்
પ્રવેગક,முடுக்கி
પ્રવેગક,முடுக்கி
એક્સેલરોમીટર,முடுக்கமானி
prestresser,முன் அழுத்தம் கொடுப்பவர்
સ્વીકાર્ય પરીક્ષણ,ஏற்றுக்கொள்ளக்கூடிய சோதனை
સ્વીકારનાર,ஏற்பவர்
દાતા પરમાણુ,நன்கொடையாளர் மூலக்கூறு
"પ્રવેશ, રાહ, સુલભતા","அணுகல், காத்திருப்பு, அணுகல்"
ઉપલ્બધતા,அணுகல்
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
ઍક્સેસ સમય,அணுகல் நேரம்
મુલાકાતી ભૂલ,பார்வையாளர் பிழை
ગોઠવણ,சரிசெய்தல்
સંચિત,திரட்டப்பட்டது
"સંચય, સંચય","திரட்சி, குவிப்பு"
સંચયક,திரட்டி
ચોકસાઈ,துல்லியம்
વાસ્તવિકતા,யதார்த்தம்
વર્ણહીન લેન્સ,நிறமற்ற லென்ஸ்
વર્ણહીન,வண்ணமயமான
વર્ણહીનતા,வண்ணமயமான தன்மை
એકોસ્ટિક,ஒலியியல்
સાઉન્ડપ્રૂફ,ஒலி எதிர்ப்பு
એકોસ્ટિક ફોનોન,ஒலி ஃபோனான்
ધ્વનિ એકમ,ஒலி அலகு
એકોસ્ટિક,ஒலியியல்
અવાજ જનરેટર,ஒலி ஜெனரேட்டர்
ક્રિયા અને પ્રતિક્રિયા,செயல் மற்றும் எதிர்வினை
સક્રિયકરણ,செயல்படுத்துதல்
સક્રિયકરણ ઊર્જા,செயல்படுத்தும் ஆற்றல்
"એક્ટિવેટર, એક્ટિવેટર","செயல்படுத்துபவர், செயல்படுத்துபவர்"
સક્રિય,செயலில்
સક્રિયતા,செயற்பாடு
વાસ્તવિક તણાવ,உண்மையான மன அழுத்தம்
બબડાટ,கிசுகிசுத்தல்
સારાંશ માટે,மொத்தத்தில்
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
ઉમેરણ,சேர்க்கை
સંલગ્નતા,ஒட்டுதல்
એડહેસિવ ઊર્જા,பிசின் ஆற்றல்
adiabat,அடியாபட்
એડિબેટિક,அடியாபாடிக்
હીટ ઇન્સ્યુલેટીંગ,வெப்ப காப்பு
જોડાણ,இணைப்பு
એડજસ્ટેબલ,அனுசரிப்பு
પ્રવેશ,ஊடுருவல்
શોષણ,உறிஞ்சுதல்
આગળ,முன்னோக்கி
પ્રગતિશીલ,முற்போக்கானது
"આકાશી, હવા (વિ.), હવાઈ (સં.)","ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)"
એન્ટેના સ્ટ્રીમ,ஆண்டெனா ஸ்ட்ரீம்
હવાઈ સર્વેક્ષણ,வான்வழி ஆய்வு
હવાનો વેગ,காற்று வேகம்
એરોડાયનેમિક ગુણાંક,ஏரோடைனமிக் குணகம்
એરોડાયનેમિક,காற்றியக்கவியல்
એરોડાયનેમિક્સ,காற்றியக்கவியல்
એરોનોટિકલ,வானூர்தி
એરોનોટિક્સ,ஏரோநாட்டிக்ஸ்
હવા નાડી,காற்று துடிப்பு
"વાતાવરણ, ગેસોસ્ફિયર","வளிமண்டலம், வாயுக்கோளம்"
ફોકસ સિસ્ટમ,கவனம் அமைப்பு
પાછળની ઇગ્નીશન,மீண்டும் பற்றவைப்பு
પાછળનો પ્રકાશ,பின் ஒளி
ઉશ્કેરાટ,அதிர்ச்சி
