Hindi,Kannada
ए बी वर्ग प्रवर्धक,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
"विपथन, अपेरण",ವಿಪಥನ
असामान्य संचरण,ಅಸಹಜ ಪ್ರಸರಣ
"असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
लुप्त स्पेक्ट्रम,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"निरपेक्ष, परम, अचर, परिशुद्ध","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
निरपेक्ष आर्द्रता,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
निरपेक्ष गति,ಸಂಪೂರ್ಣ ವೇಗ
निरपेक्ष प्रेक्षण,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
परम ताप,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
परम शून्य,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
अवशोषण करना,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"अवशोषक, अवशोषी","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
अवशोषण सामर्थ्य,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
अवशोषणांश,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
अवशोषी,ಹೀರಿಕೊಳ್ಳುವ
अवशोषकता,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
बाहुल्य अनुपात,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
त्वरित करना,ವೇಗವನ್ನು
त्वरित,ಆತುರಪಟ್ಟರು
त्वरण,ವೇಗವರ್ಧನೆ
गुरुत्व त्वरण,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
त्वरक,ವೇಗವರ್ಧಕ
"त्वरित्र, त्वरक",ವೇಗವರ್ಧಕ
त्वरणमापी,ವೇಗವರ್ಧಕ
प्राक्प्रबलक,ಪ್ರಿಸ್ಟ್ರೆಸರ್
स्वीकारी परीक्षण,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
"ग्राही, स्वीकारी",ಸ್ವೀಕರಿಸುವವರು
आदाता अणु,ದಾನಿ ಅಣು
"अभिगम, प्रतीक्षा, अभिगम्यता","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
अभिगम्यता,ಪ್ರವೇಶಿಸುವಿಕೆ
