Marathi,Assamese
A B वर्ग अॅम्प्लीफायर,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
विकृती,বিচ্যুতি
असामान्य प्रसार,অস্বাভাৱিক সংক্ৰমণ
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
गहाळ स्पेक्ट्रम,অনুপস্থিত বৰ্ণালী
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
परिपूर्ण आर्द्रता,নিৰপেক্ষ আৰ্দ্ৰতা
परिपूर्ण गती,নিৰপেক্ষ গতি
परिपूर्ण निरीक्षण,নিৰপেক্ষ পৰ্যবেক্ষণ
परिपूर्ण तापमान,নিৰপেক্ষ উষ্ণতা
पूर्ण शून्य,নিৰপেক্ষ শূন্য
शोषून घेणे,শুহি লোৱা
"शोषक, शोषक","শোষক, শোষক"
शोषण क्षमता,শোষণ ক্ষমতা
शोषण,শোষণ ক্ষমতা
शोषक,শোষক
शोषकता,শোষণ ক্ষমতা
गुणोत्तर गुणोत्तर,বহুগুণতা অনুপাত
गती वाढवणे,ত্বৰান্বিত কৰক
घाई केली,খৰধৰকৈ উঠিল
प्रवेग,বেগ বৃদ্ধি
गुरुत्वाकर्षणाचा प्रवेग,মাধ্যাকৰ্ষণৰ ত্বৰণ
प्रवेगक,ত্বৰণকাৰী
प्रवेगक,ত্বৰণকাৰী
प्रवेगमापक,এক্সিলেৰমিটাৰ
prestresser,প্ৰিষ্ট্ৰেছাৰ
स्वीकार्य चाचणी,গ্ৰহণযোগ্য পৰীক্ষা
स्वीकारणारा,গ্ৰহণকাৰী
दाता रेणू,দাতা অণু
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
प्रवेशयोग्यता,অভিগম্যতা
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
प्रवेश वेळ,প্ৰৱেশ সময়
अभ्यागत त्रुटी,দৰ্শকৰ ভুল
समायोजन,সমন্বয়
जमा,সঞ্চিত কৰা হৈছে
"जमा करणे, जमा करणे","সঞ্চয়, সঞ্চয়"
संचयक,এক্যুলেটৰ
अचूकता,শুদ্ধতা
वास्तव,বাস্তৱতা
अॅक्रोमॅटिक लेन्स,ৰঙীন লেন্স
अक्रोमॅटिक,achromatic
अक्रोमॅटिकता,achromaticity
ध्वनिक,একাউষ্টিক
ध्वनीरोधक,শব্দ নিবাৰণ
ध्वनिक फोनन,একাউষ্টিক ফ&#39;নন
ध्वनी युनिट,শব্দ একক
ध्वनिक,একাউষ্টিক
ध्वनी जनरेटर,শব্দ উৎপাদক
क्रिया आणि प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
सक्रियकरण,সক্ৰিয়কৰণ
सक्रियता ऊर्जा,সক্ৰিয়কৰণ শক্তি
"सक्रिय करणारा, सक्रिय करणारा","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
सक्रिय,সক্ৰিয়
सक्रियता,সক্ৰিয়তা
वास्तविक ताण,প্ৰকৃত মানসিক চাপ
कुजबुजणे,ফুচফুচাই কোৱা
बेरीज करणे,সামৰণিত
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
additive,যোগকৰণ
आसंजन,আঠাযুক্ততা
चिकट ऊर्जा,আঠাযুক্ত শক্তি
adiabat,আদিয়াবাট
adiabatic,adiabatic
उष्णता इन्सुलेट,তাপ নিৰোধক
संलग्नक,সংলগ্ন কৰা হৈছে
बदलानुकारी,নিয়ন্ত্ৰণযোগ্য
प्रवेश,ভেদ
शोषण,শোষণ
पुढे,আগলৈ
प्रगतीशील,প্ৰগতিশীল
"आकाशी, वायु (वि.), हवाई (सं.)","আকাশী, বায়ু (v.), আকাশী (ed.)"
अँटेना प्रवाह,এন্টেনা ষ্ট্ৰিম
हवाई सर्वेक्षण,আকাশী জৰীপ
हवेचा वेग,বায়ুৰ বেগ
वायुगतिकीय गुणांक,বায়ুগতিশীল সহগ
वायुगतिकीय,বায়ুগতিবিদ্যা
वायुगतिकी,বায়ুগতিবিদ্যা
