Assamese,Malayalam
এচিড’ইড,ആസിഡോയിഡ്
ইঅ’লিয়ান মাটি,അയോലിയൻ മണ്ണ്
গোট খোৱা,ആകെത്തുകയായുള്ള
সংগ্ৰহ,സമാഹരണം
কৃষি বিজ্ঞান,അഗ്രോളജി
কৃষি বিজ্ঞান,അഗ്രോണമി
এ-দিগন্ত,എ-ചക്രവാളം
আও-দিগন্ত,Ao-ചക്രവാളം
আও-দিগন্ত,Aoo-ചക്രവാളം
মাটিৰ বায়ু ক্ষমতা,മണ്ണിന്റെ വായു ശേഷി
মাটিৰ বায়ুৰ পৰিমাণ,മണ്ണിന്റെ വായു ഉള്ളടക്കം
এয়াৰ পিকনোমিটাৰ,എയർ പിക്നോമീറ്റർ
এলিটিক মাটি,അല്ലിറ്റിക് മണ്ണ്
জলজ মাটি,എക്കൽ മണ്ണ്
এম্ফোলাইট’ইড,ആംഫോളിറ്റോയ്ഡ്
এনিয়ন,അനിയോൺ
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
আৰিছ,ആരിസ്
আছলাৰ মিহি শিলৰ কাম,അഷ്ലാർ നല്ല കൊത്തുപണി
আছলাৰ শিলৰ কাম,ആഷ്ലാർ കൊത്തുപണി
এজ’নেল মাটি,അസോണൽ മണ്ണ്
পিঠিৰ অভিনেতা,പിന്നണി നടൻ
পিছফালৰ খোলা,പിന്നിലെ കമാനം
বেক বেণ্ড,ബാക്ക് ബാൻഡ്
পিছফালৰ ব্ৰাছ,ബാക്ക് ബ്രഷ്
বেক চেক,തിരികെ പരിശോധിക്കുക
বেক কাউণ্টাৰ,ബാക്ക് കൗണ്ടർ
পিঠি কাটি থকা,ബാക്ക് കട്ടിംഗ്
বেক ড্ৰাফ্ট ডেম্পাৰ,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
বেক ড্ৰেইন,ബാക്ക് ഡ്രെയിനേജ്
বেক ড্ৰপ,ബാക്ക് ഡ്രോപ്പ്
বেক ফিল,തിരികെ പൂരിപ്പിക്കുക
পিছফালৰ ফিলেট,ബാക്ക് ഫില്ലറ്റ്
বেক ফ্লেপ হিঞ্জ,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
বেক ফ্ল&#39; সংযোগ,ബാക്ക് ഫ്ലോ കണക്ഷൻ
বেক ফ্ল’ প্ৰিভেণ্টাৰ,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
বেক গেজ,ബാക്ക് ഗേജ്
পিছফালৰ নালা,പിന്നിലെ ഗട്ടർ
পিছফালৰ অগ্নিকুণ্ড,പിന്നിലെ അടുപ്പ്
বেকিং,പിന്തുണ
বেকিং বৰ্ড,ബാക്കിംഗ് ബോർഡ്
পিঠিৰ চাপ,പിന്നിലെ മർദ്ദം
বেক প্ৰপ,ബാക്ക് പ്രോപ്പ്
পিছফালৰ দৃষ্টি,പിന്നാമ്പുറ കാഴ്ച
পিছফালৰ পানী,പിൻ വെള്ളം
বেফেল,തടസ്സപ്പെടുത്തുക
বেগৱৰ্ক,ബാഗ് വർക്ക്
বেলেষ্ট,ബാലസ്റ്റ്
বল মাটি,പന്ത് കളിമണ്ണ്
বল কন ক্লেম্প,ബോൾ കോൺ ക്ലാമ്പ്
কাঁইটীয়া তাঁৰ,മുള്ളുകമ്പി
বাৰ কুকুৰ,ബാർ നായ
বাৰ্জ বৰ্ড,ബാർജ് ബോർഡ്
বেৰিয়াম ছালফেট পৰীক্ষা,ബേരിയം സൾഫേറ്റ് പരിശോധന
বেৰেজ,തടയണ
বেৰেট,ബാരറ്റ്
ভেঁটি,അടിസ്ഥാനം
ভিত্তি বিনিময়,അടിസ്ഥാന കൈമാറ്റം
ভিত্তি লাইন,അടിസ്ഥാന ലൈൻ
বেছমেণ্ট,നിലവറ
বেছমেণ্টৰ দেৱাল,ബേസ്മെൻറ് മതിൽ
বেচ প্লেট,അടിസ്ഥാന പ്ലേറ്റ്
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
ভিত্তি পৰিপূৰকতা,അടിസ്ഥാന സാച്ചുറേഷൻ
বেছ’ইড,ബസോയ്ഡ്
বেট,ബാറ്റ്
বাথ আৰু ডব্লিউ চি,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
বেটাৰ পেগ,ബാറ്റർ കുറ്റി
বেটাৰ ঘাট,ബാറ്റർ പിയർ
বেটাৰৰ নিয়ম,ബാറ്റർ ഭരണം
Baulk (বালক),ബോൾക്ക് (ബാക്ക്)
উপসাগৰ,ബേ
বাহক,ചുമക്കുന്നയാൾ
বহন ক্ষমতা,വഹിക്കാനുള്ള ശേഷി
বেয়াৰিং পাইল,ബെയറിംഗ് പൈൽ
বহন স্তৰ,ബെയറിംഗ് സ്ട്രാറ്റം
বিছনা,കിടക്ക
বিচনাৰ বিমান,ബെഡ്ഡിംഗ് വിമാനം
বিচনাৰ সংযোগ,കിടക്ക ജോയിന്റ്
বিচনাৰ শিল,കിടക്ക പാറ
শোৱনি কোঠা,കിടപ്പുമുറി
মৌমাখিৰ মোম,തേനീച്ചമെഴുകിൽ
বেল বাকচ,മണി പെട്ടി
বেলিং বাল্টি,ബെല്ലിംഗ് ബക്കറ്റ്
বেলোফ্ৰেম,ബെല്ലോഫ്രം
বেঞ্চযুক্ত ভেটি,ബെഞ്ച് ചെയ്ത അടിത്തറ
বেঞ্চিং কৰা,ബെഞ്ചിംഗ്
বেঞ্চ মাৰ্ক,ബെഞ്ച് മാർക്ക്
লাভৰ খৰচ বিশ্লেষণ,ആനുകൂല്യ ചെലവ് വിശകലനം
বাৰ্ম,ബെർം
বেভেলড বন্ধ,ബെവൽഡ് ക്ലോഷർ
"খ-দিগন্ত,&quot;খ-","ബി-ചക്രവാളം,&quot;ബി-"
বিয়াত,ബിയാറ്റ്
বাইণ্ডাৰ,ബൈൻഡർ
বান্ধি ৰখা সামগ্ৰী,ബൈൻഡിംഗ് മെറ്റീരിയൽ
বায়টৰ তত্ত্ব,ബയോട്ടിന്റെ സിദ്ധാന്തം
বিটুমিন,ബിറ്റുമെൻ
ক’লা কপাহী মাটি,കറുത്ത പരുത്തി മണ്ണ്
ক&#39;লা পৃথিৱী,കറുത്ത ഭൂമി
ক’লা টাৰ্ফ মাটি,കറുത്ത ടർഫ് മണ്ണ്
ব্লেড,ബ്ലേഡ്
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്
ব্লকযুক্ত গঠন,ബ്ലോക്കി ഘടന
বগী প্ৰতিৰোধ,ബോഗി പ്രതിരോധം
বোগ-লোহাৰ অক্সাইড,ബോഗ്-ഇരുമ്പ് അയിര്
বান্ধোন,ബോണ്ട്
বণ্ডেড সদস্য,ബന്ധിത അംഗം
বণ্ডেড পোষ্ট টেনচিং,ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്
বণ্ড ষ্টোন,ബോണ്ട് കല്ല്
বান্ধি থোৱা পানী,കെട്ടിയ വെള്ളം
বক্স নালা,ബോക്സ് ഗട്ടർ
ব্ৰেচ,ബ്രേസ്
ইটা-অন-এজ,ബ്രിക്ക്-ഓൺ-എഡ്ജ്
লজ্জাজনক,കടിഞ്ഞാൺ
উজ্জ্বলতা,തെളിച്ചം
বাদামী মাটি,തവിട്ട് മണ്ണ്
ভৱন,കെട്ടിടം
বিল্ডিং জৰীপকাৰী,ബിൽഡിംഗ് സർവേയർ
বাফাৰ,ബഫർ
বাফাৰ বক্ৰ,ബഫർ കർവ്
