Tamil,English
அமிலத்தன்மை,Acidoid
அயோலியன் மண்,Aeolian soil
மதிப்பீட்டு,Aggregate
திரட்டுதல்,Aggregation
வேளாண்மை,Agrology
வேளாண்மை,Agronomy
A- அடிவானம்,A-horizon
Ao- அடிவானம்,Ao-horizon 
Aoo- அடிவானம்,Aoo-horizon
மண்ணின் காற்று திறன்,Air capacity of soil
மண்ணின் காற்றின் உள்ளடக்கம்,Air content of soil
காற்று பிக்னோமீட்டர்,Air picnometer
அல்லிடிக் மண்,Allitic soil
வண்டல் மண்,Alluvial soil
ஆம்போலிடாய்டு,Ampholytoid
அயன்,Anion
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
அரிஸ்,Arris
Ashlar நன்றாக கொத்து,Ashlar fine masonry
ஆஷ்லர் கொத்து,Ashlar masonry
அசோனல் மண்,Azonal soil
பின் நடிகர்,Back acter 
பின் வளைவு,Back arch
பின் இசைக்குழு,Back band
பின் தூரிகை,Back brush
மீண்டும் சரிபார்க்கவும்,Back check
பின் கவுண்டர்,Back counter
முதுகு வெட்டுதல்,Back cutting
பின் வரைவு damper,Back draft damper
பின் வடிகால்,Back drain
பின் துளி,Back drop
பின் நிரப்பவும்,Back fill
பின் ஃபில்லட்,Back fillet
பின் மடல் கீல்,Back flap hinge
பின் ஓட்ட இணைப்பு,Back flow connection
பின் ஓட்டம் தடுப்பான்,Back flow preventer
பின் அளவுகோல்,Back gauge 
பின்புற சாக்கடை,Back gutter 
பின் அடுப்பு,Back hearth
ஆதரவு,Backing
பேக்கிங் போர்டு,Backing board
பின் அழுத்தம்,Back pressure
பின் முட்டு,Back prop
பின் பார்வை,Back sight 
பின் நீர்,Back water
குழப்பம்,Baffle
பை வேலை,Bagwork 
பேலாஸ்ட்,Ballast
பந்து களிமண்,Ball clay
பந்து கூம்பு கவ்வி,Ball cone clamp
முள்வேலி,Barbed wire
பார் நாய்,Bar dog
விசைப்படகு பலகை,Barge board
பேரியம் சல்பேட் சோதனை,Barium sulphate test
சரமாரி,Barrage
பாரெட்,Barrett
அடித்தளம்,Base
அடிப்படை பரிமாற்றம்,Base exchange
அடிப்படை வரி,Base line 
அடித்தளம்,Basement
அடித்தள சுவர்,Basement wall
அடித்தட்டு,Base plate
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","Base plate, adjustable"
அடிப்படை செறிவு,Base saturation
பாசாய்டு,Basoid
வௌவால்,Bat
பாத் மற்றும் WC,Bath and W.C.
இடி ஆப்பு,Batter peg
பேட்டர் பையர்,Batter pier
பேட்டர் விதி,Batter rule
பால்க் (பால்க்),Baulk (balk)
விரிகுடா,Bay
தாங்குபவர்,Bearer
தாங்கும் திறன்,Bearing capacity
