Odiya,Assamese
ଆବାକସ୍ |,abacus
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,অস্বাভাৱিক সমাপ্তি
ପରିତ୍ୟାଗ,abort
ସଂପୂର୍ଣ୍ଣ,নিৰপেক্ষ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,নিৰপেক্ষ ঠিকনা
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,নিৰপেক্ষ সম্বোধন
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,নিৰপেক্ষ এছেম্বলাৰ
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,নিৰপেক্ষ ক&#39;ড
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,নিৰপেক্ষ আদেশ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,নিৰপেক্ষ তথ্য
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,নিৰপেক্ষ নিৰ্দেশনা
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,নিৰপেক্ষ ধৰণ
ସଂପୂର୍ଣ୍ଣ ପଥ,নিৰপেক্ষ পথ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,নিৰপেক্ষ প্ৰগ্ৰেমিং
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,বিমূৰ্ত শ্ৰেণী
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,বিমূৰ্ত তথ্যৰ ধৰণ
ବିସ୍ତୃତ ମେସିନ୍ |,বিমূৰ্ত মেচিন
ବିସ୍ତୃତ ପ୍ରତୀକ |,বিমূৰ্ত চিহ্ন
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,বিমূৰ্ত বাক্যবিন্যাস
ଗ୍ରହଣ ପରୀକ୍ଷା,গ্ৰহণযোগ্যতা পৰীক্ষা
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,প্ৰৱেশ প্ৰমাণীকৰণ
ପ୍ରବେଶ କୋଡ୍,প্ৰৱেশ ক&#39;ড
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,প্ৰৱেশ নিয়ন্ত্ৰণ
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,এক্সেছ স্কেন
ଆନୁଷଙ୍ଗିକ,আনুষংগিক বস্তু
ଖାତା,একাউণ্ট
ଖାତା ID,একাউণ্ট আইডি
ଜମାକାରୀ,এক্যুলেটৰ
ସଠିକତା,শুদ্ধতা
acess,acess
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
acess index,acess index
acess କି,acess key
acess matrix,acess মেট্ৰিক্স
acess ମୋଡ୍ |,প্ৰৱেশ ধৰণ
acess ଅଧିକାର,acess বিশেষাধিকাৰ
acess ସୁରକ୍ଷା |,acess security
acess ସର୍ଭର |,এচেছ চাৰ্ভাৰ
ଆକସେସ୍ ସମୟ |,acess সময়
ସ୍ୱୀକୃତି,স্বীকৃতি
ଆକାଶବାଣୀ,শব্দবিজ্ঞান
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,সংক্ষিপ্ত ৰূপ
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,কাৰ্য্য বাৰ্তা
ସକ୍ରିୟ,সক্ৰিয়কৰণ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
ସକ୍ରିୟ ସଂସ୍କରଣ |,সক্ৰিয় সংস্কৰণ
acyclic,অচক্ৰীয়
acyclic ଗ୍ରାଫ୍ |,অচক্ৰীয় গ্ৰাফ
ଅଦା ଭାଷା |,আদা ভাষা
ଆଡାପ୍ଟର,এডাপ্টাৰ
ଯୋଡନ୍ତୁ |,যোগ কৰা
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,ফাইল যোগ কৰক
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,অপাৰেচন যোগ কৰক
ଆଡର୍,adder
ଠିକଣା,ঠিকনা
ଠିକଣା ବସ୍,ঠিকনা বাছ
ଠିକଣା ଫାଇଲ୍ |,ঠিকনা নথিপত্ৰ
ଠିକଣା ଫର୍ମାଟ୍,ঠিকনা বিন্যাস
ଠିକଣା ଜେନେରେଟର,ঠিকনা উৎপাদক
ଠିକଣା ରେଖା,ঠিকনা ৰেখা
ଠିକଣା ମ୍ୟାପିଂ,ঠিকনা মেপিং
ଠିକଣା ସୂଚକ,ঠিকনা পইণ্টাৰ
ଠିକଣା ରେଜିଷ୍ଟର,ঠিকনা পঞ্জীয়ন
ଠିକଣା ରେଜୋଲୁସନ,ঠিকনা সমাধান
ଠିକଣା ଅନୁବାଦ,ঠিকনা অনুবাদ
ଠିକଣା ସ୍ମୃତି,ঠিকনাযুক্ত মেমৰি
ଠିକଣା,সম্বোধন কৰা
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,পৰ্যাপ্ততাৰ মাপকাঠী
ଯୋଗ,সংযুক্ত
ପ୍ରଶାସନ,প্ৰশাসন
ପ୍ରଶାସକ,প্ৰশাসক
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,এডোব এক্ৰ&#39;বেট
ଆଡୋବ ଫଟୋଶପ୍ |,এডোব ফটোশ্বপ
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
ଉନ୍ନତ ତଥ୍ୟ,উন্নত তথ্য
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,উন্নত তথ্য ব্যৱস্থা
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),উন্নত প্ৰযুক্তি (AT)
ଏଜେଣ୍ଟ,এজেণ্ট
ଏକୀକରଣ,একত্ৰীকৰণ
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,aldus পৃষ্ঠা নিৰ্মাতা
ଆଲର୍ଟ ବାକ୍ସ,সতৰ্কবাণী বাকচ
ଆଲଗୋଲ୍,এলগোল
ଆଲଗୋରିଦମ |,এলগৰিদম
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,এলগৰিদম বিশ্লেষণ
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,এলগৰিদম দক্ষতা
ଛଦ୍ମନାମ,alias
ଶ୍ରେଣୀବଦ୍ଧତା |,প্ৰান্তিককৰণ
ଆବଣ୍ଟନ,আবণ্টন
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,বৰ্ণানুক্ৰমিক
ବର୍ଣ୍ଣମାଳା,আলফানিউমেৰিক
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,আলফানিউমেৰিক কি বৰ্ড
ଆଲଫା-ପରୀକ୍ଷା,আলফা-পৰীক্ষা
ଆଲଫା-ସଂସ୍କରଣ |,আলফা-সংস্কৰণ
alt କି,alt কি&#39;
altavista,আলতাভিস্তা
ଅସ୍ପଷ୍ଟତା |,অস্পষ্টতা
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,অস্পষ্ট ব্যাকৰণ
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
analog,এনালগ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,এনালগ কম্পিউটাৰ
