Tamil,Bengali
கருக்கலைப்பு,গর্ভপাত
டைமரை நிறுத்துங்கள்,গর্ভপাত টাইমার
முழுமையான முகவரி,পরম ঠিকানা
முழுமையான முகவரி,পরম ঠিকানা
முழுமையான அசெம்பிளர்,পরম এসেম্বলার
முழுமையான குறியீடு,পরম কোড
முழுமையான குறியீட்டு முறை,পরম কোডিং
முழுமையான கட்டளை,পরম কমান্ড
முழுமையான ஒருங்கிணைப்பு,পরম সমন্বয়
முழுமையான தரவு,পরম ডেটা
முழுமையான பிழை,পরম ত্রুটি
முழுமையான வெளிப்பாடு,পরম অভিব্যক্তি
முழுமையான அறிவுறுத்தல்,পরম নির্দেশ
முழுமையான ஏற்றி,পরম লোডার
முழுமையான வரிசை,পরম আদেশ
முழுமையான நிரலாக்க,পরম প্রোগ্রামিং
முழுமையான சொல்,পরম শব্দ
துல்லியமான மதிப்பு,পরম মান
முழுமையான திசையன்,পরম ভেক্টর
சுருக்கம்,বিমূর্ত
சுருக்கம்,বিমূর্ত
சுருக்க சின்னம்,বিমূর্ত প্রতীক
முடுக்கம் காலம்,ত্বরণ সময়কাল
முடுக்கம் நேரம்,ত্বরণের সময়
உச்சரிப்பு,অ্যাকসেন্ট
ஏற்பு சோதனை,স্বীকৃতি পরীক্ষা
அணுகல்,অ্যাক্সেস
அணுகல் கை,অ্যাক্সেস আর্ম
அணுகல் ஏற்பாடு,অ্যাক্সেস ব্যবস্থা
அணுகல் அதிகாரம்,অ্যাক্সেস কর্তৃপক্ষ
அணுகல் கட்டணம்,অ্যাক্সেস চার্জ
அணுகல் வகுப்பு,অ্যাক্সেস ক্লাস
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
அணுகல் சூழல்,অ্যাক্সেস পরিবেশ
அணுகல் இடைவெளி,অ্যাক্সেস ফাঁক
அணுகல் அட்டவணை,অ্যাক্সেস সূচক
அணுகல் வரி,অ্যাক্সেস লাইন
அணுகல் பொறிமுறை,অ্যাক্সেস প্রক্রিয়া
அணுகல் முறை,অ্যাক্সেস পদ্ধতি
அணுகல் முறை வழக்கமான,অ্যাক্সেস পদ্ধতির রুটিন
அணுகல் பயன்முறை,অ্যাক্সেস মোড
அணுகல் உரிமை,এক্সেস অধিকার
அணுகல் ஸ்கேன்,অ্যাক্সেস স্ক্যান
அணுகல் நேரம்,প্রবেশাধিকার সময়
கணக்கியல்,অ্যাকাউন্টিং
கணக்கியல் நிதி அமைப்பு,অ্যাকাউন্টিং ফিনান্স সিস্টেম
கணக்கியல் இயந்திரம்,অ্যাকাউন্টিং মেশিন
கணக்கு எண்,হিসাব নাম্বার
திரட்டுதல் இனப்பெருக்கம்,প্রজননকারী জমে
குவிப்பான்,জমে
