Punjabi,Assamese
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,অজৈৱিক প্ৰজনন
ਅਲੌਕਿਕ,অস্বাভাৱিক
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,১/ চতুৰ্থ পেট ২) ইভ’মাজম
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,ষ্টোমেটাল বৃদ্ধিৰ অংগ
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,স্তব্ধ বৃদ্ধিৰ বীজ
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
ਲੀਨ cation,শোষিত কেটিয়ন
ਸਮਾਈ,শোষণ
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,এবিচিনিয়ান সৰিয়হ
1. ਐਕਰੀਸਾਈਡ,১.একেৰিচাইড
centripetal,centripetal
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),বৃদ্ধি (কোষ)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,অনুমোদিত সহনশীলতা
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
ਅਨੁਕੂਲਨ,অভিযোজন
ਇਕੱਠਾ ਕਰਨਾ,সঞ্চয়
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1.vaccuracy 2. নিখুঁততা
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ,১.এচিডিকৰণ ২.এচিডিকৰণ
1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
ਐਸਿਡਿਟੀ,এচিডিটি
ਐਸਿਡੋਫਾਈਲ,এচিডোফাইল
ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ,এচিডিফাইড ৰক ফছফেট
ਤੇਜ਼ਾਬ,এচিডিফাইড
aquifer,জলধাৰা
ਪ੍ਰਾਪਤੀ,অধিগ্ৰহণ
ਏਕੜ,একৰ
1. ਖੇਤਰ 2. ਖੇਤਰ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ,শেষ বিন্দু ক্ৰম’জম
ਅਗਾਂਹਵਧੂ,আগলৈ চাই থকা
acrosome,acrosome
ਐਕਟਿਨੋਮਾਈਸੀਟਸ,actinomycetes
ਸਰਗਰਮ ਕੋਰ,সক্ৰিয় কোৰ
1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ,1. উত্তেজিত 2. তীব্ৰ
ਅਨੁਕੂਲਤਾ,অভিযোজন ক্ষমতা
ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ,কাষ্টমাইজেচন
1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ,১.আঠাযুক্ততা ২.আঠাযুক্ততা
sebaceous,তৈলাক্ত
ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ,সমন্বয় সমীকৰণ
ਅਡੋਬ ਮਿੱਟੀ,এডোব মাটি
ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ,ব্যভিচাৰী
ਐਕਟੋਪਿਕ,এক্ট&#39;পিক
ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ,Isidiospore Isidium বিজাণু
ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ,বায়ুগতিশীল প্ৰক্ৰিয়া
ਵੈਂਟ੍ਰਲ,ventral
ਹਵਾ ਦੇਣ ਲਈ,বায়ুমণ্ডলীয় কৰা
1. ਹਵਾ 2. ਆਕਾਸ਼ੀ,১.বায়ু ২.আকাশী
1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
ਐਰੋਸੋਲ,এৰ&#39;ছল
1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ,ৰোগৰ বিজ্ঞান
ਜੰਗਲਾਤ,বনানীকৰণ
1. ਅੰਦੋਲਨ 2. ਗੜਬੜ,১.আন্দোলন ২.অস্থিৰতা
ਐਗਮਾਰਕ,আগমাৰ্ক
1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,কৃষি ক্লিনিক
1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ,কৃষি বিপণন
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,কৃষি প্ৰযুক্তি
1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ,কৃষি বনজ
ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ,কৃষি জৈৱ বৈচিত্ৰ্য
ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ,কৃষি জৈৱিক দোষ
ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ,কৃষি জীৱবিজ্ঞান
ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ,কৃষি-জলবায়ু বৈচিত্ৰ্য
ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ,কৃষি জলবায়ু মণ্ডল সৃষ্টি
ਖੇਤੀ ਜੰਗਲਾਤ,কৃষি বনানীকৰণ
ਖੇਤੀ ਵਿਗਿਆਨ,কৃষি বিজ্ঞান
ਖੇਤੀ ਵਿਗਿਆਨਕ,কৃষিভিত্তিক
ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ,কৃষি পশুপালন
ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ,শস্য প্ৰক্ৰিয়াকৰণ
ਘਾਹ ਵਿਗਿਆਨ,ঘাঁহ বিজ্ঞান
ਫਸਲ ਦੀ ਕਿਸਮ,শস্যৰ প্ৰকাৰ
epiphyte,এপিফাইট
aikiochi ਮਿੱਟੀ,আইকিওচি মাটি
ਰੰਗ ਅੰਨ੍ਹਾਪਨ,ৰঙৰ অন্ধতা
alfisol,আলফিছল
ਐਲਗੀ,শেলাই
ਐਲਗੀ ਰੋਗ,শেলাইৰ ৰোগ
ਖਾਰੀ ਪਾਣੀ,ক্ষাৰকীয় পানী
ਖਾਰੀ,ক্ষাৰকীয়
ਵਿਕਲਪਕ,বিকল্প
ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ,allelo ৰসায়ন বিজ্ঞান
ਐਲੀਲ,এলিল
ਐਲੇਲੋਪੈਥੀ,এলেল&#39;পেথী
ਵੇਥੀ ਦੀ ਫਸਲ,ভেঠী শস্য
ਸੰਪੂਰਨਤਾ,consummation
ਗਰੱਭਧਾਰਣ ਕਰਨਾ,নিষেচন কৰা
1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ,১.আপেক্ষিকতা ২.এলোমেট্ৰি
multiploidy,multiploidy
1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ,১/ পেৰাজাইগোচিটি
1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,বিকল্প ভূমি ব্যৱহাৰ
ਵਾਤਾਵਰਣ,পৰিৱেশ
ਸੁਧਾਰਕ,সংস্কাৰক
ਮਾਈਟੋਸਿਸ,মাইট’ছিছ
ਆਮੀਨ,আমিনন
ਐਮੋਨੀਅਨ,এমোনিয়ন
amniferous,amniferous
1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
amphibian ਮਿਸ਼ਰਣ,উভচৰ মিশ্ৰণ
ਐਮਫੋਟੇਰਿਕ,এম্ফোটেৰিক
ਭੰਡਾਰ,ষ্টকপাইলিং
1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
ਹੈਪਲੋਇਡ,হেপ্লয়ড
ਕੋਣੀ ਲਾਉਣਾ,কৌণিক ৰোপণ
ਪਸ਼ੂ ਪਾਲਣ,পশুপালন
ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ,পশুৰ মল-মূত্ৰ
ਜੀਵਤ ਊਰਜਾ,জীৱন্ত শক্তি
ਅਸਧਾਰਨ,অস্বাভাৱিক
ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ,এবছৰীয়া উদ্ভিদ
ਸਾਲਾਨਾ,বছেৰেকীয়া
1. ਅਨੰਦ 2. ਚਮਕ,1. আনন্দ 2. উজ্জ্বলতা
ਐਂਥ੍ਰੈਕਸ,এন্থ্ৰেক্স
ਮਾਨਵ-ਜਨਕ ਕਾਰਕ,মানৱজনিত কাৰকসমূহ
ਬਚਾਅ,জীয়াই থকা
1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
ਘਿਣਾਉਣੀ,repulsive
ਐਂਟੀਆਕਸੀਡੈਂਟ,এন্টিঅক্সিডেন্ট
ਐਂਟੀਟੌਕਸਿਨ,এন্টিটক্সিন
