Tamil,Assamese
உயிரற்ற இனப்பெருக்கம்,অজৈৱিক প্ৰজনন
அமானுஷ்ய,অস্বাভাৱিক
1. நான்காவது வயிறு 2. எவோமாசோம்,১/ চতুৰ্থ পেট ২) ইভ’মাজম
வயிற்று வளர்ச்சி உறுப்பு,ষ্টোমেটাল বৃদ্ধিৰ অংগ
வளர்ச்சி குன்றிய விதை,স্তব্ধ বৃদ্ধিৰ বীজ
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
உறிஞ்சப்பட்ட கேஷன்,শোষিত কেটিয়ন
உறிஞ்சுதல்,শোষণ
அபிசீனிய கடுகு,এবিচিনিয়ান সৰিয়হ
1. காரக்கொல்லி,১.একেৰিচাইড
மையவிலக்கு,centripetal
பெருக்கம் (செல்),বৃদ্ধি (কোষ)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,অনুমোদিত সহনশীলতা
1.கூடுதல் 2.துணை 3.துணை,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
தழுவல்,অভিযোজন
திரட்சி,সঞ্চয়
1.vacuracy 2. துல்லியம்,1.vaccuracy 2. নিখুঁততা
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,১.এচিডিকৰণ ২.এচিডিকৰণ
1. அமிலமானி 2. அமிலமானி,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
அமிலத்தன்மை,এচিডিটি
அமிலத்தன்மை,এচিডোফাইল
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,এচিডিফাইড ৰক ফছফেট
அமிலமாக்கப்பட்ட,এচিডিফাইড
நீர்நிலை,জলধাৰা
கையகப்படுத்தல்,অধিগ্ৰহণ
ஏக்கர்,একৰ
1. பகுதி 2. பகுதி,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
இறுதி புள்ளி குரோமோசோம்,শেষ বিন্দু ক্ৰম’জম
முன்னோக்கு,আগলৈ চাই থকা
குரோசோம்,acrosome
ஆக்டினோமைசீட்ஸ்,actinomycetes
செயலில் உள்ள மைய,সক্ৰিয় কোৰ
1. சீற்றம் 2. தீவிரம்,1. উত্তেজিত 2. তীব্ৰ
தழுவல்,অভিযোজন ক্ষমতা
தனிப்பயனாக்கம்,কাষ্টমাইজেচন
1. ஒட்டுதல் 2. ஒட்டுதல்,১.আঠাযুক্ততা ২.আঠাযুক্ততা
செபாசியஸ்,তৈলাক্ত
சரிசெய்தல் சமன்பாடு,সমন্বয় সমীকৰণ
அடோப் மண்,এডোব মাটি
கலப்படம்,ব্যভিচাৰী
எக்டோபிக்,এক্ট&#39;পিক
இசிடியோஸ்போர் இசிடியம் ஸ்போர்,Isidiospore Isidium বিজাণু
ஏரோடைனமிக் செயல்முறை,বায়ুগতিশীল প্ৰক্ৰিয়া
வென்ட்ரல்,ventral
காற்றோட்டம் செய்ய,বায়ুমণ্ডলীয় কৰা
1. காற்று 2. ஆகாஷி,১.বায়ু ২.আকাশী
1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
ஏரோசல்,এৰ&#39;ছল
1. மஞ்சரி 2. கோடை உறக்கம்,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
நோய் அறிவியல்,ৰোগৰ বিজ্ঞান
காடு வளர்ப்பு,বনানীকৰণ
1. கிளர்ச்சி 2. கொந்தளிப்பு,১.আন্দোলন ২.অস্থিৰতা
அக்மார்க்,আগমাৰ্ক
1. நிலம் தொடர்பான 2. விவசாயம்,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
விவசாய மருத்துவமனை,কৃষি ক্লিনিক
1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
விவசாய சந்தைப்படுத்தல்,কৃষি বিপণন
விவசாய தொழில்நுட்பம்,কৃষি প্ৰযুক্তি
1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
விவசாய காடுகள்,কৃষি বনজ
விவசாய பல்லுயிர்,কৃষি জৈৱ বৈচিত্ৰ্য
விவசாய கரிம குறைபாடுகள்,কৃষি জৈৱিক দোষ
விவசாய உயிரியல்,কৃষি জীৱবিজ্ঞান
விவசாய காலநிலை பன்முகத்தன்மை,কৃষি-জলবায়ু বৈচিত্ৰ্য
வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்,কৃষি জলবায়ু মণ্ডল সৃষ্টি
வளர்ப்பு,কৃষি বনানীকৰণ
வேளாண்மை,কৃষি বিজ্ঞান
வேளாண்மை,কৃষিভিত্তিক
விவசாய மேய்ச்சல்,কৃষি পশুপালন
பயிர் செயலாக்கம்,শস্য প্ৰক্ৰিয়াকৰণ
புல் அறிவியல்,ঘাঁহ বিজ্ঞান
பயிர் வகை,শস্যৰ প্ৰকাৰ
எபிஃபைட்,এপিফাইট
aikiochi மண்,আইকিওচি মাটি
வண்ண குருட்டுத்தன்மை,ৰঙৰ অন্ধতা
அல்பிசோல்,আলফিছল
பாசி,শেলাই
பாசி நோய்,শেলাইৰ ৰোগ
காரம் நீர்,ক্ষাৰকীয় পানী
காரமானது,ক্ষাৰকীয়
மாற்று,বিকল্প
அலெலோ வேதியியல்,allelo ৰসায়ন বিজ্ঞান
அலீல்,এলিল
அலெலோபதி,এলেল&#39;পেথী
வேத்தி பயிர்,ভেঠী শস্য
நிறைவு,consummation
கருத்தரித்தல்,নিষেচন কৰা
1. சார்பியல் 2. அலோமெட்ரி,১.আপেক্ষিকতা ২.এলোমেট্ৰি
பலவகை,multiploidy
1. Parazygosity,১/ পেৰাজাইগোচিটি
1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
மாற்று நில பயன்பாடு,বিকল্প ভূমি ব্যৱহাৰ
சூழல்,পৰিৱেশ
சீர்திருத்தவாதி,সংস্কাৰক
மைடோசிஸ்,মাইট’ছিছ
அமீனன்,আমিনন
அம்மோனியன்,এমোনিয়ন
அம்னிஃபெரஸ்,amniferous
1. பயனற்ற வடிவம் 2. அரூபி,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
நீர்வீழ்ச்சி கலவை,উভচৰ মিশ্ৰণ
ஆம்போடெரிக்,এম্ফোটেৰিক
கையிருப்பு,ষ্টকপাইলিং
1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
ஹாப்ளாய்டு,হেপ্লয়ড
கோண நடவு,কৌণিক ৰোপণ
கால்நடை வளர்ப்பு,পশুপালন
விலங்கு மலம்,পশুৰ মল-মূত্ৰ
வாழ்க்கை ஆற்றல்,জীৱন্ত শক্তি
முரண்பாடான,অস্বাভাৱিক
ஒரு வருடம் பழமையான ஆலை,এবছৰীয়া উদ্ভিদ
ஆண்டு,বছেৰেকীয়া
1. பரவசம் 2. பிரகாசம்,1. আনন্দ 2. উজ্জ্বলতা
ஆந்த்ராக்ஸ்,এন্থ্ৰেক্স
மானுடவியல் காரணிகள்,মানৱজনিত কাৰকসমূহ
உயிர்வாழ்தல்,জীয়াই থকা
1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
விரட்டும்,repulsive
ஆக்ஸிஜனேற்ற,এন্টিঅক্সিডেন্ট
ஆன்டிடாக்சின்,এন্টিটক্সিন
மோதிர விரல்,ৰিং ফিংগাৰ
1. அசுவினி 2. மஹு 3. செபா,১.এফিড ২.মহু ৩.চেপা
மேல் மொட்டு,শীৰ্ষ কলি
உச்ச செயல்திறன்,শীৰ্ষ ফলপ্ৰসূতা
தேனீ வளர்ப்பு,মৌমাখি ৰখা
ஓரினச்சேர்க்கை,অযৌনতা
அப்போப்டொசிஸ்,এপ&#39;প্টোছিছ
பிற்சேர்க்கைகள்,appendages
பசியை உண்டாக்கும்,appetizer
விண்ணப்பித்தார்,প্ৰয়োগ কৰা হৈছে
நீர்வாழ் களை,জলজ অপতৃণ
1. மரம் 2. மரத்தில் வசிப்பவர்,১.গছ ২.গছৰ বাসিন্দা
கிளைகள்,শাখা-প্ৰশাখা
புரோட்டோபோட்டானிக்கல் பதிவுகள்,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
மண்டல எண்,জ&#39;ন নম্বৰ
1. பகுதி 2. பகுதி,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
உலர் சுற்றுச்சூழல்,শুকান পৰিৱেশ তন্ত্ৰ
கோட்டிலிடன்,কুটিলডন
சௌரப்,সৌৰভ
நறுமண ஆலை,সুগন্ধিযুক্ত উদ্ভিদ
வாசனை அரிசி,সুগন্ধি চাউল
இக்ஷு புஷ்பன்,ইক্ষু পুষ্পন
அசெப்டிக்,বীজাণুমুক্ত
1. அசெப்டிக் 2. அசெப்டிக்,১.এচেপ্টিক ২.এচেপ্টিক
பாலின இனப்பெருக்கம்,অযৌন প্ৰজনন
அளவு,আকাৰ
சொத்து,সম্পত্তি
1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு,১/ আত্মসাৎ ২. আত্মসাৎ
1. சங்கம் 2. சங்கம்,১.সংঘ ২.সংঘ
1. நெடுவரிசை 2. துவர்ப்பு,1. স্তম্ভ 2. astringency
பன்முகத்தன்மை,হেটেৰ&#39;জাইগোচিটি
1. முன்னோர் 2. அடவிசம்,১.পূৰ্বপুৰুষ ২.আটাভিজম
துகள்,কণা
1. உறுதிப்படுத்தல் 2. குறைபாடு,1. অনিশ্চয়তা 2. বিকলতা
சுய இணைத்தல்,self pairing
