Bengali,English
অ্যাবাকাস,abacus
অস্বাভাবিক সমাপ্তি,abnormal termination
গর্ভপাত,abort
পরম,absolute
পরম ঠিকানা,absolute address
পরম ঠিকানা,absolute addressing
পরম সংযোজনকারী,absolute assembler
পরম কোড,absolute code
পরম আদেশ,absolute command
পরম তথ্য,absolute data
পরম নির্দেশ,absolute instruction
পরম মোড,absolute mode
পরম পথ,absolute path
পরম প্রোগ্রামিং,absolute programming
বিমূর্ত ক্লাস,abstract class
বিমূর্ত তথ্য প্রকার,abstract data type
বিমূর্ত মেশিন,abstract machine
বিমূর্ত প্রতীক,abstract symbol
বিমূর্ত বাক্য গঠন,abstract syntax
স্বীকৃতি যাচাইকরণ,acceptance testing
অ্যাক্সেস প্রমাণীকরণ,access authentication
প্রবেশাধিকার কোড,access code
প্রবেশাধিকার নিয়ন্ত্রণ,access control
অ্যাক্সেস স্ক্যান,access scan
আনুষঙ্গিক,accessory
অ্যাকাউন্ট,account
অ্যাকাউন্ট আইডি,account ID
সঞ্চয়কারী,accumulator
সঠিকতা,accuracy
অ্যাক্সেস,acess
অ্যাক্সেস নিয়ন্ত্রণ বাইট,acess control byte
অ্যাক্সেস সূচক,acess index
অ্যাক্সেস কী,acess key
অ্যাক্সেস ম্যাট্রিক্স,acess matrix
অ্যাক্সেস মোড,acess mode
প্রবেশাধিকার,acess privilege
অ্যাক্সেস নিরাপত্তা,acess security
অ্যাক্সেস সার্ভার,acess server
অ্যাক্সেস সময়,acess time
স্বীকৃতি,acknowledgement
ধ্বনিবিদ্যা,acoustics
সংক্ষিপ্ত রূপ,acronym
কর্ম বার্তা,action message
সক্রিয়করণ,activation
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),active server page (ASP)
সক্রিয় সংস্করণ,active version
অ্যাসাইক্লিক,acyclic
অ্যাসাইক্লিক গ্রাফ,acyclic graph
অ্যাডা ভাষা,Ada language
অ্যাডাপ্টার,adapter
যোগ করুন,add
ফাইল যুক্ত কর,add file
অপারেশন যোগ করুন,add operation
যোগকারী,adder
ঠিকানা,address
ঠিকানা বাস,address bus
ঠিকানা ফাইল,address file
ঠিকানা বিন্যাস,address format
ঠিকানা জেনারেটর,address generator
ঠিকানা লাইন,address line
ঠিকানা ম্যাপিং,address mapping
ঠিকানা নির্দেশক,address pointer
ঠিকানা রেজিস্টার,address register
ঠিকানা রেজোলিউশন,address resolution
ঠিকানা অনুবাদ,address translation
ঠিকানাযুক্ত স্মৃতি,addressed memory
সম্বোধন,addressing
পর্যাপ্ততার মানদণ্ড,adequacy criteria
সংলগ্ন,adjoint
প্রশাসন,administration
প্রশাসক,administrator
অ্যাডোবি অ্যাক্রোব্যাট,adobe acrobat
অ্যাডোবি ফটোশপ,adobe photoshop
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),Advance Business Application Programming (ABAP)
উন্নত তথ্য,advanced data
উন্নত তথ্য সিস্টেম,advanced information system
উন্নত প্রযুক্তি (AT),advanced technology (AT)
প্রতিনিধি,agent
সমষ্টি,aggregation
বায়ুবাহিত কম্পিউটার সিস্টেম,airborne computer system
aldus পেজ মেকার,aldus page maker
সতর্কতা বাক্স,alert box
algol,algol
অ্যালগরিদম,algorithm
অ্যালগরিদম বিশ্লেষণ,algorithm analysis
অ্যালগরিদম দক্ষতা,algorithm efficiency
উপনাম,alias
প্রান্তিককরণ,alignment
বরাদ্দ,allocation
বর্ণানুক্রমিক,alphabetic
আলফানিউমেরিক,alphanumeric
আলফানিউমেরিক কী বোর্ড,alphanumeric key board
আলফা-পরীক্ষা,alpha-test
আলফা-সংস্করণ,alpha-version
alt কী,alt key
আলতাভিস্তা,altavista
অস্পষ্টতা,ambiguity
অস্পষ্ট ব্যাকরণ,ambiguous grammar
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),American National Standards Institute (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),American Standard Code For Information Interchange (ASCII)
এনালগ,analog
এনালগ কম্পিউটার,analog computer
এনালগ ডিভাইস,analog device
এনালগ মডেম,analog modem
এনালগ থেকে ডিজিটাল কনভার্টার (ADC),Analog To Digital Converter (ADC)
এবং,AND
এবং সার্কিট,AND circuit
এবং গেট,AND gate
এবং অপারেশন নয় (বর্জন),AND not operation (Exclusion)
অ্যানিমেশন,animation
টীকা,annotation
ব্যতিক্রম,anomaly
পূর্ববর্তী,antecedent
প্রত্যাশিত পেজিং,anticipatory paging
বিরোধী প্রতিসম,anti-symmetric
অ্যান্টিভাইরাস প্রোগ্রাম,antivirus program
অ্যাপলেট,applet
অ্যাপ্লিকেশন ডেভেলপার,application developer
অ্যাপ্লিকেশন প্রোগ্রামিং,application programming
অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API),application programming interface (API)
অ্যাপ্লিকেশন সফ্টওয়্যার,application software
প্রয়োগমূলক ভাষা,applicative language
আনুমানিক তত্ত্ব,approximation theory
স্থাপত্য,architecture
এলাকা স্থানান্তর,area transfer
যুক্তি,argument
গাণিতিক এবং যুক্তিবিদ্যা ইউনিট,arithmatic and logic unit
গাণিতিক চেক,arithmatic check
গাণিতিক ধ্রুবক,arithmatic constant
গাণিতিক তথ্য,arithmatic data
গাণিতিক নির্দেশনা,arithmatical instruction
পাটিগণিত এবং যুক্তি ইউনিট (ALU),arithmetic and logic unit (ALU)
আরপানেট,ARPANET
অ্যারে,array
অ্যারে ক্যাশে,array cache
অ্যারে কম্পিউটার,array computer
অ্যারে উপাদান,array element
অ্যারের নাম,array name
অ্যারে প্রসেসর,array processor
তীর চিহ্ন,arrow keys
উচ্চারণ,articulation
উচ্চারণ বিন্দু,articulation point
কৃত্রিম কম্প্যাকশন,artificial compaction
কৃত্রিম নিয়ন্ত্রণ,artificial control
কৃত্রিম বুদ্ধিমত্তা,artificial intelligence
আরোহী,ascender
আরোহী সাজানোর,ascending sort
ASCII বেটিকাল অর্ডার,ASCII betical order
ASCII নিয়ন্ত্রণ চরিত্র,ASCII control character
ASCII ফাইল,ASCII file
ASCII ফন্ট,ASCII font
ASCII স্থানান্তর,ASCII transfer
আনুমানিক অনুপাত,aspect ratio
এএসপিআই,ASPI
ASR টাইমার,ASR timer
একত্রিত করা,assemble
সংযোজনকারী,assembler
সমাবেশ,assembly
এসেম্বলি,assembly language
দাবী,assertion
নিয়োগ,assignment
সংঘ,association
সহযোগী ঠিকানা,associative address
সহযোগী স্মৃতি,associative memory
asteric,asteric
অপ্রতিসম,asymmetric
অ্যাসিঙ্ক্রোনাস,asynchronous
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),asynchronous Digital Subscriber Line (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),asynchronous Time Division Multiplexing (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,asynchronous transfer
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),asynchronous Transfer Mode (ATM)
পরমাণু,atom
সংযুক্ত নথি,attached document
সংযুক্ত ফাইল,attached file
সংযুক্তি,attachment
বৈশিষ্ট্য,attribute
শ্রুতি,audio
অডিট প্রোগ্রামিং,audit programming
নিরীক্ষা পথ,audit trail
বৃদ্ধি,augmentation
প্রমাণীকরণ প্রোটোকল,authentication protocol
অথরিং সিস্টেম,authoring system
অনুমোদন,authorization
স্বয়ংক্রিয় বিমূর্ত,auto abstract
অটোবুটিং,autobooting
অটোক্যাড,autocad
অটোলগ চালু,autolog on
স্বয়ংক্রিয়,automata
স্বয়ংক্রিয় তত্ত্ব,automata theory
স্বয়ংক্রিয় কম্পিউটিং,automatic computing
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,automatic data processing
স্বয়ংক্রিয় ত্রুটি সংশোধন,automatic error correction
স্বয়ংক্রিয় ফাংশন,automatic function
স্বয়ংক্রিয় সূচীকরণ,automatic indexing
স্বয়ংক্রিয় লাইব্রেরি কল,automatic library call
স্বয়ংক্রিয় প্রোগ্রামিং,automatic programming
স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম,automatic recovery program
স্বয়ংক্রিয় রুটিন,automatic routine
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,automatic system recovery
স্বয়ংক্রিয় টেলার মেশিন (এটিএম),automatic teller machine (ATM)
অটোমেশন,automation
স্বয়ংক্রিয় চালু,autoplay
অটোসেভ,autosave
সহায়ক,auxiliary
অক্জিলিয়ারী মেমরি,auxiliary memory
অক্জিলিয়ারী স্টোরেজ,auxiliary storage
প্রাপ্তিসাধ্য তালিকা,available list
উপলব্ধ সময়,available time
গড়,average
awk (ভাষা),awk (language)
ব্যাকএন্ড,backend
ব্যাকএন্ড প্রসেসর,backend processor
ব্যাকফেস অপসারণ,backface removal
পটভূমি প্রক্রিয়াকরণ,background processing
ব্যাকিং স্টোর,backing store
ব্যাকপ্যাচিং,backpatching
ব্যাকস্পেস,backspace
ব্যাকট্র্যাকিং,backtracking
ব্যাক আপ,back-up
ব্যাক আপ মেমরি,back-up memory
পিছনের ত্রুটি পুনরুদ্ধার,backward error recovery
ব্যালেন্স শীট,balance sheet
ব্যান্ড,band
ব্যান্ড প্রস্থ,band width
ব্যাংকারের অ্যালগরিদম,banker's algorithm
বার কোড,bar code
বারকোড স্ক্যানার,bar code scanner
বার গ্রাফ,bar graph
ভিত্তি ঠিকানা,base address
বেস ব্যান্ড,base band
ভিত্তি নম্বর,base number
ভিত্তি টেবিল,base table
বেসিক,BASIC
মৌলিক নিয়ন্ত্রণ,basic control
মৌলিক ইনপুট,basic input
মৌলিক নির্দেশ,basic instruction
মৌলিক আউটপুট,basic output
মৌলিক পদক্ষেপ,basic step
ব্যাচ,batch
ব্যাচ ফাইল,batch file
ব্যাচ অবস্থান,batch position
ধির গতির কাজ,batch processing
ব্যাচ সিস্টেম,batch system
বউড,baud
বড হার,baud rate
মরীচি,beam
মাপকাঠি,benchmark
দ্বিমুখী যোগাযোগ,bidirectional communication
দ্বিমুখী লিঙ্ক,bidirectional link
বাইনারি কোড,binary code
বাইনারি সংখ্যা,binary digit
বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS),binary Input output system (BIOS)
বাইনারি সংখ্যা,binary number
বাইনারি অপারেটর,binary operator
বাইনারি সম্পর্ক,binary relation
বাইনারি অনুসন্ধান,binary search
বাইনারি সার্চ ট্রি (BST),binary search tree (BST)
বাইনারি স্থানান্তর,binary transfer
বাইনারি গাছ,binary tree
বাইপোলার মেমরি,bipolar memory
জন্ম মৃত্যু মডেল,birth death model
জন্ম মৃত্যু প্রক্রিয়া,birth death process
বিট,bit
বিট দোষ,bit fault
বিট মানচিত্র,bit map
বিট ম্যাপ পিক্সেল (BMP),bit map pixel (BMP)
বিট ম্যাট্রিক্স,bit matrix
বিট প্যাটার্ন,bit pattern
বিট অবস্থান,bit position
বিট হার,bit rate
কালো বক্স পরীক্ষা,black box testing
মিটমিট করে,blinking
ব্লক,block
ব্লক ক্যাশে,block cache
ব্লক চেক,block check
ব্লক কপি,block copy
ব্লক ডায়াগ্রাম,block diagram
ব্লকিং নেটওয়ার্ক,blocking network
বোর্ড,board
বই চিহ্ন,book mark
বুলিয়ান বীজগণিত,boolean algebra
বুলিয়ান সম্পর্ক,boolean relation
বুট পার্টিশন,boot partition
বুট strapping,boot strapping
বুট-স্ট্র্যাপ লোডার,boot-strap loader
সেতু,bridge
ব্রডব্যান্ড নেটওয়ার্কিং,broadband networking
সম্প্রচার,broadcast
রেডিও সম্প্রচার,broadcast radio
ব্রাউজ,browse
ব্রাউজার,browser
বি-বৃক্ষ,B-Tree
বুদ্বুদ মেমরি,bubble memory
বুদ্বুদ সাজানোর,bubble sort
বালতি,bucket
বন্ধু সিস্টেম,buddy system
বাজেট কার্যকর নিয়ন্ত্রণ,budget effective control
বাফার,buffer
বাগ,bug
বাস,bus
বাইট,byte
বাইট কোড,byte code
গ,c
সি++,C++
ক্যাশে,cache
ক্যাশে বাফার,cache buffer
ক্যাশ মেমরি,cache memory
গণনা,calculation
ক্যালকুলেটর,calculator
ক্যালকুলেটর চিপ,calculator chip
কল,call
নামে ডাক,call by name
রেফারেন্স দ্বারা কল করুন,call by reference
মূল্য দ্বারা কল,call by value
ভেরিয়েবল দ্বারা কল,call by variables
কল গেট,call gate
বাতিল,cancel
বাতিল বোতাম,cancel button
ক্যানোনিকাল,canonical
ক্যানোনিকাল ফর্ম,canonical form
ক্ষমতা,capability
ক্ষমতা তালিকা,capability list
ক্ষমতা,capacity
ক্যাপ লক কী,caps lock key
কার্ড,card
কার্ড পাঠক,card reader
কার্ডিনালিটি,cardinality
বাহক,carrier
ক্যারিয়ার ব্যান্ড,carrier band
ক্যারিয়ার লোড,carrier load
ক্যারিয়ার সংকেত,carrier signal
ক্যারিয়ার তরঙ্গ,carrier wave
বহন,carry
অঙ্ক বহন,carry digit
পতাকা বহন,carry flag
কার্তুজ ডিস্ক,cartridge disk
ক্যাসকেড,cascade
মামলা,case
ক্যাথড রে টিউব (সিআরটি),cathod ray tube (CRT)
ক্যাথোড রে টিউব (CRT),cathode ray tube (CRT)
সিডি রম ডিস্ক ড্রাইভ,CD ROM disk drive
কোষ,cell
সেল অ্যানিমেশন,cell animation
মোবাইল ফোন,cellular phone
কেন্দ্রীয় স্মৃতি,central memory
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),central processing unit (CPU)
কেন্দ্রীভূত ব্যবস্থা,centralized system
প্রত্যয়িত টেপ,certified tape
চেইন,chain
চেইন ডেটা,chain data
চেইন লিঙ্ক,chain link
চেইনিং,chaining
চ্যানেল,channel
চ্যানেল ব্যস্ত টোন,channel busy tone
চ্যানেল ক্ষমতা,channel capacity
চ্যানেল কন্ট্রোলার,channel controller
চ্যানেল ত্রুটি,channel error
চ্যানেল প্রোগ্রাম,channel program
চ্যানেল নির্ভরযোগ্যতা,channel reliability
চ্যানেল সেট,channel set
চরিত্র,character
অক্ষর কোড,character code
অক্ষর কী,character key
চরিত্র পাঠক,character reader
অক্ষরের আকার,character size
চার্ট,chart
চ্যাসিস,chassis
চেক বিট,check bit
অংকের চেক,check digit
চেক যোগফল,check sum
চেক শব্দ,check word
চিপ,chip
চিপ সেট,chip set
পছন্দ করা,choose
বর্ণগতভাবে,chromatically
