Malayalam,Odiya
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
അപഭ്രംശം,ଘୃଣ୍ୟତା |
അസാധാരണമായ സംക്രമണം,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
സ്പെക്ട്രം കാണുന്നില്ല,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
കേവല ഈർപ്പം,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
കേവല വേഗത,ସଂପୂର୍ଣ୍ଣ ଗତି
സമ്പൂർണ നിരീക്ഷണം,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
കേവല താപനില,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
കേവല പൂജ്യം,ସଂପୂର୍ଣ୍ଣ ଶୂନ
ആഗിരണം ചെയ്യുക,ଶୋଷଣ
"ആഗിരണം, ആഗിരണം","ଶୋଷକ, ଶୋଷକ"
ആഗിരണം ശേഷി,ଅବଶୋଷଣ କ୍ଷମତା |
ആഗിരണം,ଅବସାଦ |
ആഗിരണം ചെയ്യാവുന്ന,ଶୋଷକ
ആഗിരണം,ଶୋଷଣ
ഗുണിത അനുപാതം,ବହୁଗୁଣ ଅନୁପାତ |
ത്വരിതപ്പെടുത്തുക,ତ୍ୱରାନ୍ୱିତ କର |
തിടുക്കപ്പെട്ടു,ଶୀଘ୍ର ଶୀଘ୍ର
ത്വരണം,ତ୍ୱରଣ
ഗുരുത്വാകർഷണ ത്വരണം,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
ആക്സിലറേറ്റർ,ତ୍ୱରକ
ആക്സിലറേറ്റർ,ତ୍ୱରକ
ആക്സിലറോമീറ്റർ,ଆକ୍ସିଲେରୋମିଟର
പ്രിസ്ട്രെസർ,ସମ୍ମାନ
സ്വീകാര്യമായ പരിശോധന,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
സ്വീകർത്താവ്,ଗ୍ରହଣକାରୀ
ദാതാവിന്റെ തന്മാത്ര,ଦାତା ଅଣୁ
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
പ്രവേശനക്ഷമത,ଅଭିଗମ୍ୟତା
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
പ്രവേശന സമയം,ପ୍ରବେଶ ସମୟ
സന്ദർശക പിശക്,ପରିଦର୍ଶକ ତ୍ରୁଟି |
ക്രമീകരിക്കൽ,ଆଡଜଷ୍ଟେସନ୍
കുമിഞ്ഞുകൂടി,ସଂଗୃହିତ
"ശേഖരണം, ശേഖരണം","ଜମା, ଜମା"
ശേഖരണം,ଜମାକାରୀ
കൃത്യത,ସଠିକତା
റിയാലിറ്റി,ବାସ୍ତବତା
അക്രോമാറ്റിക് ലെൻസ്,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
അക്രോമാറ്റിക്,ଆକ୍ରୋମାଟିକ୍ |
അക്രോമാറ്റിറ്റി,ଆକ୍ରୋମାଟିଟି
അക്കോസ്റ്റിക്,ଶବ୍ଦ
ശബ്ദപ്രതിരോധം,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
അക്കോസ്റ്റിക് ഫോണോൺ,ଆକାଶବାଣୀ ଫୋନନ୍ |
ശബ്ദ യൂണിറ്റ്,ଧ୍ୱନି ଏକକ |
അക്കോസ്റ്റിക്,ଶବ୍ଦ
ശബ്ദ ജനറേറ്റർ,ଶବ୍ଦ ଜେନେରେଟର
പ്രവർത്തനവും പ്രതികരണവും,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
സജീവമാക്കൽ,ସକ୍ରିୟ
സജീവമാക്കൽ ഊർജ്ജം,ସକ୍ରିୟ ଶକ୍ତି
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |"
സജീവമാണ്,ସକ୍ରିୟ |
ആക്ടിവിസം,ସକ୍ରିୟତା
യഥാർത്ഥ സമ്മർദ്ദം,ପ୍ରକୃତ ଚାପ
മന്ത്രിക്കുന്നു,ଫୁସ୍ଫୁସ୍
സംഗ്രഹിക്കാനായി,ସଂକ୍ଷେପରେ
"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)","ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)"
"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)","ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)"
സങ്കലനം,ଯୋଗୀ
അഡീഷൻ,ଆଡିଶିନ୍ |
പശ ഊർജ്ജം,ଆଡେସିଭ୍ ଶକ୍ତି |
അടിയാബാറ്റ്,adiabat
adiabatic,ଆଡିଆବାଟିକ୍ |
ചൂട് ഇൻസുലേറ്റിംഗ്,ଉତ୍ତାପ ଇନସୁଲେଟିଂ
ബന്ധം,ସଂଲଗ୍ନ
ക്രമീകരിക്കാവുന്ന,ନିୟନ୍ତ୍ରିତ
നുഴഞ്ഞുകയറ്റം,ଅନୁପ୍ରବେଶ
ആഗിരണം,ବିଜ୍ or ାପନ
മുന്നോട്ട്,ଆଗକୁ
പുരോഗമനപരമായ,ପ୍ରଗତିଶୀଳ |
"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)","akashi, air (v।), aerial (ed।)"
ആന്റിന സ്ട്രീം,ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |
ഏരിയൽ സർവേ,ବାୟୁ ସର୍ବେକ୍ଷଣ |
വായു വേഗത,ବାୟୁ ବେଗ
എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്,ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
എയറോഡൈനാമിക്,ଏରୋଡାଇନାମିକ୍ |
എയറോഡൈനാമിക്സ്,ଏରୋଡାଇନାମିକ୍ସ |
എയറോനോട്ടിക്കൽ,ଏରୋନେଟିକାଲ୍ |
എയറോനോട്ടിക്സ്,ଏରୋନେଟିକ୍ସ |
എയർ പൾസ്,ବାୟୁ ନାଡ
"അന്തരീക്ഷം, വാതകമണ്ഡലം","ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |"
ഫോക്കസ് സിസ്റ്റം,ଫୋକସ୍ ସିଷ୍ଟମ୍ |
തിരികെ ജ്വലനം,ପଛ ଇଗ୍ନିସନ୍ |
ബാക്ക് ലൈറ്റ്,ପଛ ଆଲୋକ
ഞെട്ടൽ,ସଂକଟ
"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക","ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |"
സമയം ബാധിച്ചു,ସମୟ ପ୍ରଭାବିତ |
"വാർദ്ധക്യം, വാർദ്ധക്യം","ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ"
സമയ പ്രഭാവം,ସମୟ ପ୍ରଭାବ
സമയ ഫല പരിശോധന,ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା
ഗുരുത്വാകർഷണമില്ലാത്ത,ମାଧ୍ୟାକର୍ଷଣ |
അനുരഞ്ജനം,ପୁନ iliation ନିର୍ମାଣ
"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ","ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |"
"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം","ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |"
എയർ റെസ്പിറേറ്റർ,ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା
എയർ കണ്ടീഷനിംഗ്,ଶୀତତାପ ନିୟନ୍ତ୍ରଣ
എയർക്രൂ ട്രാൻസ്ഫോർമർ,ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |
വിമാനം,ବିମାନ
വിന്യാസം,ଶ୍ରେଣୀବଦ୍ଧତା |
വിന്യാസ പിശക്,ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |
ലൈവ് സർക്യൂട്ട്,ଲାଇଭ୍ ସର୍କିଟ୍ |
മുഴുവൻ ഗ്ലാസ് ട്യൂബ്,ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |
മുഴുവൻ മെറ്റൽ ട്യൂബ്,ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |
