Punjabi,Telugu
ਅਸਧਾਰਨ,అసాధారణ
ਅਧੂਰਾ ਛੱਡਣਾ,అబార్ట్
ਘ੍ਰਿਣਾ,అబ్రేషన్
ਅਚਾਨਕ,ఆకస్మిక
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,సంపూర్ణ క్షేత్ర బలం
ਪੂਰਨ ਤਾਪਮਾਨ,సంపూర్ణ ఉష్ణోగ్రత
ਸਹੀ ਮੁੱਲ,సంపూర్ణ విలువ
ਸੋਖਣਾ,గ్రహించండి
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,శోషణ సహ-సమర్థత
ਸਮਾਈ ਨੁਕਸਾਨ,శోషణ నష్టం
ਸਾਰ,నైరూప్య
ਐਕਸੀਲਾਮੀਟਰ,యాక్సిలెరోమీటర్
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,అంగీకార పరీక్ష
ਪਹੁੰਚ,యాక్సెస్
ਐਕਸੈਸ ਕੰਟਰੋਲ,యాక్సెస్ నియంత్రణ
ਐਕਸੈਸ ਪੁਆਇੰਟ,యాక్సెస్ పాయింట్
ਐਕਸੈਸ ਟਾਈਮ,ప్రాప్యత సమయం
ਪਹੁੰਚਯੋਗਤਾ,సౌలభ్యాన్ని
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,సంచిత కణం
ਸ਼ੁੱਧਤਾ,ఖచ్చితత్వం
ਸਹੀ,ఖచ్చితమైనది
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,అచ్రోమాటిక్ లెన్స్
ਐਸਿਡ,ఆమ్లము
ਐਸਿਡ ਦਾ ਸਬੂਤ,యాసిడ్ ప్రూఫ్
ਐਸਿਡਿਟੀ,ఆమ్లత్వం
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,రసీదు బిట్
ਧੁਨੀ,శబ్ద
ਧੁਨੀ ਸੰਚਾਰ,ఎకౌస్టిక్ కమ్యూనికేషన్
ਧੁਨੀ ਫੈਲਾਉਣ,శబ్ద వ్యాప్తి
ਧੁਨੀ ਬਰਾਬਰੀ,ఎకౌస్టిక్ ఈక్వలైజర్
ਧੁਨੀ ਫੀਡਬੈਕ,శబ్ద అభిప్రాయం
ਧੁਨੀ ਫਿਲਟਰ,శబ్ద వడపోత
ਧੁਨੀ ਰੁਕਾਵਟ,శబ్ద ఇంపెడెన్స్
ਧੁਨੀ ਮਾਸਕਿੰਗ,ఎకౌస్టిక్ మాస్కింగ్
ਧੁਨੀ ਸ਼ਕਤੀ,శబ్ద శక్తి
ਧੁਨੀ ਸੰਪਤੀ,శబ్ద ఆస్తి
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,శబ్ద ప్రతిచర్య
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ఎకౌస్టిక్ రిఫ్లెక్స్
ਧੁਨੀ ਟਾਈਲ,శబ్ద టైల్
ਧੁਨੀ ਲਹਿਰ,శబ్ద వేవ్
ਧੁਨੀ ਸਮਾਈ,శబ్ద శోషణ
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
ਧੁਨੀ ਗਿੱਲੀ,శబ్ద డంపింగ్
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,శబ్ద ఆలస్యం రేఖ
ਧੁਨੀ ਵਿਗਾੜ,శబ్ద వక్రీకరణ
ਧੁਨੀ ਨਲੀ,శబ్ద వాహిక
ਧੁਨੀ energy ਰਜਾ,శబ్ద శక్తి
ਧੁਨੀ ਫੀਡਬੈਕ,శబ్ద అభిప్రాయం
ਧੁਨੀ ਫਿਲਟਰ,శబ్ద వడపోత
ਧਾਰਨਾ,శబ్ద ఇంపెడెన్స్
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,శబ్ద ప్రచారం స్థిరాంకం
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,శబ్ద నిరోధకత
ਧੁਨੀ,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
ਧੁਨੀ,ధ్వని
ਗ੍ਰਹਿਣ,సముపార్జన
ਐਕਰੋਨਾਈਮ,ఎక్రోనిం
ਕਾਰਵਾਈ ਖੇਤਰ,కార్యాచరణ ప్రాంతం
ਸਰਗਰਮ ਤੰਦ,సక్రియం చేయబడిన ఫిలమెంట్
ਕਿਰਿਆਸ਼ੀਲ,క్రియాశీల
ਐਕਟਿਵ ਖੇਤਰ,క్రియాశీల ప్రాంతం
ਐਕਟਿਵ ਵਿੰਡੋ,క్రియాశీల విండో
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),అడాప్టర్
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
ਐਡਰੈੱਸ ਬੁੱਕ,చిరునామా పుస్తకం
ਪਤਾ ਬੱਸ,చిరునామా బస్సు
ਪਤਾ ਹੱਲ,చిరునామా తీర్మానం
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ,ప్రక్కనే ఉన్న స్టేషన్
ਵਿਵਸਥਤ,సర్దుబాటు
ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ,సర్దుబాటు కండెన్సర్
ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ,సర్దుబాటు ఒత్తిడిని
ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ,రెంచ్ సర్దుబాటు
ਵਿਵਸਥਾ,సర్దుబాటు
ਪ੍ਰਬੰਧਕ,నిర్వాహకుడు
ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ,అధునాతన సాంకేతిక పరిజ్ఞానం
ਏਰੀਅਲ,ఆకాశయాన
ਏਰੀਅਲ ਐਰੇ,వైమానిక శ్రేణి
ਏਰੀਅਲ ਬੂਸਟਰ,వైమానిక బూస్టర్
ਏਰੀਅਲ ਮੌਜੂਦਾ,వైమానిక ప్రవాహం
ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ,వైమానిక ఎర్తింగ్ స్విచ్
ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ,వైమానిక సామర్థ్యం
ਏਰੀਅਲ ਰੁਕਾਵਟ,వైమానిక ఇంపెడెన్స్
ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ,వైమానిక ఇండక్టెన్స్
ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ,వైమానిక అవాహకం
ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ,వైమానిక లోడింగ్ కాయిల్
ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ,వైమానిక ఫోటోగ్రఫీ
ਏਰੀਅਲ ਪਾਵਰ,వైమానిక శక్తి
ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ,వైమానిక రేడియేషన్ రీస్టెన్స్
ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ,వైమానిక ప్రతిచర్య
