Odiya,English
ଆବଦ୍ଧ,Abatement
ସଂକ୍ଷିପ୍ତକରଣ,Abbreviation
ଅପହରଣ,Abduction
ଆବେରୀ,Abeyance
ଦକ୍ଷତା,Ability
Ab initio,Ab initio
ସକ୍ଷମ,Able
ଅସ୍ୱାଭାବିକ |,Abnormal
ଚତୁରତା,Abolition
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,Abolitionof post
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,Above mentioned
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,Above quoted
ଉପରେ କହିଲା,Above said
ଅନୁପସ୍ଥିତି,Absence
ଅଧ୍ୟାପୀ,Absentee
ଅନୁପସ୍ଥିତତା,Absenteeism
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,Absentee statement
ସଂପୂର୍ଣ୍ଣ,Absolute
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,Absolute monopoly
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,Absolute ownership
ଶୋଷଣ,Absorption
ବିସ୍ତୃତ,Abstract
ବିସ୍ତୃତ,Abstractstatement
ଅବ urd ଧ |,Absurd
ପ୍ରଚୁରତା,Abundance
ଶକ୍ତିର ଅପବ୍ୟବହାର |,Abuse of power
ଅପମାନଜନକ ଭାଷା |,Abusive language
ଏକାଡେମିକ୍ |,Academic
ଏକାଡେମିକ୍ ଆଲୋଚନା,Academic discussion
ଏକାଡେମିକ୍ ଛୁଟି |,Academic leave
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,Academic qualification
ଏକାଡେମିକ୍ ରେକର୍ଡ |,Academic record
ଧ୍ୟାନଦେଇ,Accede
ଗ୍ରହଣ କର,Accept
ଗ୍ରହଣ,Acceptance
ଅଫିସ୍ ଗ୍ରହଣ,Acceptance of office
ଟେଣ୍ଡର ଗ୍ରହଣ,Acceptance of tender
ପ୍ରବେଶ,Access
ପ୍ରବେଶ,Accession
ଆନୁଷଙ୍ଗିକ,Accessory
ଦୁର୍ଘଟଣା,Accident
ସୁକମ୍ଲାଇଜେସନ୍,Acclimatization
ଆବାସ,Accommodation
ସାଥୀ,Accompanist
ଆକର୍ଡ,Accord
ସମ୍ପତ୍ତୀ,Accordance
ସେହି ଅନୁଯାୟୀ |,Accordingly
ଖାତା,Account
ଉତ୍ତରଦାୟିତ୍ୱ,Accountability
ଉତ୍ତରଦାୟୀ |,Accountable
ଆକାଉଣ୍ଟାଣ୍ଟି,Accountancy
ଆକାଉଣ୍ଟାଣ୍ଟ,Accountant
ଖାତା ପାଇଁ,Account for
ଖାତା ହେଡ୍,Account head
ଅଭିଯୋଗ ଲାଭ,Accrued benefit
ପେନ୍ ପେନ୍ସନ୍,Accrued pension
ଜମା,Accumulation
ସଠିକତା,Accuracy
ସଠିକ୍,Accurate
ଅଭିଯୋଗ,Accuse
ଅଭିଯୁକ୍ତ,Accused
ସଫଳତା,Achievement
ସ୍ୱୀକୃତି,Acknowledgement
ସ୍ୱୀକୃତି ଦେବାର |,Acknowledgement due
ପରିଚୟ,Acquaintance
ଅଧିଗ୍ରହଣ,Acquisition
ନିର୍ଦ୍ଦୋଷ,Acquittance
କାର୍ଯ୍ୟ କର,Act
ଅଭିନୟ ଭତ୍ତା,Acting allowance
କାର୍ଯ୍ୟ,Action
କ୍ରିୟା ଯୋଜନା,Action plan
ସକ୍ରିୟ,Active
ସକ୍ରିୟ ଭାବରେ |,Actively
କାର୍ଯ୍ୟକର୍ତ୍ତା,Activist
God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ,Act of God
ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ,Act of misconduct
କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |,Act of commission and omission
ପ୍ରକୃତ,Actual
କାର୍ଯ୍ୟ,Actuals
ଆଡାପ୍ଟେସନ୍,Adaptation
ଯୋଗ,Addition
ଅତିରିକ୍ତ ଚାର୍ଜ,Additional charge
ଅତିରିକ୍ତ ପାଣ୍ଠି,Additional fund
