Malayalam,Marathi
ആമ്പിയർ (യൂണിറ്റ്),अँपिअर (युनिट)
ആംഗ്സ്ട്രം,angstrum
എ-ക്ലാസ് ആംപ്ലിഫയർ,ए-क्लास अॅम्प्लिफायर
എഎൻ റേഡിയോ സഹായ്,एएन रेडिओ सहाय
a-സ്കാനിംഗ് അവതരണം,एक-स्कॅनिंग सादरीकरण
ഒരു-ദർശ്,a-darsh
എ-സ്കോപ്പ് പ്രകടനം,ए-स्कोप कामगिरी
എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ,A-T वक्र क्रिस्टल
"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
രാവിലെ,आहे
എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്),AMU (अणु वस्तुमान एकक)
aard-vark*,आर्ड-वार्क*
എബി-ആമ്പിയർ,ab-ampere
എ-ബി ക്ലാസ് ആംപ്ലിഫയർ,A-B वर्ग अॅम्प्लिफायर
അദാ,adah
എ-ബി ശക്തി പിടക,A-B शक्ती पिटक
abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്,abc = संरेखन चार्ट = nomograph
അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം),अबे क्रमांक (अबे स्थिरांक)
അബെ റിഫ്രാക്റ്റോമീറ്റർ,abe refractometer
അബെ സൈൻ സംസ്ഥാനം,अबे साइन राज्य
ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
"അപഭ്രംശം, അപഭ്രംശം",विकृती
വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്,विकृती सुधारक लेन्स
ആകാശ വ്യതിയാനം,आकाश विकृती
abfarad,abfarad
എബൻറി,एबेनरी
എബോണി പ്രഭാവം,इबोनी प्रभाव
അസാധാരണ ധ്രുവീകരണം,असामान्य ध्रुवीकरण
അസാധാരണമായ സംക്രമണം,असामान्य प्रसार
അസാധാരണമായ പ്രതിഫലനം,अलौकिक प्रतिबिंब
അസാധാരണ അപവർത്തനം*,असामान्य अपवर्तन*
അസാധാരണമായ പ്രതിരോധം,अलौकिक प्रतिकार
ab-om,ab-om
"മുൻതൂക്കം, പരാജയം","प्राबल्य, अपयश"
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച","संलग्न, सहसा, उभे, विभक्त, खंडित"
പലപ്പോഴും ചാടുന്നു,अनेकदा उडी मारते
കൈ*,हात*
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,हरवलेले प्रतिबिंब
സ്പെക്ട്രം കാണുന്നില്ല,गहाळ स्पेक्ट्रम
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
സമ്പൂർണ്ണ ത്വരണം,परिपूर्ण प्रवेग
കേവല യാഥാർത്ഥ്യം,परिपूर्ण वास्तव
സമ്പൂർണ്ണ വിലാസം,परिपूर्ण पत्ता
ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ,भौगोलिक उच्चांक
ഭൂമിശാസ്ത്രപരമായ ഉയരം,भौगोलिक उंची
കേവല ആമ്പിയർ,परिपूर्ण अँपिअर
സമ്പൂർണ്ണ തിളനില,परिपूर्ण उकळत्या बिंदू
കേവല പ്രകാശം,परिपूर्ण प्रकाश
കേവല കപ്പാസിറ്റൻസ്,परिपूर्ण क्षमता
കേവല ഉയരം,परिपूर्ण उंची
കേവല പിഗ്മെന്റ്,परिपूर्ण रंगद्रव्य
"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ","परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
കേവല കൂലം,परिपूर्ण कूलॉम्ब
