Malayalam,Tamil
വിലക്ഷണമായ,அசாதாரணமானது
ഉപേക്ഷിക്കുക,கருக்கலைப்பு
വധനം,சிராய்ப்பு
ആകസ്മികമായ,திடீரென்று
കേവല ഫീൽഡ് ശക്തി,முழுமையான புல வலிமை
കേവല താപനില,முழுமையான வெப்பநிலை
യഥാർത്ഥ മൂല്യം,துல்லியமான மதிப்பு
ഉള്ക്കൊള്ളുക,உறிஞ்சும்
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,உறிஞ்சுதல் சக செயல்திறன்
ആഗിരണം നഷ്ടം,உறிஞ்சுதல் இழப்பு
വേര്പെട്ടുനില്ക്കുന്ന,சுருக்கம்
ആക്സിലറോമീറ്റർ,முடுக்கமானி
സ്വീകാര്യത പരിശോധന,ஏற்பு சோதனை
പ്രവേശനം,அணுகல்
പ്രവേശന നിയന്ത്രണം,நுழைவு கட்டுப்பாடு
പ്രവേശന പോയിന്റ്,அணுகல் புள்ளி
ആക്സസ് സമയം,அணுகல் நேரம்
പ്രവേശനക്ഷമത,அணுகல்
സഞ്ചിത സെൽ,குவிப்பான் செல்
കൃതത,துல்லியம்
സൂക്ഷ്മമായ,துல்லியமானது
അച്രോമാറ്റിക് ലെൻസ്,முடிச்சு லென்ஸ்
പുളിപ്പുള്ള,அமிலம்
ആസിഡ് തെളിവ്,அமில ஆதாரம்
അസിഡിറ്റി,அமிலத்தன்மை
അംഗീകാര ബിറ്റ്,ஒப்புதல் பிட்
അക്കോസ്റ്റിക്,ஒலி
അക്കോസ്റ്റിക് ആശയവിനിമയം,ஒலி தொடர்பு
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,ஒலி பரவல்
അക്കോസ്റ്റിക് ഇക്വൈസർ,ஒலி சமநிலைப்படுத்தி
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,ஒலி கருத்து
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,ஒலி வடிகட்டி
അക്കോസ്റ്റിക് ഇംപാസ്,ஒலி மின்மறுப்பு
അക്കോസ്റ്റിക് മാസ്കിംഗ്,ஒலி முகமூடி
അക്കോസ്റ്റിക് പവർ,ஒலி சக்தி
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,சட்டவிரோத சொத்து
അക്കോട്ടിക് റിയാൻസ്,ஒலி எதிர்வினை
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ஒலி ரிஃப்ளெக்ஸ்
അക്കോസ്റ്റിക് ടൈൽ,ஒலி ஓடு
അക്ക ou സ്റ്റിക് തരംഗം,ஒலி அலை
ശബ്ദ ആഗിരണം,ஒலியியல் உறிஞ்சுதல்
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,ஒலியியல் விழிப்புணர்வு மாறிலி
അക്കോസ്റ്റിക്കൽ നനവ്,ஒலியியல் ஈரமாக்குதல்
