English,Odiya
A B amplifier,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
aberration,ଘୃଣ୍ୟତା |
abnormal propagation,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
abrupt,"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
absent spectrum,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
absolute,"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
absolute humidity,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
absolute motion,ସଂପୂର୍ଣ୍ଣ ଗତି
absolute observation,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
absolute temperature,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
absolute zero,ସଂପୂର୍ଣ୍ଣ ଶୂନ
absorb,ଶୋଷଣ
absorber,"ଶୋଷକ, ଶୋଷକ"
absorbing power,ଅବଶୋଷଣ କ୍ଷମତା |
absorptance,ଅବସାଦ |
absorptive,ଶୋଷକ
absorptivity,ଶୋଷଣ
abundance ratio,ବହୁଗୁଣ ଅନୁପାତ |
accelerate,ତ୍ୱରାନ୍ୱିତ କର |
accelerated,ଶୀଘ୍ର ଶୀଘ୍ର
acceleration,ତ୍ୱରଣ
acceleration of gravity,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
accelerative,ତ୍ୱରକ
accelerator,ତ୍ୱରକ
accelerometer,ଆକ୍ସିଲେରୋମିଟର
accentuator,ସମ୍ମାନ
acceptance test,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
acceptor,ଗ୍ରହଣକାରୀ
acceptor molecule,ଦାତା ଅଣୁ
access,"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
accessibility,ଅଭିଗମ୍ୟତା
accessory,"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
access time,ପ୍ରବେଶ ସମୟ
accidental error,ପରିଦର୍ଶକ ତ୍ରୁଟି |
accommodation,ଆଡଜଷ୍ଟେସନ୍
accumulated,ସଂଗୃହିତ
accumulation,"ଜମା, ଜମା"
accumulator,ଜମାକାରୀ
accuracy,ସଠିକତା
accurate,ବାସ୍ତବତା
achromat,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
achromatic,ଆକ୍ରୋମାଟିକ୍ |
achromatism,ଆକ୍ରୋମାଟିଟି
acoustical,ଶବ୍ଦ
acoustically insulated,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
acoustical phonon,ଆକାଶବାଣୀ ଫୋନନ୍ |
acoustical unit,ଧ୍ୱନି ଏକକ |
acoustic,ଶବ୍ଦ
acoustic generator,ଶବ୍ଦ ଜେନେରେଟର
action and reaction,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
activation,ସକ୍ରିୟ
"activation, energy",ସକ୍ରିୟ ଶକ୍ତି
activator,"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |"
active,ସକ୍ରିୟ |
activity,ସକ୍ରିୟତା
actual stress,ପ୍ରକୃତ ଚାପ
acute exposure,ଫୁସ୍ଫୁସ୍
add,ସଂକ୍ଷେପରେ
addition,"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)"
additional tone,"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)"
additive,ଯୋଗୀ
adhesion,ଆଡିଶିନ୍ |
adhesional energy,ଆଡେସିଭ୍ ଶକ୍ତି |
adiabat,adiabat
adiabatic,ଆଡିଆବାଟିକ୍ |
adiathermanous,ଉତ୍ତାପ ଇନସୁଲେଟିଂ
adjacent,ସଂଲଗ୍ନ
adjustable,ନିୟନ୍ତ୍ରିତ
admittance,ଅନୁପ୍ରବେଶ
adsorption,ବିଜ୍ or ାପନ
advanced,ଆଗକୁ
advancing,ପ୍ରଗତିଶୀଳ |
aerial,"akashi, air (v।), aerial (ed।)"
aerial current,ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |
aerial survey,ବାୟୁ ସର୍ବେକ୍ଷଣ |
aerial velocity,ବାୟୁ ବେଗ
aerodynamic coefficient,ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
aerodynamic,ଏରୋଡାଇନାମିକ୍ |
aerodynamics,ଏରୋଡାଇନାମିକ୍ସ |
aeronautical,ଏରୋନେଟିକାଲ୍ |
aeronautics,ଏରୋନେଟିକ୍ସ |
aeropulse,ବାୟୁ ନାଡ
aerosphere,"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |"
afocal system,ଫୋକସ୍ ସିଷ୍ଟମ୍ |
after burning,ପଛ ଇଗ୍ନିସନ୍ |
after glow,ପଛ ଆଲୋକ
aftershock,ସଂକଟ
age,"ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |"
aged,ସମୟ ପ୍ରଭାବିତ |
ageing (aging),"ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ"
aging (=ageing),ସମୟ ପ୍ରଭାବ
aging test,ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା
agravic,ମାଧ୍ୟାକର୍ଷଣ |
aim,ପୁନ iliation ନିର୍ମାଣ
airborne radar,"ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |"
airborne target,"ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |"
air breather,ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା
air conditioning,ଶୀତତାପ ନିୟନ୍ତ୍ରଣ
aircore transformer,ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |
aircraft,ବିମାନ
alignment,ଶ୍ରେଣୀବଦ୍ଧତା |
alignment error,ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |
alive circuit,ଲାଇଭ୍ ସର୍କିଟ୍ |
all glass tube,ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |
all metal tube,ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |
allocate,ଠିକ କରିବା ପାଇଁ
alloy,"ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)"
alloying,ମିଶ୍ର
all-pervading medium,ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |
all-wave antenna,omni ଆଣ୍ଟେନା |
almanac,ଆଲମାନାକ |
alpha,ଆଲଫା
alpha-activity,ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |
alphabetical,ବର୍ଣ୍ଣମାଳା
alpha ray,ଆଲଫା ରଶ୍ମି |
alteration,ପରିବର୍ତ୍ତନ କରନ୍ତୁ |
alternating,"ବିକଳ୍ପ, ବିକଳ୍ପ"
alternator,ବିକଳ୍ପ
altigraph,ଉଚ୍ଚତା
altimeter,ଉଚ୍ଚତା
altimetry,ଉଚ୍ଚତା
altitude,"ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା |"
ALU (Arithmatic Logic Unit),ଗାଣିତିକ ଯୁକ୍ତିଯୁକ୍ତ ୟୁନିଟ୍ (ALU)
Amagat law,amaget ନିୟମ |
ambient,ପରିବେଶ
amicron,ଆମିକ୍ରନ୍ |
amméter,ଆମ୍ମିଟର
ampere,ଆମ୍ପେର୍
Ampere's rule,ampere-law
amphoteric ion,ଆମ୍ଫିବିଆନ୍ ଆୟନ |
amplification,ବୃଦ୍ଧି
amplifier,ଏମ୍ପ୍ଲିଫାୟର୍
amplitude,"କୋଣ, ପରିମାପ"
a. m. u. (atomic mass unit),a। M. U. (ପରମାଣୁ ମାସ ଏକକ)
analog (=analogue),ସୁସଙ୍ଗତ
analogy,ଅନୁରୂପ
analyser,ବିଶ୍ଳେଷକ |
analysis,ବିଶ୍ଳେଷଣ |
analytical,ବିଶ୍ଳେଷଣାତ୍ମକ |
anastigmatic,ଅଣ-ବିନ୍ଦୁ |
anastigmatism,ଅସନ୍ତୁଷ୍ଟ |
AND gate,ଏବଂ ଦ୍ୱାର
anechoic,ଅଣ-ଆକାଶବାଣୀ |
anelasticity,ଅନୋମାଲ୍ ଇଲାସ୍ଟିସିଟି |
aneroid,ଆନ୍ହାଇଡ୍ରସ୍
angle,କୋଣ
Angstrom unit,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
angular,କୋଣାର୍କ |
angular vernier,ପ୍ରୋଟ୍ରାକ୍ଟର ଭର୍ନିଅର୍ |
anharmonic,ବିବାଦୀୟ |
anharmonicity,ସମ୍ମାନଜନକ |
anhysteresis,ଆକ୍ରୋମାଟିକ୍ ଚୁମ୍ବକୀୟକରଣ |
anhysteretic,ଅଳସୁଆ |
anion,ଆୟନ
anisodimensional,ଅସୀମିତ |
anisotropic,ଆଇସୋଟ୍ରୋପିକ୍ |
anisotropy,ଆଇସୋଟ୍ରୋପିଜିମ୍ |
annihilation,ବିଲୋପ
annunciator,ଷଡଯନ୍ତ୍ରକାରୀ
anode,anode
anodize,ଆନାଡାଇଜେସନ୍ |
anomalous,ଅସଙ୍ଗତ
anoptic system,ଅପ୍ଟିକାଲ୍ ସିଷ୍ଟମ୍ |
antenna,ଆଣ୍ଟେନା |
antibaryon,ଆଣ୍ଟିବାୟର୍
